2013-09-24, symbol: futures_CD_B, Trigger: enterS3, close: 0.9805
2013-10-16, symbol: futures_CD_B, Trigger: enterL2, close: 0.9783
2013-11-06, symbol: futures_CD_B, Trigger: enterL3, close: 0.9702
2013-11-15, symbol: futures_CD_B, Trigger: enterL3, close: 0.9679
2013-12-10, symbol: futures_CD_B, Trigger: enterL3, close: 0.9537
2013-12-17, symbol: futures_CD_B, Trigger: enterS2, close: 0.9537
2014-02-04, symbol: futures_CD_B, Trigger: enterL3, close: 0.9158
2014-02-19, symbol: futures_CD_B, Trigger: enterS2, close: 0.9158
2014-02-28, symbol: futures_CD_B, Trigger: enterL3, close: 0.9171
2014-03-07, symbol: futures_CD_B, Trigger: enterS2, close: 0.9145
2014-03-27, symbol: futures_CD_B, Trigger: enterL1, close: 0.9202
2014-04-15, symbol: futures_CD_B, Trigger: enterS3, close: 0.9249
2014-04-29, symbol: futures_CD_B, Trigger: enterL3, close: 0.9272
2014-07-11, symbol: futures_CD_B, Trigger: enterS3, close: 0.9462
2014-07-25, symbol: futures_CD_B, Trigger: enterS1, close: 0.9396
2014-08-27, symbol: futures_CD_B, Trigger: enterL3, close: 0.9382
2014-09-02, symbol: futures_CD_B, Trigger: enterS2, close: 0.9312
2014-09-16, symbol: futures_CD_B, Trigger: enterL3, close: 0.927
2014-10-06, symbol: futures_CD_B, Trigger: enterL3, close: 0.9135
2014-10-21, symbol: futures_CD_B, Trigger: enterL3, close: 0.9075
2014-10-31, symbol: futures_CD_B, Trigger: enterS3, close: 0.904
2014-11-19, symbol: futures_CD_B, Trigger: enterS2, close: 0.8994
2014-12-30, symbol: futures_CD_B, Trigger: enterL3, close: 0.8803
2015-02-03, symbol: futures_CD_B, Trigger: enterL3, close: 0.8251
2015-02-19, symbol: futures_CD_B, Trigger: enterS2, close: 0.82
2015-03-05, symbol: futures_CD_B, Trigger: enterS2, close: 0.8192
2015-03-18, symbol: futures_CD_B, Trigger: enterL3, close: 0.8089
2015-03-27, symbol: futures_CD_B, Trigger: enterS2, close: 0.8139
2015-05-01, symbol: futures_CD_B, Trigger: enterS3, close: 0.842
2015-05-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.8426
2015-06-08, symbol: futures_CD_B, Trigger: enterL3, close: 0.8267
2015-06-22, symbol: futures_CD_B, Trigger: enterS2, close: 0.8329
2015-07-28, symbol: futures_CD_B, Trigger: enterL3, close: 0.7951
2015-08-10, symbol: futures_CD_B, Trigger: enterL3, close: 0.7912
2015-08-13, symbol: futures_CD_B, Trigger: enterS2, close: 0.787
2015-08-31, symbol: futures_CD_B, Trigger: enterL3, close: 0.7809
2015-09-21, symbol: futures_CD_B, Trigger: enterS2, close: 0.778
2015-10-01, symbol: futures_CD_B, Trigger: enterL3, close: 0.7764
2015-10-05, symbol: futures_CD_B, Trigger: enterL1, close: 0.7867
2015-10-19, symbol: futures_CD_B, Trigger: enterS3, close: 0.7898
2015-10-30, symbol: futures_CD_B, Trigger: enterL2, close: 0.7868
2015-11-24, symbol: futures_CD_B, Trigger: enterL3, close: 0.7746
2015-12-29, symbol: futures_CD_B, Trigger: enterL3, close: 0.7461
2016-01-21, symbol: futures_CD_B, Trigger: enterL3, close: 0.7226
2016-02-03, symbol: futures_CD_B, Trigger: enterL1, close: 0.7475
2016-03-15, symbol: futures_CD_B, Trigger: enterS3, close: 0.7698
2016-05-03, symbol: futures_CD_B, Trigger: enterS3, close: 0.8066
2016-05-12, symbol: futures_CD_B, Trigger: enterL2, close: 0.8006
2016-05-18, symbol: futures_CD_B, Trigger: enterS1, close: 0.7909
2016-06-14, symbol: futures_CD_B, Trigger: enterS3, close: 0.7987
2016-07-01, symbol: futures_CD_B, Trigger: enterL2, close: 0.795
2016-07-13, symbol: futures_CD_B, Trigger: enterL3, close: 0.7921
2016-07-29, symbol: futures_CD_B, Trigger: enterL3, close: 0.78745
2016-08-22, symbol: futures_CD_B, Trigger: enterS3, close: 0.7928
2016-09-02, symbol: futures_CD_B, Trigger: enterL2, close: 0.79015
2016-09-09, symbol: futures_CD_B, Trigger: enterS2, close: 0.7882
2016-09-22, symbol: futures_CD_B, Trigger: enterL3, close: 0.786
2016-11-07, symbol: futures_CD_B, Trigger: enterL3, close: 0.7685
2016-12-01, symbol: futures_CD_B, Trigger: enterL1, close: 0.77085
2016-12-14, symbol: futures_CD_B, Trigger: enterS3, close: 0.7747
2016-12-30, symbol: futures_CD_B, Trigger: enterL3, close: 0.7634
2017-01-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.7752
2017-02-06, symbol: futures_CD_B, Trigger: enterS3, close: 0.7834
2017-02-10, symbol: futures_CD_B, Trigger: enterL2, close: 0.7834
2017-02-24, symbol: futures_CD_B, Trigger: enterL2, close: 0.7828
2017-03-15, symbol: futures_CD_B, Trigger: enterL3, close: 0.76935
2017-03-24, symbol: futures_CD_B, Trigger: enterS2, close: 0.7665
2017-04-03, symbol: futures_CD_B, Trigger: enterS2, close: 0.766
2017-04-18, symbol: futures_CD_B, Trigger: enterS2, close: 0.7662
2017-06-01, symbol: futures_CD_B, Trigger: enterS2, close: 0.75835
2017-06-07, symbol: futures_CD_B, Trigger: enterS2, close: 0.75795
2017-06-21, symbol: futures_CD_B, Trigger: enterS3, close: 0.76965
2017-08-02, symbol: futures_CD_B, Trigger: enterS3, close: 0.8139
2017-08-16, symbol: futures_CD_B, Trigger: enterL2, close: 0.8069
2017-08-30, symbol: futures_CD_B, Trigger: enterS3, close: 0.8098
2017-09-18, symbol: futures_CD_B, Trigger: enterS3, close: 0.8296
2017-10-02, symbol: futures_CD_B, Trigger: enterS1, close: 0.8169
2017-10-11, symbol: futures_CD_B, Trigger: enterL2, close: 0.81855
2017-10-18, symbol: futures_CD_B, Trigger: enterL2, close: 0.81935
2017-11-03, symbol: futures_CD_B, Trigger: enterL3, close: 0.80055
2017-11-27, symbol: futures_CD_B, Trigger: enterS2, close: 0.8005
2017-12-06, symbol: futures_CD_B, Trigger: enterS2, close: 0.79805
2017-12-21, symbol: futures_CD_B, Trigger: enterL1, close: 0.802
2018-01-10, symbol: futures_CD_B, Trigger: enterS3, close: 0.8109
2018-02-02, symbol: futures_CD_B, Trigger: enterS3, close: 0.8228
2018-02-06, symbol: futures_CD_B, Trigger: enterS1, close: 0.81415
2018-02-14, symbol: futures_CD_B, Trigger: enterL2, close: 0.8141
2018-03-09, symbol: futures_CD_B, Trigger: enterL3, close: 0.79445
2018-03-21, symbol: futures_CD_B, Trigger: enterL3, close: 0.78895
2018-04-02, symbol: futures_CD_B, Trigger: enterS2, close: 0.7878
2018-04-05, symbol: futures_CD_B, Trigger: enterL1, close: 0.79875
2018-04-19, symbol: futures_CD_B, Trigger: enterS3, close: 0.80385
2018-05-09, symbol: futures_CD_B, Trigger: enterL3, close: 0.793
2018-06-08, symbol: futures_CD_B, Trigger: enterL3, close: 0.78695
2018-06-29, symbol: futures_CD_B, Trigger: enterL3, close: 0.7741
2018-07-11, symbol: futures_CD_B, Trigger: enterS2, close: 0.77105
2018-07-25, symbol: futures_CD_B, Trigger: enterL1, close: 0.77915
2018-08-07, symbol: futures_CD_B, Trigger: enterS2, close: 0.77835
2018-08-17, symbol: futures_CD_B, Trigger: enterL2, close: 0.77895
2018-08-23, symbol: futures_CD_B, Trigger: enterS2, close: 0.77665
2018-08-31, symbol: futures_CD_B, Trigger: enterS2, close: 0.77895
2018-09-12, symbol: futures_CD_B, Trigger: enterL3, close: 0.7826
2018-09-26, symbol: futures_CD_B, Trigger: enterS3, close: 0.7815
2018-10-16, symbol: futures_CD_B, Trigger: enterL2, close: 0.7849
2019-01-03, symbol: futures_CD_B, Trigger: enterL3, close: 0.7528
2019-01-07, symbol: futures_CD_B, Trigger: enterL1, close: 0.7629
2019-01-22, symbol: futures_CD_B, Trigger: enterS2, close: 0.75965
2019-02-06, symbol: futures_CD_B, Trigger: enterS3, close: 0.7677
2019-02-19, symbol: futures_CD_B, Trigger: enterL3, close: 0.76695
2019-03-13, symbol: futures_CD_B, Trigger: enterL3, close: 0.76135
2019-03-29, symbol: futures_CD_B, Trigger: enterL3, close: 0.7583
2019-04-04, symbol: futures_CD_B, Trigger: enterS2, close: 0.75805
2019-06-04, symbol: futures_CD_B, Trigger: enterL1, close: 0.75475
2019-06-14, symbol: futures_CD_B, Trigger: enterS3, close: 0.7533
2019-07-09, symbol: futures_CD_B, Trigger: enterS3, close: 0.7696
2019-07-22, symbol: futures_CD_B, Trigger: enterS3, close: 0.77015
2019-07-31, symbol: futures_CD_B, Trigger: enterS1, close: 0.76525
2019-08-09, symbol: futures_CD_B, Trigger: enterL3, close: 0.7643
2019-08-26, symbol: futures_CD_B, Trigger: enterL3, close: 0.76095
2019-09-13, symbol: futures_CD_B, Trigger: enterS3, close: 0.7596
2019-09-24, symbol: futures_CD_B, Trigger: enterL2, close: 0.76215
2019-10-30, symbol: futures_CD_B, Trigger: enterS3, close: 0.7646
2019-11-18, symbol: futures_CD_B, Trigger: enterL3, close: 0.7628
2019-12-04, symbol: futures_CD_B, Trigger: enterL3, close: 0.7637
2019-12-06, symbol: futures_CD_B, Trigger: enterS2, close: 0.7597
2020-01-15, symbol: futures_CD_B, Trigger: enterL2, close: 0.77215
2020-02-12, symbol: futures_CD_B, Trigger: enterL3, close: 0.75935
2020-02-20, symbol: futures_CD_B, Trigger: enterS2, close: 0.7593
2020-03-25, symbol: futures_CD_B, Trigger: enterL3, close: 0.7095
2020-04-01, symbol: futures_CD_B, Trigger: enterS2, close: 0.70845
2020-04-15, symbol: futures_CD_B, Trigger: enterS2, close: 0.71525
2020-05-01, symbol: futures_CD_B, Trigger: enterS2, close: 0.7152
2020-05-11, symbol: futures_CD_B, Trigger: enterS2, close: 0.7179
2020-05-19, symbol: futures_CD_B, Trigger: enterL1, close: 0.7248
2020-05-22, symbol: futures_CD_B, Trigger: enterS2, close: 0.7183
2020-06-11, symbol: futures_CD_B, Trigger: enterS3, close: 0.73975
2020-06-22, symbol: futures_CD_B, Trigger: enterL2, close: 0.74415
