symbol,date,close,type,decision_number
CD,2013-09-24,0.9805,enterS3,3.02
CD,2013-10-16,0.9783,enterL2,2.01
CD,2013-11-06,0.9702,enterL3,3.01
CD,2013-11-15,0.9679,enterL3,3.01
CD,2013-12-10,0.9537,enterL3,3.01
CD,2013-12-17,0.9537,enterS2,2.02
CD,2014-02-04,0.9158,enterL3,3.01
CD,2014-02-19,0.9158,enterS2,2.02
CD,2014-02-28,0.9171,enterL3,3.01
CD,2014-03-07,0.9145,enterS2,2.02
CD,2014-03-27,0.9202,enterL1,1.01
CD,2014-04-15,0.9249,enterS3,3.02
CD,2014-04-29,0.9272,enterL3,3.01
CD,2014-07-11,0.9462,enterS3,3.02
CD,2014-07-25,0.9396,enterS1,1.02
CD,2014-08-27,0.9382,enterL3,3.01
CD,2014-09-02,0.9312,enterS2,2.02
CD,2014-09-16,0.927,enterL3,3.01
CD,2014-10-06,0.9135,enterL3,3.01
CD,2014-10-21,0.9075,enterL3,3.01
CD,2014-10-31,0.904,enterS3,3.02
CD,2014-11-19,0.8994,enterS2,2.02
CD,2014-12-30,0.8803,enterL3,3.01
CD,2015-02-03,0.8251,enterL3,3.01
CD,2015-02-19,0.82,enterS2,2.02
CD,2015-03-05,0.8192,enterS2,2.02
CD,2015-03-18,0.8089,enterL3,3.01
CD,2015-03-27,0.8139,enterS2,2.02
CD,2015-05-01,0.842,enterS3,3.02
CD,2015-05-18,0.8426,enterS3,3.02
CD,2015-06-08,0.8267,enterL3,3.01
CD,2015-06-22,0.8329,enterS2,2.02
CD,2015-07-28,0.7951,enterL3,3.01
CD,2015-08-10,0.7912,enterL3,3.01
CD,2015-08-13,0.787,enterS2,2.02
CD,2015-08-31,0.7809,enterL3,3.01
CD,2015-09-21,0.778,enterS2,2.02
CD,2015-10-01,0.7764,enterL3,3.01
CD,2015-10-05,0.7867,enterL1,1.01
CD,2015-10-19,0.7898,enterS3,3.02
CD,2015-10-30,0.7868,enterL2,2.01
CD,2015-11-24,0.7746,enterL3,3.01
CD,2015-12-29,0.7461,enterL3,3.01
CD,2016-01-21,0.7226,enterL3,3.01
CD,2016-02-03,0.7475,enterL1,1.01
CD,2016-03-15,0.7698,enterS3,3.02
CD,2016-05-03,0.8066,enterS3,3.02
CD,2016-05-12,0.8006,enterL2,2.01
CD,2016-05-18,0.7909,enterS1,1.02
CD,2016-06-14,0.7987,enterS3,3.02
CD,2016-07-01,0.795,enterL2,2.01
CD,2016-07-13,0.7921,enterL3,3.01
CD,2016-07-29,0.78745,enterL3,3.01
CD,2016-08-22,0.7928,enterS3,3.02
CD,2016-09-02,0.79015,enterL2,2.01
CD,2016-09-09,0.7882,enterS2,2.02
CD,2016-09-22,0.786,enterL3,3.01
CD,2016-11-07,0.7685,enterL3,3.01
CD,2016-12-01,0.77085,enterL1,1.01
CD,2016-12-14,0.7747,enterS3,3.02
CD,2016-12-30,0.7634,enterL3,3.01
CD,2017-01-18,0.7752,enterS3,3.02
CD,2017-02-06,0.7834,enterS3,3.02
CD,2017-02-10,0.7834,enterL2,2.01
CD,2017-02-24,0.7828,enterL2,2.01
CD,2017-03-15,0.76935,enterL3,3.01
CD,2017-03-24,0.7665,enterS2,2.02
CD,2017-04-03,0.766,enterS2,2.02
CD,2017-04-18,0.7662,enterS2,2.02
CD,2017-06-01,0.75835,enterS2,2.02
CD,2017-06-07,0.75795,enterS2,2.02
CD,2017-06-21,0.76965,enterS3,3.02
CD,2017-08-02,0.8139,enterS3,3.02
CD,2017-08-16,0.8069,enterL2,2.01
CD,2017-08-30,0.8098,enterS3,3.02
CD,2017-09-18,0.8296,enterS3,3.02
CD,2017-10-02,0.8169,enterS1,1.02
CD,2017-10-11,0.81855,enterL2,2.01
CD,2017-10-18,0.81935,enterL2,2.01
CD,2017-11-03,0.80055,enterL3,3.01
CD,2017-11-27,0.8005,enterS2,2.02
CD,2017-12-06,0.79805,enterS2,2.02
CD,2017-12-21,0.802,enterL1,1.01
CD,2018-01-10,0.8109,enterS3,3.02
CD,2018-02-02,0.8228,enterS3,3.02
CD,2018-02-06,0.81415,enterS1,1.02
CD,2018-02-14,0.8141,enterL2,2.01
CD,2018-03-09,0.79445,enterL3,3.01
CD,2018-03-21,0.78895,enterL3,3.01
CD,2018-04-02,0.7878,enterS2,2.02
CD,2018-04-05,0.79875,enterL1,1.01
CD,2018-04-19,0.80385,enterS3,3.02
CD,2018-05-09,0.793,enterL3,3.01
CD,2018-06-08,0.78695,enterL3,3.01
CD,2018-06-29,0.7741,enterL3,3.01
CD,2018-07-11,0.77105,enterS2,2.02
CD,2018-07-25,0.77915,enterL1,1.01
CD,2018-08-07,0.77835,enterS2,2.02
CD,2018-08-17,0.77895,enterL2,2.01
CD,2018-08-23,0.77665,enterS2,2.02
CD,2018-08-31,0.77895,enterS2,2.02
CD,2018-09-12,0.7826,enterL3,3.01
CD,2018-09-26,0.7815,enterS3,3.02
CD,2018-10-16,0.7849,enterL2,2.01
CD,2019-01-03,0.7528,enterL3,3.01
CD,2019-01-07,0.7629,enterL1,1.01
CD,2019-01-22,0.75965,enterS2,2.02
CD,2019-02-06,0.7677,enterS3,3.02
CD,2019-02-19,0.76695,enterL3,3.01
CD,2019-03-13,0.76135,enterL3,3.01
CD,2019-03-29,0.7583,enterL3,3.01
CD,2019-04-04,0.75805,enterS2,2.02
CD,2019-06-04,0.75475,enterL1,1.01
CD,2019-06-14,0.7533,enterS3,3.02
CD,2019-07-09,0.7696,enterS3,3.02
CD,2019-07-22,0.77015,enterS3,3.02
CD,2019-07-31,0.76525,enterS1,1.02
CD,2019-08-09,0.7643,enterL3,3.01
CD,2019-08-26,0.76095,enterL3,3.01
CD,2019-09-13,0.7596,enterS3,3.02
CD,2019-09-24,0.76215,enterL2,2.01
CD,2019-10-30,0.7646,enterS3,3.02
CD,2019-11-18,0.7628,enterL3,3.01
CD,2019-12-04,0.7637,enterL3,3.01
CD,2019-12-06,0.7597,enterS2,2.02
CD,2020-01-15,0.77215,enterL2,2.01
CD,2020-02-12,0.75935,enterL3,3.01
CD,2020-02-20,0.7593,enterS2,2.02
CD,2020-03-25,0.7095,enterL3,3.01
CD,2020-04-01,0.70845,enterS2,2.02
CD,2020-04-15,0.71525,enterS2,2.02
CD,2020-05-01,0.7152,enterS2,2.02
