symbol,date,close,type,decision_number
AGRO,2013-11-07,7.43,enterS1,11.02
AGRO,2013-11-19,7.51,enterL2,12.01
AGRO,2013-12-03,7.51,enterS2,12.02
AGRO,2013-12-20,7.47,enterL3,13.01
AGRO,2014-08-15,9.12,enterS1,11.02
AGRO,2014-10-20,8.18,enterL3,13.01
AGRO,2014-10-31,8.61,enterL1,11.01
AGRO,2014-11-28,8.64,enterS3,13.02
AGRO,2014-12-31,7.61,enterL3,13.01
AGRO,2015-01-13,7.54,enterS2,12.02
AGRO,2015-01-22,7.57,enterL3,13.01
AGRO,2015-02-23,7.8,enterL1,11.01
AGRO,2015-04-30,9.22,enterS1,11.02
AGRO,2015-06-02,9.4,enterL2,12.01
AGRO,2015-06-10,9.39,enterS2,12.02
AGRO,2015-07-06,8.98,enterL3,13.01
AGRO,2015-09-16,8.23,enterL1,11.01
AGRO,2015-10-02,7.97,enterL3,13.01
AGRO,2015-11-13,10.32,enterS4,14.02
AGRO,2015-11-20,10.35,enterS3,13.02
AGRO,2015-12-14,10.29,enterL2,12.01
AGRO,2016-01-19,10.53,enterS1,11.02
AGRO,2016-05-27,10.53,enterL1,11.01
AGRO,2016-08-30,9.37,enterL3,13.01
AGRO,2016-10-28,10.46,enterS1,11.02
AGRO,2016-11-15,10.14,enterL3 enterL4,14.01
AGRO,2016-12-01,10.2,enterS2,12.02
AGRO,2017-02-23,11.28,enterS3,13.02
AGRO,2017-03-06,11.03,enterS1,11.02
AGRO,2017-04-13,10.9,enterS2,12.02
AGRO,2017-06-28,9.59,enterL4,14.01
AGRO,2017-07-21,10.06,enterL1,11.01
AGRO,2017-08-14,9.82,enterL3,13.01
AGRO,2017-10-24,10.04,enterL2,12.01
AGRO,2018-01-29,9.48,enterS2,12.02
AGRO,2018-02-06,8.99,enterL4,14.01
AGRO,2018-04-04,7.46,enterL3 enterL4,14.01
AGRO,2018-04-16,7.47,enterS2,12.02
AGRO,2018-05-16,7.86,enterL1,11.01
AGRO,2018-05-29,7.51,enterS2,12.02
AGRO,2018-09-13,6.94,enterL4,14.01
AGRO,2018-10-12,7.36,enterL1,11.01
AGRO,2019-01-07,6.8,enterL1,11.01
AGRO,2019-03-15,6.61,enterL3 enterL4,14.01
AGRO,2019-04-05,6.71,enterL3,13.01
AGRO,2019-05-28,6.34,enterL3,13.01
AGRO,2019-06-13,6.49,enterS3,14.02
AGRO,2019-08-08,6.52,enterL2,12.01
AGRO,2019-11-12,5.85,enterL3,13.01
AGRO,2020-01-23,7.24,enterS1,11.02
AGRO,2020-02-05,7.22,enterL2,12.01
AGRO,2020-03-02,6.87,enterL4,14.01
AGRO,2020-03-19,3.86,enterL4,14.01
AGRO,2020-04-13,3.94,enterS4,14.02
AGRO,2020-04-22,3.83,enterL4,14.01
AGRO,2020-05-04,3.7,enterL4,14.01
AGRO,2020-05-26,3.81,enterS4,14.02
AGRO,2020-06-01,4.14,enterL1,11.01
AGRO,2020-06-11,4.31,enterS3,14.02
