date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.73045,0.73475,0.72985,0.73255,AD1,0.0049,0.0021,1,0.449,0.7326,0.7326,0.0,0.0,1,,0,,0
2017-01-04,0.73275,0.73935,0.73235,0.73895,AD1,0.007,0.0062,1,0.0571,0.7358,0.736,0.0031,0.003,1,,0,,0
2017-01-05,0.73825,0.74645,0.73805,0.74425,AD1,0.0084,0.006,1,0.2619,0.7387,0.7391,0.0055,0.0051,2,,0,,0
2017-01-06,0.74465,0.74625,0.73965,0.74055,AD1,0.0066,0.0041,0,0.8636,0.7392,0.7395,0.0014,0.001,3,,0,,0
2017-01-09,0.74015,0.74815,0.74005,0.74595,AD1,0.0081,0.0058,1,0.2716,0.7407,0.7412,0.0052,0.0048,4,,0,,0
2017-01-10,0.74655,0.74915,0.74375,0.74755,AD1,0.0054,0.001,1,0.2963,0.7419,0.7426,0.0057,0.005,5,,0,,1
2017-01-11,0.74715,0.75795,0.74595,0.75455,AD1,0.012,0.0074,1,0.2833,0.744,0.7451,0.0106,0.0095,6,,0,,1
2017-01-12,0.75485,0.76265,0.75375,0.75925,AD1,0.0089,0.0044,1,0.382,0.7462,0.7478,0.0131,0.0114,7,,0,,1
2017-01-13,0.75915,0.76175,0.75575,0.76105,AD1,0.006,0.0019,1,0.1167,0.7481,0.7502,0.013,0.0109,8,,0,,1
2017-01-17,0.75955,0.76785,0.75665,0.76755,AD1,0.0112,0.008,1,0.0268,0.7504,0.7531,0.0172,0.0144,9,,0,,1
2017-01-18,0.76685,0.76745,0.76115,0.76135,AD1,0.0063,0.0055,0,0.9683,0.7516,0.7544,0.0097,0.007,10,,0,,1
2017-01-19,0.76225,0.76835,0.76025,0.76715,AD1,0.0081,0.0049,1,0.1481,0.7532,0.7564,0.014,0.0108,11,,0,,1
2017-01-20,0.76655,0.76985,0.76275,0.76685,AD1,0.0071,0.0003,1,0.4225,0.7545,0.758,0.0124,0.0089,12,,0,,1
2017-01-23,0.76705,0.76985,0.76605,0.76895,AD1,0.0038,0.0019,1,0.2368,0.7558,0.7596,0.0131,0.0093,13,,0,,1
2017-01-24,0.77075,0.77195,0.76625,0.76925,AD1,0.0057,0.0015,0,0.4737,0.757,0.761,0.0122,0.0082,14,,0,,1
2017-01-25,0.76945,0.77085,0.76265,0.76815,AD1,0.0082,0.0013,0,0.3293,0.7579,0.762,0.0102,0.0061,15,,0,,1
2017-01-26,0.76835,0.76955,0.76325,0.76455,AD1,0.0063,0.0038,0,0.7937,0.7585,0.7624,0.006,0.0021,16,,0,,1
2017-01-27,0.76405,0.76845,0.76225,0.76545,AD1,0.0062,0.0014,1,0.4839,0.759,0.7628,0.0064,0.0026,17,,0,,0
2017-01-30,0.76685,0.76775,0.76395,0.76665,AD1,0.0038,0.0002,0,0.2895,0.7596,0.7633,0.007,0.0034,18,,0,,0
2017-01-31,0.76695,0.77165,0.76535,0.76915,AD1,0.0063,0.0022,1,0.3968,0.7602,0.7641,0.009,0.005,19,,0,,0
2017-02-01,0.76915,0.77085,0.76625,0.76945,AD1,0.0046,0.0003,1,0.3043,0.7609,0.7648,0.0085,0.0046,20,,0,,1
2017-02-02,0.76935,0.78085,0.76895,0.77695,AD1,0.0119,0.0076,1,0.3277,0.762,0.7664,0.015,0.0106,21,,0,,1
2017-02-03,0.77695,0.78075,0.77325,0.78065,AD1,0.0075,0.0037,1,0.0133,0.7632,0.7683,0.0174,0.0123,22,,0,,1
2017-02-06,0.77905,0.77935,0.77415,0.77705,AD1,0.0052,0.002,0,0.4423,0.7641,0.7694,0.013,0.0077,23,,0,,1
2017-02-07,0.77705,0.77925,0.77175,0.77395,AD1,0.0075,0.0031,0,0.7067,0.7647,0.77,0.0092,0.004,24,,0,,1
2017-02-08,0.77385,0.77775,0.77235,0.77565,AD1,0.0054,0.0018,1,0.3889,0.7653,0.7707,0.0103,0.0049,25,,0,,1
2017-02-09,0.77545,0.77775,0.77235,0.77365,AD1,0.0054,0.0018,0,0.7593,0.7658,0.7711,0.0078,0.0025,26,,0,,0
2017-02-10,0.77365,0.78025,0.77305,0.77915,AD1,0.0072,0.0055,1,0.1528,0.7666,0.7721,0.0126,0.007,27,,0,,0
2017-02-13,0.77805,0.77915,0.77435,0.77555,AD1,0.0048,0.0025,0,0.75,0.7671,0.7726,0.0084,0.003,28,,0,,1
2017-02-14,0.77535,0.78105,0.77315,0.77775,AD1,0.0079,0.0024,1,0.4177,0.7677,0.7732,0.0101,0.0046,29,,0,,1
2017-02-15,0.77845,0.78345,0.77505,0.78245,AD1,0.0084,0.004,1,0.119,0.7685,0.7744,0.014,0.0081,30,,0,,1
2017-02-16,0.78245,0.78495,0.77995,0.78085,AD1,0.005,0.0016,0,0.82,0.7692,0.7752,0.0117,0.0057,31,,0,,1
2017-02-17,0.78095,0.78275,0.77705,0.77755,AD1,0.0057,0.0034,0,0.9123,0.7696,0.7755,0.008,0.002,32,,0,,1
2017-02-21,0.77885,0.78065,0.77645,0.77915,AD1,0.0042,0.0003,1,0.3571,0.7701,0.776,0.0091,0.0031,33,,0,,1
2017-02-22,0.77885,0.78295,0.77815,0.78155,AD1,0.0048,0.0027,1,0.2917,0.7707,0.7767,0.0108,0.0049,34,,0,,1
2017-02-23,0.78165,0.78565,0.77795,0.78305,AD1,0.0077,0.0014,1,0.3377,0.7714,0.7775,0.0117,0.0056,35,,0,,0
2017-02-24,0.78305,0.78365,0.77805,0.77885,AD1,0.0056,0.0042,0,0.8571,0.7717,0.7777,0.0071,0.0012,36,,0,,1
2017-02-27,0.77915,0.78235,0.77745,0.77875,AD1,0.0049,0.0004,0,0.7347,0.7721,0.7778,0.0067,0.001,37,,0,,1
2017-02-28,0.77915,0.78115,0.77625,0.77725,AD1,0.0049,0.0019,0,0.7959,0.7724,0.7777,0.0049,-0.0004,1,,0,,0
2017-03-01,0.77685,0.78165,0.77515,0.77925,AD1,0.0065,0.0024,1,0.3692,0.7727,0.7779,0.0065,0.0013,1,,0,,0
2017-03-02,0.77985,0.77985,0.76745,0.76905,AD1,0.0124,0.0108,0,0.871,0.7725,0.7768,-0.0034,-0.0078,1,,0,,0
2017-03-03,0.76885,0.77175,0.76605,0.77155,AD1,0.0057,0.0027,1,0.0351,0.7725,0.7761,-0.001,-0.0046,2,,0,,0
2017-03-06,0.77045,0.77265,0.76865,0.76975,AD1,0.004,0.0007,0,0.725,0.7723,0.7753,-0.0025,-0.0055,3,,0,,0
2017-03-07,0.76965,0.77505,0.76945,0.77065,AD1,0.0056,0.001,1,0.7857,0.7723,0.7748,-0.0017,-0.0042,4,,0,,0
2017-03-08,0.77045,0.77265,0.76405,0.76475,AD1,0.0086,0.0057,0,0.9186,0.7719,0.7735,-0.0071,-0.0087,5,,0,,0
2017-03-09,0.76415,0.76525,0.76095,0.76235,AD1,0.0043,0.0018,0,0.6744,0.7715,0.7721,-0.0091,-0.0098,6,,0,,0
2017-03-10,0.76175,0.76745,0.76165,0.76595,AD1,0.0058,0.0042,1,0.2586,0.7712,0.7713,-0.0052,-0.0053,7,,0,,0
2017-03-13,0.76625,0.77065,0.76535,0.76965,AD1,0.0053,0.0034,1,0.1887,0.7711,0.7711,-0.0015,-0.0015,8,,0,,0
2017-03-14,0.76965,0.77035,0.76645,0.76835,AD1,0.0039,0.0013,0,0.5128,0.771,0.7708,-0.0027,-0.0025,9,,0,,0
2017-03-15,0.76825,0.78445,0.76805,0.78355,AD1,0.0164,0.0153,1,0.0549,0.7716,0.7724,0.012,0.0111,1,,0,,1
2017-03-16,0.78275,0.78445,0.77885,0.78025,AD1,0.0056,0.0025,0,0.75,0.772,0.7734,0.0082,0.0069,2,,0,,1
2017-03-17,0.78055,0.78435,0.77885,0.78305,AD1,0.0055,0.0025,1,0.2364,0.7725,0.7746,0.0106,0.0085,3,,0,,1
2017-03-20,0.78255,0.78735,0.78235,0.78555,AD1,0.005,0.003,1,0.36,0.773,0.7759,0.0125,0.0096,4,,0,,1
2017-03-21,0.78565,0.78755,0.78085,0.78165,AD1,0.0067,0.004,0,0.8806,0.7734,0.7767,0.0082,0.005,5,,0,,1
2017-03-22,0.78135,0.78155,0.77645,0.78035,AD1,0.0051,0.001,0,0.2353,0.7737,0.7771,0.0066,0.0032,6,,0,,0
