date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.72655,0.73085,0.72595,0.72875,AD,0.0049,0.0022,1,0.4286,0.7288,0.7288,0.0,0.0,1,,0,,0
2017-01-04,0.72885,0.73545,0.72845,0.73315,AD,0.007,0.0043,1,0.3286,0.731,0.7311,0.0021,0.002,1,,0,,0
2017-01-05,0.73435,0.74255,0.73415,0.74015,AD,0.0084,0.0058,1,0.2857,0.7342,0.7345,0.006,0.0056,2,,0,,0
2017-01-06,0.74075,0.74235,0.73575,0.73725,AD,0.0066,0.0035,0,0.7727,0.735,0.7353,0.0022,0.002,3,,0,,0
2017-01-09,0.73625,0.74425,0.73615,0.74275,AD,0.0081,0.0065,1,0.1852,0.7367,0.7372,0.006,0.0056,4,,0,,0
2017-01-10,0.74265,0.74525,0.73985,0.74365,AD,0.0054,0.001,1,0.2963,0.7379,0.7387,0.0058,0.005,5,,0,,1
2017-01-11,0.74325,0.75405,0.74205,0.75115,AD,0.012,0.0079,1,0.2417,0.7401,0.7413,0.0111,0.0099,6,,0,,1
2017-01-12,0.75095,0.75875,0.74985,0.75605,AD,0.0089,0.0051,1,0.3034,0.7424,0.7441,0.0137,0.012,7,,0,,1
2017-01-13,0.75525,0.75785,0.75185,0.75715,AD,0.006,0.0019,1,0.1167,0.7443,0.7464,0.0129,0.0108,8,,0,,1
2017-01-17,0.75565,0.76395,0.75275,0.76335,AD,0.0112,0.0077,1,0.0536,0.7465,0.7493,0.0168,0.0141,9,,0,,1
2017-01-18,0.76295,0.76355,0.75725,0.76065,AD,0.0063,0.0023,0,0.4603,0.7481,0.7511,0.0126,0.0096,10,,0,,1
2017-01-19,0.75835,0.76445,0.75635,0.76265,AD,0.0081,0.0043,1,0.2222,0.7496,0.7529,0.0131,0.0098,11,,0,,1
2017-01-20,0.76265,0.76595,0.75885,0.76325,AD,0.0071,0.0006,1,0.3803,0.7509,0.7545,0.0123,0.0088,12,,0,,1
2017-01-23,0.76315,0.76595,0.76215,0.76455,AD,0.0038,0.0014,1,0.3684,0.7522,0.756,0.0123,0.0085,13,,0,,1
2017-01-24,0.76685,0.76805,0.76235,0.76505,AD,0.0057,0.0018,0,0.5263,0.7533,0.7573,0.0118,0.0078,14,,0,,1
2017-01-25,0.76555,0.76695,0.75875,0.76305,AD,0.0082,0.0025,0,0.4756,0.7541,0.7581,0.009,0.005,15,,0,,1
2017-01-26,0.76445,0.76565,0.75935,0.76235,AD,0.0063,0.0021,0,0.5238,0.7547,0.7587,0.0076,0.0036,16,,0,,1
2017-01-27,0.76015,0.76455,0.75835,0.76235,AD,0.0062,0.0022,1,0.3548,0.7553,0.7592,0.007,0.0031,17,,0,,0
2017-01-30,0.76295,0.76385,0.76005,0.76255,AD,0.0038,0.0004,0,0.3421,0.7559,0.7597,0.0066,0.0028,18,,0,,0
2017-01-31,0.76305,0.76775,0.76145,0.76575,AD,0.0063,0.0027,1,0.3175,0.7566,0.7605,0.0091,0.0053,19,,0,,0
2017-02-01,0.76525,0.76695,0.76235,0.76615,AD,0.0046,0.0009,1,0.1739,0.7572,0.7612,0.009,0.005,20,,0,,1
2017-02-02,0.76545,0.77695,0.76505,0.77335,AD,0.0119,0.0079,1,0.3025,0.7583,0.7628,0.0151,0.0105,21,,0,,1
2017-02-03,0.77305,0.77685,0.76935,0.77485,AD,0.0075,0.0018,1,0.2667,0.7594,0.7644,0.0155,0.0105,22,,0,,1
2017-02-06,0.77515,0.77545,0.77025,0.77305,AD,0.0052,0.0021,0,0.4615,0.7603,0.7655,0.0128,0.0076,23,,0,,1
2017-02-07,0.77315,0.77535,0.76785,0.77135,AD,0.0075,0.0018,0,0.5333,0.7609,0.7663,0.0104,0.005,24,,0,,1
2017-02-08,0.76995,0.77385,0.76845,0.77055,AD,0.0054,0.0006,1,0.6111,0.7615,0.7668,0.0091,0.0037,25,,0,,1
2017-02-09,0.77155,0.77385,0.76845,0.77015,AD,0.0054,0.0014,0,0.6852,0.762,0.7673,0.0081,0.0029,26,,0,,0
2017-02-10,0.76975,0.77635,0.76915,0.77485,AD,0.0072,0.0051,1,0.2083,0.7628,0.7682,0.0121,0.0067,27,,0,,0
2017-02-13,0.77415,0.77525,0.77045,0.77195,AD,0.0048,0.0022,0,0.6875,0.7633,0.7687,0.0087,0.0032,28,,0,,1
2017-02-14,0.77145,0.77715,0.76925,0.77275,AD,0.0079,0.0013,1,0.557,0.7638,0.7692,0.009,0.0036,29,,0,,1
2017-02-15,0.77455,0.77955,0.77115,0.77795,AD,0.0084,0.0034,1,0.1905,0.7646,0.7703,0.0134,0.0077,30,,0,,1
