date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,31.24,31.24,31.24,31.24,BO,0.0,0.0,null,,31.24,31.24,0.0,0.0,1,,0,,0
2017-01-04,31.64,31.64,31.64,31.64,BO,0.0,0.0,null,,31.444,31.4533,0.196,0.1867,1,,0,,0
2017-01-05,31.65,31.65,31.65,31.65,BO,0.0,0.0,null,,31.5154,31.5278,0.1346,0.1222,2,,0,,0
2017-01-06,31.41,31.41,31.41,31.41,BO,0.0,0.0,null,,31.4875,31.4922,-0.0775,-0.0822,1,,0,,0
2017-01-09,31.92,31.92,31.92,31.92,BO,0.0,0.0,null,,31.581,31.602,0.339,0.318,1,,0,,0
2017-01-10,32.07,32.07,32.07,32.07,BO,0.0,0.0,null,,31.6709,31.7081,0.3991,0.3619,2,,0,,1
2017-01-11,32.43,32.43,32.43,32.43,BO,0.0,0.0,null,,31.7928,31.8567,0.6372,0.5733,3,,0,,1
2017-01-12,32.5,32.5,32.5,32.5,BO,0.0,0.0,null,,31.894,31.9792,0.606,0.5208,4,,0,,1
2017-01-13,32.03,32.03,32.03,32.03,BO,0.0,0.0,null,,31.9117,31.9883,0.1183,0.0417,5,,0,,1
2017-01-17,31.99,31.99,31.99,31.99,BO,0.0,0.0,null,,31.921,31.9886,0.069,0.0014,6,,0,,1
2017-01-18,32.01,32.01,32.01,32.01,BO,0.0,0.0,null,,31.9308,31.9921,0.0792,0.0179,7,,0,,0
2017-01-19,31.87,31.87,31.87,31.87,BO,0.0,0.0,null,,31.9245,31.973,-0.0545,-0.103,1,,0,,0
2017-01-20,31.58,31.58,31.58,31.58,BO,0.0,0.0,null,,31.8912,31.9133,-0.3112,-0.3333,2,,0,,0
2017-01-23,31.56,31.56,31.56,31.56,BO,0.0,0.0,null,,31.8609,31.8611,-0.3009,-0.3011,3,,0,,0
2017-01-24,31.71,31.71,31.71,31.71,BO,0.0,0.0,null,,31.8478,31.8393,-0.1378,-0.1293,4,,0,,0
2017-01-25,31.3,31.3,31.3,31.3,BO,0.0,0.0,null,,31.8024,31.7628,-0.5024,-0.4628,5,,0,,0
2017-01-26,30.9,30.9,30.9,30.9,BO,0.0,0.0,null,,31.7307,31.6426,-0.8307,-0.7426,6,,0,,0
