date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.2831,1.2857,1.2749,1.2784,BP1,0.0108,0.0047,0,0.6759,1.2784,1.2784,0.0,0.0,1,,0,,0
2017-01-04,1.2787,1.2903,1.277,1.2874,BP1,0.0133,0.0087,1,0.218,1.283,1.2832,0.0044,0.0042,1,,0,,0
2017-01-05,1.2874,1.2982,1.2819,1.2966,BP1,0.0163,0.0092,1,0.0982,1.2877,1.2883,0.0089,0.0083,2,,0,,0
2017-01-06,1.2964,1.2981,1.281,1.2831,BP1,0.0171,0.0133,0,0.8772,1.2865,1.2867,-0.0034,-0.0036,1,,0,,0
2017-01-09,1.2804,1.282,1.2672,1.2711,BP1,0.0148,0.0093,0,0.7365,1.2832,1.2827,-0.0121,-0.0116,2,,0,,0
2017-01-10,1.2724,1.2738,1.2655,1.2722,BP1,0.0083,0.0002,0,0.1928,1.2811,1.2803,-0.0089,-0.0081,3,,0,,0
2017-01-11,1.2724,1.2821,1.2584,1.276,BP1,0.0237,0.0036,1,0.2574,1.2803,1.2794,-0.0043,-0.0034,4,,0,,0
2017-01-12,1.2748,1.2863,1.2698,1.2709,BP1,0.0165,0.0039,0,0.9333,1.279,1.2778,-0.0081,-0.0069,5,,0,,0
2017-01-13,1.2706,1.278,1.2667,1.2721,BP1,0.0113,0.0015,1,0.5221,1.2781,1.2768,-0.006,-0.0047,6,,0,,0
2017-01-17,1.2596,1.2963,1.2533,1.2962,BP1,0.043,0.0366,1,0.0023,1.2802,1.2801,0.016,0.0161,1,,0,,1
2017-01-18,1.2951,1.2957,1.28,1.281,BP1,0.0157,0.0141,0,0.9363,1.2803,1.2802,0.0007,0.0008,2,,0,,1
2017-01-19,1.281,1.2892,1.2795,1.2884,BP1,0.0097,0.0074,1,0.0825,1.2811,1.2815,0.0073,0.0069,3,,0,,1
2017-01-20,1.2881,1.2926,1.2805,1.2922,BP1,0.0121,0.0041,1,0.0331,1.2822,1.2831,0.01,0.0091,4,,0,,1
2017-01-23,1.2924,1.3088,1.2921,1.3084,BP1,0.0167,0.016,1,0.024,1.2846,1.2869,0.0238,0.0215,5,,0,,1
2017-01-24,1.3082,1.3088,1.2963,1.306,BP1,0.0125,0.0022,0,0.224,1.2865,1.2896,0.0195,0.0164,6,,0,,1
2017-01-25,1.3071,1.3184,1.3036,1.318,BP1,0.0148,0.0109,1,0.027,1.2891,1.2937,0.0289,0.0243,7,,0,,1
2017-01-26,1.318,1.3218,1.31,1.3131,BP1,0.0118,0.0049,0,0.7373,1.291,1.2964,0.0221,0.0167,8,,0,,1
