date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.2889,1.2915,1.2807,1.2844,BP,0.0108,0.0045,0,0.6574,1.2844,1.2844,0.0,0.0,1,,0,,0
2017-01-04,1.2845,1.2961,1.2828,1.2923,BP,0.0133,0.0078,1,0.2857,1.2884,1.2886,0.0039,0.0037,1,,0,,0
2017-01-05,1.2932,1.304,1.2877,1.3017,BP,0.0163,0.0085,1,0.1411,1.293,1.2936,0.0087,0.0081,2,,0,,0
2017-01-06,1.3022,1.3039,1.2868,1.2883,BP,0.0171,0.0139,0,0.9123,1.2918,1.292,-0.0035,-0.0037,1,,0,,0
2017-01-09,1.2862,1.2878,1.273,1.2768,BP,0.0148,0.0094,0,0.7432,1.2885,1.2881,-0.0117,-0.0113,2,,0,,0
2017-01-10,1.2782,1.2796,1.2713,1.2769,BP,0.0083,0.0013,0,0.3253,1.2864,1.2855,-0.0095,-0.0086,3,,0,,0
2017-01-11,1.2782,1.2879,1.2642,1.2813,BP,0.0237,0.0031,1,0.2785,1.2856,1.2847,-0.0043,-0.0034,4,,0,,0
2017-01-12,1.2806,1.2921,1.2756,1.2768,BP,0.0165,0.0038,0,0.9273,1.2843,1.2832,-0.0075,-0.0064,5,,0,,0
2017-01-13,1.2764,1.2838,1.2725,1.279,BP,0.0113,0.0026,1,0.4248,1.2836,1.2824,-0.0046,-0.0034,6,,0,,0
2017-01-17,1.2654,1.3021,1.2591,1.3001,BP,0.043,0.0347,1,0.0465,1.2856,1.2854,0.0145,0.0147,1,,0,,1
2017-01-18,1.3009,1.3015,1.2858,1.2891,BP,0.0157,0.0118,0,0.7898,1.286,1.286,0.0031,0.0031,2,,0,,1
2017-01-19,1.2868,1.295,1.2853,1.2939,BP,0.0097,0.0071,1,0.1134,1.2868,1.2873,0.0071,0.0066,3,,0,,1
2017-01-20,1.2939,1.2984,1.2863,1.2982,BP,0.0121,0.0043,1,0.0165,1.2879,1.2889,0.0103,0.0093,4,,0,,1
2017-01-23,1.2982,1.3146,1.2979,1.3104,BP,0.0167,0.0122,1,0.2515,1.29,1.2921,0.0204,0.0183,5,,0,,1
2017-01-24,1.314,1.3146,1.3021,1.3105,BP,0.0125,0.0035,0,0.328,1.2917,1.2948,0.0188,0.0157,6,,0,,1
2017-01-25,1.3129,1.3242,1.3094,1.3229,BP,0.0148,0.01,1,0.0878,1.2943,1.2987,0.0286,0.0242,7,,0,,1
2017-01-26,1.3238,1.3276,1.3158,1.321,BP,0.0118,0.0028,0,0.5593,1.2964,1.3018,0.0246,0.0192,8,,0,,1
2017-01-27,1.319,1.3207,1.3117,1.3159,BP,0.009,0.0031,0,0.5333,1.2979,1.3038,0.018,0.0121,9,,0,,1
2017-01-30,1.317,1.3202,1.3065,1.3084,BP,0.0137,0.0086,0,0.8613,1.2987,1.3044,0.0097,0.004,10,,0,,1
2017-01-31,1.3092,1.3196,1.3011,1.3181,BP,0.0185,0.0089,1,0.0811,1.3001,1.3062,0.018,0.0119,11,1,1,Long,0
2017-02-01,1.3181,1.328,1.3142,1.3275,BP,0.0138,0.0094,1,0.0362,1.302,1.3091,0.0255,0.0184,12,1,,Long,0
2017-02-02,1.3255,1.3305,1.3116,1.3122,BP,0.0189,0.0133,0,0.9683,1.3027,1.3095,0.0095,0.0027,13,,0,Long,1
2017-02-03,1.313,1.3136,1.305,1.3079,BP,0.0086,0.0051,0,0.6628,1.303,1.3093,0.0049,-0.0014,1,,0,Long,0
2017-02-06,1.3071,1.3096,1.3025,1.3066,BP,0.0071,0.0005,0,0.4225,1.3032,1.3089,0.0034,-0.0023,2,,0,Long,0
2017-02-07,1.3063,1.3144,1.2943,1.3115,BP,0.0201,0.0052,1,0.1443,1.3037,1.3093,0.0078,0.0022,1,,0,Long,0
2017-02-08,1.3104,1.3146,1.3071,1.3123,BP,0.0075,0.0019,1,0.3067,1.3043,1.3097,0.008,0.0026,2,,0,Long,0
