date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.25817,0.25872,0.25507,0.25827,BR5,0.0036,0.0001,1,0.1233,0.2583,0.2583,0.0,0.0,1,,0,,0
2017-01-04,0.25912,0.26247,0.25912,0.26142,BR5,0.0033,0.0023,1,0.3134,0.2599,0.26,0.0015,0.0014,1,,0,,0
2017-01-05,0.26147,0.26427,0.26087,0.26357,BR5,0.0034,0.0021,1,0.2059,0.2612,0.2613,0.0024,0.0023,2,,0,,0
2017-01-06,0.26377,0.26517,0.26162,0.26167,BR5,0.0035,0.0021,0,0.9859,0.2613,0.2614,0.0004,0.0003,3,,0,,0
2017-01-09,0.26207,0.26467,0.26152,0.26412,BR5,0.0032,0.002,1,0.1746,0.2619,0.2621,0.0022,0.002,4,,0,,0
2017-01-10,0.26177,0.26577,0.26177,0.26417,BR5,0.004,0.0024,1,0.4,0.2623,0.2626,0.0019,0.0016,5,,0,,1
2017-01-11,0.26447,0.26612,0.26127,0.26467,BR5,0.0049,0.0002,1,0.299,0.2627,0.263,0.002,0.0017,6,,0,,1
2017-01-12,0.26467,0.26907,0.26462,0.26697,BR5,0.0044,0.0023,1,0.4719,0.2633,0.2638,0.0037,0.0032,7,,0,,1
2017-01-13,0.26537,0.26597,0.26242,0.26342,BR5,0.0035,0.002,0,0.7183,0.2633,0.2637,0.0001,-0.0003,1,,0,,1
2017-01-17,0.26177,0.26427,0.25997,0.26352,BR5,0.0043,0.0017,1,0.1744,0.2633,0.2637,0.0002,-0.0002,2,,0,,0
2017-01-18,0.26347,0.26347,0.26227,0.26282,BR5,0.0012,0.0006,0,0.5417,0.2633,0.2635,-0.0005,-0.0007,3,,0,,0
2017-01-19,0.26257,0.26562,0.26257,0.26557,BR5,0.003,0.003,1,0.0164,0.2635,0.2639,0.0021,0.0017,1,1,1,Long,0
2017-01-20,0.26597,0.26767,0.26517,0.26737,BR5,0.0025,0.0014,1,0.12,0.2639,0.2644,0.0035,0.003,2,,0,Long,0
2017-01-23,0.26847,0.26967,0.26697,0.26797,BR5,0.0027,0.0005,0,0.6296,0.2643,0.2649,0.0037,0.0031,3,,0,Long,1
2017-01-24,0.26847,0.26932,0.26782,0.26857,BR5,0.0015,0.0001,1,0.5,0.2646,0.2654,0.004,0.0032,4,,0,Long,1
2017-01-25,0.26847,0.26862,0.26782,0.26902,BR5,0.0008,0.0005,1,0.5,0.265,0.266,0.004,0.003,5,,0,Long,1
2017-01-26,0.26852,0.26957,0.26622,0.26727,BR5,0.0033,0.0012,0,0.6866,0.2652,0.2661,0.0021,0.0012,6,,0,Long,1
2017-01-27,0.26597,0.27157,0.26567,0.27067,BR5,0.0059,0.0047,1,0.1525,0.2656,0.2668,0.0051,0.0039,7,,0,Long,0
2017-01-30,0.26847,0.27467,0.26847,0.27442,BR5,0.0062,0.006,1,0.0403,0.2663,0.2678,0.0081,0.0066,8,,0,Long,1
2017-01-31,0.27392,0.27392,0.27302,0.27327,BR5,0.0009,0.0006,0,0.7222,0.2668,0.2685,0.0065,0.0048,9,,0,Long,1
2017-02-01,0.27442,0.27607,0.27252,0.27377,BR5,0.0035,0.0006,0,0.6479,0.2672,0.2692,0.0066,0.0046,10,,0,Long,1
2017-02-02,0.27592,0.27812,0.27572,0.27717,BR5,0.0024,0.0013,1,0.3958,0.2679,0.2703,0.0093,0.0069,11,,0,Long,1
2017-02-03,0.27652,0.27892,0.27522,0.27772,BR5,0.0037,0.0012,1,0.3243,0.2685,0.2713,0.0092,0.0064,12,,0,Long,1
2017-02-06,0.27747,0.28012,0.27642,0.27702,BR5,0.0037,0.0005,0,0.8378,0.2691,0.272,0.0079,0.005,13,,0,Long,1
2017-02-07,0.27592,0.27742,0.27342,0.27662,BR5,0.004,0.0007,1,0.2,0.2695,0.2726,0.0071,0.004,14,,0,Long,1
2017-02-08,0.27767,0.27842,0.27642,0.27782,BR5,0.002,0.0002,1,0.3,0.2701,0.2733,0.0077,0.0045,15,,0,Long,1
2017-02-09,0.27747,0.27992,0.27622,0.27702,BR5,0.0037,0.0005,0,0.7838,0.2705,0.2738,0.0065,0.0032,16,,0,Long,1
2017-02-10,0.27737,0.27892,0.27732,0.27837,BR5,0.0016,0.001,1,0.3437,0.2709,0.2743,0.0075,0.0041,17,,0,Long,0
2017-02-13,0.27842,0.27892,0.27747,0.27852,BR5,0.0015,0.0001,1,0.2759,0.2714,0.2749,0.0071,0.0036,18,,0,Long,1
2017-02-14,0.27942,0.28272,0.27727,0.28037,BR5,0.0055,0.001,1,0.4312,0.2719,0.2756,0.0085,0.0048,19,,0,Long,1
2017-02-15,0.28332,0.28517,0.28067,0.28422,BR5,0.0045,0.0009,1,0.2111,0.2725,0.2767,0.0117,0.0075,20,,0,Long,1
2017-02-16,0.28452,0.28842,0.27842,0.28212,BR5,0.01,0.0024,0,0.63,0.2731,0.2774,0.009,0.0047,21,,0,Long,1
2017-02-17,0.28292,0.28292,0.27957,0.28107,BR5,0.0034,0.0019,0,0.5522,0.2735,0.2778,0.0076,0.0033,22,,0,Long,1
2017-02-21,0.28192,0.28252,0.27982,0.28122,BR5,0.0027,0.0007,0,0.4815,0.2739,0.2783,0.0073,0.0029,23,,0,Long,1
2017-02-22,0.28142,0.28487,0.28117,0.28302,BR5,0.0037,0.0016,1,0.5,0.2744,0.2789,0.0086,0.0041,24,,0,Long,1
2017-02-23,0.28312,0.28572,0.28307,0.28517,BR5,0.0026,0.002,1,0.2075,0.2749,0.2797,0.0103,0.0055,25,,0,Long,0
2017-02-24,0.28307,0.28342,0.28017,0.28107,BR5,0.0033,0.002,0,0.7231,0.2752,0.2798,0.0059,0.0013,26,,0,Long,1
2017-02-27,0.28107,0.28107,0.28107,0.28107,BR5,0.0,0.0,null,,0.2755,0.28,0.0056,0.0011,27,,0,Long,0
2017-02-28,0.28227,0.28272,0.27882,0.27977,BR5,0.0039,0.0025,0,0.7564,0.2757,0.28,0.0041,-0.0002,1,,0,Long,0
2017-03-01,0.27967,0.28362,0.27962,0.28317,BR5,0.004,0.0035,1,0.1125,0.2761,0.2804,0.0071,0.0028,1,,0,Long,0
2017-03-02,0.28277,0.28277,0.27697,0.27847,BR5,0.0058,0.0043,0,0.7414,0.2762,0.2801,0.0023,-0.0016,1,,0,Long,0
2017-03-03,0.27737,0.28167,0.27662,0.28132,BR5,0.005,0.004,1,0.0693,0.2765,0.2803,0.0048,0.001,1,1,,Long,0
