date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.2576,0.2581,0.2545,0.2577,BR,0.0036,0.0001,1,0.1111,0.2577,0.2577,0.0,0.0,1,,0,,0
2017-01-04,0.2585,0.2619,0.2585,0.2608,BR,0.0034,0.0023,1,0.3235,0.2593,0.2594,0.0015,0.0014,1,,0,,0
2017-01-05,0.2609,0.2637,0.2603,0.263,BR,0.0034,0.0021,1,0.2059,0.2606,0.2607,0.0024,0.0023,2,,0,,0
2017-01-06,0.2632,0.2646,0.261,0.2611,BR,0.0036,0.0021,0,0.9722,0.2607,0.2608,0.0004,0.0003,3,,0,,0
2017-01-09,0.2615,0.2641,0.2609,0.2635,BR,0.0032,0.002,1,0.1875,0.2613,0.2615,0.0022,0.002,4,,0,,0
2017-01-10,0.2612,0.2652,0.2612,0.2636,BR,0.004,0.0024,1,0.4,0.2617,0.262,0.0019,0.0016,5,,0,,1
2017-01-11,0.2639,0.2655,0.2607,0.2641,BR,0.0048,0.0002,1,0.2917,0.2621,0.2624,0.002,0.0017,6,,0,,1
2017-01-12,0.2641,0.2685,0.264,0.2664,BR,0.0045,0.0023,1,0.4667,0.2627,0.2632,0.0037,0.0032,7,,0,,1
2017-01-13,0.2648,0.2654,0.2618,0.2628,BR,0.0036,0.002,0,0.7222,0.2627,0.2631,0.0001,-0.0003,1,,0,,1
2017-01-17,0.2612,0.2637,0.2594,0.2629,BR,0.0043,0.0017,1,0.186,0.2628,0.2631,0.0001,-0.0002,2,,0,,0
2017-01-18,0.2629,0.2629,0.2617,0.2622,BR,0.0012,0.0007,0,0.5833,0.2627,0.2629,-0.0005,-0.0007,3,,0,,0
2017-01-19,0.262,0.265,0.262,0.265,BR,0.003,0.003,1,0.0,0.2629,0.2633,0.0021,0.0017,1,1,1,Long,0
2017-01-20,0.2654,0.2671,0.2646,0.2668,BR,0.0025,0.0014,1,0.12,0.2633,0.2638,0.0035,0.003,2,,0,Long,0
2017-01-23,0.2679,0.2691,0.2664,0.2674,BR,0.0027,0.0005,0,0.6296,0.2637,0.2643,0.0037,0.0031,3,,0,Long,1
2017-01-24,0.2679,0.2687,0.2672,0.268,BR,0.0015,0.0001,1,0.4667,0.2641,0.2649,0.0039,0.0031,4,,0,Long,1
2017-01-25,0.2679,0.268,0.2672,0.2684,BR,0.0008,0.0005,1,0.5,0.2644,0.2654,0.004,0.003,5,,0,Long,1
2017-01-26,0.2679,0.269,0.2656,0.2667,BR,0.0034,0.0012,0,0.6765,0.2646,0.2655,0.0021,0.0012,6,,0,Long,1
2017-01-27,0.2654,0.271,0.2651,0.2701,BR,0.0059,0.0047,1,0.1525,0.265,0.2662,0.0051,0.0039,7,,0,Long,0
2017-01-30,0.2679,0.2741,0.2679,0.2738,BR,0.0062,0.0059,1,0.0484,0.2657,0.2672,0.0081,0.0066,8,,0,Long,1
2017-01-31,0.2733,0.2733,0.2724,0.2727,BR,0.0009,0.0006,0,0.6667,0.2662,0.2679,0.0065,0.0048,9,,0,Long,1
2017-02-01,0.2739,0.2755,0.272,0.2732,BR,0.0035,0.0007,0,0.6571,0.2667,0.2686,0.0065,0.0046,10,,0,Long,1
2017-02-02,0.2754,0.2776,0.2752,0.2766,BR,0.0024,0.0012,1,0.4167,0.2673,0.2697,0.0093,0.0069,11,,0,Long,1
2017-02-03,0.276,0.2784,0.2747,0.2772,BR,0.0037,0.0012,1,0.3243,0.268,0.2707,0.0092,0.0065,12,,0,Long,1
2017-02-06,0.2769,0.2796,0.2759,0.2765,BR,0.0037,0.0004,0,0.8378,0.2685,0.2714,0.008,0.0051,13,,0,Long,1
2017-02-07,0.2754,0.2769,0.2729,0.2761,BR,0.004,0.0007,1,0.2,0.269,0.272,0.0071,0.0041,14,,0,Long,1
2017-02-08,0.2771,0.2779,0.2759,0.2773,BR,0.002,0.0002,1,0.3,0.2695,0.2727,0.0078,0.0046,15,,0,Long,1
2017-02-09,0.2769,0.2794,0.2757,0.2765,BR,0.0037,0.0004,0,0.7838,0.2699,0.2732,0.0066,0.0033,16,,0,Long,1
2017-02-10,0.2768,0.2784,0.2768,0.2778,BR,0.0016,0.001,1,0.375,0.2704,0.2738,0.0074,0.004,17,,0,Long,0
2017-02-13,0.2779,0.2784,0.2769,0.278,BR,0.0015,0.0001,1,0.2667,0.2708,0.2743,0.0072,0.0037,18,,0,Long,1
2017-02-14,0.2789,0.2822,0.2767,0.2798,BR,0.0055,0.0009,1,0.4364,0.2713,0.275,0.0085,0.0048,19,,0,Long,1
2017-02-15,0.2828,0.2846,0.2801,0.2837,BR,0.0045,0.0009,1,0.2,0.272,0.2761,0.0117,0.0076,20,,0,Long,1
2017-02-16,0.284,0.2879,0.2779,0.2816,BR,0.01,0.0024,0,0.63,0.2725,0.2768,0.0091,0.0048,21,,0,Long,1
2017-02-17,0.2824,0.2824,0.279,0.2805,BR,0.0034,0.0019,0,0.5588,0.2729,0.2773,0.0076,0.0032,22,,0,Long,1
2017-02-21,0.2814,0.282,0.2793,0.2807,BR,0.0027,0.0007,0,0.4815,0.2733,0.2777,0.0074,0.003,23,,0,Long,1
2017-02-22,0.2809,0.2843,0.2806,0.2825,BR,0.0037,0.0016,1,0.4865,0.2738,0.2783,0.0087,0.0042,24,,0,Long,1
2017-02-23,0.2826,0.2852,0.2825,0.2846,BR,0.0027,0.002,1,0.2222,0.2744,0.2791,0.0102,0.0055,25,,0,Long,0
2017-02-24,0.2825,0.2829,0.2796,0.2805,BR,0.0033,0.002,0,0.7273,0.2747,0.2793,0.0058,0.0012,26,,0,Long,1
2017-02-27,0.2805,0.2805,0.2805,0.2805,BR,0.0,0.0,null,,0.275,0.2794,0.0055,0.0011,27,,0,Long,0
2017-02-28,0.2817,0.2822,0.2783,0.2792,BR,0.0039,0.0025,0,0.7692,0.2752,0.2794,0.004,-0.0002,1,,0,Long,0
2017-03-01,0.2791,0.2831,0.2791,0.2826,BR,0.004,0.0035,1,0.125,0.2756,0.2798,0.007,0.0028,1,,0,Long,0
2017-03-02,0.2822,0.2822,0.2764,0.2779,BR,0.0058,0.0043,0,0.7414,0.2757,0.2796,0.0022,-0.0017,1,,0,Long,0
2017-03-03,0.2768,0.2811,0.2761,0.2808,BR,0.005,0.004,1,0.06,0.2759,0.2797,0.0049,0.0011,1,1,,Long,0
2017-03-06,0.2807,0.2822,0.2785,0.2802,BR,0.0037,0.0005,0,0.5405,0.2761,0.2798,0.0041,0.0004,2,,0,Long,1
2017-03-07,0.2799,0.2811,0.2794,0.2808,BR,0.0017,0.0009,1,0.1765,0.2763,0.2799,0.0045,0.0009,3,,0,Long,1
2017-03-08,0.2796,0.28,0.2746,0.2767,BR,0.0054,0.0029,0,0.6111,0.2764,0.2795,0.0003,-0.0028,1,,0,Long,0
2017-03-09,0.2735,0.2766,0.2729,0.2735,BR,0.0037,0.0,null,0.8378,0.2762,0.2788,-0.0027,-0.0053,2,,0,Long,0
2017-03-10,0.2741,0.2787,0.2741,0.2781,BR,0.0046,0.004,1,0.1304,0.2763,0.2787,0.0018,-0.0006,3,,0,Long,0
2017-03-13,0.2787,0.2797,0.2767,0.278,BR,0.003,0.0007,0,0.5667,0.2764,0.2786,0.0016,-0.0006,4,,0,Long,0
2017-03-14,0.2772,0.2772,0.2748,0.2749,BR,0.0024,0.0023,0,0.9583,0.2763,0.2781,-0.0014,-0.0032,5,,0,Long,0
2017-03-15,0.2747,0.2832,0.2747,0.2821,BR,0.0085,0.0074,1,0.1294,0.2766,0.2786,0.0055,0.0035,1,,0,Long,0
2017-03-16,0.2832,0.2839,0.2804,0.2819,BR,0.0035,0.0013,0,0.5714,0.2768,0.279,0.0051,0.0029,2,,0,Long,1
2017-03-17,0.2822,0.2846,0.2804,0.2834,BR,0.0042,0.0012,1,0.2857,0.2771,0.2796,0.0063,0.0038,3,,0,Long,1
2017-03-20,0.2843,0.287,0.2806,0.2864,BR,0.0064,0.0021,1,0.0937,0.2775,0.2804,0.0089,0.006,4,,0,Long,1
2017-03-21,0.2872,0.2882,0.2844,0.2852,BR,0.0038,0.002,0,0.7895,0.2779,0.281,0.0073,0.0042,5,,0,Long,1
2017-03-22,0.2847,0.2856,0.2829,0.2846,BR,0.0027,0.0001,0,0.3704,0.2782,0.2815,0.0064,0.0031,6,,0,Long,1
2017-03-23,0.2844,0.2844,0.2795,0.2814,BR,0.0049,0.003,0,0.6122,0.2783,0.2815,0.0031,-0.0001,1,,0,Long,1
2017-03-24,0.2803,0.2835,0.2791,0.2833,BR,0.0044,0.003,1,0.0455,0.2785,0.2817,0.0048,0.0016,1,1,,Long,0
2017-03-27,0.2834,0.2839,0.2803,0.2804,BR,0.0036,0.003,0,0.9722,0.2786,0.2815,0.0018,-0.0011,1,,0,Long,0
2017-03-28,0.2812,0.2819,0.2799,0.2807,BR,0.002,0.0005,0,0.6,0.2787,0.2814,0.002,-0.0007,2,,0,Long,0
2017-03-29,0.2794,0.2831,0.278,0.2823,BR,0.0051,0.0029,1,0.1569,0.2789,0.2815,0.0034,0.0008,1,,0,Long,0
2017-03-30,0.2817,0.2825,0.2794,0.2809,BR,0.0031,0.0008,0,0.5161,0.2789,0.2815,0.002,-0.0006,1,,0,Long,1
2017-03-31,0.2784,0.2787,0.2775,0.2778,BR,0.0012,0.0006,0,0.75,0.2789,0.281,-0.0011,-0.0032,2,,0,Long,0
2017-04-03,0.2781,0.28,0.2768,0.2793,BR,0.0032,0.0012,1,0.2188,0.2789,0.2808,0.0004,-0.0015,3,,0,Long,0
2017-04-04,0.2785,0.2814,0.277,0.281,BR,0.0044,0.0025,1,0.0909,0.279,0.2808,0.002,0.0002,1,1,,Long,0
2017-04-05,0.2812,0.2827,0.2784,0.2817,BR,0.0043,0.0005,1,0.2326,0.2791,0.2809,0.0026,0.0008,2,,0,Long,0
2017-04-06,0.2799,0.28,0.2758,0.2766,BR,0.0042,0.0033,0,0.8095,0.279,0.2804,-0.0024,-0.0038,1,,0,Long,1
2017-04-07,0.276,0.279,0.275,0.2755,BR,0.004,0.0005,0,0.875,0.2789,0.2798,-0.0034,-0.0043,2,,0,Long,0
2017-04-10,0.2768,0.278,0.2761,0.2772,BR,0.0019,0.0004,1,0.4211,0.2788,0.2795,-0.0016,-0.0023,3,,0,Long,0
2017-04-11,0.2783,0.2786,0.2757,0.2778,BR,0.0029,0.0005,0,0.2759,0.2787,0.2792,-0.0009,-0.0014,4,,0,Long,0
2017-04-12,0.277,0.2791,0.2754,0.2754,BR,0.0037,0.0016,0,1.0,0.2786,0.2788,-0.0032,-0.0034,5,,0,Long,0
2017-04-13,0.2787,0.2797,0.2765,0.277,BR,0.0032,0.0017,0,0.8437,0.2785,0.2785,-0.0015,-0.0015,6,,0,Long,0
2017-04-17,0.2761,0.2822,0.2761,0.2815,BR,0.0061,0.0054,1,0.1148,0.2787,0.2789,0.0028,0.0026,1,,0,Long,1
2017-04-18,0.2796,0.2829,0.2795,0.2803,BR,0.0034,0.0007,1,0.7647,0.2787,0.2791,0.0016,0.0012,2,,0,Long,1
2017-04-19,0.2801,0.2809,0.2763,0.278,BR,0.0046,0.0021,0,0.6304,0.2787,0.279,-0.0007,-0.001,1,,0,Long,1
2017-04-20,0.277,0.2785,0.2749,0.2764,BR,0.0036,0.0006,0,0.5833,0.2786,0.2786,-0.0022,-0.0022,2,,0,Long,1
2017-04-21,0.2765,0.2768,0.2743,0.2754,BR,0.0025,0.0011,0,0.56,0.2785,0.2782,-0.0031,-0.0028,3,,0,Long,0
2017-04-24,0.2763,0.2801,0.2763,0.279,BR,0.0038,0.0027,1,0.2895,0.2785,0.2783,0.0005,0.0007,1,,0,Long,0
2017-04-25,0.2789,0.2789,0.2752,0.2766,BR,0.0037,0.0023,0,0.6216,0.2784,0.2781,-0.0018,-0.0015,1,,0,Long,0
2017-04-26,0.2765,0.2765,0.2716,0.2739,BR,0.0049,0.0026,0,0.5306,0.2782,0.2776,-0.0043,-0.0037,2,,0,Long,0
2017-04-27,0.2737,0.2765,0.2735,0.2747,BR,0.003,0.001,1,0.6,0.2781,0.2772,-0.0034,-0.0025,3,,0,Long,0
2017-04-28,0.2748,0.275,0.2727,0.2726,BR,0.0023,0.0022,0,1.0435,0.2779,0.2766,-0.0053,-0.004,4,,0,Long,0
2017-05-01,0.2725,0.273,0.2689,0.2702,BR,0.0041,0.0023,0,0.6829,0.2776,0.2758,-0.0074,-0.0056,5,,0,Long,0
2017-05-02,0.2727,0.2755,0.2706,0.2754,BR,0.0049,0.0027,1,0.0204,0.2775,0.2758,-0.0021,-0.0004,6,,0,Long,0
2017-05-03,0.275,0.2762,0.2737,0.2754,BR,0.0025,0.0004,1,0.32,0.2774,0.2757,-0.002,-0.0003,7,,0,Long,1
