date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,438.5,445.0,438.0,442.25,C2,7.0,3.75,1,0.3929,442.25,442.25,0.0,0.0,1,,0,,0
2017-01-04,441.5,446.5,441.25,446.25,C2,5.25,4.75,1,0.0476,444.29,444.3833,1.96,1.8667,1,,0,,0
2017-01-05,446.0,449.25,445.0,447.75,C2,4.25,1.75,1,0.3529,445.4898,445.6583,2.2602,2.0917,2,,0,,0
2017-01-06,447.25,449.0,443.25,444.5,C2,5.75,2.75,0,0.7826,445.2273,445.3084,-0.7273,-0.8084,1,,0,,0
2017-01-09,445.5,447.25,441.75,446.5,C2,5.5,1.0,1,0.1364,445.5026,445.6142,0.9974,0.8858,1,,0,,0
2017-01-10,445.75,446.0,443.75,444.75,C2,2.25,1.0,0,0.5556,445.3643,445.4182,-0.6143,-0.6682,1,,0,,1
2017-01-11,444.25,444.75,438.5,443.75,C2,6.25,0.5,0,0.16,445.1051,445.0749,-1.3551,-1.3249,2,,0,,0
2017-01-12,443.5,446.5,439.5,444.75,C2,7.0,1.25,1,0.25,445.0543,445.013,-0.3043,-0.263,3,,0,,0
2017-01-13,444.0,446.0,441.75,445.0,C2,4.25,1.0,1,0.2353,445.0472,445.0107,-0.0472,-0.0107,4,,0,,1
2017-01-17,445.5,453.0,445.0,452.0,C2,8.0,6.5,1,0.125,445.8742,446.1962,6.1258,5.8038,1,,0,,0
2017-01-18,451.0,454.25,449.25,451.5,C2,5.0,0.5,1,0.55,446.4939,447.0574,5.0061,4.4426,2,,0,,1
2017-01-19,450.5,454.0,449.25,452.75,C2,4.75,2.25,1,0.2632,447.1374,447.9485,5.6126,4.8015,3,,0,,1
2017-01-20,452.5,456.5,451.5,456.25,C2,5.0,3.75,1,0.05,448.0186,449.2082,8.2314,7.0418,4,,0,,1
2017-01-23,456.0,456.5,454.0,456.0,C2,2.5,0.0,null,0.2,448.7485,450.212,7.2515,5.788,5,,0,,1
2017-01-24,455.75,457.5,448.75,449.75,C2,8.75,6.0,0,0.8857,448.8355,450.1452,0.9145,-0.3952,1,,0,,1
2017-01-25,449.75,453.25,447.5,452.75,C2,5.75,3.0,1,0.087,449.1602,450.5144,3.5898,2.2356,1,1,1,Long,0
2017-01-26,452.5,453.25,448.5,450.25,C2,4.75,2.25,0,0.6316,449.2469,450.4775,1.0031,-0.2275,1,,0,Long,0
2017-01-27,449.75,450.75,447.0,449.0,C2,3.75,0.75,0,0.4667,449.228,450.2745,-0.228,-1.2745,2,,0,Long,0
2017-01-30,448.0,448.25,442.25,444.25,C2,6.0,3.75,0,0.6667,448.8613,449.4567,-4.6113,-5.2067,3,,0,Long,0
2017-01-31,445.0,447.75,444.25,446.25,C2,3.5,1.25,1,0.4286,448.6754,449.0261,-2.4254,-2.7761,4,,0,Long,0
2017-02-01,446.5,455.0,444.5,454.75,C2,10.5,8.25,1,0.0238,449.0945,449.7877,5.6555,4.9623,1,1,,Long,0
2017-02-02,454.0,456.25,452.75,454.0,C2,3.5,0.0,null,0.6429,449.4232,450.3437,4.5768,3.6563,2,,0,Long,1
2017-02-03,452.25,454.25,450.5,451.75,C2,3.75,0.5,0,0.6667,449.5749,450.528,2.1751,1.222,3,,0,Long,1
2017-02-06,450.5,455.25,449.0,450.25,C2,6.25,0.25,0,0.8,449.6178,450.4918,0.6322,-0.2418,1,,0,Long,1
2017-02-07,450.25,455.5,449.0,455.0,C2,6.5,4.75,1,0.0769,449.9517,451.0761,5.0483,3.9239,1,,0,Long,1
2017-02-08,454.5,457.5,453.0,457.25,C2,4.5,2.75,1,0.0556,450.3943,451.8726,6.8557,5.3774,2,,0,Long,1
2017-02-09,456.0,459.25,454.0,456.0,C2,5.25,0.0,null,0.619,450.7272,452.4029,5.2728,3.5971,3,,0,Long,1
2017-02-10,455.0,462.0,455.0,461.0,C2,7.0,6.0,1,0.1429,451.3251,453.5037,9.6749,7.4963,4,,0,Long,1
