date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.7606,0.76335,0.7599,0.7618,CD1,0.0034,0.0012,1,0.4493,0.7618,0.7618,0.0,0.0,1,,0,,0
2017-01-04,0.7617,0.76995,0.76,0.7688,CD1,0.01,0.0071,1,0.1156,0.7654,0.7655,0.0034,0.0033,1,,0,,0
2017-01-05,0.76855,0.7751,0.7681,0.7731,CD1,0.007,0.0046,1,0.2857,0.7681,0.7684,0.005,0.0047,2,,0,,0
2017-01-06,0.7729,0.7758,0.7706,0.77245,CD1,0.0052,0.0005,0,0.6442,0.7692,0.7696,0.0032,0.0029,3,,0,,0
2017-01-09,0.77195,0.77465,0.77005,0.7736,CD1,0.0046,0.0016,1,0.2283,0.7702,0.7706,0.0034,0.003,4,,0,,0
2017-01-10,0.7733,0.7749,0.77115,0.7726,CD1,0.0038,0.0007,0,0.6133,0.7706,0.7711,0.002,0.0015,5,,0,,1
2017-01-11,0.7726,0.7791,0.76905,0.7757,CD1,0.0101,0.0031,1,0.3383,0.7714,0.772,0.0043,0.0037,6,,0,,1
2017-01-12,0.7757,0.7844,0.7755,0.77755,CD1,0.0089,0.0019,1,0.7697,0.7723,0.7731,0.0052,0.0044,7,,0,,1
2017-01-13,0.7775,0.7799,0.77625,0.77945,CD1,0.0037,0.002,1,0.1233,0.7732,0.7742,0.0062,0.0052,8,,0,,1
2017-01-17,0.77855,0.78495,0.775,0.78375,CD1,0.01,0.0052,1,0.1206,0.7745,0.7758,0.0092,0.0079,9,,0,,1
2017-01-18,0.7835,0.78375,0.7702,0.77055,CD1,0.0135,0.013,0,0.9742,0.7741,0.775,-0.0036,-0.0045,1,0,1,Short,1
2017-01-19,0.77065,0.77135,0.76565,0.7676,CD1,0.0057,0.003,0,0.6579,0.7734,0.7738,-0.0058,-0.0062,2,,0,Short,0
2017-01-20,0.7674,0.76955,0.7637,0.76735,CD1,0.0058,0.0,0,0.3761,0.7728,0.7728,-0.0055,-0.0055,3,,0,Short,0
2017-01-23,0.76705,0.7732,0.7667,0.77215,CD1,0.0065,0.0051,1,0.1615,0.7727,0.7727,-0.0006,-0.0006,4,,0,Short,0
2017-01-24,0.77275,0.77975,0.7687,0.77685,CD1,0.0111,0.0041,1,0.2624,0.7731,0.7733,0.0038,0.0036,1,,0,Short,0
2017-01-25,0.7766,0.7824,0.77645,0.7819,CD1,0.006,0.0053,1,0.084,0.7738,0.7745,0.0081,0.0074,2,,0,Short,1
2017-01-26,0.7817,0.78285,0.77835,0.7805,CD1,0.0045,0.0012,0,0.5222,0.7744,0.7754,0.0061,0.0051,3,,0,Short,1
2017-01-27,0.7804,0.7809,0.777,0.7773,CD1,0.0039,0.0031,0,0.9231,0.7746,0.7756,0.0027,0.0017,4,,0,Short,1
2017-01-30,0.778,0.7815,0.7761,0.77925,CD1,0.0054,0.0012,1,0.4167,0.7749,0.7761,0.0043,0.0031,5,,0,Short,1
2017-01-31,0.77925,0.78785,0.77875,0.78405,CD1,0.0091,0.0048,1,0.4176,0.7756,0.7772,0.0085,0.0069,6,,0,Short,1
2017-02-01,0.7835,0.78405,0.7799,0.78315,CD1,0.0041,0.0003,0,0.2169,0.7761,0.778,0.007,0.0051,7,,0,Short,1
2017-02-02,0.7832,0.7871,0.7829,0.7842,CD1,0.0042,0.001,1,0.6905,0.7766,0.7788,0.0076,0.0054,8,,0,Short,1
2017-02-03,0.78425,0.78635,0.781,0.78445,CD1,0.0053,0.0002,1,0.3551,0.7772,0.7795,0.0072,0.005,9,,0,Short,1
2017-02-06,0.78445,0.7854,0.7779,0.7809,CD1,0.0075,0.0035,0,0.6,0.7774,0.7797,0.0035,0.0012,10,,0,Short,1
2017-02-07,0.7811,0.78155,0.7734,0.7748,CD1,0.0081,0.0063,0,0.8282,0.7772,0.7791,-0.0024,-0.0043,1,,0,Short,0
2017-02-08,0.7749,0.77795,0.7742,0.77755,CD1,0.0038,0.0026,1,0.1067,0.7772,0.7789,0.0003,-0.0014,2,,0,Short,0
2017-02-09,0.77735,0.7803,0.77595,0.77735,CD1,0.0043,0.0,null,0.6782,0.7773,0.7787,0.0,-0.0013,3,,0,Short,0
2017-02-10,0.7776,0.78215,0.77655,0.78095,CD1,0.0056,0.0034,1,0.2143,0.7775,0.779,0.0035,0.002,1,,0,Short,0
2017-02-13,0.7807,0.78255,0.7787,0.78165,CD1,0.0039,0.001,1,0.2338,0.7777,0.7793,0.004,0.0023,2,,0,Short,1
2017-02-14,0.7817,0.78435,0.77945,0.78145,CD1,0.0049,0.0002,0,0.5918,0.7779,0.7796,0.0035,0.0019,3,,0,Short,1
2017-02-15,0.78135,0.78195,0.77875,0.7812,CD1,0.0032,0.0001,0,0.2344,0.7781,0.7798,0.0031,0.0014,4,,0,Short,1
2017-02-16,0.78115,0.7852,0.781,0.7816,CD1,0.0042,0.0004,1,0.8571,0.7783,0.78,0.0033,0.0016,5,,0,Short,1
2017-02-17,0.78165,0.78215,0.7783,0.78015,CD1,0.0039,0.0015,0,0.5195,0.7784,0.78,0.0018,0.0001,6,,0,Short,1
2017-02-21,0.7805,0.7813,0.77605,0.77725,CD1,0.0052,0.0032,0,0.7714,0.7783,0.7797,-0.001,-0.0024,1,,0,Short,0
2017-02-22,0.7771,0.77925,0.7724,0.7763,CD1,0.0069,0.0008,0,0.4307,0.7782,0.7793,-0.0019,-0.003,2,,0,Short,0
2017-02-23,0.7764,0.7809,0.77575,0.7798,CD1,0.0051,0.0034,1,0.2136,0.7783,0.7793,0.0015,0.0005,1,,0,Short,0
2017-02-24,0.77985,0.7832,0.77875,0.7797,CD1,0.0044,0.0002,0,0.7865,0.7784,0.7794,0.0013,0.0003,2,,0,Short,0
2017-02-27,0.7799,0.78075,0.7751,0.77515,CD1,0.0057,0.0048,0,0.9912,0.7782,0.7788,-0.003,-0.0037,1,,0,Short,0
2017-02-28,0.7748,0.7761,0.76755,0.76855,CD1,0.0086,0.0063,0,0.883,0.7777,0.7775,-0.0091,-0.009,2,,0,Short,0
2017-03-01,0.76755,0.76925,0.76505,0.76685,CD1,0.0042,0.0007,0,0.5714,0.7772,0.7762,-0.0103,-0.0093,3,,0,Short,0
2017-03-02,0.7668,0.7668,0.76255,0.76335,CD1,0.0043,0.0035,0,0.8118,0.7765,0.7746,-0.0131,-0.0112,4,,0,Short,0
2017-03-03,0.76335,0.76425,0.7606,0.76415,CD1,0.0036,0.0008,1,0.0274,0.7759,0.7733,-0.0118,-0.0091,5,,0,Short,0
2017-03-06,0.76395,0.7642,0.7613,0.762,CD1,0.0029,0.002,0,0.7586,0.7753,0.7719,-0.0133,-0.0099,6,,0,Short,0
2017-03-07,0.7621,0.7636,0.7607,0.762,CD1,0.0029,0.0001,0,0.5517,0.7746,0.7706,-0.0126,-0.0086,7,,0,Short,0
2017-03-08,0.7618,0.7628,0.757,0.7572,CD1,0.0058,0.0046,0,0.9655,0.7738,0.7689,-0.0166,-0.0117,8,,0,Short,0
2017-03-09,0.7572,0.75805,0.7552,0.75655,CD1,0.0029,0.0007,0,0.5263,0.773,0.7674,-0.0165,-0.0109,9,,0,Short,0
2017-03-10,0.7564,0.76155,0.7563,0.7594,CD1,0.0052,0.003,1,0.4095,0.7724,0.7664,-0.013,-0.007,10,,0,Short,0
2017-03-13,0.7594,0.7609,0.75845,0.76015,CD1,0.0025,0.0008,1,0.3061,0.7718,0.7656,-0.0117,-0.0054,11,,0,Short,0
2017-03-14,0.76005,0.76045,0.7574,0.75835,CD1,0.003,0.0017,0,0.6885,0.7712,0.7647,-0.0129,-0.0064,12,,0,Short,0
2017-03-15,0.758,0.7685,0.75795,0.76805,CD1,0.0105,0.0101,1,0.0427,0.7711,0.7651,-0.003,0.003,1,,0,Short,1
2017-03-16,0.7682,0.7696,0.76525,0.7672,CD1,0.0043,0.001,0,0.5517,0.7709,0.7654,-0.0037,0.0018,2,,0,Short,1
2017-03-17,0.7672,0.768,0.76385,0.76555,CD1,0.0041,0.0017,0,0.5904,0.7706,0.7654,-0.005,0.0001,3,,0,Short,1
2017-03-20,0.7656,0.76805,0.76415,0.76535,CD1,0.0039,0.0002,0,0.6923,0.7704,0.7654,-0.005,0.0,1,,0,Short,1
2017-03-21,0.7652,0.77025,0.76445,0.76525,CD1,0.0058,0.0,1,0.8621,0.7702,0.7654,-0.005,-0.0001,1,,0,Short,1
