date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2013-09-03,0.9585,0.9606,0.9554,0.9581,CD,0.0052,0.9581,0.9581,0.9581,0.9581,0.9581,0,0,,
2013-09-04,0.9582,0.9636,0.9575,0.9619,CD,0.0061,0.96,0.9601,0.9602,0.9605,0.9581,0,0,,
2013-09-05,0.9614,0.9636,0.9599,0.9612,CD,0.0037,0.9604,0.9605,0.9606,0.9608,0.9581,0,0,,
2013-09-06,0.961,0.9725,0.9609,0.9707,CD,0.0116,0.9632,0.9634,0.964,0.9654,0.9581,0,1,,
2013-09-09,0.97,0.9744,0.969,0.9737,CD,0.0054,0.9654,0.9658,0.9669,0.969,0.9581,0,2,,
2013-09-10,0.9733,0.9772,0.9724,0.9755,CD,0.0048,0.9673,0.9677,0.9692,0.9717,0.9581,0,3,,
2013-09-11,0.9751,0.9788,0.9739,0.9784,CD,0.0049,0.9691,0.9696,0.9716,0.9745,0.9612,0,4,,
2013-09-12,0.9785,0.9795,0.9763,0.9779,CD,0.0032,0.9703,0.971,0.9731,0.9759,0.9612,0,5,,
2013-09-13,0.9776,0.978,0.9749,0.9766,CD,0.0031,0.9711,0.9718,0.9739,0.9762,0.9707,0,6,,
2013-09-16,0.9782,0.9819,0.9775,0.9782,CD,0.0044,0.972,0.9727,0.9749,0.977,0.9737,0,7,,
2013-09-17,0.9778,0.9826,0.977,0.9809,CD,0.0056,0.973,0.9738,0.9762,0.9786,0.9755,0,8,,
2013-09-18,0.9805,0.9896,0.9785,0.9885,CD,0.0111,0.9746,0.9756,0.9788,0.9825,0.9766,0,9,,
2013-09-19,0.9869,0.9914,0.9834,0.984,CD,0.008,0.9755,0.9766,0.9799,0.9831,0.9766,0,10,,
2013-09-20,0.9837,0.9839,0.9794,0.981,CD,0.0045,0.976,0.9771,0.9801,0.9823,0.9766,0,11,,
2013-09-23,0.98,0.9827,0.9797,0.9826,CD,0.003,0.9766,0.9777,0.9807,0.9824,0.9782,0,12,,
2013-09-24,0.9822,0.9838,0.9793,0.9805,CD,0.0045,0.9769,0.978,0.9806,0.9816,0.9805,0,13,,enterS3
2013-09-25,0.9801,0.9818,0.9786,0.9793,CD,0.0032,0.9771,0.9782,0.9804,0.9807,0.9793,0,14,,
2013-09-26,0.9791,0.9802,0.9766,0.9794,CD,0.0036,0.9773,0.9783,0.9802,0.9802,0.9793,0,15,,
2013-09-27,0.9795,0.9807,0.9775,0.9804,CD,0.0032,0.9775,0.9785,0.9802,0.9803,0.9793,0,16,,
2013-09-30,0.9791,0.984,0.9788,0.9802,CD,0.0052,0.9777,0.9787,0.9802,0.9802,0.9793,0,17,,
2013-10-01,0.9793,0.9817,0.9771,0.978,CD,0.0046,0.9777,0.9786,0.9798,0.9793,0.978,0,18,,
2013-10-02,0.9776,0.9783,0.9752,0.9776,CD,0.0031,0.9777,0.9785,0.9793,0.9786,0.9776,0,19,,
2013-10-03,0.9776,0.9794,0.9769,0.9785,CD,0.0025,0.9777,0.9785,0.9792,0.9786,0.9776,1,0,,
2013-10-04,0.9776,0.9816,0.9768,0.9808,CD,0.0048,0.9779,0.9787,0.9795,0.9795,0.9776,0,1,,
2013-10-07,0.9807,0.981,0.9774,0.9798,CD,0.0036,0.9781,0.9788,0.9796,0.9796,0.9776,0,2,,
2013-10-08,0.9794,0.98,0.9737,0.9738,CD,0.0063,0.9778,0.9784,0.9784,0.9773,0.9738,0,3,,
2013-10-09,0.9743,0.9757,0.9707,0.972,CD,0.005,0.9775,0.9778,0.9771,0.9752,0.972,1,0,,
2013-10-10,0.9719,0.974,0.9696,0.9718,CD,0.0044,0.9771,0.9773,0.976,0.9738,0.9718,2,0,,
2013-10-11,0.9716,0.9772,0.9703,0.9769,CD,0.0069,0.9771,0.9773,0.9762,0.9751,0.9718,3,0,,
2013-10-14,0.975,0.9769,0.9743,0.976,CD,0.0026,0.9771,0.9772,0.9762,0.9754,0.9718,4,0,,
2013-10-15,0.9761,0.9779,0.9724,0.9735,CD,0.0055,0.9769,0.9768,0.9756,0.9747,0.9718,5,0,,
2013-10-16,0.9736,0.9785,0.9729,0.9783,CD,0.0056,0.9769,0.977,0.9762,0.9761,0.9718,6,0,,enterL2
2013-10-17,0.9784,0.9828,0.9779,0.9821,CD,0.0049,0.9772,0.9774,0.9774,0.9785,0.9718,0,1,,
2013-10-18,0.9815,0.9833,0.9805,0.9815,CD,0.0028,0.9774,0.9777,0.9782,0.9797,0.9735,0,2,,
2013-10-21,0.9818,0.982,0.9805,0.9812,CD,0.0015,0.9776,0.978,0.9788,0.9803,0.9735,0,3,,
2013-10-22,0.9806,0.9843,0.9801,0.9822,CD,0.0042,0.9779,0.9784,0.9795,0.9811,0.9735,0,4,,
2013-10-23,0.9821,0.9827,0.972,0.9724,CD,0.0107,0.9776,0.9779,0.9781,0.9776,0.9724,0,5,,
2013-10-24,0.9731,0.9749,0.9681,0.9695,CD,0.0068,0.9772,0.9772,0.9763,0.9744,0.9695,1,0,,
2013-10-25,0.9697,0.9708,0.9661,0.967,CD,0.0047,0.9767,0.9764,0.9745,0.9714,0.967,2,0,,
2013-10-28,0.9671,0.9692,0.9671,0.968,CD,0.0021,0.9763,0.9757,0.9732,0.97,0.967,3,0,,
2013-10-29,0.9676,0.9694,0.9653,0.9663,CD,0.0041,0.9758,0.975,0.9718,0.9685,0.9663,4,0,,
2013-10-30,0.9656,0.968,0.9627,0.9647,CD,0.0053,0.9752,0.9741,0.9704,0.967,0.9647,5,0,,
2013-10-31,0.9648,0.9707,0.9636,0.97,CD,0.0071,0.975,0.9738,0.9703,0.9682,0.9647,6,0,,
2013-11-01,0.9689,0.9709,0.9669,0.9693,CD,0.004,0.9747,0.9734,0.9701,0.9686,0.9647,7,0,,
2013-11-04,0.97,0.9722,0.9693,0.97,CD,0.0029,0.9745,0.9732,0.9701,0.9692,0.9647,8,0,,
2013-11-05,0.9698,0.9704,0.9661,0.9663,CD,0.0043,0.9741,0.9726,0.9693,0.968,0.9647,9,0,,
2013-11-06,0.9671,0.9709,0.9665,0.9702,CD,0.0044,0.9739,0.9724,0.9695,0.9689,0.9647,10,0,,enterL3
2013-11-07,0.9699,0.9715,0.9662,0.9679,CD,0.0053,0.9737,0.9721,0.9692,0.9685,0.9663,11,0,,
2013-11-08,0.967,0.9679,0.9625,0.964,CD,0.0054,0.9732,0.9715,0.9681,0.9667,0.964,12,0,,
2013-11-11,0.9645,0.9662,0.9642,0.9649,CD,0.002,0.9728,0.9709,0.9675,0.966,0.964,13,0,,
2013-11-12,0.9657,0.9663,0.9623,0.9639,CD,0.004,0.9724,0.9704,0.9668,0.9651,0.9639,14,0,,
2013-11-13,0.9638,0.9675,0.9634,0.9662,CD,0.0041,0.9722,0.9701,0.9667,0.9656,0.9639,15,0,,
2013-11-14,0.9672,0.9685,0.9606,0.9646,CD,0.0079,0.9718,0.9696,0.9662,0.9652,0.9639,16,0,,
2013-11-15,0.9665,0.969,0.9645,0.9679,CD,0.0045,0.9716,0.9695,0.9666,0.9663,0.9639,17,0,,enterL3
2013-11-18,0.9691,0.9711,0.9684,0.9696,CD,0.0027,0.9716,0.9695,0.9672,0.9676,0.9639,18,0,,
2013-11-19,0.9695,0.9709,0.9645,0.9654,CD,0.0064,0.9713,0.9692,0.9668,0.9667,0.9639,19,0,,
2013-11-20,0.9663,0.9692,0.9656,0.9673,CD,0.0036,0.9711,0.969,0.9669,0.967,0.9646,20,0,,
2013-11-21,0.9676,0.9677,0.9608,0.9609,CD,0.0069,0.9707,0.9684,0.9657,0.9645,0.9609,21,0,,
2013-11-22,0.9616,0.9619,0.9567,0.9606,CD,0.0052,0.9702,0.9678,0.9647,0.963,0.9606,22,0,,
2013-11-25,0.9612,0.9612,0.9558,0.9583,CD,0.0054,0.9697,0.9671,0.9634,0.9611,0.9583,23,0,,
2013-11-26,0.9601,0.9616,0.958,0.9593,CD,0.0036,0.9693,0.9665,0.9626,0.9604,0.9583,24,0,,
2013-11-27,0.9595,0.9605,0.9542,0.9547,CD,0.0063,0.9686,0.9656,0.961,0.9581,0.9547,25,0,,
2013-11-29,0.9547,0.9582,0.9519,0.9522,CD,0.0063,0.9679,0.9645,0.9593,0.9557,0.9522,26,0,,
2013-12-02,0.9526,0.9533,0.9497,0.9515,CD,0.0036,0.9672,0.9635,0.9577,0.954,0.9515,27,0,,
2013-12-03,0.9508,0.9518,0.9481,0.9501,CD,0.0037,0.9665,0.9625,0.9562,0.9525,0.9501,28,0,,
2013-12-04,0.9503,0.9512,0.9451,0.9472,CD,0.0061,0.9657,0.9613,0.9544,0.9504,0.9472,29,0,,
2013-12-05,0.9477,0.9524,0.9458,0.9504,CD,0.0066,0.9651,0.9605,0.9536,0.9504,0.9472,30,0,,
2013-12-06,0.9498,0.9528,0.9451,0.9492,CD,0.0077,0.9644,0.9596,0.9527,0.9499,0.9472,31,0,,
2013-12-09,0.9505,0.9523,0.9486,0.9512,CD,0.0037,0.9638,0.9589,0.9524,0.9504,0.9472,32,0,,
2013-12-10,0.9517,0.9547,0.9506,0.9537,CD,0.0041,0.9634,0.9585,0.9527,0.9517,0.9472,33,0,,enterL3
2013-12-11,0.9543,0.957,0.953,0.9553,CD,0.004,0.9631,0.9583,0.9532,0.9532,0.9472,34,0,,
2013-12-12,0.9557,0.9582,0.9498,0.9513,CD,0.0084,0.9626,0.9577,0.9528,0.9524,0.9492,35,0,,
2013-12-13,0.9507,0.9566,0.9488,0.9555,CD,0.0078,0.9623,0.9576,0.9534,0.9536,0.9492,36,0,,
2013-12-16,0.9556,0.9574,0.9553,0.9562,CD,0.0021,0.962,0.9575,0.9539,0.9547,0.9512,37,0,,
2013-12-17,0.9555,0.9571,0.9534,0.9537,CD,0.0037,0.9617,0.9572,0.9539,0.9543,0.9513,38,0,,enterS2
2013-12-18,0.9545,0.9549,0.9458,0.9501,CD,0.0091,0.9612,0.9566,0.9531,0.9526,0.9501,39,0,,
2013-12-19,0.9449,0.9497,0.9437,0.9495,CD,0.006,0.9607,0.9561,0.9524,0.9514,0.9495,40,0,,
2013-12-20,0.9492,0.9526,0.943,0.9497,CD,0.0096,0.9603,0.9556,0.9519,0.9507,0.9495,41,0,,
2013-12-23,0.9513,0.9568,0.9504,0.9546,CD,0.0064,0.9601,0.9555,0.9524,0.9523,0.9495,42,0,,
2013-12-24,0.9539,0.9547,0.9522,0.954,CD,0.0025,0.9598,0.9554,0.9527,0.953,0.9495,43,0,,
2013-12-26,0.9521,0.9537,0.9507,0.9515,CD,0.003,0.9595,0.9551,0.9525,0.9524,0.9495,44,0,,
2013-12-27,0.951,0.9537,0.9448,0.9455,CD,0.0089,0.9589,0.9544,0.9511,0.9496,0.9455,45,0,,
2013-12-30,0.9461,0.9521,0.9441,0.9518,CD,0.008,0.9586,0.9542,0.9512,0.9505,0.9455,46,0,,
