date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,69.9,70.94,67.81,68.17,CL1,3.13,1.73,0,0.885,68.17,68.17,0.0,0.0,1,,0,,0
2017-01-04,68.19,69.13,67.85,69.05,CL1,1.28,0.86,1,0.0625,68.6188,68.6393,0.4312,0.4107,1,,0,,0
2017-01-05,69.09,69.82,68.49,69.46,CL1,1.33,0.37,1,0.2707,68.9105,68.9501,0.5495,0.5099,2,,0,,0
2017-01-06,69.43,70.02,69.02,69.4,CL1,1.0,0.03,0,0.62,69.0403,69.086,0.3597,0.314,3,,0,,0
2017-01-09,69.45,69.53,67.46,67.49,CL1,2.07,1.96,0,0.9855,68.705,68.6764,-1.215,-1.1864,1,,0,,0
2017-01-10,67.53,68.07,66.41,66.48,CL1,1.66,1.05,0,0.9578,68.2961,68.1783,-1.8161,-1.6983,2,,0,,0
2017-01-11,66.51,68.48,66.45,68.07,CL1,2.03,1.56,1,0.202,68.2598,68.156,-0.1898,-0.086,3,,0,,0
2017-01-12,68.0,69.17,67.82,68.74,CL1,1.35,0.74,1,0.3185,68.3285,68.2672,0.4115,0.4728,1,,0,,0
2017-01-13,68.75,68.88,67.96,68.2,CL1,0.92,0.55,0,0.7391,68.3119,68.2552,-0.1119,-0.0552,1,,0,,0
2017-01-17,68.19,69.2,67.78,68.21,CL1,1.42,0.02,1,0.6972,68.2998,68.2476,-0.0898,-0.0376,2,,0,,1
2017-01-18,68.21,68.49,66.6,67.06,CL1,1.89,1.15,0,0.7566,68.1632,68.0547,-1.1032,-0.9947,3,,0,,1
2017-01-19,67.07,67.55,66.69,67.05,CL1,0.86,0.02,0,0.5814,68.0487,67.8975,-0.9987,-0.8475,4,,0,,0
2017-01-20,67.08,68.55,67.01,68.12,CL1,1.54,1.04,1,0.2792,68.0556,67.9312,0.0644,0.1888,1,,0,,0
2017-01-23,68.21,68.35,67.09,67.71,CL1,1.26,0.5,0,0.5079,68.024,67.8985,-0.314,-0.1885,1,,0,,0
2017-01-24,67.74,68.44,67.55,67.82,CL1,0.89,0.08,1,0.6966,68.0063,67.8872,-0.1863,-0.0672,2,,0,,0
2017-01-25,67.83,68.35,67.44,67.82,CL1,0.91,0.01,0,0.5824,67.9908,67.8777,-0.1708,-0.0577,3,,0,,1
2017-01-26,67.84,68.94,67.67,68.59,CL1,1.27,0.75,1,0.2756,68.0384,67.977,0.5516,0.613,1,,0,,1
2017-01-27,68.62,68.96,67.46,68.08,CL1,1.5,0.54,0,0.5867,68.0416,67.9911,0.0384,0.0889,2,,0,,1
2017-01-30,68.03,68.34,67.29,67.45,CL1,1.05,0.58,0,0.8476,67.998,67.9177,-0.548,-0.4677,1,,0,,1
2017-01-31,67.48,68.44,67.12,67.68,CL1,1.32,0.2,1,0.5758,67.9754,67.8858,-0.2954,-0.2058,2,,0,,0
2017-02-01,67.64,68.79,67.52,68.43,CL1,1.27,0.79,1,0.2835,68.0067,67.9582,0.4233,0.4718,1,,0,,0
2017-02-02,68.45,69.22,68.23,68.52,CL1,0.99,0.07,1,0.7071,68.0411,68.0323,0.4789,0.4877,2,,0,,0
2017-02-03,68.56,69.1,68.28,68.73,CL1,0.82,0.17,1,0.4512,68.086,68.1238,0.644,0.6062,3,,0,,1
2017-02-06,68.69,69.01,67.79,67.98,CL1,1.22,0.71,0,0.8443,68.0793,68.105,-0.0993,-0.125,1,,0,,1
2017-02-07,68.02,68.12,66.51,66.58,CL1,1.61,1.44,0,0.9565,67.9863,67.9074,-1.4063,-1.3274,2,0,1,Short,1
2017-02-08,66.52,67.55,66.1,67.26,CL1,1.45,0.74,1,0.2,67.9422,67.8239,-0.6822,-0.5639,3,,0,Short,0
2017-02-09,67.25,68.09,67.25,68.02,CL1,0.84,0.77,1,0.0833,67.9469,67.8491,0.0731,0.1709,1,1,1,Long,0
2017-02-10,68.03,69.01,67.78,68.73,CL1,1.23,0.7,1,0.2276,67.9924,67.9619,0.7376,0.7681,2,,0,Long,0
2017-02-13,68.68,68.83,67.65,67.75,CL1,1.18,0.93,0,0.9153,67.9786,67.9348,-0.2286,-0.1848,1,0,1,Short,1
2017-02-14,67.79,68.6,67.74,67.91,CL1,0.86,0.12,1,0.8023,67.9747,67.9317,-0.0647,-0.0217,2,,0,Short,1
2017-02-15,67.89,68.4,67.62,67.87,CL1,0.78,0.02,0,0.6795,67.969,67.9238,-0.099,-0.0538,3,,0,Short,1
2017-02-16,67.93,68.45,67.51,68.23,CL1,0.94,0.3,1,0.234,67.9831,67.9626,0.2469,0.2674,1,,0,Short,0
2017-02-17,68.26,68.3,67.68,68.12,CL1,0.62,0.14,0,0.2903,67.9905,67.9826,0.1295,0.1374,2,,0,Short,0
2017-02-21,68.29,69.42,68.11,68.62,CL1,1.31,0.33,1,0.6107,68.0237,68.0631,0.5963,0.5569,3,,0,Short,1
2017-02-22,68.65,68.99,67.74,68.26,CL1,1.25,0.39,0,0.584,68.036,68.0879,0.224,0.1721,4,,0,Short,1
2017-02-23,68.3,69.33,68.26,68.75,CL1,1.07,0.45,1,0.5421,68.0727,68.1714,0.6773,0.5786,5,,0,Short,1
2017-02-24,68.72,68.9,68.15,68.41,CL1,0.75,0.31,0,0.6533,68.0898,68.2014,0.3202,0.2086,6,,0,Short,1
