date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,69.14,69.14,69.14,69.14,CL,0.0,0.0,null,,69.14,69.14,0.0,0.0,1,,0,,0
2017-01-04,70.07,70.07,70.07,70.07,CL,0.0,0.0,null,,69.6143,69.636,0.4557,0.434,1,,0,,0
2017-01-05,70.57,70.57,70.57,70.57,CL,0.0,0.0,null,,69.9457,69.9897,0.6243,0.5803,2,,0,,0
2017-01-06,70.8,70.8,70.8,70.8,CL,0.0,0.0,null,,70.1723,70.2345,0.6277,0.5655,3,,0,,0
2017-01-09,68.77,68.77,68.77,68.77,CL,0.0,0.0,null,,69.8689,69.8586,-1.0989,-1.0886,1,,0,,0
2017-01-10,67.63,67.63,67.63,67.63,CL,0.0,0.0,null,,69.4575,69.3532,-1.8275,-1.7232,2,,0,,0
2017-01-11,69.06,69.06,69.06,69.06,CL,0.0,0.0,null,,69.3937,69.2929,-0.3337,-0.2329,3,,0,,0
2017-01-12,69.84,69.84,69.84,69.84,CL,0.0,0.0,null,,69.4576,69.3971,0.3824,0.4429,1,,0,,0
2017-01-13,69.15,69.15,69.15,69.15,CL,0.0,0.0,null,,69.4177,69.3529,-0.2677,-0.2029,1,,0,,0
2017-01-17,69.26,69.26,69.26,69.26,CL,0.0,0.0,null,,69.3989,69.3372,-0.1389,-0.0772,2,,0,,1
2017-01-18,67.89,67.89,67.89,67.89,CL,0.0,0.0,null,,69.2327,69.1022,-1.3427,-1.2122,3,,0,,1
2017-01-19,68.12,68.12,68.12,68.12,CL,0.0,0.0,null,,69.1183,68.9484,-0.9983,-0.8284,4,,0,,0
2017-01-20,69.22,69.22,69.22,69.22,CL,0.0,0.0,null,,69.1281,68.9896,0.0919,0.2304,1,,0,,0
2017-01-23,68.75,68.75,68.75,68.75,CL,0.0,0.0,null,,69.0935,68.9542,-0.3435,-0.2042,1,,0,,1
2017-01-24,69.18,69.18,69.18,69.18,CL,0.0,0.0,null,,69.101,68.9868,0.079,0.1932,1,,0,,0
2017-01-25,68.75,68.75,68.75,68.75,CL,0.0,0.0,null,,69.0719,68.9533,-0.3219,-0.2033,1,,0,,1
2017-01-26,69.78,69.78,69.78,69.78,CL,0.0,0.0,null,,69.1282,69.0685,0.6518,0.7115,1,,0,,1
2017-01-27,69.17,69.17,69.17,69.17,CL,0.0,0.0,null,,69.1314,69.0825,0.0386,0.0875,2,,0,,1
2017-01-30,68.63,68.63,68.63,68.63,CL,0.0,0.0,null,,69.0945,69.0211,-0.4645,-0.3911,1,,0,,1
2017-01-31,68.81,68.81,68.81,68.81,CL,0.0,0.0,null,,69.0742,68.9927,-0.2642,-0.1827,2,,0,,0
2017-02-01,69.88,69.88,69.88,69.88,CL,0.0,0.0,null,,69.1298,69.1108,0.7502,0.7692,1,,0,,1
2017-02-02,69.54,69.54,69.54,69.54,CL,0.0,0.0,null,,69.1573,69.1674,0.3827,0.3726,2,,0,,1
2017-02-03,69.83,69.83,69.83,69.83,CL,0.0,0.0,null,,69.2011,69.2543,0.6289,0.5757,3,,0,,1
2017-02-06,69.01,69.01,69.01,69.01,CL,0.0,0.0,null,,69.189,69.2224,-0.179,-0.2124,1,,0,,1
2017-02-07,68.17,68.17,68.17,68.17,CL,0.0,0.0,null,,69.1258,69.0861,-0.9558,-0.9161,2,,0,,1
2017-02-08,68.34,68.34,68.34,68.34,CL,0.0,0.0,null,,69.0781,68.9898,-0.7381,-0.6498,3,,0,,0
2017-02-09,69.0,69.0,69.0,69.0,CL,0.0,0.0,null,,69.0735,68.9911,-0.0735,0.0089,1,,0,,0
2017-02-10,69.86,69.86,69.86,69.86,CL,0.0,0.0,null,,69.1193,69.1024,0.7407,0.7576,2,,0,,0
2017-02-13,68.93,68.93,68.93,68.93,CL,0.0,0.0,null,,69.1085,69.0804,-0.1785,-0.1504,1,,0,,1
2017-02-14,69.2,69.2,69.2,69.2,CL,0.0,0.0,null,,69.1136,69.0956,0.0864,0.1044,1,,0,,1
2017-02-15,69.09,69.09,69.09,69.09,CL,0.0,0.0,null,,69.1123,69.0949,-0.0223,-0.0049,1,,0,,1
2017-02-16,69.24,69.24,69.24,69.24,CL,0.0,0.0,null,,69.1192,69.1133,0.1208,0.1267,1,,0,,1
2017-02-17,69.27,69.27,69.27,69.27,CL,0.0,0.0,null,,69.1273,69.1331,0.1427,0.1369,2,,0,,0
2017-02-21,69.82,69.82,69.82,69.82,CL,0.0,0.0,null,,69.1638,69.2199,0.6562,0.6001,3,,0,,1
2017-02-22,69.08,69.08,69.08,69.08,CL,0.0,0.0,null,,69.1595,69.2022,-0.0795,-0.1222,1,,0,,1
2017-02-23,69.94,69.94,69.94,69.94,CL,0.0,0.0,null,,69.1996,69.2952,0.7404,0.6448,1,,0,,0
2017-02-24,69.48,69.48,69.48,69.48,CL,0.0,0.0,null,,69.2138,69.3185,0.2662,0.1615,2,,0,,1
2017-02-27,69.54,69.54,69.54,69.54,CL,0.0,0.0,null,,69.2302,69.3464,0.3098,0.1936,3,,0,,1
2017-02-28,69.5,69.5,69.5,69.5,CL,0.0,0.0,null,,69.2436,69.3657,0.2564,0.1343,4,,0,,0
2017-03-01,69.32,69.32,69.32,69.32,CL,0.0,0.0,null,,69.2473,69.3599,0.0727,-0.0399,1,,0,,1
