date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,66.01,66.67,65.96,66.6,CT,0.71,0.59,1,0.0986,66.6,66.6,0.0,0.0,1,,0,,0
2017-01-04,66.6,69.05,66.39,68.9,CT,2.66,2.3,1,0.0564,67.773,67.8267,1.127,1.0733,1,,0,,0
2017-01-05,68.99,70.19,68.43,68.6,CT,1.76,0.39,0,0.9034,68.0598,68.1195,0.5402,0.4805,2,,0,,0
2017-01-06,68.75,69.01,67.72,68.81,CT,1.29,0.06,1,0.155,68.2587,68.3281,0.5513,0.4819,3,,0,,0
2017-01-09,68.81,69.0,67.63,67.81,CT,1.37,1.0,0,0.8686,68.1617,68.1951,-0.3517,-0.3851,1,,0,,0
2017-01-10,67.81,68.52,67.64,68.01,CT,0.88,0.2,1,0.5795,68.1338,68.1532,-0.1238,-0.1432,2,,0,,1
2017-01-11,68.07,68.63,67.81,67.96,CT,0.82,0.11,0,0.8171,68.1059,68.1134,-0.1459,-0.1534,3,,0,,0
2017-01-12,68.07,68.62,67.07,67.16,CT,1.55,0.91,0,0.9419,67.9704,67.9318,-0.8104,-0.7718,4,,0,,0
2017-01-13,67.16,67.57,66.82,67.09,CT,0.75,0.07,0,0.64,67.8563,67.7814,-0.7663,-0.6914,5,,0,,0
2017-01-17,67.09,67.69,66.63,66.93,CT,1.06,0.16,0,0.717,67.7461,67.637,-0.8161,-0.707,6,,0,,0
2017-01-18,66.94,67.37,66.84,67.08,CT,0.53,0.14,1,0.5472,67.6727,67.5465,-0.5927,-0.4665,7,,0,,0
2017-01-19,67.21,68.11,67.09,67.51,CT,1.02,0.3,1,0.5882,67.656,67.5408,-0.146,-0.0308,8,,0,,0
2017-01-20,67.68,68.25,67.54,67.86,CT,0.71,0.18,1,0.5493,67.6757,67.5892,0.1843,0.2708,1,,0,,1
2017-01-23,67.96,69.76,67.85,69.45,CT,1.91,1.49,1,0.1623,67.838,67.8642,1.612,1.5858,2,,0,,1
2017-01-24,69.46,69.82,67.35,68.39,CT,2.47,1.07,0,0.5789,67.8859,67.9402,0.5041,0.4498,3,,0,,1
2017-01-25,68.1,68.99,67.96,68.7,CT,1.03,0.6,1,0.2816,67.9535,68.0479,0.7465,0.6521,4,,0,,1
2017-01-26,68.76,69.75,68.49,69.01,CT,1.26,0.25,1,0.5873,68.0374,68.182,0.9726,0.828,5,,0,,1
2017-01-27,69.01,69.79,69.01,69.67,CT,0.78,0.66,1,0.1538,68.1622,68.3865,1.5078,1.2835,6,,0,,1
2017-01-30,69.72,70.14,68.88,68.96,CT,1.26,0.76,0,0.9365,68.2209,68.4643,0.7391,0.4957,7,,0,,1
2017-01-31,68.98,69.95,68.92,69.76,CT,1.03,0.78,1,0.1845,68.3305,68.6383,1.4295,1.1217,8,,0,,1
2017-02-01,69.82,71.38,69.73,71.26,CT,1.65,1.44,1,0.0727,68.5327,68.9872,2.7273,2.2728,9,,0,,1
2017-02-02,71.18,72.22,70.54,71.73,CT,1.68,0.55,1,0.2917,68.7469,69.3492,2.9831,2.3808,10,,0,,1
2017-02-03,71.56,71.97,71.03,71.23,CT,0.94,0.33,0,0.7872,68.9088,69.5957,2.3212,1.6343,11,,0,,1
