date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.158,1.16035,1.1453,1.1516,CU1,0.0151,0.0064,0,0.5814,1.1516,1.1516,0.0,0.0,1,,0,,0
2017-01-04,1.15215,1.16115,1.15015,1.16015,CU1,0.011,0.008,1,0.0909,1.156,1.1562,0.0042,0.004,1,,0,,0
2017-01-05,1.15955,1.17255,1.15905,1.1717,CU1,0.0135,0.0121,1,0.063,1.1614,1.162,0.0103,0.0097,2,,0,,0
2017-01-06,1.1714,1.1739,1.16335,1.1639,CU1,0.0105,0.0075,0,0.9479,1.1621,1.1626,0.0018,0.0013,3,,0,,0
2017-01-09,1.16395,1.16915,1.1619,1.16815,CU1,0.0072,0.0042,1,0.1379,1.1634,1.164,0.0048,0.0042,4,,0,,0
2017-01-10,1.16895,1.1735,1.16585,1.16615,CU1,0.0076,0.0028,0,0.9608,1.1639,1.1645,0.0023,0.0016,5,,0,,1
2017-01-11,1.16615,1.173,1.156,1.1688,CU1,0.017,0.0027,1,0.2471,1.1647,1.1654,0.0041,0.0034,6,,0,,1
2017-01-12,1.16895,1.179,1.1677,1.1717,CU1,0.0113,0.0028,1,0.646,1.1657,1.1666,0.006,0.0051,7,,0,,0
2017-01-13,1.17155,1.1781,1.17005,1.17495,CU1,0.008,0.0034,1,0.3913,1.1669,1.1681,0.008,0.0069,8,,0,,1
2017-01-17,1.17295,1.18245,1.1683,1.18175,CU1,0.0142,0.0088,1,0.0495,1.1687,1.1704,0.0131,0.0113,9,,0,,1
2017-01-18,1.18155,1.18165,1.1732,1.17335,CU1,0.0085,0.0082,0,0.9822,1.1692,1.1709,0.0041,0.0024,10,,0,,1
2017-01-19,1.17345,1.17795,1.1691,1.17665,CU1,0.0089,0.0032,1,0.1469,1.1699,1.1718,0.0068,0.0049,11,,0,,1
2017-01-20,1.17625,1.1812,1.17265,1.18035,CU1,0.0086,0.0041,1,0.0994,1.1709,1.1731,0.0094,0.0072,12,,0,,1
2017-01-23,1.1807,1.1872,1.18045,1.1869,CU1,0.0068,0.0062,1,0.0444,1.1724,1.1751,0.0145,0.0118,13,,0,,1
