date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.1606,1.16295,1.1479,1.1551,CU,0.0151,0.0055,0,0.5216,1.1551,1.1551,0.0,0.0,1,,0,,0
2017-01-04,1.15475,1.16375,1.15275,1.1604,CU,0.011,0.0057,1,0.3045,1.1578,1.1579,0.0026,0.0025,1,,0,,0
2017-01-05,1.16215,1.17515,1.16165,1.17275,CU,0.0135,0.0106,1,0.1778,1.163,1.1635,0.0097,0.0092,2,,0,,0
2017-01-06,1.174,1.1765,1.16595,1.16665,CU,0.0106,0.0073,0,0.9336,1.164,1.1645,0.0027,0.0021,3,,0,,0
2017-01-09,1.16655,1.17175,1.1645,1.1712,CU,0.0072,0.0047,1,0.0759,1.1655,1.1662,0.0057,0.005,4,,0,,0
2017-01-10,1.17155,1.1761,1.16845,1.1692,CU,0.0076,0.0024,0,0.902,1.1662,1.1669,0.003,0.0023,5,,0,,1
2017-01-11,1.16875,1.1756,1.1586,1.1709,CU,0.017,0.0022,1,0.2765,1.167,1.1677,0.0039,0.0032,6,,0,,1
2017-01-12,1.17155,1.1816,1.1703,1.17565,CU,0.0113,0.0041,1,0.5265,1.1682,1.1692,0.0075,0.0065,7,,0,,0
2017-01-13,1.17415,1.1807,1.17265,1.17735,CU,0.0081,0.0032,1,0.4161,1.1694,1.1707,0.0079,0.0066,8,,0,,1
2017-01-17,1.17555,1.18505,1.1709,1.18395,CU,0.0141,0.0084,1,0.0777,1.1711,1.1729,0.0129,0.0111,9,,0,,1
2017-01-18,1.18415,1.18425,1.1758,1.1797,CU,0.0085,0.0045,0,0.5385,1.1721,1.174,0.0076,0.0057,10,,0,,1
2017-01-19,1.17605,1.18055,1.1717,1.17875,CU,0.0089,0.0027,1,0.2034,1.1728,1.1748,0.0059,0.0039,11,,0,,1
2017-01-20,1.17885,1.1838,1.17525,1.18355,CU,0.0086,0.0047,1,0.0292,1.1738,1.1761,0.0098,0.0075,12,,0,,1
2017-01-23,1.1833,1.1898,1.18305,1.18735,CU,0.0068,0.004,1,0.363,1.175,1.1778,0.0123,0.0095,13,,0,,1
2017-01-24,1.18955,1.1902,1.18465,1.18485,CU,0.0055,0.0047,0,0.964,1.1759,1.1788,0.009,0.006,14,,0,,1
2017-01-25,1.1857,1.18955,1.1837,1.1867,CU,0.0059,0.001,1,0.4872,1.1768,1.1799,0.0099,0.0068,15,,0,,1
2017-01-26,1.18735,1.189,1.1782,1.1823,CU,0.0108,0.005,0,0.6204,1.1772,1.1802,0.0051,0.0021,16,,0,,1
2017-01-27,1.18055,1.18495,1.17825,1.1823,CU,0.0067,0.0017,1,0.3955,1.1776,1.1805,0.0047,0.0018,17,,0,,0
2017-01-30,1.18345,1.1864,1.1743,1.18165,CU,0.0121,0.0018,0,0.3926,1.1779,1.1807,0.0038,0.001,18,,0,,0
2017-01-31,1.18225,1.19345,1.1807,1.19265,CU,0.0127,0.0104,1,0.0627,1.179,1.1823,0.0136,0.0104,19,1,1,Long,0
2017-02-01,1.1919,1.19295,1.1852,1.18985,CU,0.0077,0.002,0,0.4,1.1797,1.1833,0.0102,0.0066,20,,0,Long,1
2017-02-02,1.1889,1.19495,1.18765,1.1884,CU,0.0073,0.0005,0,0.8973,1.1803,1.184,0.0081,0.0044,21,,0,Long,1
2017-02-03,1.1883,1.1918,1.18305,1.1887,CU,0.0088,0.0004,1,0.3543,1.1808,1.1846,0.0079,0.0041,22,,0,Long,1
2017-02-06,1.19035,1.19085,1.1825,1.18675,CU,0.0083,0.0036,0,0.491,1.1812,1.1849,0.0055,0.0018,23,,0,Long,1
2017-02-07,1.18665,1.1869,1.1775,1.1814,CU,0.0094,0.0052,0,0.5851,1.1812,1.1844,0.0002,-0.003,1,,0,Long,0
2017-02-08,1.18005,1.1833,1.17585,1.1804,CU,0.0074,0.0003,1,0.3893,1.1812,1.1839,-0.0008,-0.0035,2,,0,Long,0
2017-02-09,1.1811,1.18265,1.17675,1.17755,CU,0.0059,0.0035,0,0.8644,1.181,1.1831,-0.0034,-0.0055,3,,0,Long,0
2017-02-10,1.177,1.17845,1.1724,1.1748,CU,0.006,0.0022,0,0.6033,1.1806,1.182,-0.0058,-0.0072,4,,0,Long,0
2017-02-13,1.1747,1.1775,1.1708,1.1715,CU,0.0067,0.0032,0,0.8955,1.1801,1.1807,-0.0086,-0.0092,5,,0,Long,0
2017-02-14,1.1711,1.17495,1.16765,1.16885,CU,0.0073,0.0023,0,0.8356,1.1795,1.1792,-0.0107,-0.0104,6,,0,Long,0
2017-02-15,1.1694,1.17245,1.16365,1.17055,CU,0.0088,0.0011,1,0.2159,1.179,1.1781,-0.0085,-0.0075,7,,0,Long,0
2017-02-16,1.1709,1.1794,1.17065,1.17905,CU,0.0088,0.0081,1,0.04,1.179,1.1782,0.0,0.0009,1,1,,Long,0
2017-02-17,1.17845,1.1791,1.1719,1.172,CU,0.0072,0.0065,0,0.9861,1.1786,1.1774,-0.0066,-0.0054,1,0,1,Short,1
2017-02-21,1.17335,1.1747,1.1639,1.16615,CU,0.0108,0.0072,0,0.7917,1.1779,1.176,-0.0117,-0.0098,2,,0,Short,1
2017-02-22,1.1648,1.1687,1.1607,1.1684,CU,0.008,0.0036,1,0.0375,1.1774,1.175,-0.009,-0.0066,3,,0,Short,0
2017-02-23,1.1668,1.17075,1.1649,1.1684,CU,0.0058,0.0016,1,0.4017,1.177,1.1742,-0.0086,-0.0058,4,,0,Short,0
2017-02-24,1.16895,1.17295,1.16675,1.1675,CU,0.0062,0.0014,0,0.879,1.1765,1.1734,-0.009,-0.0059,5,,0,Short,0
2017-02-27,1.16705,1.17415,1.16625,1.1699,CU,0.0079,0.0029,1,0.538,1.1762,1.1729,-0.0063,-0.003,6,,0,Short,0
2017-02-28,1.1697,1.1741,1.1676,1.1703,CU,0.0065,0.0006,1,0.5846,1.1759,1.1726,-0.0056,-0.0023,7,,0,Short,1
2017-03-01,1.1682,1.17,1.16235,1.16535,CU,0.0076,0.0028,0,0.6078,1.1754,1.1717,-0.01,-0.0063,8,,0,Short,1
2017-03-02,1.16565,1.166,1.16035,1.161,CU,0.0056,0.0047,0,0.885,1.1747,1.1703,-0.0137,-0.0093,9,,0,Short,0
2017-03-03,1.16135,1.17335,1.1611,1.1707,CU,0.0122,0.0093,1,0.2163,1.1745,1.1704,-0.0038,0.0003,1,,0,Short,0
2017-03-06,1.172,1.1748,1.16825,1.1695,CU,0.0066,0.0025,0,0.8092,1.1742,1.1703,-0.0047,-0.0008,1,,0,Short,1
2017-03-07,1.16885,1.17105,1.16655,1.1675,CU,0.0045,0.0013,0,0.7889,1.1739,1.1699,-0.0064,-0.0024,2,,0,Short,0
2017-03-08,1.1672,1.16815,1.1642,1.16555,CU,0.004,0.0016,0,0.6582,1.1735,1.1694,-0.0079,-0.0038,3,,0,Short,1
2017-03-09,1.16475,1.17215,1.1631,1.1699,CU,0.0091,0.0051,1,0.2486,1.1733,1.1694,-0.0034,0.0005,1,,0,Short,1
2017-03-10,1.1682,1.1806,1.1677,1.1799,CU,0.0129,0.0117,1,0.0543,1.1737,1.1708,0.0062,0.0091,2,1,1,Long,0
2017-03-13,1.17905,1.18205,1.1758,1.1766,CU,0.0063,0.0024,0,0.872,1.1738,1.1715,0.0028,0.0051,3,,0,Long,1
2017-03-14,1.1759,1.17685,1.17065,1.17175,CU,0.0062,0.0041,0,0.8226,1.1737,1.1715,-0.0019,0.0003,4,,0,Long,1
2017-03-15,1.1715,1.1848,1.17115,1.18105,CU,0.0137,0.0095,1,0.2747,1.174,1.1727,0.007,0.0083,5,,0,Long,1
2017-03-16,1.184,1.1877,1.1812,1.1855,CU,0.0065,0.0015,1,0.3385,1.1745,1.1743,0.011,0.0112,6,,0,Long,1
2017-03-17,1.18765,1.18885,1.18345,1.1848,CU,0.0054,0.0029,0,0.75,1.175,1.1756,0.0098,0.0092,7,,0,Long,1
2017-03-20,1.18465,1.18835,1.1831,1.18385,CU,0.0052,0.0008,0,0.8571,1.1754,1.1767,0.0085,0.0071,8,,0,Long,1
2017-03-21,1.18435,1.19255,1.18245,1.1905,CU,0.0101,0.0061,1,0.203,1.1761,1.1784,0.0144,0.0121,9,,0,Long,1
2017-03-22,1.1913,1.19295,1.188,1.19015,CU,0.005,0.0011,0,0.5657,1.1767,1.1799,0.0134,0.0103,10,,0,Long,1
2017-03-23,1.18975,1.1908,1.18715,1.1888,CU,0.0037,0.001,0,0.5479,1.1772,1.181,0.0116,0.0078,11,,0,Long,1
2017-03-24,1.1886,1.192,1.1863,1.1908,CU,0.0057,0.0022,1,0.2105,1.1778,1.1822,0.013,0.0086,12,,0,Long,1
2017-03-27,1.193,1.20065,1.193,1.19685,CU,0.0076,0.0038,1,0.4967,1.1786,1.184,0.0182,0.0129,13,,0,Long,1
2017-03-28,1.19645,1.19725,1.18985,1.1908,CU,0.0074,0.0056,0,0.8716,1.1792,1.1849,0.0116,0.0059,14,,0,Long,1
2017-03-29,1.19125,1.1926,1.184,1.1857,CU,0.0086,0.0055,0,0.8023,1.1795,1.185,0.0062,0.0007,15,,0,Long,1
2017-03-30,1.1867,1.1867,1.17675,1.1786,CU,0.01,0.0081,0,0.8141,1.1794,1.1842,-0.0008,-0.0056,1,,0,Long,0
2017-03-31,1.1778,1.1798,1.17465,1.17795,CU,0.0051,0.0002,1,0.3592,1.1794,1.1834,-0.0014,-0.0054,2,,0,Long,0
2017-04-03,1.1756,1.17765,1.17375,1.1762,CU,0.0039,0.0006,1,0.3718,1.1792,1.1825,-0.003,-0.0063,3,,0,Long,0
