date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,97.8075,97.8075,97.7875,97.8025,ED1,0.02,0.005,0,0.25,97.8025,97.8025,0.0,0.0,1,,0,,0
2017-01-04,97.7975,97.8025,97.7925,97.7925,ED1,0.01,0.005,0,1.0,97.7974,97.7972,-0.0049,-0.0047,1,,0,,0
2017-01-05,97.7925,97.8075,97.7875,97.7925,ED1,0.02,0.0,null,0.75,97.7957,97.7954,-0.0032,-0.0029,2,,0,,0
2017-01-06,97.7975,97.7975,97.7725,97.7825,ED1,0.025,0.015,0,0.6,97.7922,97.7915,-0.0097,-0.009,3,,0,,0
2017-01-09,97.7775,97.7825,97.7725,97.7825,ED1,0.01,0.005,1,0.0,97.7901,97.7892,-0.0076,-0.0067,4,,0,,0
2017-01-10,97.7775,97.7825,97.7725,97.7825,ED1,0.01,0.005,1,0.0,97.7887,97.7877,-0.0062,-0.0052,5,,0,,0
2017-01-11,97.7875,97.8075,97.7675,97.7775,ED1,0.04,0.01,0,0.75,97.7869,97.7856,-0.0094,-0.0081,6,,0,,0
2017-01-12,97.7825,97.8275,97.7825,97.7975,ED1,0.045,0.015,1,0.6667,97.7884,97.7879,0.0091,0.0096,1,,0,,0
2017-01-13,97.7975,97.8225,97.7425,97.7775,ED1,0.08,0.02,0,0.5625,97.787,97.786,-0.0095,-0.0085,1,,0,,1
2017-01-17,97.7775,97.8375,97.7775,97.8225,ED1,0.06,0.045,1,0.25,97.7912,97.7922,0.0313,0.0303,1,,0,,0
2017-01-18,97.8275,97.8275,97.7425,97.7475,ED1,0.085,0.08,0,0.9412,97.7864,97.7849,-0.0389,-0.0374,1,0,1,Short,1
2017-01-19,97.7475,97.7625,97.7125,97.7375,ED1,0.05,0.01,0,0.5,97.7814,97.7775,-0.0439,-0.04,2,,0,Short,0
2017-01-20,97.7375,97.7675,97.7175,97.7575,ED1,0.05,0.02,1,0.2,97.7791,97.7745,-0.0216,-0.017,3,,0,Short,0
2017-01-23,97.7575,97.8275,97.7525,97.8125,ED1,0.075,0.055,1,0.2,97.7821,97.7801,0.0304,0.0324,1,,0,Short,0
2017-01-24,97.8175,97.8175,97.7725,97.7825,ED1,0.045,0.035,0,0.7778,97.7822,97.7804,0.0003,0.0021,2,,0,Short,0
2017-01-25,97.7825,97.7925,97.7525,97.7675,ED1,0.04,0.015,0,0.625,97.7809,97.7786,-0.0134,-0.0111,1,,0,Short,1
2017-01-26,97.7625,97.7775,97.7375,97.7725,ED1,0.04,0.01,1,0.125,97.7803,97.7778,-0.0078,-0.0053,2,,0,Short,1
2017-01-27,97.7725,97.7825,97.7525,97.7725,ED1,0.03,0.0,null,0.3333,97.7797,97.777,-0.0072,-0.0045,3,,0,Short,1
2017-01-30,97.7775,97.8025,97.7675,97.7775,ED1,0.035,0.0,null,0.7143,97.7795,97.7771,-0.002,0.0004,1,,0,Short,0
