date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,97.7975,97.7975,97.7775,97.7875,ED,0.02,0.01,0,0.5,97.7875,97.7875,0.0,0.0,1,,0,,0
2017-01-04,97.7875,97.7925,97.7825,97.7825,ED,0.01,0.005,0,1.0,97.785,97.7848,-0.0025,-0.0023,1,,0,,0
2017-01-05,97.7825,97.7975,97.7775,97.7825,ED,0.02,0.0,null,0.75,97.7841,97.7839,-0.0016,-0.0014,2,,0,,0
2017-01-06,97.7875,97.7875,97.7625,97.7675,ED,0.025,0.02,0,0.8,97.7797,97.779,-0.0122,-0.0115,3,,0,,0
2017-01-09,97.7675,97.7725,97.7625,97.7675,ED,0.01,0.0,null,0.5,97.7771,97.776,-0.0096,-0.0085,4,,0,,0
2017-01-10,97.7675,97.7725,97.7625,97.7675,ED,0.01,0.0,null,0.5,97.7753,97.7741,-0.0078,-0.0066,5,,0,,0
2017-01-11,97.7675,97.7875,97.7475,97.7625,ED,0.04,0.005,0,0.625,97.7732,97.7717,-0.0107,-0.0092,6,,0,,0
2017-01-12,97.7625,97.8075,97.7625,97.7775,ED,0.045,0.015,1,0.6667,97.7739,97.7728,0.0036,0.0047,1,,0,,0
2017-01-13,97.7775,97.8025,97.7225,97.7625,ED,0.08,0.015,0,0.5,97.7724,97.771,-0.0099,-0.0085,1,,0,,1
2017-01-17,97.7575,97.8175,97.7575,97.7975,ED,0.06,0.04,1,0.3333,97.7754,97.7755,0.0221,0.022,1,,0,,0
2017-01-18,97.8075,97.8075,97.7225,97.7675,ED,0.085,0.04,0,0.4706,97.7745,97.7742,-0.007,-0.0067,1,,0,,1
2017-01-19,97.7275,97.7425,97.6925,97.7175,ED,0.05,0.01,0,0.5,97.7686,97.7653,-0.0511,-0.0478,2,,0,,1
2017-01-20,97.7175,97.7475,97.6975,97.7375,ED,0.05,0.02,1,0.2,97.7656,97.7611,-0.0281,-0.0236,3,,0,,0
2017-01-23,97.7375,97.8075,97.7325,97.7875,ED,0.075,0.05,1,0.2667,97.7676,97.765,0.0199,0.0225,1,,0,,0
2017-01-24,97.7975,97.7975,97.7525,97.7575,ED,0.045,0.04,0,0.8889,97.7667,97.7639,-0.0092,-0.0064,1,,0,,0
2017-01-25,97.7625,97.7725,97.7325,97.7375,ED,0.04,0.025,0,0.875,97.7643,97.7602,-0.0268,-0.0227,2,,0,,0
2017-01-26,97.7425,97.7575,97.7175,97.7525,ED,0.04,0.01,1,0.125,97.7634,97.7591,-0.0109,-0.0066,3,,0,,1
2017-01-27,97.7525,97.7625,97.7325,97.7575,ED,0.03,0.005,1,0.1667,97.7629,97.7589,-0.0054,-0.0014,4,,0,,1
2017-01-30,97.7575,97.7825,97.7475,97.7675,ED,0.035,0.01,1,0.4286,97.7633,97.76,0.0042,0.0075,1,,0,,0
2017-01-31,97.7625,97.7925,97.7575,97.7825,ED,0.035,0.02,1,0.2857,97.7646,97.7631,0.0179,0.0194,2,,0,,1
2017-02-01,97.7775,97.7775,97.7225,97.7675,ED,0.055,0.01,0,0.1818,97.7648,97.7637,0.0027,0.0038,3,,0,,1
2017-02-02,97.7725,97.7875,97.7625,97.7675,ED,0.025,0.005,0,0.8,97.765,97.7642,0.0025,0.0033,4,,0,,1
2017-02-03,97.7625,97.8025,97.7325,97.7575,ED,0.07,0.005,0,0.6429,97.7645,97.7633,-0.007,-0.0058,1,,0,,1
2017-02-06,97.7725,97.8025,97.7625,97.7975,ED,0.04,0.025,1,0.125,97.7666,97.7677,0.0309,0.0298,1,,0,,0
2017-02-07,97.7975,97.8075,97.7775,97.7975,ED,0.03,0.0,null,0.3333,97.7685,97.7716,0.029,0.0259,2,,0,,1
2017-02-08,97.7975,97.8375,97.7875,97.8175,ED,0.05,0.02,1,0.4,97.7715,97.7775,0.046,0.04,3,,0,,1
2017-02-09,97.8225,97.8275,97.7825,97.7875,ED,0.045,0.035,0,0.8889,97.7725,97.7788,0.015,0.0087,4,,0,,1
2017-02-10,97.7875,97.7875,97.7625,97.7725,ED,0.025,0.015,0,0.6,97.7725,97.778,0.0,-0.0055,1,,0,,1
2017-02-13,97.7675,97.7675,97.7525,97.7625,ED,0.015,0.005,0,0.3333,97.7719,97.776,-0.0094,-0.0135,2,,0,,0
2017-02-14,97.7625,97.7675,97.7075,97.7275,ED,0.06,0.035,0,0.6667,97.7694,97.7698,-0.0419,-0.0423,3,,0,,0
