date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,2186.25,2205.0,2185.0,2198.0,ES,20.0,11.75,1,0.35,2198.0,2198.0,0.0,0.0,1,,0,,0
2017-01-04,2198.25,2212.75,2196.5,2209.75,ES,16.25,11.5,1,0.1846,2203.9925,2204.2667,5.7575,5.4833,1,,0,,0
2017-01-05,2210.0,2211.5,2199.5,2209.75,ES,12.0,0.25,0,0.1458,2205.9889,2206.3432,3.7611,3.4068,2,,0,,0
2017-01-06,2209.75,2222.5,2203.75,2217.0,ES,18.75,7.25,1,0.2933,2208.909,2209.5622,8.091,7.4378,3,,0,,0
2017-01-09,2216.75,2220.75,2209.0,2210.5,ES,11.75,6.25,0,0.8723,2209.2532,2209.8029,1.2468,0.6971,4,,0,,0
2017-01-10,2210.0,2219.5,2205.0,2209.25,ES,14.5,0.75,0,0.7069,2209.2526,2209.6775,-0.0026,-0.4275,1,,0,,1
2017-01-11,2209.25,2217.25,2200.5,2216.0,ES,16.75,6.75,1,0.0746,2210.3359,2210.9789,5.6641,5.0211,1,1,1,Long,0
2017-01-12,2216.0,2216.0,2194.0,2209.0,ES,22.0,7.0,0,0.3182,2210.1447,2210.602,-1.1447,-1.602,1,,0,Long,1
2017-01-13,2210.0,2219.0,2208.25,2218.0,ES,10.75,8.0,1,0.093,2211.1635,2211.9243,6.8365,6.0757,1,1,,Long,0
2017-01-17,2215.75,2216.0,2202.75,2208.25,ES,13.25,7.5,0,0.5849,2210.817,2211.3011,-2.567,-3.0511,1,,0,Long,1
2017-01-18,2207.5,2214.0,2203.75,2212.0,ES,10.25,4.5,1,0.1951,2210.9473,2211.4146,1.0527,0.5854,1,,0,Long,0
2017-01-19,2211.0,2215.0,2198.5,2207.0,ES,16.5,4.0,0,0.4848,2210.5413,2210.7236,-3.5413,-3.7236,1,,0,Long,0
2017-01-20,2206.5,2218.25,2205.25,2211.5,ES,13.0,5.0,1,0.5192,2210.634,2210.8414,0.866,0.6586,1,,0,Long,0
2017-01-23,2211.5,2213.0,2197.25,2207.5,ES,15.75,4.0,0,0.3492,2210.3474,2210.3476,-2.8474,-2.8476,1,,0,Long,0
2017-01-24,2206.25,2226.0,2205.0,2220.0,ES,21.0,13.75,1,0.2857,2211.1863,2211.7423,8.8137,8.2577,1,,0,Long,0
2017-01-25,2221.25,2240.75,2220.25,2239.5,ES,20.5,18.25,1,0.061,2213.535,2215.6765,25.965,23.8235,2,,0,Long,1
