date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.1632,1.1657,1.1508,1.158,EX,0.0149,0.0052,0,0.5168,1.158,1.158,0.0,0.0,1,,0,,0
2017-01-04,1.1578,1.1665,1.1556,1.1632,EX,0.0109,0.0054,1,0.3028,1.1607,1.1608,0.0025,0.0024,1,,0,,0
2017-01-05,1.1651,1.178,1.1646,1.1756,EX,0.0134,0.0105,1,0.1791,1.1658,1.1664,0.0098,0.0092,2,,0,,0
2017-01-06,1.1768,1.1788,1.1688,1.1695,EX,0.01,0.0073,0,0.93,1.1668,1.1673,0.0027,0.0022,3,,0,,0
2017-01-09,1.1697,1.1745,1.1674,1.174,EX,0.0071,0.0043,1,0.0704,1.1684,1.169,0.0056,0.005,4,,0,,0
2017-01-10,1.1747,1.179,1.1713,1.1721,EX,0.0077,0.0026,0,0.8961,1.169,1.1697,0.0031,0.0024,5,,0,,1
2017-01-11,1.1717,1.1785,1.1614,1.1737,EX,0.0171,0.002,1,0.2807,1.1698,1.1706,0.0039,0.0031,6,,0,,1
2017-01-12,1.1745,1.1845,1.1732,1.1785,EX,0.0113,0.004,1,0.531,1.171,1.1721,0.0075,0.0064,7,,0,,0
2017-01-13,1.1774,1.1834,1.1755,1.1802,EX,0.0079,0.0028,1,0.4051,1.1722,1.1735,0.008,0.0067,8,,0,,1
2017-01-17,1.1783,1.1879,1.1738,1.1868,EX,0.0141,0.0085,1,0.078,1.174,1.1758,0.0128,0.011,9,,0,,1
2017-01-18,1.1868,1.1871,1.1785,1.1826,EX,0.0086,0.0042,0,0.5233,1.1749,1.1769,0.0077,0.0057,10,,0,,1
2017-01-19,1.1789,1.1833,1.1745,1.1816,EX,0.0088,0.0027,1,0.1932,1.1756,1.1776,0.006,0.004,11,,0,,1
2017-01-20,1.1817,1.1866,1.1782,1.1864,EX,0.0084,0.0047,1,0.0238,1.1766,1.179,0.0098,0.0074,12,,0,,1
2017-01-23,1.1862,1.1925,1.1861,1.1902,EX,0.0064,0.004,1,0.3594,1.1779,1.1806,0.0123,0.0096,13,,0,,1
2017-01-24,1.1926,1.1929,1.1875,1.1877,EX,0.0054,0.0049,0,0.963,1.1787,1.1816,0.009,0.0061,14,,0,,1
2017-01-25,1.1885,1.1924,1.1866,1.1895,EX,0.0058,0.001,1,0.5,1.1796,1.1828,0.0099,0.0067,15,,0,,1
2017-01-26,1.1904,1.1919,1.1811,1.1852,EX,0.0108,0.0052,0,0.6204,1.1801,1.1831,0.0051,0.0021,16,,0,,1
2017-01-27,1.1834,1.1877,1.1812,1.1852,EX,0.0065,0.0018,1,0.3846,1.1805,1.1834,0.0047,0.0018,17,,0,,0
2017-01-30,1.1864,1.1892,1.1772,1.1845,EX,0.012,0.0019,0,0.3917,1.1808,1.1835,0.0037,0.001,18,,0,,0
2017-01-31,1.1853,1.1964,1.1836,1.1955,EX,0.0128,0.0102,1,0.0703,1.1818,1.1851,0.0137,0.0104,19,1,1,Long,0
2017-02-01,1.1948,1.1957,1.1882,1.1927,EX,0.0075,0.0021,0,0.4,1.1826,1.1861,0.0101,0.0066,20,,0,Long,1
2017-02-02,1.1918,1.1977,1.1905,1.1913,EX,0.0072,0.0005,0,0.8889,1.1831,1.1868,0.0082,0.0045,21,,0,Long,1
2017-02-03,1.191,1.1946,1.1855,1.1915,EX,0.0091,0.0005,1,0.3407,1.1837,1.1874,0.0078,0.0041,22,,0,Long,1
2017-02-06,1.1932,1.1937,1.1853,1.1896,EX,0.0084,0.0036,0,0.4881,1.1841,1.1877,0.0055,0.0019,23,,0,Long,1
2017-02-07,1.1896,1.1897,1.1803,1.1843,EX,0.0094,0.0053,0,0.5745,1.1841,1.1873,0.0002,-0.003,1,,0,Long,0
2017-02-08,1.1827,1.1861,1.1788,1.1833,EX,0.0073,0.0006,1,0.3836,1.184,1.1868,-0.0007,-0.0035,2,,0,Long,0
2017-02-09,1.1842,1.1854,1.1797,1.1804,EX,0.0057,0.0038,0,0.8772,1.1838,1.1859,-0.0034,-0.0055,3,,0,Long,0
2017-02-10,1.1799,1.1813,1.1752,1.1777,EX,0.0061,0.0022,0,0.5902,1.1835,1.1849,-0.0058,-0.0072,4,,0,Long,0
2017-02-13,1.1773,1.1803,1.1736,1.1744,EX,0.0067,0.0029,0,0.8806,1.1829,1.1836,-0.0085,-0.0092,5,,0,Long,0
2017-02-14,1.1738,1.1777,1.1705,1.1717,EX,0.0072,0.0021,0,0.8333,1.1823,1.182,-0.0106,-0.0103,6,,0,Long,0
2017-02-15,1.1721,1.1752,1.1665,1.1734,EX,0.0087,0.0013,1,0.2069,1.1818,1.1809,-0.0084,-0.0075,7,,0,Long,0
2017-02-16,1.1738,1.1822,1.1736,1.1819,EX,0.0086,0.0081,1,0.0349,1.1818,1.1811,0.0001,0.0008,1,1,,Long,0
2017-02-17,1.1812,1.182,1.1747,1.1749,EX,0.0073,0.0063,0,0.9726,1.1815,1.1803,-0.0066,-0.0054,1,0,1,Short,1
2017-02-21,1.1763,1.1775,1.1668,1.169,EX,0.0107,0.0073,0,0.7944,1.1808,1.1789,-0.0118,-0.0099,2,,0,Short,1
2017-02-22,1.1665,1.1715,1.1636,1.1712,EX,0.0079,0.0047,1,0.038,1.1803,1.1779,-0.0091,-0.0067,3,,0,Short,0
2017-02-23,1.1697,1.1735,1.1678,1.1713,EX,0.0057,0.0016,1,0.386,1.1798,1.1771,-0.0085,-0.0058,4,,0,Short,0
