date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,179.7,179.975,178.375,178.675,FC1,1.6,1.025,0,0.8125,178.675,178.675,0.0,0.0,1,,0,,0
2017-01-04,178.55,178.875,177.1,177.6,FC1,1.775,0.95,0,0.7183,178.1267,178.1017,-0.5267,-0.5017,1,,0,,0
2017-01-05,177.8,178.45,177.375,177.475,FC1,1.075,0.325,0,0.907,177.9008,177.8643,-0.4258,-0.3893,2,,0,,0
2017-01-06,177.575,178.1,176.825,177.825,FC1,1.275,0.25,1,0.2157,177.8807,177.8525,-0.0557,-0.0275,3,,0,,0
2017-01-09,177.825,179.725,176.725,179.65,FC1,3.0,1.825,1,0.025,178.2634,178.3138,1.3866,1.3362,1,,0,,0
2017-01-10,180.3,183.8,179.475,183.375,FC1,4.325,3.075,1,0.0983,179.2027,179.4615,4.1723,3.9135,2,,0,,1
2017-01-11,183.35,184.75,182.425,182.6,FC1,2.325,0.75,0,0.9247,179.7482,180.1075,2.8518,2.4925,3,,0,,1
2017-01-12,182.45,182.6,179.3,181.45,FC1,3.3,1.0,0,0.3485,179.9919,180.3632,1.4581,1.0868,4,,0,,1
2017-01-13,181.45,183.25,180.575,183.025,FC1,2.675,1.575,1,0.0841,180.3853,180.8389,2.6397,2.1861,5,,0,,1
2017-01-17,183.275,183.95,182.9,183.675,FC1,1.05,0.4,1,0.2619,180.7765,181.32,2.8985,2.355,6,,0,,1
2017-01-18,183.6,184.1,182.6,183.475,FC1,1.5,0.125,0,0.4167,181.0738,181.6699,2.4012,1.8051,7,,0,,1
2017-01-19,183.625,184.425,182.9,183.925,FC1,1.525,0.3,1,0.3279,181.3671,182.0229,2.5579,1.9021,8,,0,,1
2017-01-20,183.9,185.55,182.45,185.325,FC1,3.1,1.425,1,0.0726,181.7498,182.524,3.5752,2.801,9,,0,,1
2017-01-23,185.475,185.5,184.3,184.575,FC1,1.2,0.9,0,0.7708,182.0082,182.8271,2.5668,1.7479,10,,0,,1
2017-01-24,184.4,185.125,182.975,183.875,FC1,2.15,0.525,0,0.5814,182.1704,182.9785,1.7046,0.8965,11,,0,,1
2017-01-25,183.675,184.7,183.0,183.5,FC1,1.7,0.175,0,0.7059,182.2807,183.0524,1.2193,0.4476,12,,0,,1
2017-01-26,183.4,183.4,180.075,180.75,FC1,3.325,2.65,0,0.797,182.1591,182.7315,-1.4091,-1.9815,1,,0,,0
2017-01-27,180.7,181.375,179.9,180.975,FC1,1.475,0.275,1,0.2712,182.0686,182.4901,-1.0936,-1.5151,2,,0,,0
2017-01-30,179.0,179.0,177.3,177.3,FC1,1.7,1.7,0,1.0,181.7173,181.7856,-4.4173,-4.4856,3,,0,,0
2017-01-31,177.6,178.325,176.125,176.35,FC1,2.2,1.25,0,0.8977,181.3351,181.0556,-4.9851,-4.7056,4,,0,,0
2017-02-01,175.9,177.475,174.875,176.15,FC1,2.6,0.25,1,0.5096,180.9774,180.4029,-4.8274,-4.2529,5,,0,,0
