date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2013-09-03,231.075,232.225,230.975,231.225,FC,1.25,231.225,231.225,231.225,231.225,231.225,0,0,,
2013-09-04,231.625,231.75,230.4,231.375,FC,1.35,231.3015,231.303,231.3083,231.3188,231.225,0,0,,
2013-09-05,231.3,231.675,230.5,230.925,FC,1.175,231.1709,231.1668,231.1512,231.1179,230.925,0,0,,
2013-09-06,230.725,230.8,229.75,230.15,FC,1.05,230.9002,230.8813,230.8121,230.6731,230.15,1,0,,
2013-09-09,230.225,230.3,229.375,230.175,FC,0.925,230.7433,230.7166,230.6225,230.457,230.15,2,0,,
2013-09-10,230.075,230.325,229.725,229.9,FC,0.6,230.5883,230.5519,230.4267,230.2233,229.9,3,0,,
2013-09-11,229.9,231.35,229.475,230.35,FC,1.875,230.5501,230.5157,230.4073,230.2755,229.9,4,0,,
2013-09-12,230.15,231.45,230.15,230.725,FC,1.3,230.5751,230.5497,230.4836,230.4583,229.9,5,0,,enterL2
2013-09-13,231.075,231.425,230.725,231.4,FC,0.7,230.6821,230.6771,230.6953,230.8388,229.9,0,1,,
2013-09-16,231.65,232.025,231.25,231.625,FC,0.775,230.7943,230.8095,230.9036,231.1552,229.9,0,2,,
2013-09-17,231.625,231.625,229.875,230.0,FC,1.75,230.7068,230.7031,230.7059,230.6914,229.9,0,3,,
2013-09-18,230.025,230.825,229.05,230.425,FC,1.775,230.6778,230.6685,230.6456,230.5846,230.0,1,0,,
2013-09-19,230.875,231.525,230.7,231.5,FC,0.825,230.7573,230.7674,230.8264,230.9513,230.0,2,0,,
2013-09-20,231.25,232.975,231.1,232.35,FC,1.875,230.9029,230.948,231.1451,231.5112,230.0,0,1,,
2013-09-23,232.95,234.475,232.9,234.225,FC,1.575,231.1917,231.3086,231.7836,232.5972,230.0,0,2,,
2013-09-24,234.3,236.7,234.3,236.6,FC,2.4,231.6403,231.8723,232.7748,234.1988,230.0,0,3,,
2013-09-25,236.15,236.85,235.7,235.9,FC,1.15,231.9788,232.289,233.4142,234.8794,230.425,0,4,,
2013-09-26,236.0,237.1,235.875,237.0,FC,1.225,232.3625,232.7638,234.1445,235.7277,231.5,0,5,,
2013-09-27,236.425,237.625,236.35,236.775,FC,1.275,232.6875,233.1586,234.6783,236.1467,232.35,0,6,,
2013-09-30,236.35,237.275,235.975,237.05,FC,1.3,232.9981,233.5336,235.1582,236.508,234.225,0,7,,
2013-10-01,236.6,238.225,236.4,237.9,FC,1.825,233.3364,233.9463,235.7117,237.0648,235.9,0,8,,
2013-10-02,237.95,238.5,237.425,238.05,FC,1.075,233.6522,234.3275,236.1828,237.4589,235.9,0,9,,
2013-10-03,238.075,238.075,237.175,237.475,FC,0.9,233.9014,234.6153,236.4428,237.4653,236.775,0,10,,
2013-10-04,237.65,237.975,237.05,237.8,FC,0.925,234.1491,234.9023,236.7155,237.5992,236.775,0,11,,
2013-10-07,237.45,237.975,236.975,237.325,FC,1.0,234.3462,235.1178,236.8379,237.4895,237.05,0,12,,
2013-10-08,237.475,238.4,237.225,238.175,FC,1.175,234.5784,235.3865,237.1061,237.7637,237.325,0,13,,
2013-10-09,238.225,238.325,237.35,238.225,FC,0.975,234.7949,235.6333,237.3304,237.9482,237.325,0,14,,
2013-10-10,238.15,239.95,238.05,239.775,FC,1.9,235.0848,235.9898,237.8203,238.6789,237.325,0,15,,
2013-10-11,239.8,241.575,239.625,241.125,FC,1.95,235.4298,236.4278,238.4823,239.6574,237.325,0,16,,
2013-10-14,241.45,241.8,240.35,241.25,FC,1.45,235.7564,236.8357,239.0365,240.2944,237.325,0,17,,
2013-10-15,240.45,240.65,239.0,239.35,FC,1.65,235.9547,237.0467,239.0993,239.9167,238.175,0,18,,
2013-10-16,239.075,240.1,239.075,239.575,FC,1.025,236.1513,237.2575,239.1945,239.78,238.225,0,19,,
2013-10-17,239.775,240.775,237.675,238.75,FC,3.1,236.2904,237.3811,239.1055,239.368,238.75,0,20,,enterS3
2013-10-18,238.375,239.275,237.925,238.7,FC,1.35,236.4175,237.4897,239.0244,239.1008,238.7,0,21,,
2013-10-21,238.525,239.1,238.3,238.525,FC,0.8,236.5272,237.5745,238.9245,238.8705,238.525,0,22,,
2013-10-22,238.425,240.85,237.825,240.125,FC,3.025,236.7121,237.7823,239.1646,239.3723,238.525,0,23,,
2013-10-23,240.4,240.95,239.5,239.675,FC,1.45,236.8625,237.9359,239.2667,239.4934,238.525,0,24,,
2013-10-24,239.825,239.975,238.75,238.8,FC,1.225,236.9597,238.0057,239.1734,239.216,238.525,0,25,,
2013-10-25,239.2,239.625,238.1,238.15,FC,1.525,237.0188,238.0173,238.9687,238.7896,238.15,0,26,,
2013-10-28,238.85,239.225,238.25,239.025,FC,0.975,237.1174,238.0981,238.9799,238.8838,238.15,0,27,,enterL2
2013-10-29,238.95,239.575,238.4,239.0,FC,1.175,237.209,238.1702,238.9839,238.9303,238.15,0,28,,
2013-10-30,238.95,239.0,236.825,236.9,FC,2.175,237.1941,238.069,238.5671,238.1182,236.9,0,29,,
2013-10-31,236.925,237.45,235.75,235.775,FC,1.7,237.1263,237.8867,238.0087,237.1809,235.775,1,0,,
2013-11-01,236.45,236.8,235.55,235.575,FC,1.25,237.0528,237.7034,237.5219,236.5385,235.575,2,0,,
2013-11-04,235.8,236.175,235.3,235.95,FC,0.875,237.001,237.5648,237.2075,236.3031,235.575,3,0,,
2013-11-05,235.9,237.525,235.8,237.175,FC,1.725,237.0091,237.534,237.201,236.6519,235.575,4,0,,
2013-11-06,237.4,237.95,237.05,237.65,FC,0.9,237.0388,237.5431,237.2908,237.0511,235.575,0,1,,enterL2
2013-11-07,237.75,237.9,236.85,237.225,FC,1.05,237.0473,237.5181,237.2776,237.1207,235.575,0,2,,
2013-11-08,237.325,238.3,236.5,236.525,FC,1.8,237.0235,237.4402,237.1271,236.8824,235.575,0,3,,
2013-11-11,236.85,237.1,236.25,236.275,FC,0.85,236.9896,237.3489,236.9567,236.6394,235.95,1,0,,
2013-11-12,236.725,237.4,236.3,236.3,FC,1.1,236.9585,237.2668,236.8253,236.5037,236.275,2,0,,
2013-11-13,236.325,237.125,236.15,236.75,FC,0.975,236.9491,237.2264,236.8103,236.6022,236.275,3,0,,
2013-11-14,236.825,237.55,236.825,237.3,FC,0.725,236.9648,237.2322,236.9082,236.8813,236.275,4,0,,enterL2
2013-11-15,237.35,238.1,237.175,237.925,FC,0.925,237.0073,237.2862,237.1116,237.2988,236.275,0,1,,
2013-11-18,238.075,238.275,236.2,236.4,FC,2.075,236.9805,237.2172,236.9693,236.9393,236.275,0,2,,
2013-11-19,236.4,236.45,233.925,234.5,FC,2.525,236.8717,237.0058,236.4754,235.9636,234.5,1,0,,
2013-11-20,234.55,235.225,234.375,234.85,FC,0.85,236.7834,236.8382,236.1503,235.5181,234.5,2,0,,
2013-11-21,234.925,235.7,234.525,235.475,FC,1.175,236.7265,236.7323,236.0153,235.5009,234.5,3,0,,
2013-11-22,235.475,235.8,235.3,235.6,FC,0.5,236.6777,236.6444,235.9322,235.5405,234.5,4,0,,
2013-11-25,235.9,236.05,234.85,234.9,FC,1.2,236.601,236.5091,235.7258,235.2843,234.5,5,0,,
2013-11-26,234.875,236.8,234.875,236.475,FC,1.925,236.5956,236.5065,235.8756,235.7606,234.5,6,0,,enterL3
2013-11-27,236.575,237.6,236.375,237.425,FC,1.225,236.6311,236.5776,236.1855,236.4264,234.85,7,0,,
2013-11-29,237.65,237.8,237.375,237.575,FC,0.425,236.6714,236.6549,236.4634,236.8858,234.9,0,1,,
2013-12-02,237.75,237.975,237.325,237.45,FC,0.65,236.7045,236.7164,236.6607,237.1115,234.9,0,2,,
2013-12-03,237.5,237.8,236.9,236.95,FC,0.9,236.7149,236.7345,236.7186,237.0469,234.9,0,3,,
2013-12-04,236.85,237.5,236.6,237.15,FC,0.9,236.7332,236.7666,236.8049,237.0881,236.475,0,4,,
2013-12-05,237.2,237.975,236.15,236.225,FC,1.825,236.7118,236.7247,236.6889,236.7429,236.225,0,5,,enterS2
2013-12-06,236.35,236.825,235.875,236.575,FC,0.95,236.7061,236.7132,236.6661,236.6757,236.225,1,0,,
2013-12-09,236.625,237.475,236.575,237.25,FC,0.9,236.7289,236.7546,236.7829,236.9054,236.225,2,0,,
2013-12-10,237.2,237.775,236.95,237.65,FC,0.825,236.7673,236.8238,236.9563,237.2033,236.225,0,1,,
2013-12-11,237.6,237.9,237.375,237.775,FC,0.525,236.8093,236.8972,237.12,237.432,236.225,0,2,,
2013-12-12,237.65,239.525,237.6,239.175,FC,1.925,236.9076,237.0729,237.531,238.1292,236.225,0,3,,
2013-12-13,239.225,239.7,238.525,239.175,FC,1.175,237.0016,237.2351,237.8598,238.5475,236.575,0,4,,
2013-12-16,238.975,240.025,238.775,240.0,FC,1.25,237.1256,237.4484,238.2879,239.1285,237.25,0,5,,
2013-12-17,239.875,240.075,238.475,239.0,FC,1.6,237.2029,237.568,238.4303,239.0771,237.65,0,6,,
2013-12-18,238.975,238.975,238.0,238.475,FC,0.975,237.2553,237.6379,238.4392,238.8363,237.775,0,7,,
2013-12-19,238.625,239.3,238.375,239.175,FC,0.925,237.3342,237.7564,238.5864,238.9718,238.475,0,8,,
2013-12-20,239.225,239.925,238.825,239.55,FC,1.1,237.4251,237.8947,238.7791,239.2031,238.475,0,9,,
2013-12-23,239.275,239.925,239.275,239.725,FC,0.65,237.5193,238.0357,238.9683,239.4118,238.475,0,10,,
2013-12-24,239.625,239.875,239.175,239.275,FC,0.7,237.5911,238.1312,239.0296,239.3571,238.475,0,11,,
2013-12-26,239.45,240.075,239.375,239.825,FC,0.7,237.6823,238.2617,239.1887,239.5443,238.475,0,12,,
2013-12-27,239.825,241.125,239.825,240.425,FC,1.3,237.794,238.4283,239.436,239.8966,239.175,0,13,,
