date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1323.3,1337.9,1318.4,1331.3,GC1,19.5,8.0,1,0.3385,1331.3,1331.3,0.0,0.0,1,,0,,0
2017-01-04,1331.5,1340.5,1328.6,1336.1,GC1,11.9,4.6,1,0.3697,1333.748,1333.86,2.352,2.24,1,,0,,0
2017-01-05,1336.5,1357.8,1335.5,1352.8,GC1,22.3,16.3,1,0.2242,1340.3544,1341.0325,12.4456,11.7675,2,,0,,0
2017-01-06,1352.9,1355.7,1343.0,1344.8,GC1,12.7,8.1,0,0.8583,1341.5333,1342.1706,3.2667,2.6294,3,,0,,0
2017-01-09,1344.8,1358.3,1344.1,1353.1,GC1,14.2,8.3,1,0.3662,1344.0353,1344.9753,9.0647,8.1247,4,,0,,0
2017-01-10,1353.2,1362.5,1352.1,1359.5,GC1,10.4,6.3,1,0.2885,1346.8773,1348.2692,12.6227,11.2308,5,,0,,1
2017-01-11,1360.0,1370.4,1348.9,1363.4,GC1,21.5,3.4,1,0.3256,1349.5301,1351.3835,13.8699,12.0165,6,,0,,1
2017-01-12,1363.0,1379.1,1362.6,1367.0,GC1,16.5,4.0,1,0.7333,1352.0316,1354.3574,14.9684,12.6426,7,,0,,1
2017-01-13,1366.7,1373.7,1359.4,1369.2,GC1,14.3,2.5,1,0.3147,1354.2583,1357.0104,14.9417,12.1896,8,,0,,1
2017-01-17,1371.3,1390.8,1369.9,1388.6,GC1,20.9,17.3,1,0.1053,1358.3428,1362.3687,30.2572,26.2313,9,,0,,1
2017-01-18,1388.7,1389.6,1373.7,1375.6,GC1,15.9,13.1,0,0.8805,1360.2438,1364.5172,15.3562,11.0828,10,,0,,1
2017-01-19,1375.0,1378.3,1367.3,1376.2,GC1,11.0,1.2,1,0.1909,1361.885,1366.3459,14.315,9.8541,11,,0,,1
2017-01-20,1376.7,1386.7,1370.1,1382.1,GC1,16.6,5.4,1,0.2771,1363.8399,1368.7365,18.2601,13.3635,12,,0,,1
