date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,21.04,21.04,21.04,21.04,HC,0.0,0.0,null,,21.04,21.04,0.0,0.0,1,,0,,0
2017-01-04,20.8,20.8,20.8,20.8,HC,0.0,0.0,null,,20.9176,20.912,-0.1176,-0.112,1,,0,,0
2017-01-05,20.35,20.35,20.35,20.35,HC,0.0,0.0,null,,20.7208,20.6992,-0.3708,-0.3492,2,,0,,0
2017-01-06,20.49,20.49,20.49,20.49,HC,0.0,0.0,null,,20.6596,20.636,-0.1696,-0.146,3,,0,,0
2017-01-09,19.77,19.77,19.77,19.77,HC,0.0,0.0,null,,20.4672,20.4138,-0.6972,-0.6438,4,,0,,0
2017-01-10,19.81,19.81,19.81,19.81,HC,0.0,0.0,null,,20.3464,20.2768,-0.5364,-0.4668,5,,0,,0
2017-01-11,20.1,20.1,20.1,20.1,HC,0.0,0.0,null,,20.3068,20.2404,-0.2068,-0.1404,6,,0,,0
2017-01-12,20.32,20.32,20.32,20.32,HC,0.0,0.0,null,,20.3087,20.2556,0.0113,0.0644,1,,0,,0
2017-01-13,19.94,19.94,19.94,19.94,HC,0.0,0.0,null,,20.2609,20.1992,-0.3209,-0.2592,1,,0,,0
2017-01-17,19.71,19.71,19.71,19.71,HC,0.0,0.0,null,,20.1954,20.1162,-0.4854,-0.4062,2,,0,,1
2017-01-18,19.46,19.46,19.46,19.46,HC,0.0,0.0,null,,20.1144,20.0097,-0.6544,-0.5497,3,,0,,0
2017-01-19,19.55,19.55,19.55,19.55,HC,0.0,0.0,null,,20.0563,19.9377,-0.5063,-0.3877,4,,0,,0
2017-01-20,19.66,19.66,19.66,19.66,HC,0.0,0.0,null,,20.018,19.8956,-0.358,-0.2356,5,,0,,0
2017-01-23,19.41,19.41,19.41,19.41,HC,0.0,0.0,null,,19.9624,19.8238,-0.5524,-0.4138,6,,0,,0
2017-01-24,19.53,19.53,19.53,19.53,HC,0.0,0.0,null,,19.9248,19.7813,-0.3948,-0.2513,7,,0,,0
2017-01-25,18.72,18.72,18.72,18.72,HC,0.0,0.0,null,,19.8249,19.6309,-1.1049,-0.9109,8,,0,,1
2017-01-26,18.88,18.88,18.88,18.88,HC,0.0,0.0,null,,19.7498,19.5262,-0.8698,-0.6462,9,,0,,0
2017-01-27,18.51,18.51,18.51,18.51,HC,0.0,0.0,null,,19.6551,19.3866,-1.1451,-0.8766,10,,0,,0
2017-01-30,18.63,18.63,18.63,18.63,HC,0.0,0.0,null,,19.5796,19.2839,-0.9496,-0.6539,11,,0,,0
2017-01-31,18.72,18.72,18.72,18.72,HC,0.0,0.0,null,,19.5183,19.2082,-0.7983,-0.4882,12,,0,,0
2017-02-01,19.47,19.47,19.47,19.47,HC,0.0,0.0,null,,19.515,19.243,-0.045,0.227,1,,0,,0
2017-02-02,18.88,18.88,18.88,18.88,HC,0.0,0.0,null,,19.4725,19.1951,-0.5925,-0.3151,1,,0,,1
2017-02-03,19.14,19.14,19.14,19.14,HC,0.0,0.0,null,,19.4508,19.1879,-0.3108,-0.0479,2,,0,,1
2017-02-06,18.71,18.71,18.71,18.71,HC,0.0,0.0,null,,19.4037,19.1256,-0.6937,-0.4156,3,,0,,1
2017-02-07,19.0,19.0,19.0,19.0,HC,0.0,0.0,null,,19.3787,19.1093,-0.3787,-0.1093,4,,0,,0
2017-02-08,19.41,19.41,19.41,19.41,HC,0.0,0.0,null,,19.3806,19.1481,0.0294,0.2619,1,,0,,0
2017-02-09,18.98,18.98,18.98,18.98,HC,0.0,0.0,null,,19.3568,19.1265,-0.3768,-0.1465,1,,0,,1
2017-02-10,19.15,19.15,19.15,19.15,HC,0.0,0.0,null,,19.3447,19.1295,-0.1947,0.0205,1,,0,,0
2017-02-13,18.46,18.46,18.46,18.46,HC,0.0,0.0,null,,19.2942,19.0441,-0.8342,-0.5841,1,,0,,1
2017-02-14,18.64,18.64,18.64,18.64,HC,0.0,0.0,null,,19.2575,18.9926,-0.6175,-0.3526,2,,0,,0
2017-02-15,18.41,18.41,18.41,18.41,HC,0.0,0.0,null,,19.2107,18.9186,-0.8007,-0.5086,3,,0,,0
2017-02-16,18.1,18.1,18.1,18.1,HC,0.0,0.0,null,,19.1504,18.8148,-1.0504,-0.7148,4,,0,,0
2017-02-17,18.37,18.37,18.37,18.37,HC,0.0,0.0,null,,19.1087,18.7585,-0.7387,-0.3885,5,,0,,0
2017-02-21,17.97,17.97,17.97,17.97,HC,0.0,0.0,null,,19.0486,18.6589,-1.0786,-0.6889,6,,0,,0
2017-02-22,18.13,18.13,18.13,18.13,HC,0.0,0.0,null,,19.0008,18.5922,-0.8708,-0.4622,7,,0,,0
2017-02-23,18.39,18.39,18.39,18.39,HC,0.0,0.0,null,,18.9694,18.5667,-0.5794,-0.1767,8,,0,,0
2017-02-24,18.11,18.11,18.11,18.11,HC,0.0,0.0,null,,18.9258,18.5092,-0.8158,-0.3992,9,,0,,1
2017-02-27,18.06,18.06,18.06,18.06,HC,0.0,0.0,null,,18.8823,18.4527,-0.8223,-0.3927,10,,0,,0
2017-02-28,17.75,17.75,17.75,17.75,HC,0.0,0.0,null,,18.8261,18.3644,-1.0761,-0.6144,11,,0,,1
2017-03-01,17.26,17.26,17.26,17.26,HC,0.0,0.0,null,,18.7491,18.2257,-1.4891,-0.9657,12,,0,,0
2017-03-02,16.59,16.59,16.59,16.59,HC,0.0,0.0,null,,18.6441,18.0203,-2.0541,-1.4303,13,,0,,0
2017-03-03,16.48,16.48,16.48,16.48,HC,0.0,0.0,null,,18.5398,17.8271,-2.0598,-1.3471,14,,0,,0
2017-03-06,17.07,17.07,17.07,17.07,HC,0.0,0.0,null,,18.4696,17.7322,-1.3996,-0.6622,15,,0,,0
2017-03-07,17.52,17.52,17.52,17.52,HC,0.0,0.0,null,,18.4246,17.7056,-0.9046,-0.1856,16,,0,,0
2017-03-08,17.98,17.98,17.98,17.98,HC,0.0,0.0,null,,18.4037,17.7399,-0.4237,0.2401,1,,0,,1
2017-03-09,17.84,17.84,17.84,17.84,HC,0.0,0.0,null,,18.3774,17.7525,-0.5374,0.0875,2,,0,,1
2017-03-10,17.54,17.54,17.54,17.54,HC,0.0,0.0,null,,18.3387,17.7259,-0.7987,-0.1859,1,,0,,1
2017-03-13,17.51,17.51,17.51,17.51,HC,0.0,0.0,null,,18.3006,17.6988,-0.7906,-0.1888,2,,0,,1
2017-03-14,17.82,17.82,17.82,17.82,HC,0.0,0.0,null,,18.2787,17.714,-0.4587,0.106,1,,0,,0
2017-03-15,17.54,17.54,17.54,17.54,HC,0.0,0.0,null,,18.2452,17.6922,-0.7052,-0.1522,1,,0,,0
2017-03-16,17.31,17.31,17.31,17.31,HC,0.0,0.0,null,,18.203,17.6444,-0.893,-0.3344,2,,0,,0
2017-03-17,17.46,17.46,17.46,17.46,HC,0.0,0.0,null,,18.1697,17.6213,-0.7097,-0.1613,3,,0,,0
2017-03-20,18.25,18.25,18.25,18.25,HC,0.0,0.0,null,,18.1733,17.7,0.0767,0.55,1,,0,,0
2017-03-21,18.68,18.68,18.68,18.68,HC,0.0,0.0,null,,18.1958,17.8226,0.4842,0.8574,2,,0,,1
