date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1.735,1.7684,1.6758,1.6873,HO1,0.0926,0.0477,0,0.8758,1.6873,1.6873,0.0,0.0,1,,0,,0
2017-01-04,1.6837,1.7023,1.6687,1.6908,HO1,0.0336,0.0071,1,0.3423,1.6891,1.6892,0.0017,0.0016,1,,0,,0
2017-01-05,1.6934,1.7092,1.6739,1.7003,HO1,0.0353,0.0069,1,0.2521,1.693,1.6934,0.0073,0.0069,2,,0,,0
2017-01-06,1.7008,1.7183,1.6814,1.7022,HO1,0.0369,0.0014,1,0.4363,1.6954,1.696,0.0068,0.0062,3,,0,,0
2017-01-09,1.7048,1.7068,1.6375,1.6378,HO1,0.0693,0.067,0,0.9957,1.683,1.6811,-0.0452,-0.0433,1,,0,,0
2017-01-10,1.6416,1.6543,1.6117,1.6136,HO1,0.0426,0.028,0,0.9554,1.6702,1.6658,-0.0566,-0.0522,2,,0,,0
2017-01-11,1.6143,1.676,1.6101,1.6611,HO1,0.0659,0.0468,1,0.2261,1.6687,1.6648,-0.0076,-0.0037,3,,0,,0
2017-01-12,1.6609,1.6938,1.657,1.6787,HO1,0.0368,0.0178,1,0.4103,1.6702,1.6675,0.0085,0.0112,1,,0,,0
2017-01-13,1.6783,1.6816,1.6532,1.662,HO1,0.0284,0.0163,0,0.6901,1.6691,1.6665,-0.0071,-0.0045,1,,0,,0
2017-01-17,1.6644,1.7011,1.6508,1.6594,HO1,0.0503,0.005,0,0.829,1.668,1.6653,-0.0086,-0.0059,2,,0,,1
2017-01-18,1.6564,1.6664,1.6125,1.6279,HO1,0.0539,0.0285,0,0.7143,1.6635,1.6592,-0.0356,-0.0313,3,,0,,1
2017-01-19,1.628,1.6437,1.6222,1.6259,HO1,0.0215,0.0021,0,0.8279,1.6597,1.654,-0.0338,-0.0281,4,,0,,0
2017-01-20,1.6269,1.6737,1.6246,1.654,HO1,0.0491,0.0271,1,0.4012,1.6591,1.654,-0.0051,0.0,1,,0,,0
2017-01-23,1.6514,1.6609,1.6329,1.6429,HO1,0.028,0.0085,0,0.6429,1.6576,1.6524,-0.0147,-0.0095,1,,0,,0
2017-01-24,1.6445,1.6603,1.6401,1.6416,HO1,0.0202,0.0029,0,0.9257,1.6562,1.6508,-0.0146,-0.0092,2,,0,,0
2017-01-25,1.6429,1.6471,1.6144,1.6311,HO1,0.0327,0.0118,0,0.4893,1.6542,1.648,-0.0231,-0.0169,3,,0,,1
2017-01-26,1.6293,1.665,1.6244,1.6533,HO1,0.0406,0.024,1,0.2882,1.6541,1.6488,-0.0008,0.0045,1,,0,,1
2017-01-27,1.6542,1.663,1.6093,1.6285,HO1,0.0537,0.0257,0,0.6425,1.6521,1.646,-0.0236,-0.0175,1,,0,,0
2017-01-30,1.6292,1.6401,1.6143,1.6187,HO1,0.0258,0.0105,0,0.8295,1.6497,1.6423,-0.031,-0.0236,2,,0,,0
2017-01-31,1.6173,1.6561,1.6107,1.6252,HO1,0.0454,0.0079,1,0.6806,1.6479,1.64,-0.0227,-0.0148,3,,0,,0
2017-02-01,1.6251,1.6694,1.6191,1.6659,HO1,0.0503,0.0408,1,0.0696,1.6492,1.6434,0.0167,0.0225,1,1,1,Long,0
2017-02-02,1.6653,1.6882,1.6435,1.6519,HO1,0.0447,0.0134,0,0.8121,1.6494,1.6445,0.0025,0.0074,2,,0,Long,1
2017-02-03,1.653,1.669,1.6365,1.6634,HO1,0.0325,0.0104,1,0.1723,1.6503,1.647,0.0131,0.0164,3,,0,Long,1
2017-02-06,1.6668,1.6742,1.626,1.6325,HO1,0.0482,0.0343,0,0.8651,1.6491,1.6451,-0.0166,-0.0126,1,,0,Long,1
2017-02-07,1.6349,1.6358,1.6024,1.6092,HO1,0.0334,0.0257,0,0.7964,1.6467,1.6405,-0.0375,-0.0313,2,,0,Long,1
2017-02-08,1.6068,1.6444,1.5972,1.6312,HO1,0.0472,0.0244,1,0.2797,1.6457,1.6393,-0.0145,-0.0081,3,,0,Long,0
2017-02-09,1.6304,1.6568,1.6289,1.6365,HO1,0.0279,0.0061,1,0.7276,1.6452,1.6389,-0.0087,-0.0024,4,,0,Long,0
2017-02-10,1.6346,1.6702,1.6324,1.6606,HO1,0.0378,0.026,1,0.254,1.6461,1.6417,0.0145,0.0189,1,,0,Long,0
2017-02-13,1.6605,1.6668,1.6133,1.6208,HO1,0.0535,0.0397,0,0.8598,1.6446,1.639,-0.0238,-0.0182,1,,0,Long,1
2017-02-14,1.6208,1.6503,1.6182,1.6277,HO1,0.0321,0.0069,1,0.704,1.6437,1.6376,-0.016,-0.0099,2,,0,Long,1
2017-02-15,1.6264,1.6411,1.6145,1.6251,HO1,0.0266,0.0013,0,0.6015,1.6427,1.636,-0.0176,-0.0109,3,,0,Long,0
2017-02-16,1.6249,1.6429,1.6071,1.6217,HO1,0.0358,0.0032,0,0.5922,1.6415,1.6342,-0.0198,-0.0125,4,,0,Long,0
2017-02-17,1.6214,1.6323,1.6054,1.6313,HO1,0.0269,0.0099,1,0.0372,1.641,1.6338,-0.0097,-0.0025,5,,0,Long,0
2017-02-21,1.6347,1.6683,1.63,1.6355,HO1,0.0383,0.0008,1,0.8564,1.6407,1.634,-0.0052,0.0015,1,,0,Long,1
