date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.9396,0.94065,0.9294,0.936,JY1,0.0112,0.0036,0,0.4133,0.936,0.936,0.0,0.0,1,,0,,0
2017-01-04,0.93595,0.94065,0.93245,0.9394,JY1,0.0082,0.0035,1,0.1524,0.9377,0.9378,0.0017,0.0016,1,,0,,0
2017-01-05,0.9388,0.9541,0.93775,0.95305,JY1,0.0163,0.0142,1,0.0642,0.943,0.9436,0.0101,0.0094,2,,0,,0
2017-01-06,0.9526,0.9552,0.9394,0.94095,JY1,0.0158,0.0117,0,0.9019,0.9425,0.9428,-0.0016,-0.0019,1,,0,,0
2017-01-09,0.93975,0.94845,0.93685,0.948,JY1,0.0116,0.0082,1,0.0388,0.9437,0.9441,0.0043,0.0039,1,,0,,0
2017-01-10,0.9487,0.9541,0.9454,0.94975,JY1,0.0087,0.001,1,0.5,0.9448,0.9454,0.005,0.0043,2,,0,,1
2017-01-11,0.9493,0.9612,0.94135,0.9524,JY1,0.0199,0.0031,1,0.4433,0.946,0.9468,0.0064,0.0056,3,,0,,1
2017-01-12,0.9521,0.96485,0.9521,0.9574,JY1,0.0128,0.0053,1,0.5843,0.9476,0.9489,0.0098,0.0085,4,,0,,0
2017-01-13,0.9573,0.96165,0.95185,0.9595,JY1,0.0098,0.0022,1,0.2194,0.9492,0.9508,0.0103,0.0087,5,,0,,1
2017-01-17,0.95965,0.9738,0.95925,0.97375,JY1,0.0145,0.0141,1,0.0034,0.9521,0.9547,0.0217,0.0191,6,,0,,1
2017-01-18,0.97235,0.97335,0.95685,0.9576,JY1,0.0165,0.0148,0,0.9545,0.9527,0.9551,0.0049,0.0025,7,,0,,1
2017-01-19,0.9583,0.95955,0.9502,0.956,JY1,0.0093,0.0023,0,0.3797,0.953,0.9553,0.003,0.0007,8,,0,,1
2017-01-20,0.9548,0.96095,0.952,0.958,JY1,0.009,0.0032,1,0.3296,0.9535,0.9557,0.0045,0.0023,9,,0,,0
2017-01-23,0.9596,0.9728,0.9594,0.9727,JY1,0.0134,0.0131,1,0.0075,0.9553,0.9582,0.0174,0.0145,10,1,1,Long,0
2017-01-24,0.9735,0.9741,0.96325,0.96405,JY1,0.0108,0.0095,0,0.9263,0.956,0.959,0.0081,0.005,11,,0,Long,0
2017-01-25,0.9634,0.9699,0.9625,0.96815,JY1,0.0074,0.0047,1,0.2365,0.957,0.9603,0.0111,0.0078,12,,0,Long,1
2017-01-26,0.9677,0.96985,0.95585,0.95855,JY1,0.014,0.0091,0,0.8071,0.9572,0.9601,0.0013,-0.0015,1,,0,Long,1
2017-01-27,0.9585,0.9594,0.95185,0.9535,JY1,0.0076,0.005,0,0.7815,0.9569,0.9592,-0.0034,-0.0057,2,,0,Long,1
2017-01-30,0.95565,0.96655,0.955,0.9638,JY1,0.0116,0.0081,1,0.2381,0.9574,0.9598,0.0064,0.004,1,,0,Long,0
2017-01-31,0.96415,0.9773,0.96255,0.9717,JY1,0.0147,0.0076,1,0.3797,0.9584,0.9614,0.0133,0.0103,2,,0,Long,0
2017-02-01,0.97245,0.97265,0.9625,0.9684,JY1,0.0101,0.004,0,0.4187,0.9591,0.9623,0.0093,0.0061,3,,0,Long,1
2017-02-02,0.9678,0.97735,0.96705,0.97125,JY1,0.0103,0.0034,1,0.5922,0.9599,0.9635,0.0113,0.0077,4,,0,Long,1
2017-02-03,0.9711,0.9753,0.96605,0.97335,JY1,0.0092,0.0023,1,0.2108,0.9608,0.9648,0.0126,0.0086,5,,0,Long,1
2017-02-06,0.97295,0.98075,0.9716,0.97985,JY1,0.0091,0.0069,1,0.0984,0.962,0.9668,0.0179,0.0131,6,,0,Long,1
2017-02-07,0.97945,0.9811,0.97315,0.9746,JY1,0.008,0.0049,0,0.8176,0.9628,0.9678,0.0118,0.0068,7,,0,Long,1
2017-02-08,0.97505,0.9807,0.97335,0.9783,JY1,0.0073,0.0032,1,0.3265,0.9637,0.9691,0.0146,0.0092,8,,0,Long,1
2017-02-09,0.9788,0.9789,0.9669,0.96785,JY1,0.012,0.011,0,0.9208,0.964,0.969,0.0039,-0.0011,1,,0,Long,1
2017-02-10,0.9674,0.9708,0.9629,0.9678,JY1,0.0079,0.0004,1,0.3797,0.9642,0.9688,0.0036,-0.001,2,,0,Long,0
2017-02-13,0.96455,0.96625,0.96055,0.9638,JY1,0.0057,0.0008,0,0.4298,0.9642,0.9682,-0.0004,-0.0044,3,,0,Long,0
2017-02-14,0.9636,0.96765,0.95795,0.95995,JY1,0.0097,0.0037,0,0.7938,0.9639,0.9671,-0.004,-0.0071,4,,0,Long,0
2017-02-15,0.9594,0.96295,0.95445,0.96075,JY1,0.0085,0.0013,1,0.2588,0.9638,0.9663,-0.003,-0.0056,5,,0,Long,0
2017-02-16,0.9597,0.969,0.9594,0.9675,JY1,0.0096,0.0078,1,0.1562,0.964,0.9665,0.0035,0.001,1,,0,Long,0
2017-02-17,0.96725,0.97255,0.96555,0.9709,JY1,0.007,0.0036,1,0.2357,0.9643,0.967,0.0066,0.0039,2,,0,Long,0
2017-02-21,0.96995,0.9711,0.96335,0.96415,JY1,0.0077,0.0058,0,0.8968,0.9643,0.9667,-0.0002,-0.0026,1,,0,Long,1
2017-02-22,0.964,0.9702,0.96365,0.96695,JY1,0.0065,0.003,1,0.4962,0.9645,0.9667,0.0024,0.0002,1,,0,Long,1
2017-02-23,0.96675,0.9729,0.96575,0.97235,JY1,0.0071,0.0056,1,0.0769,0.9649,0.9674,0.0075,0.005,2,,0,Long,1
2017-02-24,0.9715,0.97775,0.96965,0.9758,JY1,0.0081,0.0043,1,0.2407,0.9654,0.9685,0.0104,0.0073,3,,0,Long,1
2017-02-27,0.9753,0.9779,0.9705,0.9715,JY1,0.0074,0.0038,0,0.8649,0.9657,0.9689,0.0058,0.0026,4,,0,Long,1
2017-02-28,0.9713,0.97965,0.97,0.97085,JY1,0.0097,0.0005,0,0.9119,0.966,0.9691,0.0049,0.0018,5,,0,Long,1
2017-03-01,0.9706,0.97105,0.96085,0.96355,JY1,0.0102,0.0071,0,0.7353,0.9659,0.9684,-0.0023,-0.0049,1,,0,Long,1
2017-03-02,0.9633,0.9636,0.9567,0.95815,JY1,0.0069,0.0052,0,0.7899,0.9655,0.9671,-0.0074,-0.009,2,,0,Long,0
2017-03-03,0.9583,0.9628,0.95555,0.96105,JY1,0.0072,0.0027,1,0.2414,0.9653,0.9664,-0.0043,-0.0054,3,,0,Long,0
2017-03-06,0.96065,0.9647,0.96035,0.9617,JY1,0.0043,0.001,1,0.6897,0.9651,0.9658,-0.0034,-0.0041,4,,0,Long,0
2017-03-07,0.9616,0.96335,0.96005,0.96135,JY1,0.0033,0.0002,0,0.6061,0.9649,0.9652,-0.0035,-0.0038,5,,0,Long,0
2017-03-08,0.96115,0.9643,0.95535,0.9586,JY1,0.009,0.0025,0,0.6369,0.9646,0.9644,-0.006,-0.0058,6,,0,Long,0
2017-03-09,0.9579,0.95845,0.9535,0.95405,JY1,0.005,0.0039,0,0.8889,0.9641,0.9631,-0.0101,-0.0091,7,,0,Long,1
2017-03-10,0.953,0.95695,0.94975,0.9548,JY1,0.0072,0.0018,1,0.2986,0.9637,0.9621,-0.0089,-0.0073,8,,0,Long,0
2017-03-13,0.95535,0.9575,0.95415,0.95455,JY1,0.0033,0.0008,0,0.8806,0.9633,0.9611,-0.0088,-0.0065,9,,0,Long,0
2017-03-14,0.95455,0.9573,0.9521,0.95565,JY1,0.0052,0.0011,1,0.3173,0.9629,0.9604,-0.0072,-0.0048,10,,0,Long,0
2017-03-15,0.95575,0.96785,0.9545,0.96635,JY1,0.0133,0.0106,1,0.1124,0.9631,0.9612,0.0033,0.0051,1,,0,Long,0
