date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.9347,0.93575,0.9245,0.93155,JY,0.0112,0.0031,0,0.3733,0.9316,0.9316,0.0,0.0,1,,0,,0
2017-01-04,0.93105,0.93575,0.92755,0.93175,JY,0.0082,0.0007,1,0.4878,0.9317,0.9317,0.0,0.0,1,,0,,0
2017-01-05,0.9339,0.9492,0.93285,0.9464,JY,0.0164,0.0125,1,0.1713,0.9368,0.9372,0.0096,0.0092,1,,0,,0
2017-01-06,0.9477,0.9503,0.9345,0.93575,JY,0.0158,0.012,0,0.9209,0.9365,0.9368,-0.0008,-0.001,1,,0,,0
2017-01-09,0.93485,0.94355,0.93195,0.94285,JY,0.0116,0.008,1,0.0603,0.9379,0.9383,0.005,0.0045,1,,0,,0
2017-01-10,0.9438,0.9492,0.9405,0.9449,JY,0.0087,0.0011,1,0.4943,0.9392,0.9398,0.0057,0.0051,2,,0,,1
2017-01-11,0.9444,0.9563,0.93645,0.94735,JY,0.0199,0.003,1,0.4509,0.9405,0.9414,0.0069,0.006,3,,0,,1
2017-01-12,0.9472,0.95995,0.9472,0.9528,JY,0.0127,0.0056,1,0.5608,0.9422,0.9436,0.0106,0.0092,4,,0,,1
2017-01-13,0.9524,0.95675,0.94695,0.9543,JY,0.0098,0.0019,1,0.25,0.9438,0.9455,0.0105,0.0088,5,,0,,1
2017-01-17,0.95475,0.9689,0.95435,0.96825,JY,0.0145,0.0135,1,0.0447,0.9467,0.9493,0.0216,0.019,6,,0,,1
2017-01-18,0.96745,0.96845,0.95195,0.96085,JY,0.0165,0.0066,0,0.4606,0.9483,0.9512,0.0125,0.0096,7,,0,,1
2017-01-19,0.9534,0.95465,0.9453,0.9517,JY,0.0093,0.0017,0,0.3155,0.9486,0.9513,0.0031,0.0004,8,,0,,1
2017-01-20,0.9499,0.95605,0.9471,0.9556,JY,0.0089,0.0057,1,0.0503,0.9493,0.9519,0.0063,0.0037,9,1,1,Long,0
2017-01-23,0.9547,0.9679,0.9545,0.96545,JY,0.0134,0.0108,1,0.1828,0.9508,0.9539,0.0147,0.0116,10,,0,Long,1
2017-01-24,0.9686,0.9692,0.95835,0.95865,JY,0.0108,0.01,0,0.9724,0.9515,0.9546,0.0071,0.004,11,,0,Long,0
2017-01-25,0.9585,0.965,0.9576,0.9607,JY,0.0074,0.0022,1,0.5811,0.9522,0.9555,0.0085,0.0052,12,,0,Long,0
2017-01-26,0.9628,0.96495,0.95095,0.95495,JY,0.014,0.0079,0,0.7143,0.9524,0.9554,0.0025,-0.0005,1,,0,Long,1
2017-01-27,0.9536,0.9545,0.94695,0.9495,JY,0.0076,0.0041,0,0.6623,0.9522,0.9546,-0.0027,-0.0051,2,,0,Long,0
2017-01-30,0.95075,0.96165,0.9501,0.9599,JY,0.0116,0.0091,1,0.1515,0.9528,0.9553,0.0071,0.0046,1,,0,Long,0
