date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,201.45,202.7,198.05,201.05,KC,4.65,0.4,0,0.3548,201.05,201.05,0.0,0.0,1,,0,,0
2017-01-04,201.15,206.6,201.1,205.45,KC,5.5,4.3,1,0.2091,203.294,203.3967,2.156,2.0533,1,,0,,0
2017-01-05,205.65,209.1,205.4,207.4,KC,3.7,1.75,1,0.4595,204.7178,204.9127,2.6822,2.4873,2,,0,,0
2017-01-06,207.15,208.15,205.7,206.5,KC,2.45,0.65,0,0.6735,205.1904,205.3922,1.3096,1.1078,3,,0,,0
2017-01-09,205.8,210.15,204.4,207.85,KC,5.75,2.05,1,0.4,205.7657,206.0229,2.0843,1.8271,4,,0,,0
2017-01-10,207.9,211.55,207.8,211.35,KC,3.75,3.45,1,0.0533,206.7919,207.231,4.5581,4.119,5,,0,,1
2017-01-11,211.5,214.55,211.1,212.65,KC,3.45,1.15,1,0.5507,207.7325,208.3464,4.9175,4.3036,6,,0,,1
2017-01-12,212.95,215.25,212.2,213.25,KC,3.05,0.3,1,0.6557,208.5225,209.2802,4.7275,3.9698,7,,0,,1
2017-01-13,212.7,213.55,211.0,212.95,KC,2.55,0.25,1,0.2353,209.0968,209.9361,3.8532,3.0139,8,,0,,1
2017-01-17,212.45,214.4,211.75,213.55,KC,2.65,1.1,1,0.3208,209.6264,210.5491,3.9236,3.0009,9,,0,,1
2017-01-18,213.35,213.65,210.4,212.85,KC,3.25,0.5,0,0.2462,209.9815,210.9227,2.8685,1.9273,10,,0,,1
2017-01-19,212.9,215.1,212.2,214.4,KC,2.9,1.5,1,0.2414,210.436,211.467,3.964,2.933,11,,0,,1
2017-01-20,214.2,217.0,214.2,216.85,KC,2.8,2.65,1,0.0536,211.0563,212.2839,5.7937,4.5661,12,,0,,1
2017-01-23,216.65,220.4,216.55,219.05,KC,3.85,2.4,1,0.3506,211.7873,213.2838,7.2627,5.7662,13,,0,,1
2017-01-24,217.8,220.6,215.45,216.0,KC,5.15,1.8,0,0.8932,212.1534,213.6763,3.8466,2.3237,14,,0,,1
2017-01-25,215.25,219.25,214.95,216.55,KC,4.3,1.3,1,0.6279,212.5181,214.0836,4.0319,2.4664,15,,0,,1
2017-01-26,217.5,217.95,214.0,215.1,KC,3.95,2.4,0,0.7215,212.7233,214.2253,2.3767,0.8747,16,,0,,1
2017-01-27,214.9,217.05,213.9,216.05,KC,3.15,1.15,1,0.3175,212.9775,214.4761,3.0725,1.5739,17,,0,,0
2017-01-30,215.35,215.7,213.35,214.8,KC,2.35,0.55,0,0.383,213.1117,214.52,1.6883,0.28,18,,0,,0
2017-01-31,214.65,216.15,210.25,213.2,KC,5.9,1.45,0,0.5,213.118,214.3428,0.082,-1.1428,1,,0,,0
2017-02-01,213.2,215.35,211.2,213.8,KC,4.15,0.6,1,0.3735,213.1651,214.2705,0.6349,-0.4705,2,,0,,0
2017-02-02,213.8,214.9,209.35,209.6,KC,5.55,4.2,0,0.955,212.9262,213.6541,-3.3262,-4.0541,3,,0,,0
2017-02-03,208.85,211.35,208.35,209.9,KC,3.0,1.05,1,0.4833,212.7289,213.162,-2.8289,-3.262,4,,0,,0
