date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,155.75,155.825,153.55,153.725,LC1,2.275,2.025,0,0.9231,153.725,153.725,0.0,0.0,1,,0,,0
2017-01-04,153.75,155.025,153.675,154.95,LC1,1.35,1.2,1,0.0556,154.3497,154.3783,0.6003,0.5717,1,,0,,0
2017-01-05,155.25,155.9,154.025,154.1,LC1,1.875,1.15,0,0.96,154.2631,154.2729,-0.1631,-0.1729,1,,0,,0
2017-01-06,153.975,154.45,153.225,154.225,LC1,1.225,0.25,1,0.1837,154.253,154.2585,-0.028,-0.0335,2,,0,,0
2017-01-09,154.25,155.925,153.35,155.9,LC1,2.575,1.65,1,0.0097,154.6093,154.6797,1.2907,1.2203,1,,0,,0
2017-01-10,156.05,158.775,156.025,158.3,LC1,2.75,2.25,1,0.1727,155.2875,155.5007,3.0125,2.7993,2,,0,,1
2017-01-11,158.225,158.95,157.775,157.8,LC1,1.175,0.425,0,0.9787,155.6909,155.974,2.1091,1.826,3,,0,,1
2017-01-12,157.725,157.875,155.575,156.5,LC1,2.3,1.225,0,0.5978,155.8068,156.0741,0.6932,0.4259,4,,0,,1
2017-01-13,156.475,158.35,156.15,158.15,LC1,2.2,1.675,1,0.0909,156.1107,156.4452,2.0393,1.7048,5,,0,,1
2017-01-17,158.5,159.475,158.35,159.025,LC1,1.125,0.525,1,0.4,156.4573,156.8828,2.5677,2.1422,6,,0,,1
2017-01-18,159.175,159.95,158.85,159.8,LC1,1.1,0.625,1,0.1364,156.8255,157.3565,2.9745,2.4435,7,,0,,1
2017-01-19,159.7,160.675,159.425,160.125,LC1,1.25,0.425,1,0.44,157.1649,157.7898,2.9601,2.3352,8,,0,,1
2017-01-20,160.1,160.225,158.225,159.3,LC1,2.0,0.8,0,0.4625,157.3714,158.019,1.9286,1.281,9,,0,,1
