date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,156.3,156.375,154.1,154.675,LC,2.275,1.625,0,0.7473,154.675,154.675,0.0,0.0,1,,0,,0
2017-01-04,154.3,155.575,154.225,155.475,LC,1.35,1.175,1,0.0741,155.083,155.1017,0.392,0.3733,1,,0,,0
2017-01-05,155.8,156.45,154.575,154.875,LC,1.875,0.925,0,0.84,155.0109,155.0158,-0.1359,-0.1408,1,,0,,0
2017-01-06,154.525,155.0,153.775,154.625,LC,1.225,0.1,1,0.3061,154.9085,154.8978,-0.2835,-0.2728,2,,0,,0
2017-01-09,154.8,156.475,153.9,156.325,LC,2.575,1.525,1,0.0583,155.2149,155.264,1.1101,1.061,1,,0,,0
2017-01-10,156.6,159.325,156.575,159.325,LC,2.75,2.725,1,0.0,155.9702,156.185,3.3548,3.14,2,,0,,1
2017-01-11,158.775,159.5,158.325,158.925,LC,1.175,0.15,1,0.4894,156.4447,156.7489,2.4803,2.1761,3,,0,,1
2017-01-12,158.275,158.425,156.125,157.275,LC,2.3,1.0,0,0.5,156.5635,156.8491,0.7115,0.4259,4,,0,,1
2017-01-13,156.925,158.8,156.6,158.725,LC,2.2,1.8,1,0.0341,156.8439,157.1844,1.8811,1.5406,5,,0,,1
2017-01-17,158.95,159.925,158.8,159.8,LC,1.125,0.85,1,0.1111,157.1955,157.6281,2.6045,2.1719,6,,0,,1
2017-01-18,159.625,160.4,159.3,160.2,LC,1.1,0.575,1,0.1818,157.5264,158.0457,2.6736,2.1543,7,,0,,1
2017-01-19,160.15,161.125,159.875,160.675,LC,1.25,0.525,1,0.36,157.8503,158.4573,2.8247,2.2177,8,,0,,1
2017-01-20,160.55,160.675,158.675,159.775,LC,2.0,0.775,0,0.45,158.0364,158.6572,1.7386,1.1178,9,,0,,1
2017-01-23,159.575,160.05,158.95,159.975,LC,1.1,0.4,1,0.0682,158.2137,158.852,1.7613,1.123,10,,0,,1
2017-01-24,159.925,160.575,158.775,159.2,LC,1.8,0.725,0,0.7639,158.2994,158.9023,0.9006,0.2977,11,,0,,1
2017-01-25,159.1,160.15,158.45,159.475,LC,1.7,0.375,1,0.3971,158.3969,158.9834,1.0781,0.4916,12,,0,,0
2017-01-26,159.15,159.475,157.75,158.375,LC,1.725,0.775,0,0.6377,158.3952,158.8986,-0.0202,-0.5236,1,,0,,0
2017-01-27,158.075,158.5,157.55,158.125,LC,0.95,0.05,1,0.3947,158.3746,158.7923,-0.2496,-0.6673,2,,0,,0
2017-01-30,155.9,156.5,155.175,155.625,LC,1.325,0.275,0,0.6604,158.172,158.3624,-2.547,-2.7374,3,,0,,0
2017-01-31,155.5,155.925,154.8,154.975,LC,1.125,0.525,0,0.8444,157.9444,157.9075,-2.9694,-2.9325,4,,0,,0
2017-02-01,154.625,155.65,153.55,154.5,LC,2.1,0.125,0,0.5476,157.7067,157.4541,-3.2067,-2.9541,5,,0,,0
2017-02-02,154.9,156.675,154.9,156.275,LC,1.775,1.375,1,0.2254,157.6108,157.2985,-1.3358,-1.0235,6,,0,,0
2017-02-03,156.35,156.975,155.9,156.425,LC,1.075,0.075,1,0.5116,157.5335,157.184,-1.1085,-0.759,7,,0,,0
2017-02-06,156.525,157.275,155.95,156.425,LC,1.325,0.1,0,0.6415,157.463,157.0851,-1.038,-0.6601,8,,0,,1
2017-02-07,156.85,157.45,156.25,157.3,LC,1.2,0.45,1,0.125,157.4529,157.1129,-0.1529,0.1871,1,,0,,1
2017-02-08,157.025,157.225,155.275,155.55,LC,1.95,1.475,0,0.859,157.3375,156.9113,-1.7875,-1.3613,1,,0,,1
2017-02-09,155.8,155.975,154.925,155.625,LC,1.05,0.175,0,0.3333,157.2358,156.746,-1.6108,-1.121,2,,0,,0
2017-02-10,155.725,156.525,153.575,153.95,LC,2.95,1.775,0,0.8729,157.0446,156.388,-3.0946,-2.438,3,,0,,0
2017-02-13,153.775,154.15,152.875,153.325,LC,1.275,0.45,0,0.6471,156.8321,155.997,-3.5071,-2.672,4,,0,,0
2017-02-14,153.3,154.875,153.0,154.8,LC,1.875,1.5,1,0.04,156.7181,155.8446,-1.9181,-1.0446,5,,0,,0
2017-02-15,154.8,155.5,153.775,154.15,LC,1.725,0.65,0,0.7826,156.5764,155.6293,-2.4264,-1.4793,6,,0,,0
2017-02-16,153.8,154.7,153.45,154.05,LC,1.25,0.25,1,0.52,156.4392,155.4291,-2.3892,-1.3791,7,,0,,0
2017-02-17,154.05,155.9,153.925,155.725,LC,1.975,1.675,1,0.0886,156.4009,155.4666,-0.6759,0.2584,1,,0,,1
2017-02-21,156.35,157.175,156.0,156.1,LC,1.175,0.25,0,0.9149,156.3851,155.5466,-0.2851,0.5534,2,0,1,Short,1
2017-02-22,156.25,158.0,155.825,156.875,LC,2.175,0.625,1,0.5172,156.4106,155.7142,0.4644,1.1608,3,,0,Short,1
2017-02-23,157.175,158.15,157.15,157.325,LC,1.0,0.15,1,0.825,156.4576,155.9172,0.8674,1.4078,4,,0,Short,1
2017-02-24,157.4,157.5,155.4,155.75,LC,2.1,1.65,0,0.8333,156.4216,155.8962,-0.6716,-0.1462,1,,0,Short,1
2017-02-27,156.425,156.85,156.15,156.3,LC,0.7,0.125,0,0.7857,156.4155,155.947,-0.1155,0.353,1,,0,Short,1
2017-02-28,156.525,159.025,156.05,158.725,LC,2.975,2.2,1,0.1008,156.5302,156.2961,2.1948,2.4289,2,,0,Short,1
2017-03-01,158.95,159.75,157.875,158.375,LC,1.875,0.575,0,0.7333,156.6208,156.5572,1.7542,1.8178,3,,0,Short,1
2017-03-02,158.05,158.4,156.825,156.95,LC,1.575,1.1,0,0.9206,156.6368,156.6065,0.3132,0.3435,4,,0,Short,1
2017-03-03,157.075,157.375,156.2,156.775,LC,1.175,0.3,0,0.5106,156.6435,156.6277,0.1315,0.1473,5,,0,Short,1
2017-03-06,157.15,157.375,156.025,156.35,LC,1.35,0.8,0,0.7593,156.6295,156.5929,-0.2795,-0.2429,1,,0,Short,1
2017-03-07,156.325,156.725,155.7,156.15,LC,1.025,0.175,0,0.561,156.6068,156.5373,-0.4568,-0.3873,2,,0,Short,0
2017-03-08,156.3,157.95,155.925,156.775,LC,2.025,0.475,1,0.5802,156.6147,156.5671,0.1603,0.2079,1,,0,Short,0
2017-03-09,157.85,158.1,157.0,157.3,LC,1.1,0.55,0,0.7273,156.6466,156.6589,0.6534,0.6411,2,,0,Short,0
2017-03-10,157.325,158.55,156.975,158.075,LC,1.575,0.75,1,0.3016,156.7127,156.8363,1.3623,1.2387,3,,0,Short,1
2017-03-13,158.475,159.2,158.2,158.675,LC,1.0,0.2,1,0.525,156.8029,157.0665,1.8721,1.6085,4,,0,Short,1
2017-03-14,158.65,158.925,157.3,157.475,LC,1.625,1.175,0,0.8923,156.8336,157.1176,0.6414,0.3574,5,,0,Short,1
2017-03-15,157.475,158.925,157.35,158.825,LC,1.575,1.35,1,0.0635,156.9239,157.3313,1.9011,1.4937,6,,0,Short,1
2017-03-16,159.3,160.425,159.15,160.0,LC,1.275,0.7,1,0.3333,157.0625,157.6653,2.9375,2.3347,7,,0,Short,1
2017-03-17,160.2,160.575,159.625,160.25,LC,0.95,0.05,1,0.3421,157.2054,157.9887,3.0446,2.2613,8,,0,Short,1
2017-03-20,160.375,160.725,159.725,160.375,LC,1.0,0.0,null,0.35,157.3466,158.2872,3.0284,2.0878,9,,0,Short,1
2017-03-21,160.55,161.775,159.95,161.625,LC,1.825,1.075,1,0.0822,157.5363,158.7048,4.0887,2.9202,10,,0,Short,1
2017-03-22,161.875,164.625,161.825,164.35,LC,2.8,2.475,1,0.0982,157.8368,159.4109,6.5132,4.9391,11,,0,Short,1
2017-03-23,164.75,164.775,163.0,163.375,LC,1.775,1.375,0,0.7887,158.0798,159.9067,5.2952,3.4683,12,,0,Short,1
2017-03-24,163.45,164.625,162.9,163.425,LC,1.725,0.025,0,0.6957,158.3133,160.3467,5.1117,3.0783,13,,0,Short,1
2017-03-27,162.65,163.1,161.925,162.025,LC,1.175,0.625,0,0.9149,158.4747,160.5566,3.5503,1.4684,14,,0,Short,1
2017-03-28,161.925,162.8,161.825,162.175,LC,0.975,0.25,1,0.641,158.635,160.7589,3.54,1.4161,15,,0,Short,1
2017-03-29,162.425,163.2,162.15,162.425,LC,1.05,0.0,null,0.7381,158.7984,160.9673,3.6266,1.4577,16,,0,Short,0
2017-03-30,162.175,162.175,160.75,161.45,LC,1.425,0.725,0,0.5088,158.9123,161.0276,2.5377,0.4224,17,,0,Short,0
2017-03-31,161.025,161.7,160.575,161.45,LC,1.125,0.425,1,0.2222,159.0209,161.0804,2.4291,0.3696,18,,0,Short,0
2017-04-03,161.45,162.1,160.8,161.275,LC,1.3,0.175,0,0.6346,159.1171,161.1048,2.1579,0.1702,19,,0,Short,0
2017-04-04,161.1,161.1,159.675,159.875,LC,1.425,1.225,0,0.8596,159.1493,160.951,0.7257,-1.076,1,,0,Short,0
2017-04-05,159.575,160.375,159.25,160.0,LC,1.125,0.425,1,0.3333,159.1853,160.8321,0.8147,-0.8321,2,,0,Short,0
2017-04-06,160.225,160.8,159.7,160.7,LC,1.1,0.475,1,0.0909,159.2493,160.8156,1.4507,-0.1156,3,1,1,Long,0
2017-04-07,160.575,163.275,160.5,162.375,LC,2.775,1.8,1,0.3243,159.3809,161.0105,2.9941,1.3645,1,,0,Long,0
2017-04-10,163.2,164.225,162.675,162.875,LC,1.55,0.325,0,0.871,159.5275,161.2436,3.3475,1.6314,2,,0,Long,1
2017-04-11,162.7,164.5,162.525,164.275,LC,1.975,1.575,1,0.1139,159.7263,161.6226,4.5487,2.6524,3,,0,Long,1
2017-04-12,164.35,165.625,164.175,164.925,LC,1.45,0.575,1,0.4828,159.9434,162.0354,4.9816,2.8896,4,,0,Long,1
2017-04-13,164.925,166.1,164.4,165.275,LC,1.7,0.35,1,0.4853,160.1654,162.4404,5.1096,2.8346,5,,0,Long,1
2017-04-17,165.375,166.475,165.375,166.15,LC,1.1,0.775,1,0.2955,160.4141,162.9041,5.7359,3.2459,6,,0,Long,1
2017-04-18,166.275,167.475,165.925,166.225,LC,1.55,0.05,0,0.8065,160.6549,163.3193,5.5701,2.9057,7,,0,Long,1
2017-04-19,166.4,167.125,165.425,166.525,LC,1.7,0.125,1,0.3529,160.8977,163.72,5.6273,2.805,8,,0,Long,1
2017-04-20,167.275,168.05,166.375,167.05,LC,1.675,0.225,0,0.597,161.1516,164.1363,5.8984,2.9137,9,,0,Long,1
2017-04-21,167.425,168.15,166.85,167.275,LC,1.3,0.15,0,0.6731,161.4038,164.5286,5.8712,2.7464,10,,0,Long,1
2017-04-24,166.775,167.025,165.0,165.425,LC,2.025,1.35,0,0.7901,161.5691,164.6407,3.8559,0.7843,11,,0,Long,1
2017-04-25,165.85,166.55,165.225,166.4,LC,1.325,0.55,1,0.1132,161.7673,164.8606,4.6327,1.5394,12,,0,Long,0
2017-04-26,166.725,169.4,166.65,169.1,LC,2.75,2.375,1,0.1091,162.0676,165.3905,7.0324,3.7095,13,,0,Long,0
2017-04-27,169.425,172.1,168.85,172.1,LC,3.25,2.675,1,0.0,162.4777,166.2292,9.6223,5.8708,14,,0,Long,1
2017-04-28,173.0,174.8,171.15,174.6,LC,3.65,1.6,1,0.0548,162.9725,167.2756,11.6275,7.3244,15,,0,Long,1
2017-05-01,175.2,175.9,174.225,174.7,LC,1.675,0.5,0,0.7164,163.4503,168.2037,11.2497,6.4963,16,,0,Long,1
2017-05-02,174.675,177.7,174.65,177.625,LC,3.05,2.95,1,0.0246,164.027,169.3814,13.598,8.2436,17,,0,Long,1
2017-05-03,177.625,180.625,177.575,180.625,LC,3.05,3.0,1,0.0,164.7014,170.7868,15.9236,9.8382,18,,0,Long,1
2017-05-04,185.075,185.125,181.15,181.875,LC,3.975,3.2,0,0.8176,165.3981,172.1729,16.4769,9.7021,19,,0,Long,1
2017-05-05,181.875,181.925,178.875,178.875,LC,3.05,3.0,0,1.0,165.9441,173.0106,12.9309,5.8644,20,,0,Long,1
2017-05-08,177.525,179.5,176.625,178.35,LC,2.875,0.825,1,0.4,166.446,173.6781,11.904,4.6719,21,,0,Long,1
2017-05-09,178.575,180.2,175.35,175.55,LC,4.85,3.025,0,0.9588,166.8139,173.9121,8.7361,1.6379,22,,0,Long,1
2017-05-10,175.55,175.7,172.8,174.775,LC,2.9,0.775,0,0.319,167.1353,174.0199,7.6397,0.7551,23,,0,Long,0
2017-05-11,175.65,175.65,172.0,174.05,LC,3.65,1.6,0,0.4384,167.4141,174.0237,6.6359,0.0263,24,,0,Long,0
2017-05-12,175.675,176.65,174.9,176.15,LC,1.75,0.475,1,0.2857,167.7659,174.2895,8.3841,1.8605,25,,0,Long,0
2017-05-15,176.6,176.8,173.15,173.175,LC,3.65,3.425,0,0.9932,167.9835,174.1502,5.1915,-0.9752,1,,0,Long,0
2017-05-16,172.85,173.225,171.15,172.625,LC,2.075,0.225,0,0.2892,168.17,173.9595,4.455,-1.3345,2,,0,Long,0
2017-05-17,173.15,173.925,172.4,173.2,LC,1.525,0.05,1,0.4754,168.372,173.8646,4.828,-0.6646,3,,0,Long,0
2017-05-18,172.625,174.65,171.85,174.025,LC,2.8,1.4,1,0.2232,168.5987,173.8846,5.4263,0.1404,1,,0,Long,0
2017-05-19,174.425,175.775,173.8,175.425,LC,1.975,1.0,1,0.1772,168.8723,174.0772,6.5527,1.3478,2,,0,Long,0
2017-05-22,175.625,177.525,175.3,176.4,LC,2.225,0.775,1,0.5056,169.1737,174.3675,7.2263,2.0325,3,,0,Long,1
2017-05-23,176.325,177.025,175.125,175.7,LC,1.9,0.625,0,0.6974,169.4348,174.5341,6.2652,1.1659,4,,0,Long,1
2017-05-24,175.3,175.35,173.025,174.3,LC,2.325,1.0,0,0.4516,169.6293,174.5048,4.6707,-0.2048,1,,0,Long,1
2017-05-25,174.825,175.875,173.75,175.775,LC,2.125,0.95,1,0.0471,169.8748,174.6636,5.9002,1.1114,1,,0,Long,1
2017-05-26,175.875,176.025,172.775,173.325,LC,3.25,2.55,0,0.8308,170.0126,174.4963,3.3124,-1.1713,1,,0,Long,1
2017-05-30,173.175,174.475,172.325,174.225,LC,2.15,1.05,1,0.1163,170.1806,174.4624,4.0444,-0.2374,2,,0,Long,0
2017-05-31,174.725,176.275,174.25,176.075,LC,2.025,1.35,1,0.0988,170.4156,174.6639,5.6594,1.4111,1,1,,Long,0
2017-06-01,176.35,179.075,176.175,179.075,LC,2.9,2.725,1,0.0,170.7605,175.2153,8.3145,3.8597,2,,0,Long,1
2017-06-02,180.15,181.1,179.0,180.425,LC,2.1,0.275,1,0.3214,171.1453,175.8665,9.2797,4.5585,3,,0,Long,1
2017-06-05,180.475,181.525,179.875,180.575,LC,1.65,0.1,1,0.5758,171.5205,176.4551,9.0545,4.1199,4,,0,Long,1
2017-06-06,181.375,182.025,177.625,177.975,LC,4.4,3.4,0,0.9205,171.7772,176.6451,6.1978,1.3299,5,,0,Long,1
2017-06-07,177.725,179.3,177.175,178.55,LC,2.125,0.825,1,0.3529,172.0463,176.8832,6.5037,1.6668,6,,0,Long,1
2017-06-08,178.85,180.1,177.95,178.4,LC,2.15,0.45,0,0.7907,172.2987,177.0728,6.1013,1.3272,7,,0,Long,0
2017-06-09,178.125,179.075,177.475,178.225,LC,1.6,0.1,1,0.5312,172.534,177.2168,5.691,1.0082,8,,0,Long,0
2017-06-12,178.275,178.6,175.4,175.925,LC,3.2,2.35,0,0.8359,172.6686,177.0553,3.2564,-1.1303,1,,0,Long,0
2017-06-13,176.275,176.9,174.975,175.25,LC,1.925,1.025,0,0.8571,172.771,176.8297,2.479,-1.5797,2,,0,Long,0
2017-06-14,174.675,174.8,172.25,172.25,LC,2.55,2.425,0,1.0,172.7503,176.2572,-0.5003,-4.0072,3,,0,Long,0
2017-06-15,172.125,172.875,171.35,171.875,LC,1.525,0.25,0,0.6557,172.7156,175.7094,-0.8406,-3.8344,4,,0,Long,0
2017-06-16,172.475,173.225,171.5,172.55,LC,1.725,0.075,1,0.3913,172.7091,175.3145,-0.1591,-2.7645,5,,0,Long,0
2017-06-19,172.625,172.875,170.075,170.475,LC,2.8,2.15,0,0.8571,172.6206,174.7096,-2.1456,-4.2346,6,,0,Long,0
2017-06-20,170.175,170.8,168.025,170.275,LC,2.775,0.1,1,0.1892,172.5278,174.1552,-2.2528,-3.8802,7,,0,Long,0
2017-06-21,170.875,171.15,169.375,169.725,LC,1.775,1.15,0,0.8028,172.4169,173.6015,-2.6919,-3.8765,8,,0,Long,0
