date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,118.6,119.1,115.425,115.575,LH1,3.675,3.025,0,0.9592,115.575,115.575,0.0,0.0,1,,0,,0
2017-01-04,116.075,116.975,115.5,116.675,LH1,1.475,0.6,1,0.2034,116.136,116.1617,0.539,0.5133,1,,0,,0
2017-01-05,117.125,117.8,116.425,117.1,LH1,1.375,0.025,0,0.5091,116.4703,116.517,0.6297,0.583,2,,0,,0
2017-01-06,117.35,117.35,115.775,116.3,LH1,1.575,1.05,0,0.6667,116.4251,116.4515,-0.1251,-0.1515,1,,0,,0
2017-01-09,116.325,116.325,114.75,116.025,LH1,1.575,0.3,0,0.1905,116.3386,116.342,-0.3136,-0.317,2,,0,,0
2017-01-10,116.4,118.1,116.05,117.075,LH1,2.05,0.675,1,0.5,116.4739,116.5082,0.6011,0.5668,1,,0,,1
2017-01-11,117.45,118.275,117.025,117.7,LH1,1.25,0.25,1,0.46,116.6708,116.7535,1.0292,0.9465,2,,0,,1
2017-01-12,118.1,118.425,117.1,118.025,LH1,1.325,0.075,0,0.3019,116.8647,116.9957,1.1603,1.0293,3,,0,,1
2017-01-13,118.325,118.675,117.375,118.1,LH1,1.3,0.225,0,0.4423,117.0249,117.1931,1.0751,0.9069,4,,0,,1
2017-01-17,118.525,118.65,117.85,118.475,LH1,0.8,0.05,0,0.2188,117.1974,117.4105,1.2776,1.0645,5,,0,,1
2017-01-18,118.525,119.075,116.825,117.775,LH1,2.25,0.75,0,0.5778,117.261,117.4697,0.514,0.3053,6,,0,,1
2017-01-19,117.6,118.15,117.025,117.675,LH1,1.125,0.075,1,0.4222,117.3036,117.5018,0.3714,0.1732,7,,0,,1
2017-01-20,117.725,117.85,116.95,117.05,LH1,0.9,0.675,0,0.8889,117.2791,117.4333,-0.2291,-0.3833,1,,0,,0
2017-01-23,117.275,117.35,115.95,116.45,LH1,1.4,0.825,0,0.6429,117.2032,117.2879,-0.7532,-0.8379,2,,0,,0
2017-01-24,116.725,117.1,116.3,116.475,LH1,0.8,0.25,0,0.7813,117.14,117.1705,-0.665,-0.6955,3,,0,,0
2017-01-25,117.375,119.2,117.125,118.8,LH1,2.075,1.425,1,0.1928,117.2777,117.4014,1.5223,1.3986,1,,0,,0
2017-01-26,118.8,119.35,115.925,116.025,LH1,3.425,2.775,0,0.9708,117.1781,117.2096,-1.1531,-1.1846,1,0,1,Short,1
2017-01-27,116.325,117.575,115.4,117.15,LH1,2.175,0.825,1,0.1954,117.176,117.2014,-0.026,-0.0514,2,,0,Short,0
2017-01-30,117.175,117.8,116.6,117.05,LH1,1.2,0.125,0,0.625,117.1667,117.1808,-0.1167,-0.1308,3,,0,Short,1
2017-01-31,117.325,118.975,117.2,118.075,LH1,1.775,0.75,1,0.507,117.2314,117.3009,0.8436,0.7741,1,,0,Short,1
2017-02-01,118.3,118.75,117.0,117.8,LH1,1.75,0.5,0,0.5429,117.2706,117.3673,0.5294,0.4327,2,,0,Short,0
2017-02-02,117.875,118.5,117.15,118.325,LH1,1.35,0.45,1,0.1296,117.3412,117.4937,0.9838,0.8313,3,,0,Short,1
2017-02-03,118.35,119.1,117.675,118.8,LH1,1.425,0.45,1,0.2105,117.4363,117.6649,1.3637,1.1351,4,,0,Short,1
2017-02-06,118.975,120.175,118.775,120.025,LH1,1.4,1.05,1,0.1071,117.6008,117.9724,2.4242,2.0526,5,,0,Short,1
2017-02-07,120.3,121.125,120.275,120.9,LH1,0.85,0.6,1,0.2647,117.8055,118.3518,3.0945,2.5482,6,,0,Short,1
