date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,119.525,120.025,116.35,116.625,LH,3.675,2.9,0,0.9252,116.625,116.625,0.0,0.0,1,,0,,0
2017-01-04,117.0,117.9,116.425,117.725,LH,1.475,0.725,1,0.1186,117.186,117.2117,0.539,0.5133,1,,0,,0
2017-01-05,118.05,118.725,117.35,118.0,LH,1.375,0.05,0,0.5273,117.4683,117.5102,0.5317,0.4898,2,,0,,0
2017-01-06,118.275,118.275,116.7,117.1,LH,1.575,1.175,0,0.746,117.3706,117.3863,-0.2706,-0.2863,1,,0,,0
2017-01-09,117.25,117.25,115.675,116.875,LH,1.575,0.375,0,0.2381,117.2634,117.2551,-0.3884,-0.3801,2,,0,,0
2017-01-10,117.325,119.025,116.975,118.175,LH,2.05,0.85,1,0.4146,117.4309,117.4637,0.7441,0.7113,1,,0,,1
2017-01-11,118.375,119.2,117.95,118.725,LH,1.25,0.35,1,0.38,117.6387,117.7233,1.0863,1.0017,2,,0,,1
2017-01-12,119.025,119.35,118.025,119.075,LH,1.325,0.05,1,0.2075,117.8444,117.9807,1.2306,1.0943,3,,0,,1
2017-01-13,119.075,119.425,118.125,119.15,LH,1.3,0.075,1,0.2115,118.0137,118.1897,1.1363,0.9603,4,,0,,1
2017-01-17,119.275,119.4,118.6,119.25,LH,0.8,0.025,0,0.1875,118.1607,118.3696,1.0893,0.8804,5,,0,,1
2017-01-18,119.275,119.825,117.575,118.35,LH,2.25,0.925,0,0.6556,118.1816,118.3664,0.1684,-0.0164,1,,0,,1
2017-01-19,118.35,118.9,117.775,118.5,LH,1.125,0.15,1,0.3556,118.2143,118.3873,0.2857,0.1127,1,,0,,0
2017-01-20,118.475,118.6,117.7,118.0,LH,0.9,0.475,0,0.6667,118.1936,118.3285,-0.1936,-0.3285,1,,0,,0
2017-01-23,118.025,118.1,116.7,117.3,LH,1.4,0.725,0,0.5714,118.1119,118.1765,-0.8119,-0.8765,2,,0,,0
2017-01-24,117.475,117.85,117.05,117.15,LH,0.8,0.325,0,0.875,118.0283,118.0282,-0.8783,-0.8782,3,,0,,0
2017-01-25,118.125,119.95,117.875,119.675,LH,2.075,1.55,1,0.1325,118.1649,118.2616,1.5101,1.4134,1,,0,,0
2017-01-26,119.55,120.1,116.675,116.75,LH,3.425,2.8,0,0.9781,118.0524,118.0509,-1.3024,-1.3009,1,0,1,Short,1
2017-01-27,117.075,118.325,116.15,117.825,LH,2.175,0.75,1,0.2299,118.0351,118.0198,-0.2101,-0.1948,2,,0,Short,0
2017-01-30,117.925,118.55,117.35,117.75,LH,1.2,0.175,0,0.6667,118.0141,117.9832,-0.2641,-0.2332,3,,0,Short,1
2017-01-31,118.075,119.725,117.95,118.775,LH,1.775,0.7,1,0.5352,118.0683,118.0895,0.7067,0.6855,1,,0,Short,1
2017-02-01,119.05,119.5,117.75,118.625,LH,1.75,0.425,0,0.5,118.1067,118.1608,0.5183,0.4642,2,,0,Short,0
2017-02-02,118.625,119.25,117.9,119.1,LH,1.35,0.475,1,0.1111,118.1732,118.2848,0.9268,0.8152,3,,0,Short,1
2017-02-03,119.1,119.85,118.425,119.775,LH,1.425,0.675,1,0.0526,118.2777,118.4801,1.4973,1.2949,4,,0,Short,1
2017-02-06,119.725,120.925,119.525,120.75,LH,1.4,1.025,1,0.125,118.4348,118.7758,2.3152,1.9742,5,,0,Short,1
2017-02-07,121.05,121.875,121.025,121.7,LH,0.85,0.65,1,0.2059,118.6373,119.1548,3.0627,2.5452,6,,0,Short,1
2017-02-08,121.575,122.175,120.8,121.25,LH,1.375,0.325,0,0.6727,118.7958,119.4251,2.4542,1.8249,7,,0,Short,1
2017-02-09,121.65,121.775,120.15,120.3,LH,1.625,1.35,0,0.9077,118.8851,119.5375,1.4149,0.7625,8,,0,Short,1
2017-02-10,120.525,121.175,120.2,120.6,LH,0.975,0.075,1,0.5897,118.9849,119.6736,1.6151,0.9264,9,,0,Short,1
2017-02-13,120.6,121.3,118.525,119.225,LH,2.775,1.375,0,0.7477,118.9986,119.6163,0.2264,-0.3913,1,,0,Short,0
