date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.03456,0.03471,0.03368,0.03374,MP1,0.001,0.0008,0,0.9417,0.0337,0.0337,0.0,0.0,1,,0,,0
2017-01-04,0.03378,0.03393,0.03261,0.03298,MP1,0.0013,0.0008,0,0.7197,0.0334,0.0333,-0.0004,-0.0003,1,,0,,0
2017-01-05,0.03299,0.0337,0.03265,0.03306,MP1,0.0011,0.0001,1,0.6095,0.0333,0.0332,-0.0002,-0.0001,2,,0,,0
2017-01-06,0.03304,0.03351,0.03291,0.03347,MP1,0.0006,0.0004,1,0.0667,0.0333,0.0333,0.0002,0.0002,1,,0,,0
2017-01-09,0.03347,0.03353,0.0331,0.03314,MP1,0.0004,0.0003,0,0.907,0.0333,0.0333,-0.0002,-0.0002,1,,0,,0
2017-01-10,0.03322,0.03322,0.03217,0.03227,MP1,0.0011,0.0009,0,0.9048,0.0331,0.033,-0.0008,-0.0007,2,,0,,0
2017-01-11,0.03233,0.03238,0.03175,0.03214,MP1,0.0006,0.0002,0,0.381,0.0329,0.0329,-0.0008,-0.0008,3,,0,,0
2017-01-12,0.03216,0.03276,0.03192,0.03232,MP1,0.0008,0.0002,1,0.5238,0.0328,0.0328,-0.0005,-0.0005,4,,0,,0
2017-01-13,0.0324,0.03301,0.03222,0.03301,MP1,0.0008,0.0006,1,0.0,0.0329,0.0328,0.0001,0.0002,1,1,1,Long,0
2017-01-17,0.03289,0.03302,0.0325,0.03293,MP1,0.0005,0.0,1,0.1731,0.0329,0.0328,0.0,0.0001,2,,0,Long,0
2017-01-18,0.03294,0.03298,0.03189,0.03207,MP1,0.0011,0.0009,0,0.8349,0.0328,0.0327,-0.0007,-0.0006,1,,0,Long,1
2017-01-19,0.03206,0.03225,0.03185,0.03202,MP1,0.0004,0.0,0,0.575,0.0327,0.0326,-0.0007,-0.0006,2,,0,Long,0
2017-01-20,0.03199,0.03294,0.03195,0.03279,MP1,0.001,0.0008,1,0.1515,0.0327,0.0326,0.0001,0.0002,1,,0,Long,0
2017-01-23,0.03289,0.03351,0.03284,0.03321,MP1,0.0007,0.0003,1,0.4478,0.0328,0.0327,0.0004,0.0005,2,,0,Long,0
2017-01-24,0.03319,0.03355,0.0329,0.03292,MP1,0.0007,0.0003,0,0.9692,0.0328,0.0327,0.0001,0.0002,3,,0,Long,1
2017-01-25,0.03298,0.03425,0.03279,0.03388,MP1,0.0015,0.0009,1,0.2534,0.0329,0.0329,0.001,0.001,4,,0,Long,1
2017-01-26,0.03389,0.03441,0.03332,0.0337,MP1,0.0011,0.0002,0,0.6514,0.0329,0.033,0.0008,0.0007,5,,0,Long,1
2017-01-27,0.03371,0.03447,0.03329,0.03443,MP1,0.0012,0.0007,1,0.0339,0.033,0.0332,0.0014,0.0012,6,,0,Long,1
2017-01-30,0.03446,0.03496,0.03427,0.03462,MP1,0.0007,0.0002,1,0.4928,0.0332,0.0334,0.0014,0.0012,7,,0,Long,1
2017-01-31,0.03463,0.03493,0.03439,0.03456,MP1,0.0005,0.0001,0,0.6852,0.0333,0.0336,0.0013,0.001,8,,0,Long,1
2017-02-01,0.03452,0.03494,0.03452,0.03484,MP1,0.0004,0.0003,1,0.2381,0.0334,0.0337,0.0014,0.0011,9,,0,Long,1
2017-02-02,0.03485,0.0355,0.03477,0.03524,MP1,0.0007,0.0004,1,0.3562,0.0335,0.0339,0.0017,0.0013,10,,0,Long,1
2017-02-03,0.03532,0.03587,0.03513,0.03571,MP1,0.0007,0.0004,1,0.2162,0.0336,0.0342,0.0021,0.0015,11,,0,Long,1
2017-02-06,0.0358,0.03581,0.035,0.03527,MP1,0.0008,0.0005,0,0.6667,0.0337,0.0343,0.0016,0.001,12,,0,Long,1
2017-02-07,0.03518,0.03526,0.03478,0.03504,MP1,0.0005,0.0001,0,0.4583,0.0338,0.0344,0.0012,0.0006,13,,0,Long,1
2017-02-08,0.03503,0.0355,0.03491,0.03541,MP1,0.0006,0.0004,1,0.1525,0.0339,0.0345,0.0015,0.0009,14,,0,Long,1
2017-02-09,0.03542,0.03585,0.03528,0.03573,MP1,0.0006,0.0003,1,0.2105,0.034,0.0347,0.0017,0.001,15,,0,Long,1
2017-02-10,0.03576,0.03599,0.03561,0.03578,MP1,0.0004,0.0,1,0.5526,0.0341,0.0348,0.0017,0.001,16,,0,Long,1
2017-02-13,0.03577,0.03595,0.03565,0.03595,MP1,0.0003,0.0002,1,0.0,0.0342,0.035,0.0018,0.0009,17,,0,Long,1
2017-02-14,0.03591,0.0361,0.03557,0.03597,MP1,0.0005,0.0001,1,0.2453,0.0343,0.0351,0.0017,0.0009,18,,0,Long,1
2017-02-15,0.03597,0.03607,0.03551,0.03592,MP1,0.0006,0.0001,0,0.2679,0.0344,0.0352,0.0015,0.0007,19,,0,Long,1
2017-02-16,0.03594,0.03603,0.03564,0.03576,MP1,0.0004,0.0002,0,0.6923,0.0345,0.0353,0.0013,0.0005,20,,0,Long,1
2017-02-17,0.03573,0.03573,0.03533,0.03563,MP1,0.0004,0.0001,0,0.25,0.0346,0.0353,0.001,0.0003,21,,0,Long,0
2017-02-21,0.03569,0.03686,0.03534,0.03662,MP1,0.0015,0.0009,1,0.1579,0.0347,0.0355,0.0019,0.0011,22,,0,Long,0
2017-02-22,0.03662,0.03709,0.03643,0.03693,MP1,0.0007,0.0003,1,0.2424,0.0348,0.0357,0.0021,0.0012,23,,0,Long,1
2017-02-23,0.03695,0.0377,0.03675,0.03751,MP1,0.0009,0.0006,1,0.2,0.0349,0.0359,0.0026,0.0016,24,,0,Long,1
2017-02-24,0.03756,0.03764,0.03692,0.03703,MP1,0.0007,0.0005,0,0.8472,0.035,0.036,0.002,0.001,25,,0,Long,1
2017-02-27,0.03702,0.03738,0.03677,0.03693,MP1,0.0006,0.0001,0,0.7377,0.0351,0.0362,0.0018,0.0007,26,,0,Long,1
2017-02-28,0.03696,0.03707,0.03644,0.03645,MP1,0.0006,0.0005,0,0.9841,0.0352,0.0362,0.0013,0.0003,27,,0,Long,1
2017-03-01,0.03646,0.03743,0.03631,0.03721,MP1,0.0011,0.0008,1,0.1964,0.0353,0.0363,0.0019,0.0009,28,,0,Long,0
2017-03-02,0.03726,0.0373,0.03668,0.0368,MP1,0.0006,0.0005,0,0.8065,0.0354,0.0364,0.0014,0.0004,29,,0,Long,0
2017-03-03,0.03677,0.03803,0.03652,0.03796,MP1,0.0015,0.0012,1,0.0464,0.0355,0.0366,0.0025,0.0014,30,1,,Long,0
2017-03-06,0.03796,0.03821,0.03768,0.03778,MP1,0.0005,0.0002,0,0.8113,0.0356,0.0367,0.0022,0.0011,31,,0,Long,1
2017-03-07,0.0378,0.03823,0.03769,0.03808,MP1,0.0005,0.0003,1,0.2778,0.0357,0.0369,0.0024,0.0012,32,,0,Long,1
2017-03-08,0.03811,0.03821,0.03753,0.03761,MP1,0.0007,0.0005,0,0.8824,0.0358,0.037,0.0018,0.0006,33,,0,Long,1
2017-03-09,0.03758,0.03766,0.03704,0.0372,MP1,0.0006,0.0004,0,0.7419,0.0359,0.037,0.0013,0.0002,34,,0,Long,1
2017-03-10,0.03719,0.03789,0.03712,0.03782,MP1,0.0008,0.0006,1,0.0909,0.036,0.0371,0.0018,0.0007,35,1,,Long,0
2017-03-13,0.0378,0.03795,0.03766,0.03776,MP1,0.0003,0.0,0,0.6552,0.036,0.0372,0.0018,0.0006,36,,0,Long,1
2017-03-14,0.03778,0.03788,0.03751,0.03765,MP1,0.0004,0.0001,0,0.6216,0.0361,0.0373,0.0016,0.0004,37,,0,Long,0
2017-03-15,0.03762,0.03888,0.03762,0.03881,MP1,0.0013,0.0012,1,0.0556,0.0362,0.0374,0.0026,0.0014,38,,0,Long,1
2017-03-16,0.03884,0.0393,0.03872,0.03874,MP1,0.0006,0.0001,0,0.9655,0.0363,0.0376,0.0024,0.0011,39,,0,Long,1
2017-03-17,0.03875,0.03924,0.03869,0.03923,MP1,0.0005,0.0005,1,0.0182,0.0365,0.0378,0.0027,0.0014,40,,0,Long,1
