date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,0.03449,0.03464,0.03361,0.03367,MP,0.001,0.0008,0,0.9417,0.0337,0.0337,0.0,0.0,1,,0,,0
2017-01-04,0.03371,0.03386,0.03254,0.03272,MP,0.0013,0.001,0,0.8636,0.0332,0.0332,-0.0005,-0.0005,1,,0,,0
2017-01-05,0.03292,0.03363,0.03258,0.0328,MP,0.0011,0.0001,0,0.7905,0.0331,0.033,-0.0003,-0.0002,2,,0,,0
2017-01-06,0.03297,0.03344,0.03284,0.03343,MP,0.0006,0.0005,1,0.0167,0.0332,0.0331,0.0002,0.0003,1,,0,,0
2017-01-09,0.0334,0.03346,0.03303,0.03309,MP,0.0004,0.0003,0,0.8605,0.0331,0.0331,0.0,0.0,1,,0,,0
2017-01-10,0.03315,0.03315,0.0321,0.03229,MP,0.0011,0.0009,0,0.819,0.033,0.0329,-0.0007,-0.0006,1,,0,,0
2017-01-11,0.03226,0.03231,0.03168,0.03194,MP,0.0006,0.0003,0,0.5873,0.0328,0.0327,-0.0009,-0.0008,2,,0,,0
2017-01-12,0.03209,0.03269,0.03185,0.03225,MP,0.0008,0.0002,1,0.5238,0.0327,0.0326,-0.0004,-0.0003,3,,0,,0
2017-01-13,0.03233,0.03294,0.03215,0.03282,MP,0.0008,0.0005,1,0.1519,0.0327,0.0327,0.0001,0.0001,1,,0,,0
2017-01-17,0.03282,0.03295,0.03243,0.03273,MP,0.0005,0.0001,0,0.4231,0.0327,0.0327,0.0,0.0,1,,0,,0
2017-01-18,0.03287,0.03291,0.03182,0.03201,MP,0.0011,0.0009,0,0.8257,0.0327,0.0326,-0.0007,-0.0006,1,,0,,1
2017-01-19,0.03199,0.03218,0.03178,0.03195,MP,0.0004,0.0,0,0.575,0.0326,0.0325,-0.0006,-0.0006,2,,0,,1
2017-01-20,0.03192,0.03287,0.03188,0.03268,MP,0.001,0.0008,1,0.1919,0.0326,0.0325,0.0001,0.0002,1,,0,,0
2017-01-23,0.03282,0.03344,0.03277,0.03318,MP,0.0007,0.0004,1,0.3881,0.0327,0.0326,0.0005,0.0006,2,,0,,0
2017-01-24,0.03312,0.03348,0.03283,0.03311,MP,0.0007,0.0,0,0.5692,0.0327,0.0327,0.0004,0.0004,3,,0,,1
2017-01-25,0.03291,0.03418,0.03272,0.03339,MP,0.0015,0.0005,1,0.5411,0.0327,0.0328,0.0007,0.0006,4,,0,,1
2017-01-26,0.03382,0.03434,0.03325,0.03355,MP,0.0011,0.0003,0,0.7248,0.0328,0.0329,0.0008,0.0007,5,,0,,1
2017-01-27,0.03364,0.0344,0.03322,0.03425,MP,0.0012,0.0006,1,0.1271,0.0329,0.0331,0.0014,0.0012,6,,0,,1
2017-01-30,0.03439,0.03489,0.0342,0.03463,MP,0.0007,0.0002,1,0.3768,0.033,0.0333,0.0016,0.0013,7,,0,,1
2017-01-31,0.03456,0.03486,0.03432,0.03444,MP,0.0005,0.0001,0,0.7778,0.0331,0.0334,0.0013,0.001,8,,0,,1
2017-02-01,0.03445,0.03487,0.03445,0.03469,MP,0.0004,0.0002,1,0.4286,0.0333,0.0336,0.0014,0.0011,9,,0,,1
2017-02-02,0.03478,0.03543,0.0347,0.03526,MP,0.0007,0.0005,1,0.2329,0.0334,0.0338,0.0019,0.0015,10,,0,,1
2017-02-03,0.03525,0.0358,0.03506,0.03551,MP,0.0007,0.0003,1,0.3919,0.0335,0.034,0.002,0.0015,11,,0,,1
2017-02-06,0.03573,0.03574,0.03493,0.03504,MP,0.0008,0.0007,0,0.8642,0.0336,0.0342,0.0014,0.0008,12,,0,,1
2017-02-07,0.03511,0.03519,0.03471,0.03508,MP,0.0005,0.0,0,0.2292,0.0337,0.0343,0.0014,0.0008,13,,0,,1
2017-02-08,0.03496,0.03543,0.03484,0.03535,MP,0.0006,0.0004,1,0.1356,0.0338,0.0344,0.0016,0.0009,14,,0,,1
2017-02-09,0.03535,0.03578,0.03521,0.03553,MP,0.0006,0.0002,1,0.4386,0.0339,0.0346,0.0016,0.0009,15,,0,,1
2017-02-10,0.03569,0.03592,0.03554,0.0357,MP,0.0004,0.0,1,0.5789,0.034,0.0347,0.0017,0.001,16,,0,,1
2017-02-13,0.0357,0.03588,0.03558,0.03574,MP,0.0003,0.0,1,0.4667,0.0341,0.0348,0.0016,0.0009,17,,0,,1
2017-02-14,0.03584,0.03603,0.0355,0.03586,MP,0.0005,0.0,1,0.3208,0.0342,0.035,0.0017,0.0009,18,,0,,1
2017-02-15,0.0359,0.036,0.03544,0.03591,MP,0.0006,0.0,1,0.1607,0.0343,0.0351,0.0016,0.0008,19,,0,,1
2017-02-16,0.03587,0.03596,0.03557,0.03574,MP,0.0004,0.0001,0,0.5641,0.0344,0.0352,0.0013,0.0005,20,,0,,1
2017-02-17,0.03566,0.03566,0.03526,0.03552,MP,0.0004,0.0001,0,0.35,0.0344,0.0352,0.0011,0.0003,21,,0,,1
2017-02-21,0.03562,0.03679,0.03527,0.03663,MP,0.0015,0.001,1,0.1053,0.0346,0.0354,0.002,0.0012,22,,0,,0
2017-02-22,0.03655,0.03702,0.03636,0.0369,MP,0.0007,0.0004,1,0.1818,0.0347,0.0356,0.0022,0.0013,23,,0,,1
2017-02-23,0.03688,0.03763,0.03668,0.03757,MP,0.0009,0.0007,1,0.0632,0.0348,0.0358,0.0028,0.0018,24,,0,,1
2017-02-24,0.03749,0.03757,0.03685,0.03688,MP,0.0007,0.0006,0,0.9583,0.0349,0.036,0.002,0.0009,25,,0,,1
2017-02-27,0.03695,0.03731,0.0367,0.03683,MP,0.0006,0.0001,0,0.7869,0.035,0.0361,0.0018,0.0007,26,,0,,1
2017-02-28,0.03689,0.037,0.03637,0.03645,MP,0.0006,0.0004,0,0.873,0.0351,0.0361,0.0014,0.0004,27,,0,,1
2017-03-01,0.03639,0.03736,0.03624,0.03707,MP,0.0011,0.0007,1,0.2589,0.0352,0.0362,0.0019,0.0009,28,,0,,0
2017-03-02,0.03719,0.03723,0.03661,0.03667,MP,0.0006,0.0005,0,0.9032,0.0353,0.0363,0.0014,0.0004,29,,0,,0
2017-03-03,0.0367,0.03796,0.03645,0.03785,MP,0.0015,0.0011,1,0.0728,0.0354,0.0365,0.0025,0.0014,30,1,1,Long,0
2017-03-06,0.03789,0.03814,0.03761,0.03777,MP,0.0005,0.0001,0,0.6981,0.0355,0.0367,0.0023,0.0011,31,,0,Long,1
2017-03-07,0.03773,0.03816,0.03762,0.03805,MP,0.0005,0.0003,1,0.2037,0.0356,0.0368,0.0025,0.0013,32,,0,Long,1
2017-03-08,0.03804,0.03814,0.03746,0.03757,MP,0.0007,0.0005,0,0.8382,0.0357,0.0369,0.0019,0.0007,33,,0,Long,1
2017-03-09,0.03751,0.03759,0.03697,0.0371,MP,0.0006,0.0004,0,0.7903,0.0358,0.0369,0.0013,0.0002,34,,0,Long,1
2017-03-10,0.03712,0.03782,0.03705,0.03763,MP,0.0008,0.0005,1,0.2468,0.0359,0.037,0.0017,0.0006,35,,0,Long,0
2017-03-13,0.03774,0.03789,0.0376,0.03779,MP,0.0003,0.0,1,0.3448,0.036,0.0371,0.0018,0.0007,36,,0,Long,0
2017-03-14,0.03772,0.03782,0.03745,0.0375,MP,0.0004,0.0002,0,0.8649,0.036,0.0372,0.0015,0.0003,37,,0,Long,0
2017-03-15,0.03756,0.03882,0.03756,0.03865,MP,0.0013,0.0011,1,0.1349,0.0361,0.0374,0.0025,0.0012,38,,0,Long,0
2017-03-16,0.03878,0.03924,0.03866,0.03892,MP,0.0006,0.0001,1,0.5517,0.0363,0.0376,0.0026,0.0013,39,,0,Long,1
2017-03-17,0.03869,0.03918,0.03863,0.03917,MP,0.0006,0.0005,1,0.0182,0.0364,0.0378,0.0028,0.0014,40,,0,Long,1
2017-03-20,0.03908,0.03943,0.03886,0.03922,MP,0.0006,0.0001,1,0.3684,0.0365,0.0379,0.0027,0.0013,41,,0,Long,1
2017-03-21,0.03942,0.03954,0.03895,0.03913,MP,0.0006,0.0003,0,0.6949,0.0366,0.0381,0.0025,0.001,42,,0,Long,1
2017-03-22,0.03911,0.03932,0.03874,0.0391,MP,0.0006,0.0,0,0.3793,0.0368,0.0382,0.0023,0.0009,43,,0,Long,1
2017-03-23,0.0393,0.03963,0.03906,0.03959,MP,0.0006,0.0003,1,0.0702,0.0369,0.0384,0.0027,0.0012,44,,0,Long,1
