date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,717.25,723.0,716.25,717.75,MW,6.75,0.5,1,0.7778,717.75,717.75,0.0,0.0,1,,0,,0
2017-01-04,718.0,725.75,717.75,724.75,MW,8.0,6.75,1,0.125,721.32,721.4833,3.43,3.2667,1,,0,,0
2017-01-05,724.0,732.0,722.0,730.5,MW,10.0,6.5,1,0.15,724.5032,724.8979,5.9968,5.6021,2,,0,,0
2017-01-06,730.0,736.0,725.75,733.0,MW,10.25,3.0,1,0.2927,726.7565,727.3453,6.2435,5.6547,3,,0,,0
2017-01-09,731.25,740.25,731.25,740.0,MW,9.0,8.75,1,0.0278,729.6213,730.5928,10.3787,9.4072,4,,0,,0
2017-01-10,738.25,742.25,735.0,741.5,MW,7.25,3.25,1,0.1034,731.8042,733.0663,9.6958,8.4337,5,,0,,1
2017-01-11,740.5,744.0,736.25,741.75,MW,7.75,1.25,1,0.2903,733.4011,734.8536,8.3489,6.8964,6,,0,,1
2017-01-12,740.0,756.0,740.0,754.25,MW,16.0,14.25,1,0.1094,736.3863,738.5474,17.8637,15.7026,7,,0,,1
2017-01-13,753.5,764.0,752.0,763.0,MW,12.0,9.5,1,0.0833,739.8381,742.918,23.1619,20.082,8,,0,,1
2017-01-17,762.25,770.25,745.0,746.75,MW,25.25,15.5,0,0.9307,740.6602,743.568,6.0898,3.182,9,,0,,1
2017-01-18,747.25,755.75,747.25,753.75,MW,8.5,6.5,1,0.2353,742.1021,745.2214,11.6479,8.5286,10,,0,,1
2017-01-19,753.0,765.25,752.5,756.75,MW,12.75,3.75,1,0.6667,743.6088,747.0259,13.1412,9.7241,11,,0,,1
2017-01-20,755.25,756.75,747.25,748.75,MW,9.5,6.5,0,0.8421,744.106,747.2875,4.644,1.4625,12,,0,,1
2017-01-23,748.25,750.5,743.5,744.5,MW,7.0,3.75,0,0.8571,744.142,746.8756,0.358,-2.3756,1,,0,,0
2017-01-24,744.0,746.25,740.25,741.0,MW,6.0,3.0,0,0.875,743.8689,746.0266,-2.8689,-5.0266,2,,0,,0
2017-01-25,741.75,744.25,737.5,737.75,MW,6.75,4.0,0,0.963,743.3614,744.8535,-5.6114,-7.1035,3,,0,,0
2017-01-26,738.25,748.75,737.75,747.0,MW,11.0,8.75,1,0.1591,743.6505,745.1527,3.3495,1.8473,1,,0,,0
2017-01-27,747.0,749.0,739.5,740.25,MW,9.5,6.75,0,0.9211,743.3907,744.479,-3.1407,-4.229,1,,0,,0
2017-01-30,739.25,739.25,730.25,731.5,MW,9.0,7.75,0,0.8611,742.5149,742.7173,-11.0149,-11.2173,2,,0,,0
2017-01-31,731.0,734.5,728.0,728.75,MW,6.5,2.25,0,0.8846,741.5347,740.8415,-12.7847,-12.0915,3,,0,,0
2017-02-01,729.75,738.0,727.25,736.0,MW,10.75,6.25,1,0.186,741.1528,740.1973,-5.1528,-4.1973,4,,0,,0
2017-02-02,736.5,745.75,736.5,741.25,MW,9.25,4.75,1,0.4865,741.1593,740.3363,0.0907,0.9137,1,,0,,0
2017-02-03,740.5,743.75,737.75,738.5,MW,6.0,2.0,0,0.875,740.9859,740.0956,-2.4859,-1.5956,1,,0,,1
2017-02-06,738.5,742.0,734.0,735.5,MW,8.0,3.0,0,0.8125,740.6373,739.4968,-5.1373,-3.9968,2,,0,,1
2017-02-07,735.25,737.75,731.5,735.75,MW,6.25,0.5,1,0.32,740.3342,739.0112,-4.5842,-3.2612,3,,0,,1
