date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,6.695,6.695,6.421,6.466,NG1,0.274,0.229,0,0.8358,6.466,6.466,0.0,0.0,1,,0,,0
2017-01-04,6.469,6.507,6.383,6.397,NG1,0.124,0.072,0,0.8871,6.4308,6.4292,-0.0338,-0.0322,1,,0,,0
2017-01-05,6.395,6.491,6.324,6.448,NG1,0.167,0.053,1,0.2575,6.4368,6.4363,0.0112,0.0117,1,,0,,0
2017-01-06,6.445,6.51,6.37,6.426,NG1,0.14,0.019,0,0.6,6.4339,6.4332,-0.0079,-0.0072,1,,0,,0
2017-01-09,6.419,6.442,6.269,6.286,NG1,0.173,0.133,0,0.9017,6.4019,6.3954,-0.1159,-0.1094,2,,0,,0
2017-01-10,6.285,6.478,6.28,6.423,NG1,0.198,0.138,1,0.2778,6.4058,6.4017,0.0172,0.0213,1,,0,,0
2017-01-11,6.421,6.504,6.369,6.445,NG1,0.135,0.024,1,0.437,6.4121,6.4106,0.0329,0.0344,2,,0,,1
2017-01-12,6.445,6.589,6.442,6.526,NG1,0.147,0.081,1,0.4286,6.4284,6.4326,0.0976,0.0934,3,,0,,0
2017-01-13,6.54,6.573,6.478,6.56,NG1,0.095,0.02,1,0.1368,6.4455,6.4553,0.1145,0.1047,4,,0,,1
2017-01-17,6.593,6.648,6.506,6.546,NG1,0.142,0.047,0,0.7183,6.4574,6.4707,0.0886,0.0753,5,,0,,1
2017-01-18,6.549,6.584,6.435,6.467,NG1,0.149,0.082,0,0.7852,6.4585,6.4701,0.0085,-0.0031,1,,0,,1
2017-01-19,6.474,6.548,6.408,6.459,NG1,0.14,0.015,0,0.6357,6.4585,6.4684,0.0005,-0.0094,2,,0,,1
2017-01-20,6.457,6.499,6.359,6.372,NG1,0.14,0.085,0,0.9071,6.4502,6.4538,-0.0782,-0.0818,3,,0,,0
2017-01-23,6.346,6.449,6.328,6.444,NG1,0.121,0.098,1,0.0413,6.4496,6.4523,-0.0056,-0.0083,4,,0,,0
2017-01-24,6.444,6.516,6.433,6.466,NG1,0.083,0.022,1,0.6024,6.451,6.4543,0.015,0.0117,1,,0,,0
2017-01-25,6.462,6.536,6.435,6.532,NG1,0.101,0.07,1,0.0396,6.4577,6.4653,0.0743,0.0667,2,1,1,Long,0
2017-01-26,6.54,6.657,6.522,6.524,NG1,0.135,0.016,0,0.9852,6.463,6.4735,0.061,0.0505,3,,0,Long,1
