date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,5038.25,5089.0,5038.25,5067.75,NQ,50.75,29.5,1,0.4187,5067.75,5067.75,0.0,0.0,1,,0,,0
2017-01-04,5068.0,5104.0,5064.5,5095.0,NQ,39.5,27.0,1,0.2278,5081.6475,5082.2833,13.3525,12.7167,1,,0,,0
2017-01-05,5096.25,5125.75,5082.0,5123.5,NQ,43.75,27.25,1,0.0514,5096.16,5097.892,27.34,25.608,2,,0,,0
2017-01-06,5124.0,5179.0,5114.0,5165.5,NQ,65.0,41.5,1,0.2077,5114.5487,5118.314,50.9513,47.186,3,,0,,0
2017-01-09,5166.0,5191.0,5164.0,5183.5,NQ,27.0,17.5,1,0.2778,5129.4638,5135.0424,54.0362,48.4576,4,,0,,0
2017-01-10,5183.5,5208.5,5168.75,5192.75,NQ,39.75,9.25,1,0.3962,5141.0938,5148.1291,51.6562,44.6209,5,,0,,1
2017-01-11,5194.25,5209.75,5169.0,5208.0,NQ,40.75,13.75,1,0.0429,5151.8362,5160.4522,56.1638,47.5478,6,,0,,1
2017-01-12,5206.0,5206.25,5151.75,5196.25,NQ,54.5,9.75,0,0.1835,5158.1956,5167.2694,38.0544,28.9806,7,,0,,1
2017-01-13,5196.75,5224.75,5196.75,5222.75,NQ,28.0,26.0,1,0.0714,5166.5683,5177.1859,56.1817,45.5641,8,,0,,1
2017-01-17,5217.75,5220.5,5186.5,5201.75,NQ,34.0,16.0,0,0.5515,5170.7527,5181.3526,30.9973,20.3974,9,,0,,1
2017-01-18,5202.0,5218.75,5195.5,5216.0,NQ,23.25,14.0,1,0.1183,5175.737,5186.9786,40.263,29.0214,10,,0,,1
2017-01-19,5214.75,5236.25,5198.0,5215.0,NQ,38.25,0.25,1,0.5556,5179.7755,5191.3647,35.2245,23.6353,11,,0,,1
2017-01-20,5217.0,5244.5,5206.25,5219.75,NQ,38.25,2.75,1,0.6471,5183.6412,5195.672,36.1088,24.078,12,,0,,1
2017-01-23,5220.5,5231.25,5191.75,5225.0,NQ,39.5,4.5,1,0.1582,5187.4234,5200.0064,37.5766,24.9936,13,,0,,0
2017-01-24,5225.25,5265.5,5221.5,5257.75,NQ,44.0,32.5,1,0.1761,5193.5353,5208.3502,64.2147,49.3998,14,,0,,1
2017-01-25,5261.5,5311.5,5261.25,5308.0,NQ,50.25,46.5,1,0.0697,5203.0304,5222.474,104.9696,85.526,15,,0,,1
2017-01-26,5309.75,5330.0,5303.25,5309.25,NQ,26.75,0.5,0,0.7757,5211.4723,5234.5707,97.7777,74.6793,16,,0,,1
2017-01-27,5305.75,5329.0,5300.75,5324.0,NQ,28.25,18.25,1,0.177,5220.0694,5246.8603,103.9306,77.1397,17,,0,,1
2017-01-30,5307.75,5316.0,5256.0,5286.0,NQ,60.0,21.75,0,0.5,5224.9259,5252.1729,61.0741,33.8271,18,,0,,1
2017-01-31,5285.0,5296.5,5244.75,5274.25,NQ,51.75,10.75,0,0.43,5228.4382,5255.1378,45.8118,19.1122,19,,0,,1
2017-02-01,5293.5,5319.75,5284.5,5310.0,NQ,35.25,16.5,1,0.2766,5234.066,5262.4376,75.934,47.5624,20,,0,,0
2017-02-02,5309.25,5319.0,5281.0,5292.5,NQ,38.0,16.75,0,0.6974,5237.9814,5266.4057,54.5186,26.0943,21,,0,,1
2017-02-03,5291.0,5323.75,5281.25,5316.5,NQ,42.5,25.5,1,0.1706,5243.1003,5272.9719,73.3997,43.5281,22,,0,,0
2017-02-06,5318.75,5325.0,5301.75,5319.25,NQ,23.25,0.5,1,0.2473,5247.939,5279.0013,71.311,40.2487,23,,0,,1
2017-02-07,5318.5,5353.5,5315.75,5338.25,NQ,37.75,19.75,1,0.404,5253.5413,5286.6799,84.7087,51.5701,24,,0,,1
