date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,202.5,209.75,201.5,208.0,O2,8.25,5.5,1,0.2121,208.0,208.0,0.0,0.0,1,,0,,0
2017-01-04,208.5,211.5,207.0,210.25,O2,4.5,1.75,1,0.2778,209.1475,209.2,1.1025,1.05,1,,0,,0
2017-01-05,210.75,212.0,208.0,209.0,O2,4.0,1.75,0,0.75,209.0964,209.1243,-0.0964,-0.1243,1,,0,,0
2017-01-06,208.0,211.25,199.0,200.5,O2,12.25,7.5,0,0.8776,206.8166,206.5192,-6.3166,-6.0192,2,,0,,0
2017-01-09,200.75,204.5,197.5,198.0,O2,7.0,2.75,0,0.9286,204.9095,204.3329,-6.9095,-6.3329,3,,0,,0
2017-01-10,198.25,203.0,197.75,199.0,O2,5.25,0.75,1,0.7619,203.8235,203.1236,-4.8235,-4.1236,4,,0,,0
2017-01-11,199.0,205.5,198.5,204.25,O2,7.0,5.25,1,0.1786,203.892,203.3554,0.358,0.8946,1,,0,,0
2017-01-12,206.25,209.5,206.0,208.25,O2,3.5,2.0,1,0.3571,204.516,204.2875,3.734,3.9625,2,,0,,0
2017-01-13,207.25,215.5,207.0,215.0,O2,8.5,7.75,1,0.0588,205.8758,206.2023,9.1242,8.7977,3,,0,,1
2017-01-17,215.0,226.25,214.5,221.75,O2,11.75,6.75,1,0.383,207.7638,208.8395,13.9862,12.9105,4,,0,,1
2017-01-18,221.25,233.75,221.25,229.5,O2,12.5,8.25,1,0.34,210.1582,212.1943,19.3418,17.3057,5,,0,,1
2017-01-19,229.75,232.25,223.25,230.5,O2,9.0,0.75,1,0.1944,212.2505,215.0597,18.2495,15.4403,6,,0,,1
2017-01-20,230.75,237.0,227.5,235.25,O2,9.5,4.5,1,0.1842,214.4747,218.1234,20.7753,17.1266,7,,0,,1
2017-01-23,237.0,241.0,226.5,232.5,O2,14.5,4.5,0,0.5862,216.123,220.2481,16.377,12.2519,8,,0,,1
2017-01-24,229.25,232.5,226.0,229.25,O2,6.5,0.0,null,0.5,217.2639,221.5489,11.9861,7.7011,9,,0,,1
2017-01-25,229.75,233.5,229.75,232.5,O2,3.75,2.75,1,0.2667,218.5277,223.101,13.9723,9.399,10,,0,,0
2017-01-26,233.25,237.25,227.0,227.75,O2,10.25,5.5,0,0.9268,219.2607,223.7491,8.4893,4.0009,11,,0,,1
2017-01-27,227.75,229.5,221.75,225.75,O2,7.75,2.0,0,0.4839,219.7565,224.0241,5.9935,1.7259,12,,0,,0
2017-01-30,225.75,225.75,215.75,216.25,O2,10.0,9.5,0,0.95,219.4982,222.9689,-3.2482,-6.7189,1,,0,,0
2017-01-31,217.5,220.0,215.5,216.75,O2,4.5,0.75,0,0.7222,219.3025,222.1337,-2.5525,-5.3837,2,,0,,0
2017-02-01,218.0,225.75,217.5,223.25,O2,8.25,5.25,1,0.303,219.5749,222.2822,3.6751,0.9678,1,,0,,0
2017-02-02,222.5,230.5,222.5,227.5,O2,8.0,5.0,1,0.375,220.1059,222.9709,7.3941,4.5291,2,,0,,0
2017-02-03,227.25,232.25,223.5,231.25,O2,8.75,4.0,1,0.1143,220.8324,224.0561,10.4176,7.1939,3,,0,,1
2017-02-06,229.5,237.25,227.5,233.75,O2,9.75,4.25,1,0.359,221.6532,225.3191,12.0968,8.4309,4,,0,,1
2017-02-07,232.75,233.5,227.25,230.0,O2,6.25,2.75,0,0.56,222.171,225.9258,7.829,4.0742,5,,0,,1
2017-02-08,230.5,230.5,223.0,226.5,O2,7.5,4.0,0,0.5333,222.4336,225.9998,4.0664,0.5002,6,,0,,1
2017-02-09,228.5,230.0,222.5,227.0,O2,7.5,1.5,0,0.4,222.7047,226.1284,4.2953,0.8716,7,,0,,0
2017-02-10,224.75,228.25,224.75,227.0,O2,3.5,2.25,1,0.3571,222.9547,226.24,4.0453,0.76,8,,0,,0
2017-02-13,229.75,233.25,225.0,227.25,O2,8.25,2.5,0,0.7273,223.2,226.3689,4.05,0.8811,9,,0,,0
2017-02-14,225.5,228.5,225.0,226.5,O2,3.5,1.0,1,0.5714,223.3852,226.3856,3.1148,0.1144,10,,0,,0
2017-02-15,225.25,226.25,221.5,223.0,O2,4.75,2.25,0,0.6842,223.364,225.9555,-0.364,-2.9555,1,,0,,0
2017-02-16,223.0,231.0,223.0,228.25,O2,8.0,5.25,1,0.3438,223.6293,226.2464,4.6207,2.0036,1,,0,,0
2017-02-17,228.5,229.75,223.75,228.0,O2,6.0,0.5,0,0.2917,223.8632,226.4683,4.1368,1.5317,2,,0,,1
2017-02-21,229.0,229.75,224.5,227.5,O2,5.25,1.5,0,0.4286,224.0551,226.5987,3.4449,0.9013,3,,0,,1
2017-02-22,227.5,231.0,226.5,229.5,O2,4.5,2.0,1,0.3333,224.3385,226.9647,5.1615,2.5353,4,,0,,1
2017-02-23,229.25,229.75,227.75,229.5,O2,2.0,0.25,1,0.125,224.6037,227.2843,4.8963,2.2157,5,,0,,1
2017-02-24,229.25,229.25,224.75,226.75,O2,4.5,2.5,0,0.5556,224.7127,227.217,2.0373,-0.467,1,,0,,1
2017-02-27,226.5,226.5,218.75,219.75,O2,7.75,6.75,0,0.871,224.4636,226.2777,-4.7136,-6.5277,2,,0,,0
2017-02-28,220.25,225.25,219.75,221.0,O2,5.5,0.75,1,0.7727,224.2916,225.6144,-3.2916,-4.6144,3,,0,,0
2017-03-01,223.5,226.75,221.25,223.25,O2,5.5,0.25,0,0.6364,224.2405,225.3174,-0.9905,-2.0674,4,,0,,0
2017-03-02,222.5,225.0,212.0,215.0,O2,13.0,7.5,0,0.7692,223.7909,224.0223,-8.7909,-9.0223,5,,0,,0
2017-03-03,214.25,220.5,214.0,219.0,O2,6.5,4.75,1,0.2308,223.56,223.3922,-4.56,-4.3922,6,,0,,0
2017-03-06,219.75,223.25,218.5,221.75,O2,4.75,2.0,1,0.3158,223.4735,223.1863,-1.7235,-1.4363,7,,0,,0
2017-03-07,222.25,222.75,214.75,216.75,O2,8.0,5.5,0,0.75,223.1551,222.3795,-6.4051,-5.6295,8,,0,,1
2017-03-08,215.75,220.75,214.0,220.5,O2,6.75,4.75,1,0.037,223.0304,222.144,-2.5304,-1.644,9,,0,,0
2017-03-09,220.25,221.0,216.0,217.25,O2,5.0,3.0,0,0.75,222.7609,221.5309,-5.5109,-4.2809,10,,0,,1
2017-03-10,216.5,224.25,216.0,223.0,O2,8.25,6.5,1,0.1515,222.772,221.7149,0.228,1.2851,1,,0,,0
2017-03-13,223.75,224.5,220.25,222.75,O2,4.25,1.0,0,0.4118,222.771,221.8445,-0.021,0.9055,2,,0,,1
2017-03-14,221.75,233.5,220.75,230.5,O2,12.75,8.75,1,0.2353,223.1237,222.928,7.3763,7.572,3,,0,,1
2017-03-15,230.75,234.75,228.25,234.0,O2,6.5,3.25,1,0.1154,223.617,224.3137,10.383,9.6863,4,,0,,1
2017-03-16,233.75,234.75,225.75,226.0,O2,9.0,7.75,0,0.9722,223.7244,224.5248,2.2756,1.4752,5,,0,,1
2017-03-17,227.25,229.25,223.75,226.75,O2,5.5,0.5,0,0.4545,223.86,224.8032,2.89,1.9468,6,,0,,1
2017-03-20,227.5,228.5,223.75,227.5,O2,4.75,0.0,null,0.2105,224.0222,225.1406,3.4778,2.3594,7,,0,,1
2017-03-21,225.25,230.75,224.75,230.5,O2,6.0,5.25,1,0.0417,224.3093,225.811,6.1907,4.689,8,1,1,Long,0
2017-03-22,230.25,230.75,227.0,228.25,O2,3.75,2.0,0,0.6667,224.4831,226.1161,3.7669,2.1339,9,,0,Long,0
2017-03-23,230.0,230.0,223.5,224.75,O2,6.5,5.25,0,0.8077,224.4948,225.9452,0.2552,-1.1952,1,,0,Long,1
2017-03-24,224.5,227.0,222.5,223.0,O2,4.5,1.5,0,0.8889,224.4295,225.5769,-1.4295,-2.5769,2,,0,Long,0
2017-03-27,225.25,225.25,216.0,217.25,O2,9.25,8.0,0,0.8649,224.1173,224.5356,-6.8673,-7.2856,3,,0,Long,0
2017-03-28,218.0,218.75,210.75,211.75,O2,8.0,6.25,0,0.875,223.5818,222.9368,-11.8318,-11.1868,4,,0,Long,0
2017-03-29,210.75,211.25,205.75,208.0,O2,5.5,2.75,0,0.5909,222.9098,221.069,-14.9098,-13.069,5,,0,Long,0
2017-03-30,208.0,208.0,202.75,204.0,O2,5.25,4.0,0,0.7619,222.0974,218.9348,-18.0974,-14.9348,6,,0,Long,0
2017-03-31,203.25,204.5,198.0,201.0,O2,6.5,2.25,0,0.5385,221.1945,216.6924,-20.1945,-15.6924,7,,0,Long,0
2017-04-03,201.0,202.25,198.25,202.25,O2,4.0,1.25,1,0.0,220.3866,214.8867,-18.1366,-12.6367,8,,0,Long,0
2017-04-04,202.25,202.25,198.5,199.5,O2,3.75,2.75,0,0.7333,219.4989,212.963,-19.9989,-13.463,9,,0,Long,0
2017-04-05,200.0,201.0,196.75,199.25,O2,4.25,0.75,0,0.4118,218.6411,211.2486,-19.3911,-11.9986,10,,0,Long,0
2017-04-06,199.5,199.5,194.75,195.5,O2,4.75,4.0,0,0.8421,217.6639,209.2797,-22.1639,-13.7797,11,,0,Long,0
2017-04-07,195.5,196.25,192.5,193.25,O2,3.75,2.25,0,0.8,216.6361,207.2757,-23.3861,-14.0257,12,,0,Long,0
2017-04-10,193.75,194.75,190.5,193.25,O2,4.25,0.5,0,0.3529,215.6543,205.5223,-22.4043,-12.2723,13,,0,Long,0
2017-04-11,192.75,196.75,192.25,196.5,O2,4.5,3.75,1,0.0556,214.8525,204.3944,-18.3525,-7.8944,14,,0,Long,0
2017-04-12,196.75,201.75,194.25,201.25,O2,7.5,4.5,1,0.0667,214.2845,204.0013,-13.0345,-2.7513,15,,0,Long,0
2017-04-13,201.5,202.25,199.25,202.25,O2,3.0,0.75,1,0.0,213.7833,203.7824,-11.5333,-1.5324,16,,0,Long,1
2017-04-17,202.25,207.25,194.75,196.0,O2,12.5,6.25,0,0.9,213.0444,202.8095,-17.0444,-6.8095,17,0,1,Short,1
2017-04-18,197.0,197.75,192.75,195.5,O2,5.0,1.5,0,0.45,212.3172,201.8958,-16.8172,-6.3958,18,,0,Short,1
2017-04-19,195.75,196.0,193.25,195.0,O2,2.75,0.75,0,0.3636,211.601,201.0338,-16.601,-6.0338,19,,0,Short,0
2017-04-20,194.5,199.75,192.75,198.5,O2,7.0,4.0,1,0.1786,211.0603,200.717,-12.5603,-2.217,20,,0,Short,0
2017-04-21,197.5,198.25,195.5,196.75,O2,2.75,0.75,0,0.5455,210.471,200.2211,-13.721,-3.4711,21,,0,Short,0
