date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,718.35,758.05,716.7,748.45,PA2,41.35,30.1,1,0.2322,748.45,748.45,0.0,0.0,1,,0,,0
2017-01-04,749.7,782.7,746.85,777.35,PA2,35.85,27.65,1,0.1492,763.189,763.8633,14.161,13.4867,1,,0,,0
2017-01-05,777.55,788.55,766.1,776.75,PA2,22.45,0.8,0,0.5256,767.8913,768.7435,8.8587,8.0065,2,,0,,0
2017-01-06,778.35,798.35,774.1,796.9,PA2,24.25,18.55,1,0.0598,775.5843,777.2486,21.3157,19.6514,3,,0,,0
2017-01-09,794.95,807.5,793.1,795.7,PA2,14.4,0.75,1,0.8194,779.9356,781.9837,15.7644,13.7163,4,,0,,0
2017-01-10,798.75,804.85,795.15,803.8,PA2,9.7,5.05,1,0.1082,784.3211,786.9311,19.4789,16.8689,5,,0,,1
2017-01-11,804.7,805.9,782.8,792.45,PA2,23.1,12.25,0,0.5823,785.6263,788.067,6.8237,4.383,6,,0,,1
2017-01-12,795.45,804.55,791.85,803.8,PA2,12.7,8.35,1,0.0591,788.2285,791.0632,15.5715,12.7368,7,,0,,1
2017-01-13,798.5,798.5,782.9,787.7,PA2,15.6,10.8,0,0.6923,788.1599,790.462,-0.4599,-2.762,1,,0,,1
2017-01-17,791.1,799.05,776.0,791.55,PA2,23.05,0.45,1,0.3254,788.5631,790.6466,2.9869,0.9034,1,,0,,0
2017-01-18,789.45,792.8,781.3,789.55,PA2,11.5,0.1,1,0.2826,788.6719,790.4685,0.8781,-0.9185,1,,0,,0
2017-01-19,787.9,794.05,782.9,789.7,PA2,11.15,1.8,1,0.3901,788.7776,790.3482,0.9224,-0.6482,2,,0,,0
2017-01-20,792.55,832.7,789.55,826.95,PA2,43.15,34.4,1,0.1333,792.4691,795.9023,34.4809,31.0477,1,,0,,0
2017-01-23,827.05,836.05,808.65,810.05,PA2,27.4,17.0,0,0.9489,794.0768,797.9932,15.9732,12.0568,2,,0,,1
2017-01-24,817.35,836.55,811.8,834.4,PA2,24.75,17.05,1,0.0869,797.5812,803.2539,36.8188,31.1461,3,,0,,1
2017-01-25,828.4,830.0,769.15,774.65,PA2,60.85,53.75,0,0.9096,795.679,799.1997,-21.029,-24.5497,1,0,1,Short,1
2017-01-26,771.0,783.05,752.3,763.0,PA2,30.75,8.0,0,0.652,793.0818,794.1534,-30.0818,-31.1534,2,,0,Short,0
2017-01-27,762.05,782.95,750.25,777.15,PA2,32.7,15.1,1,0.1774,791.8646,791.8168,-14.7146,-14.6668,3,,0,Short,0
2017-01-30,779.2,782.25,764.65,777.0,PA2,17.6,2.2,0,0.2983,790.7697,789.8056,-13.7697,-12.8056,4,,0,Short,0
2017-01-31,778.15,797.55,777.45,792.85,PA2,20.1,14.7,1,0.2338,790.9178,790.2145,1.9322,2.6355,1,,0,Short,0
2017-02-01,794.55,806.05,792.55,801.45,PA2,13.5,6.9,1,0.3407,791.6445,791.7094,9.8055,9.7406,2,,0,Short,1
2017-02-02,803.0,809.45,796.1,797.6,PA2,13.35,5.4,0,0.8876,792.0436,792.487,5.5564,5.113,3,,0,Short,1
2017-02-03,797.05,799.5,779.75,787.55,PA2,19.75,9.5,0,0.6051,791.7506,791.8398,-4.2006,-4.2898,1,,0,Short,1
2017-02-06,787.55,813.55,783.95,812.85,PA2,29.6,25.3,1,0.0236,793.0913,794.5772,19.7587,18.2728,1,,0,Short,1
2017-02-07,811.45,812.65,793.35,803.0,PA2,19.3,8.45,0,0.5,793.706,795.6688,9.294,7.3312,2,,0,Short,1
2017-02-08,801.45,812.2,797.5,808.3,PA2,14.7,6.85,1,0.2653,794.5911,797.2983,13.7089,11.0017,3,,0,Short,1
2017-02-09,809.15,817.35,806.55,811.1,PA2,10.8,1.95,1,0.5787,795.5714,799.0717,15.5286,12.0283,4,,0,Short,1
2017-02-10,807.6,825.25,802.8,821.65,PA2,22.45,14.05,1,0.1604,797.0892,801.9627,24.5608,19.6873,5,,0,Short,1
2017-02-13,823.15,826.35,811.2,813.5,PA2,15.15,9.65,0,0.8482,798.0266,803.4355,15.4734,10.0645,6,,0,Short,1
2017-02-14,813.55,823.45,812.2,819.45,PA2,11.25,5.9,1,0.3556,799.2288,805.4745,20.2212,13.9755,7,,0,Short,1
2017-02-15,821.0,830.0,815.35,824.75,PA2,14.65,3.75,1,0.3584,800.6371,807.9229,24.1129,16.8271,8,,0,Short,1
2017-02-16,827.1,834.4,825.35,831.85,PA2,9.05,4.75,1,0.2818,802.3324,810.9561,29.5176,20.8939,9,,0,Short,1
2017-02-17,831.2,833.5,811.9,817.75,PA2,21.6,13.45,0,0.7292,803.1573,811.8158,14.5927,5.9342,10,,0,Short,1
2017-02-21,813.4,820.55,801.65,817.35,PA2,18.9,3.95,1,0.1693,803.906,812.515,13.444,4.835,11,,0,Short,1
2017-02-22,819.2,823.35,803.55,807.6,PA2,19.8,11.6,0,0.7955,804.0983,811.8949,3.5017,-4.2949,1,,0,Short,0
2017-02-23,808.5,818.2,800.7,812.0,PA2,17.5,3.5,1,0.3543,804.5044,811.9081,7.4956,0.0919,1,,0,Short,0
2017-02-24,810.9,824.2,807.8,810.35,PA2,16.4,0.55,0,0.8445,804.8012,811.712,5.5488,-1.362,1,,0,Short,0
2017-02-27,810.15,827.1,806.45,822.4,PA2,20.65,12.25,1,0.2276,805.6845,813.0564,16.7155,9.3436,1,,0,Short,0
2017-02-28,820.35,824.15,805.45,809.1,PA2,18.7,11.25,0,0.8048,805.854,812.5591,3.246,-3.4591,1,,0,Short,1
2017-03-01,808.6,821.3,806.45,816.4,PA2,14.85,7.8,1,0.33,806.3722,813.0415,10.0278,3.3585,1,,0,Short,1
2017-03-02,813.65,814.6,803.5,807.15,PA2,11.1,6.5,0,0.6712,806.41,812.302,0.74,-5.152,1,,0,Short,1
2017-03-03,804.9,812.55,791.9,805.1,PA2,20.65,0.2,1,0.3608,806.3469,811.3984,-1.2469,-6.2984,2,,0,Short,0
2017-03-06,808.15,815.95,803.05,810.55,PA2,12.9,2.4,1,0.4186,806.5477,811.292,4.0023,-0.742,3,,0,Short,0
2017-03-07,811.65,815.3,800.5,812.4,PA2,14.8,0.75,1,0.1959,806.8248,811.4309,5.5752,0.9691,1,,0,Short,1
2017-03-08,809.3,812.15,802.9,807.8,PA2,9.25,1.5,0,0.4703,806.8706,810.9759,0.9294,-3.1759,1,,0,Short,0
2017-03-09,806.8,809.05,784.35,785.45,PA2,24.7,21.35,0,0.9555,805.8721,807.7783,-20.4221,-22.3283,2,0,,Short,1
2017-03-10,784.05,791.15,779.2,782.55,PA2,11.95,1.5,0,0.7197,804.7928,804.6188,-22.2428,-22.0688,3,,0,Short,0
2017-03-13,786.2,795.45,783.55,791.85,PA2,11.9,5.65,1,0.3025,804.1981,803.0201,-12.3481,-11.1701,4,,0,Short,0
2017-03-14,790.3,791.9,778.1,779.1,PA2,13.8,11.2,0,0.9275,803.0525,800.0258,-23.9525,-20.9258,5,,0,Short,0
2017-03-15,779.9,803.9,778.8,782.85,PA2,25.1,2.95,1,0.8386,802.1363,797.8761,-19.2863,-15.0261,6,,0,Short,0
2017-03-16,798.8,813.25,798.2,804.05,PA2,15.05,5.25,1,0.6113,802.2226,798.6487,1.8274,5.4013,1,,0,Short,0
2017-03-17,803.1,817.35,801.9,813.2,PA2,15.45,10.1,1,0.2686,802.7145,800.4694,10.4855,12.7306,2,,0,Short,1
2017-03-20,814.35,823.05,810.05,819.05,PA2,13.0,4.7,1,0.3077,803.4425,802.7939,15.6075,16.2561,3,,0,Short,1
2017-03-21,819.25,831.2,814.8,825.05,PA2,16.4,5.8,1,0.375,804.4003,805.578,20.6497,19.472,4,,0,Short,1
2017-03-22,824.25,832.6,819.15,826.85,PA2,13.45,2.6,1,0.4275,805.3903,808.2387,21.4597,18.6113,5,,0,Short,1
2017-03-23,825.45,847.35,824.3,837.55,PA2,23.05,12.1,1,0.4252,806.8017,811.9047,30.7483,25.6453,6,,0,Short,1
2017-03-24,839.4,853.2,836.6,850.75,PA2,16.6,11.35,1,0.1476,808.7214,816.7627,42.0286,33.9873,7,,0,Short,1
2017-03-27,849.3,850.05,830.95,831.85,PA2,19.1,17.45,0,0.9529,809.7273,818.6495,22.1227,13.2005,8,,0,Short,1
2017-03-28,831.4,835.35,822.45,830.0,PA2,12.9,1.4,0,0.4147,810.6051,820.0688,19.3949,9.9312,9,,0,Short,1
2017-03-29,828.2,833.4,822.4,827.6,PA2,11.0,0.6,0,0.5273,811.3381,821.0105,16.2619,6.5895,10,,0,Short,1
2017-03-30,827.9,842.35,824.1,834.9,PA2,18.25,7.0,1,0.4082,812.3503,822.7472,22.5497,12.1528,11,,0,Short,0
2017-03-31,830.2,839.35,829.0,835.55,PA2,10.35,5.35,1,0.3671,813.3432,824.348,22.2068,11.202,12,,0,Short,0
2017-04-03,835.15,843.1,832.4,839.95,PA2,10.7,4.8,1,0.2944,814.4778,826.2987,25.4722,13.6513,13,,0,Short,1
2017-04-04,839.5,847.75,839.3,844.35,PA2,8.45,4.85,1,0.4024,815.7474,828.5555,28.6026,15.7945,14,,0,Short,1
2017-04-05,845.1,853.85,839.2,845.15,PA2,14.65,0.05,1,0.5939,816.9929,830.6302,28.1571,14.5198,15,,0,Short,1
2017-04-06,845.4,849.75,833.4,841.5,PA2,16.35,3.9,0,0.5046,818.0278,831.9891,23.4722,9.5109,16,,0,Short,1
2017-04-07,842.6,850.6,835.95,841.1,PA2,14.65,1.5,0,0.6485,818.9992,833.1281,22.1008,7.9719,17,,0,Short,1
2017-04-10,838.85,839.8,823.9,827.4,PA2,15.9,11.45,0,0.7799,819.3519,832.412,8.0481,-5.012,1,,0,Short,1
2017-04-11,824.95,844.35,824.5,840.5,PA2,19.85,15.55,1,0.194,820.2372,833.4231,20.2628,7.0769,1,,0,Short,0
2017-04-12,842.45,844.1,826.5,833.7,PA2,17.6,8.75,0,0.5909,820.7993,833.4577,12.9007,0.2423,2,,0,Short,0
2017-04-13,837.35,847.25,828.6,833.3,PA2,18.65,4.05,0,0.748,821.32,833.438,11.98,-0.138,1,,0,Short,0
2017-04-17,831.15,835.4,824.0,825.95,PA2,11.4,5.2,0,0.8289,821.5123,832.502,4.4377,-6.552,2,,0,Short,0
