date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,748.45,748.45,748.45,748.45,PA,0.0,0.0,null,,748.45,748.45,0.0,0.0,1,,0,,0
2017-01-04,777.35,777.35,777.35,777.35,PA,0.0,0.0,null,,763.189,763.8633,14.161,13.4867,1,,0,,0
2017-01-05,776.75,776.75,776.75,776.75,PA,0.0,0.0,null,,767.8913,768.7435,8.8587,8.0065,2,,0,,0
2017-01-06,796.9,796.9,796.9,796.9,PA,0.0,0.0,null,,775.5843,777.2486,21.3157,19.6514,3,,0,,0
2017-01-09,795.7,795.7,795.7,795.7,PA,0.0,0.0,null,,779.9356,781.9837,15.7644,13.7163,4,,0,,0
2017-01-10,803.8,803.8,803.8,803.8,PA,0.0,0.0,null,,784.3211,786.9311,19.4789,16.8689,5,,0,,1
2017-01-11,792.45,792.45,792.45,792.45,PA,0.0,0.0,null,,785.6263,788.067,6.8237,4.383,6,,0,,1
2017-01-12,803.8,803.8,803.8,803.8,PA,0.0,0.0,null,,788.2285,791.0632,15.5715,12.7368,7,,0,,1
2017-01-13,787.7,787.7,787.7,787.7,PA,0.0,0.0,null,,788.1599,790.462,-0.4599,-2.762,1,,0,,1
2017-01-17,791.55,791.55,791.55,791.55,PA,0.0,0.0,null,,788.5631,790.6466,2.9869,0.9034,1,,0,,0
2017-01-18,789.55,789.55,789.55,789.55,PA,0.0,0.0,null,,788.6719,790.4685,0.8781,-0.9185,1,,0,,0
2017-01-19,789.7,789.7,789.7,789.7,PA,0.0,0.0,null,,788.7776,790.3482,0.9224,-0.6482,2,,0,,0
2017-01-20,826.95,826.95,826.95,826.95,PA,0.0,0.0,null,,792.4691,795.9023,34.4809,31.0477,1,,0,,0
2017-01-23,810.05,810.05,810.05,810.05,PA,0.0,0.0,null,,794.0768,797.9932,15.9732,12.0568,2,,0,,1
2017-01-24,834.4,834.4,834.4,834.4,PA,0.0,0.0,null,,797.5812,803.2539,36.8188,31.1461,3,,0,,1
2017-01-25,774.65,774.65,774.65,774.65,PA,0.0,0.0,null,,795.679,799.1997,-21.029,-24.5497,1,,0,,1
2017-01-26,763.0,763.0,763.0,763.0,PA,0.0,0.0,null,,793.0818,794.1534,-30.0818,-31.1534,2,,0,,0
2017-01-27,777.15,777.15,777.15,777.15,PA,0.0,0.0,null,,791.8646,791.8168,-14.7146,-14.6668,3,,0,,0
2017-01-30,777.0,777.0,777.0,777.0,PA,0.0,0.0,null,,790.7697,789.8056,-13.7697,-12.8056,4,,0,,0
2017-01-31,792.85,792.85,792.85,792.85,PA,0.0,0.0,null,,790.9178,790.2145,1.9322,2.6355,1,,0,,0
2017-02-01,801.45,801.45,801.45,801.45,PA,0.0,0.0,null,,791.6445,791.7094,9.8055,9.7406,2,,0,,1
2017-02-02,797.6,797.6,797.6,797.6,PA,0.0,0.0,null,,792.0436,792.487,5.5564,5.113,3,,0,,1
2017-02-03,787.55,787.55,787.55,787.55,PA,0.0,0.0,null,,791.7506,791.8398,-4.2006,-4.2898,1,,0,,1
2017-02-06,812.85,812.85,812.85,812.85,PA,0.0,0.0,null,,793.0913,794.5772,19.7587,18.2728,1,,0,,1
2017-02-07,803.0,803.0,803.0,803.0,PA,0.0,0.0,null,,793.706,795.6688,9.294,7.3312,2,,0,,1
2017-02-08,808.3,808.3,808.3,808.3,PA,0.0,0.0,null,,794.5911,797.2983,13.7089,11.0017,3,,0,,1
2017-02-09,811.1,811.1,811.1,811.1,PA,0.0,0.0,null,,795.5714,799.0717,15.5286,12.0283,4,,0,,1
2017-02-10,821.65,821.65,821.65,821.65,PA,0.0,0.0,null,,797.0892,801.9627,24.5608,19.6873,5,,0,,1
2017-02-13,813.5,813.5,813.5,813.5,PA,0.0,0.0,null,,798.0266,803.4355,15.4734,10.0645,6,,0,,1
2017-02-14,819.45,819.45,819.45,819.45,PA,0.0,0.0,null,,799.2288,805.4745,20.2212,13.9755,7,,0,,1
2017-02-15,824.75,824.75,824.75,824.75,PA,0.0,0.0,null,,800.6371,807.9229,24.1129,16.8271,8,,0,,1
2017-02-16,831.85,831.85,831.85,831.85,PA,0.0,0.0,null,,802.3324,810.9561,29.5176,20.8939,9,,0,,1
2017-02-17,817.75,817.75,817.75,817.75,PA,0.0,0.0,null,,803.1573,811.8158,14.5927,5.9342,10,,0,,1
2017-02-21,817.35,817.35,817.35,817.35,PA,0.0,0.0,null,,803.906,812.515,13.444,4.835,11,,0,,1
2017-02-22,807.6,807.6,807.6,807.6,PA,0.0,0.0,null,,804.0983,811.8949,3.5017,-4.2949,1,,0,,0
2017-02-23,812.0,812.0,812.0,812.0,PA,0.0,0.0,null,,804.5044,811.9081,7.4956,0.0919,1,,0,,0
2017-02-24,810.35,810.35,810.35,810.35,PA,0.0,0.0,null,,804.8012,811.712,5.5488,-1.362,1,,0,,0
2017-02-27,822.4,822.4,822.4,822.4,PA,0.0,0.0,null,,805.6845,813.0564,16.7155,9.3436,1,,0,,0
