date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,974.9,1017.7,972.5,1013.1,PL2,45.2,38.2,1,0.1018,1013.1,1013.1,0.0,0.0,1,,0,,0
2017-01-04,1010.4,1022.5,997.3,1016.1,PL2,25.2,5.7,1,0.254,1014.63,1014.7,1.47,1.4,1,,0,,0
2017-01-05,1015.8,1048.9,1013.1,1044.9,PL2,35.8,29.1,1,0.1117,1025.1262,1026.1367,19.7738,18.7633,2,,0,,0
2017-01-06,1041.5,1043.7,1030.3,1039.5,PL2,13.4,2.0,0,0.3134,1028.9381,1030.1733,10.5619,9.3267,3,,0,,0
2017-01-09,1042.1,1054.9,1037.2,1051.5,PL2,17.7,9.4,1,0.1921,1033.8185,1035.6463,17.6815,15.8537,4,,0,,0
2017-01-10,1050.2,1054.3,1039.7,1051.7,PL2,14.6,1.5,1,0.1781,1037.1046,1039.2869,14.5954,12.4131,5,,0,,1
2017-01-11,1052.3,1055.5,1033.2,1045.3,PL2,22.3,7.0,0,0.4574,1038.4204,1040.5245,6.8796,4.7755,6,,0,,1
2017-01-12,1044.9,1063.3,1043.6,1053.6,PL2,19.7,8.7,1,0.4924,1040.5939,1043.0146,13.0061,10.5854,7,,0,,1
2017-01-13,1050.3,1059.5,1037.6,1055.3,PL2,21.9,5.0,1,0.1918,1042.5013,1045.2105,12.7987,10.0895,8,,0,,1
2017-01-17,1057.8,1066.4,1045.6,1052.0,PL2,20.8,5.8,0,0.6923,1043.631,1046.3621,8.369,5.6379,9,,0,,1
2017-01-18,1048.7,1052.0,1032.4,1040.8,PL2,19.6,7.9,0,0.5714,1043.3192,1045.459,-2.5192,-4.659,1,,0,,1
2017-01-19,1035.2,1039.4,1020.1,1025.3,PL2,19.3,9.9,0,0.7306,1041.4658,1042.3035,-16.1658,-17.0035,2,,0,,0
2017-01-20,1030.5,1052.8,1025.0,1044.9,PL2,27.8,14.4,1,0.2842,1041.7979,1042.6975,3.1021,2.2025,1,,0,,0
2017-01-23,1050.9,1057.4,1045.7,1048.8,PL2,11.7,2.1,0,0.735,1042.4382,1043.5994,6.3618,5.2006,2,,0,,0
2017-01-24,1053.7,1077.6,1051.3,1076.7,PL2,26.3,23.0,1,0.0342,1045.4158,1048.3824,31.2842,28.3176,3,1,1,Long,0
2017-01-25,1069.0,1073.1,1044.7,1050.6,PL2,28.4,18.4,0,0.7923,1045.8459,1048.6967,4.7541,1.9033,4,,0,Long,1
2017-01-26,1052.3,1059.9,1038.8,1050.6,PL2,21.1,1.7,0,0.4408,1046.2237,1048.962,4.3763,1.638,5,,0,Long,1
2017-01-27,1049.6,1057.4,1033.6,1052.2,PL2,23.8,2.6,1,0.2185,1046.6803,1049.407,5.5197,2.793,6,,0,Long,1
2017-01-30,1057.4,1064.0,1047.1,1062.4,PL2,16.9,5.0,1,0.0947,1047.8382,1051.1706,14.5618,11.2294,7,,0,Long,1
2017-01-31,1060.7,1071.7,1058.2,1065.4,PL2,13.5,4.7,1,0.4667,1049.0888,1053.0815,16.3112,12.3185,8,,0,Long,0
2017-02-01,1066.0,1072.8,1063.4,1068.7,PL2,9.4,2.7,1,0.4362,1050.4419,1055.1597,18.2581,13.5403,9,,0,Long,1
2017-02-02,1070.1,1083.9,1067.4,1068.5,PL2,16.5,1.6,0,0.9333,1051.6519,1056.9205,16.8481,11.5795,10,,0,Long,1
2017-02-03,1072.8,1076.5,1056.9,1075.6,PL2,19.6,2.8,1,0.0459,1053.2132,1059.369,22.3868,16.231,11,,0,Long,1
2017-02-06,1074.6,1087.5,1073.5,1083.0,PL2,14.0,8.4,1,0.3214,1055.1059,1062.4478,27.8941,20.5522,12,,0,Long,1
2017-02-07,1086.9,1086.9,1075.1,1081.8,PL2,11.8,5.1,0,0.4322,1056.7618,1064.9558,25.0382,16.8442,13,,0,Long,1
2017-02-08,1078.1,1091.2,1074.4,1088.3,PL2,16.8,10.2,1,0.1726,1058.6746,1067.9674,29.6254,20.3326,14,,0,Long,1
2017-02-09,1088.5,1101.0,1085.1,1091.1,PL2,15.9,2.6,1,0.6226,1060.5999,1070.9397,30.5001,20.1603,15,,0,Long,1
2017-02-10,1086.3,1086.4,1062.0,1080.6,PL2,24.4,5.7,0,0.2377,1061.764,1072.1767,18.836,8.4233,16,,0,Long,1
2017-02-13,1080.9,1083.1,1064.4,1069.2,PL2,18.7,11.7,0,0.7433,1062.1887,1071.7967,7.0113,-2.5967,1,,0,Long,0
2017-02-14,1070.0,1080.8,1067.6,1071.1,PL2,13.2,1.1,1,0.7348,1062.6888,1071.708,8.4112,-0.608,2,,0,Long,0
2017-02-15,1073.5,1083.4,1059.3,1078.8,PL2,24.1,5.3,1,0.1909,1063.5778,1072.6088,15.2222,6.1912,1,,0,Long,0
2017-02-16,1083.4,1090.6,1080.2,1084.6,PL2,10.4,1.2,1,0.5769,1064.7196,1074.1289,19.8804,10.4711,2,,0,Long,0
2017-02-17,1085.4,1088.0,1072.5,1074.9,PL2,15.5,10.5,0,0.8452,1065.2644,1074.2265,9.6356,0.6735,3,,0,Long,1
2017-02-21,1075.4,1077.7,1059.4,1074.9,PL2,18.3,0.5,0,0.153,1065.7727,1074.3116,9.1273,0.5884,4,,0,Long,1
2017-02-22,1074.8,1077.3,1067.4,1071.6,PL2,9.9,3.2,0,0.5758,1066.076,1073.9695,5.524,-2.3695,1,,0,Long,1
2017-02-23,1073.7,1089.5,1066.3,1080.8,PL2,23.2,7.1,1,0.375,1066.8326,1074.8303,13.9674,5.9697,1,,0,Long,0
2017-02-24,1081.0,1100.9,1079.8,1097.6,PL2,21.1,16.6,1,0.1564,1068.3947,1077.697,29.2053,19.903,2,,0,Long,0
2017-02-27,1097.9,1116.7,1096.2,1107.8,PL2,20.5,9.9,1,0.4341,1070.3725,1081.4836,37.4275,26.3164,3,,0,Long,1
2017-02-28,1100.9,1107.8,1093.0,1099.9,PL2,14.8,1.0,0,0.5338,1071.8384,1083.7983,28.0616,16.1017,4,,0,Long,1
2017-03-01,1095.0,1099.1,1083.5,1087.8,PL2,15.6,7.2,0,0.7244,1072.6227,1084.3009,15.1773,3.4991,5,,0,Long,1
2017-03-02,1087.8,1089.4,1052.4,1058.8,PL2,37.0,29.0,0,0.827,1071.9502,1081.0999,-13.1502,-22.2999,1,,0,Long,1
2017-03-03,1057.4,1069.9,1054.4,1063.0,PL2,15.5,5.6,1,0.4452,1071.5188,1078.8291,-8.5188,-15.8291,2,,0,Long,0
2017-03-06,1070.2,1072.5,1046.6,1047.1,PL2,25.9,23.1,0,0.9807,1070.3524,1074.8502,-23.2524,-27.7502,3,,0,Long,0
2017-03-07,1049.5,1050.6,1029.3,1030.0,PL2,21.3,19.5,0,0.9671,1068.4412,1069.2281,-38.4412,-39.2281,4,,0,Long,0
2017-03-08,1031.2,1034.4,1015.5,1018.4,PL2,18.9,12.8,0,0.8466,1066.0903,1062.859,-47.6903,-44.459,5,,0,Long,0
2017-03-09,1017.9,1023.0,1004.2,1006.1,PL2,18.8,11.8,0,0.8989,1063.2937,1055.7488,-57.1937,-49.6488,6,,0,Long,0
2017-03-10,1006.4,1016.9,1004.4,1007.1,PL2,12.5,0.7,1,0.784,1060.6933,1049.6562,-53.5933,-42.5562,7,,0,Long,0
2017-03-13,1012.9,1018.1,1007.6,1010.1,PL2,10.5,2.8,0,0.7619,1058.3685,1044.7036,-48.2685,-34.6036,8,,0,Long,0
