date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1013.1,1013.1,1013.1,1013.1,PL,0.0,0.0,null,,1013.1,1013.1,0.0,0.0,1,,0,,0
2017-01-04,1016.1,1016.1,1016.1,1016.1,PL,0.0,0.0,null,,1014.63,1014.7,1.47,1.4,1,,0,,0
2017-01-05,1044.9,1044.9,1044.9,1044.9,PL,0.0,0.0,null,,1025.1262,1026.1367,19.7738,18.7633,2,,0,,0
2017-01-06,1039.5,1039.5,1039.5,1039.5,PL,0.0,0.0,null,,1028.9381,1030.1733,10.5619,9.3267,3,,0,,0
2017-01-09,1051.5,1051.5,1051.5,1051.5,PL,0.0,0.0,null,,1033.8185,1035.6463,17.6815,15.8537,4,,0,,0
2017-01-10,1051.7,1051.7,1051.7,1051.7,PL,0.0,0.0,null,,1037.1046,1039.2869,14.5954,12.4131,5,,0,,1
2017-01-11,1045.3,1045.3,1045.3,1045.3,PL,0.0,0.0,null,,1038.4204,1040.5245,6.8796,4.7755,6,,0,,1
2017-01-12,1053.6,1053.6,1053.6,1053.6,PL,0.0,0.0,null,,1040.5939,1043.0146,13.0061,10.5854,7,,0,,1
2017-01-13,1055.3,1055.3,1055.3,1055.3,PL,0.0,0.0,null,,1042.5013,1045.2105,12.7987,10.0895,8,,0,,1
2017-01-17,1052.0,1052.0,1052.0,1052.0,PL,0.0,0.0,null,,1043.631,1046.3621,8.369,5.6379,9,,0,,1
2017-01-18,1040.8,1040.8,1040.8,1040.8,PL,0.0,0.0,null,,1043.3192,1045.459,-2.5192,-4.659,1,,0,,1
2017-01-19,1025.3,1025.3,1025.3,1025.3,PL,0.0,0.0,null,,1041.4658,1042.3035,-16.1658,-17.0035,2,,0,,0
2017-01-20,1044.9,1044.9,1044.9,1044.9,PL,0.0,0.0,null,,1041.7979,1042.6975,3.1021,2.2025,1,,0,,0
2017-01-23,1048.8,1048.8,1048.8,1048.8,PL,0.0,0.0,null,,1042.4382,1043.5994,6.3618,5.2006,2,,0,,0
2017-01-24,1076.7,1076.7,1076.7,1076.7,PL,0.0,0.0,null,,1045.4158,1048.3824,31.2842,28.3176,3,,0,,0
2017-01-25,1050.6,1050.6,1050.6,1050.6,PL,0.0,0.0,null,,1045.8459,1048.6967,4.7541,1.9033,4,,0,,1
2017-01-26,1050.6,1050.6,1050.6,1050.6,PL,0.0,0.0,null,,1046.2237,1048.962,4.3763,1.638,5,,0,,1
2017-01-27,1052.2,1052.2,1052.2,1052.2,PL,0.0,0.0,null,,1046.6803,1049.407,5.5197,2.793,6,,0,,1
2017-01-30,1062.4,1062.4,1062.4,1062.4,PL,0.0,0.0,null,,1047.8382,1051.1706,14.5618,11.2294,7,,0,,1
2017-01-31,1065.4,1065.4,1065.4,1065.4,PL,0.0,0.0,null,,1049.0888,1053.0815,16.3112,12.3185,8,,0,,0
2017-02-01,1068.7,1068.7,1068.7,1068.7,PL,0.0,0.0,null,,1050.4419,1055.1597,18.2581,13.5403,9,,0,,1
2017-02-02,1068.5,1068.5,1068.5,1068.5,PL,0.0,0.0,null,,1051.6519,1056.9205,16.8481,11.5795,10,,0,,1
2017-02-03,1075.6,1075.6,1075.6,1075.6,PL,0.0,0.0,null,,1053.2132,1059.369,22.3868,16.231,11,,0,,1
2017-02-06,1083.0,1083.0,1083.0,1083.0,PL,0.0,0.0,null,,1055.1059,1062.4478,27.8941,20.5522,12,,0,,1
2017-02-07,1081.8,1081.8,1081.8,1081.8,PL,0.0,0.0,null,,1056.7618,1064.9558,25.0382,16.8442,13,,0,,1
2017-02-08,1088.3,1088.3,1088.3,1088.3,PL,0.0,0.0,null,,1058.6746,1067.9674,29.6254,20.3326,14,,0,,1
2017-02-09,1091.1,1091.1,1091.1,1091.1,PL,0.0,0.0,null,,1060.5999,1070.9397,30.5001,20.1603,15,,0,,1
2017-02-10,1080.6,1080.6,1080.6,1080.6,PL,0.0,0.0,null,,1061.764,1072.1767,18.836,8.4233,16,,0,,1
2017-02-13,1069.2,1069.2,1069.2,1069.2,PL,0.0,0.0,null,,1062.1887,1071.7967,7.0113,-2.5967,1,,0,,0
2017-02-14,1071.1,1071.1,1071.1,1071.1,PL,0.0,0.0,null,,1062.6888,1071.708,8.4112,-0.608,2,,0,,0
