date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1108.0,1115.75,1098.5,1099.0,S2,17.25,9.0,0,0.971,1099.0,1099.0,0.0,0.0,1,,0,,0
2017-01-04,1099.0,1119.75,1096.75,1119.25,S2,23.0,20.25,1,0.0217,1109.3275,1109.8,9.9225,9.45,1,,0,,0
2017-01-05,1118.25,1120.0,1111.5,1116.5,S2,8.5,1.75,0,0.4118,1111.8146,1112.3373,4.6854,4.1627,2,,0,,0
2017-01-06,1116.5,1118.75,1097.5,1098.75,S2,21.25,17.75,0,0.9412,1108.3499,1108.233,-9.5999,-9.483,1,,0,,0
2017-01-09,1098.75,1110.0,1097.5,1109.25,S2,12.5,10.5,1,0.06,1108.5446,1108.494,0.7054,0.756,1,,0,,0
2017-01-10,1108.25,1119.0,1101.25,1117.75,S2,17.75,9.5,1,0.0704,1110.2363,1110.5931,7.5137,7.1569,2,,0,,1
2017-01-11,1116.5,1120.5,1105.0,1115.5,S2,15.5,1.0,0,0.3226,1111.0814,1111.603,4.4186,3.897,3,,0,,0
2017-01-12,1113.75,1145.25,1110.0,1144.25,S2,35.25,30.5,1,0.0284,1115.8306,1117.8202,28.4194,26.4298,4,1,1,Long,0
2017-01-13,1141.5,1156.75,1136.5,1150.25,S2,20.25,8.75,1,0.321,1120.2948,1123.6167,29.9552,26.6333,5,,0,Long,1
2017-01-17,1158.0,1179.5,1156.0,1173.25,S2,23.5,15.25,1,0.266,1126.5932,1132.0357,46.6568,41.2143,6,,0,Long,1
2017-01-18,1172.0,1184.0,1166.5,1179.0,S2,17.5,7.0,1,0.2857,1132.3661,1139.6616,46.6339,39.3384,7,,0,Long,1
2017-01-19,1177.0,1181.25,1170.75,1174.25,S2,10.5,2.75,0,0.6667,1136.6743,1145.0757,37.5757,29.1743,8,,0,Long,1
2017-01-20,1174.0,1175.25,1164.0,1171.5,S2,11.25,2.5,0,0.3333,1140.0421,1149.0854,31.4579,22.4146,9,,0,Long,1
2017-01-23,1171.5,1173.75,1159.25,1161.75,S2,14.5,9.75,0,0.8276,1142.0272,1150.9571,19.7228,10.7929,10,,0,Long,1
2017-01-24,1163.75,1172.0,1155.25,1162.5,S2,16.75,1.25,0,0.5672,1143.8065,1152.625,18.6935,9.875,11,,0,Long,0
2017-01-25,1161.0,1164.0,1154.0,1159.25,S2,10.0,1.75,0,0.475,1145.0875,1153.564,14.1625,5.686,12,,0,Long,0
2017-01-26,1159.5,1162.5,1149.5,1153.5,S2,13.0,6.0,0,0.6923,1145.7561,1153.5551,7.7439,-0.0551,1,,0,Long,0
2017-01-27,1151.0,1156.0,1147.25,1153.25,S2,8.75,2.25,1,0.3143,1146.3286,1153.5132,6.9214,-0.2632,2,,0,Long,0
2017-01-30,1148.0,1148.25,1123.25,1126.75,S2,25.0,21.25,0,0.86,1144.8865,1149.8804,-18.1365,-23.1304,3,,0,Long,0
2017-01-31,1127.0,1130.5,1123.5,1128.5,S2,7.0,1.5,1,0.2857,1143.7196,1147.0092,-15.2196,-18.5092,4,,0,Long,0
2017-02-01,1128.5,1141.5,1121.0,1140.75,S2,20.5,12.25,1,0.0366,1143.5147,1146.1763,-2.7647,-5.4263,5,,0,Long,0
2017-02-02,1141.25,1145.75,1135.25,1141.25,S2,10.5,0.0,null,0.4286,1143.363,1145.5261,-2.113,-4.2761,6,,0,Long,0
2017-02-03,1140.75,1148.25,1130.25,1131.0,S2,18.0,9.75,0,0.9583,1142.557,1143.622,-11.557,-12.622,7,,0,Long,0
2017-02-06,1131.0,1146.5,1130.25,1140.0,S2,16.25,9.0,1,0.4,1142.3945,1143.1501,-2.3945,-3.1501,8,,0,Long,1
2017-02-07,1142.25,1147.25,1136.0,1146.75,S2,11.25,4.5,1,0.0444,1142.6647,1143.6167,4.0853,3.1333,1,,0,Long,1
2017-02-08,1145.75,1163.75,1144.0,1162.75,S2,19.75,17.0,1,0.0506,1143.8829,1146.085,18.8671,16.665,2,,0,Long,1
2017-02-09,1161.0,1165.5,1149.0,1154.5,S2,16.5,6.5,0,0.6667,1144.5133,1147.1663,9.9867,7.3337,3,,0,Long,1
2017-02-10,1154.0,1167.5,1151.5,1163.0,S2,16.0,9.0,1,0.2812,1145.5893,1149.1937,17.4107,13.8063,4,,0,Long,1
2017-02-13,1163.25,1165.75,1154.5,1158.25,S2,11.25,5.0,0,0.6667,1146.3124,1150.3498,11.9376,7.9002,5,,0,Long,1
2017-02-14,1159.0,1160.0,1146.5,1149.0,S2,13.5,10.0,0,0.8148,1146.4632,1150.1779,2.5368,-1.1779,1,,0,Long,1
2017-02-15,1149.0,1165.25,1144.0,1164.75,S2,21.25,15.75,1,0.0235,1147.4723,1152.0289,17.2777,12.7211,1,1,,Long,0
2017-02-16,1163.75,1166.25,1146.5,1147.75,S2,19.75,16.0,0,0.9367,1147.4874,1151.4865,0.2626,-3.7365,1,,0,Long,1
2017-02-17,1147.0,1150.25,1135.0,1136.25,S2,15.25,10.75,0,0.918,1146.8861,1149.5584,-10.6361,-13.3084,2,,0,Long,0
2017-02-21,1137.25,1147.75,1129.75,1130.25,S2,18.0,7.0,0,0.9722,1146.0085,1147.1188,-15.7585,-16.8688,3,,0,Long,0
2017-02-22,1131.0,1135.5,1126.0,1126.5,S2,9.5,4.5,0,0.9474,1144.9932,1144.5172,-18.4932,-18.0172,4,,0,Long,0
2017-02-23,1126.0,1130.5,1114.0,1115.5,S2,16.5,10.5,0,0.9091,1143.4775,1140.8602,-27.9775,-25.3602,5,,0,Long,0
2017-02-24,1116.0,1120.25,1113.0,1117.25,S2,7.25,1.25,1,0.4138,1142.1459,1137.8876,-24.8959,-20.6376,6,,0,Long,0
2017-02-27,1119.25,1122.25,1110.0,1115.0,S2,12.25,4.25,0,0.5918,1140.7835,1135.0087,-25.7835,-20.0087,7,,0,Long,0
2017-02-28,1117.5,1149.25,1116.25,1128.75,S2,33.0,11.25,1,0.6212,1140.1861,1134.222,-11.4361,-5.472,8,,0,Long,0
2017-03-01,1129.25,1145.25,1128.0,1144.75,S2,17.25,15.5,1,0.029,1140.4103,1135.5444,4.3397,9.2056,1,,0,Long,1
2017-03-02,1143.0,1144.0,1125.0,1130.25,S2,19.0,12.75,0,0.7237,1139.916,1134.8798,-9.666,-4.6298,1,,0,Long,1
2017-03-03,1130.0,1134.0,1121.75,1130.5,S2,12.25,0.5,1,0.2857,1139.4622,1134.3303,-8.9622,-3.8303,2,,0,Long,1
2017-03-06,1133.0,1141.5,1128.75,1130.25,S2,12.75,2.75,0,0.8824,1139.0221,1133.8186,-8.7721,-3.5686,3,,0,Long,1
2017-03-07,1130.5,1134.75,1115.25,1118.25,S2,19.5,12.25,0,0.8462,1138.0383,1131.8671,-19.7883,-13.6171,4,,0,Long,1
2017-03-08,1118.25,1120.75,1111.5,1114.75,S2,9.25,3.5,0,0.6486,1136.9442,1129.7222,-22.1942,-14.9722,5,,0,Long,0
2017-03-09,1114.0,1115.75,1099.25,1104.0,S2,16.5,10.0,0,0.7121,1135.4085,1126.5,-31.4085,-22.5,6,,0,Long,0
2017-03-10,1103.5,1105.75,1096.0,1099.5,S2,9.75,4.0,0,0.641,1133.7468,1123.1186,-34.2468,-23.6186,7,,0,Long,0
2017-03-13,1099.25,1103.25,1096.5,1099.0,S2,6.75,0.25,0,0.6296,1132.1502,1120.0988,-33.1502,-21.0988,8,,0,Long,0
2017-03-14,1099.5,1101.0,1085.0,1092.25,S2,16.0,7.25,0,0.5469,1130.329,1116.6127,-38.079,-24.3627,9,,0,Long,0
