date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,22.2,23.12,22.15,23.08,SB,0.97,0.88,1,0.0412,23.08,23.08,0.0,0.0,1,,0,,0
2017-01-04,23.12,23.51,22.98,23.46,SB,0.53,0.34,1,0.0943,23.2738,23.2827,0.1862,0.1773,1,,0,,0
2017-01-05,23.46,23.75,23.23,23.35,SB,0.52,0.11,0,0.7692,23.3002,23.3082,0.0498,0.0418,2,,0,,0
2017-01-06,23.23,23.41,22.87,23.32,SB,0.54,0.09,1,0.1667,23.3055,23.3117,0.0145,0.0083,3,,0,,0
2017-01-09,23.31,23.32,22.93,22.99,SB,0.39,0.32,0,0.8462,23.2372,23.2292,-0.2472,-0.2392,1,,0,,0
2017-01-10,23.07,23.13,22.72,23.05,SB,0.41,0.02,0,0.1951,23.2028,23.1885,-0.1528,-0.1385,2,,0,,0
2017-01-11,23.12,23.46,23.05,23.13,SB,0.41,0.01,1,0.8049,23.1911,23.1765,-0.0611,-0.0465,3,,0,,0
2017-01-12,23.17,23.45,23.15,23.33,SB,0.3,0.16,1,0.4,23.211,23.2057,0.119,0.1243,1,,0,,0
2017-01-13,23.42,23.5,23.05,23.09,SB,0.45,0.33,0,0.9111,23.1953,23.185,-0.1053,-0.095,1,0,1,Short,1
2017-01-17,23.14,23.4,23.09,23.3,SB,0.31,0.16,1,0.3226,23.2078,23.2045,0.0922,0.0955,1,,0,Short,1
2017-01-18,23.32,23.57,23.12,23.55,SB,0.45,0.23,1,0.0444,23.2455,23.2606,0.3045,0.2894,2,,0,Short,1
2017-01-19,23.57,23.95,22.62,22.75,SB,1.33,0.82,0,0.9023,23.1945,23.1807,-0.4445,-0.4307,1,0,,Short,1
2017-01-20,22.67,23.11,22.62,22.75,SB,0.49,0.08,1,0.7347,23.1515,23.1154,-0.4015,-0.3654,2,,0,Short,0
2017-01-23,22.92,23.29,22.81,23.21,SB,0.48,0.29,1,0.1667,23.1569,23.1293,0.0531,0.0807,1,,0,Short,0
2017-01-24,23.21,23.56,23.11,23.15,SB,0.45,0.06,0,0.9111,23.1563,23.1323,-0.0063,0.0177,2,,0,Short,0
