date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1837.0,1895.0,1833.5,1875.0,SI1,61.5,38.0,1,0.3252,1875.0,1875.0,0.0,0.0,1,,0,,0
2017-01-04,1874.5,1897.0,1870.0,1888.0,SI1,27.0,13.5,1,0.3333,1881.63,1881.9333,6.37,6.0667,1,,0,,0
2017-01-05,1889.5,1916.0,1885.5,1902.5,SI1,30.5,13.0,1,0.4426,1888.8668,1889.7219,13.6332,12.7781,2,,0,,0
2017-01-06,1903.5,1911.5,1866.0,1891.5,SI1,45.5,12.0,0,0.4396,1889.5651,1890.259,1.9349,1.241,3,,0,,0
2017-01-09,1892.0,1913.5,1885.5,1900.0,SI1,28.0,8.0,1,0.4821,1891.8223,1892.7588,8.1777,7.2412,4,,0,,0
2017-01-10,1901.5,1935.5,1897.5,1922.5,SI1,38.0,21.0,1,0.3421,1897.4599,1899.5034,25.0401,22.9966,5,,0,,1
2017-01-11,1924.0,1930.5,1896.0,1916.0,SI1,34.5,8.0,0,0.4203,1900.4367,1902.8988,15.5633,13.1012,6,,0,,1
2017-01-12,1917.0,1942.0,1915.5,1920.0,SI1,26.5,3.0,1,0.8302,1903.2378,1906.1555,16.7622,13.8445,7,,0,,1
2017-01-13,1920.5,1925.5,1901.0,1923.5,SI1,24.5,3.0,1,0.0816,1905.8658,1909.2556,17.6342,14.2444,8,,0,,1
2017-01-17,1924.5,1964.5,1920.5,1962.5,SI1,44.0,38.0,1,0.0455,1912.6018,1918.2872,49.8982,44.2128,9,,0,,1
2017-01-18,1963.0,1976.0,1946.0,1947.5,SI1,30.0,15.5,0,0.95,1916.446,1923.0307,31.054,24.4693,10,,0,,1
2017-01-19,1947.5,1952.5,1914.5,1943.0,SI1,38.0,4.5,0,0.25,1919.1774,1926.1564,23.8226,16.8436,11,,0,,1
2017-01-20,1942.5,1959.5,1924.0,1951.5,SI1,35.5,9.0,1,0.2254,1922.3031,1930.0021,29.1969,21.4979,12,,0,,1
2017-01-23,1952.0,1968.5,1947.5,1965.5,SI1,21.0,13.5,1,0.1429,1926.2533,1935.2484,39.2467,30.2516,13,,0,,1
2017-01-24,1965.0,1971.0,1942.5,1951.5,SI1,28.5,13.5,0,0.6842,1928.4475,1937.5967,23.0525,13.9033,14,,0,,1
2017-01-25,1951.0,1953.0,1918.0,1941.0,SI1,35.0,10.0,0,0.3429,1929.4887,1938.0791,11.5113,2.9209,15,,0,,1
2017-01-26,1941.0,1945.0,1908.0,1919.0,SI1,37.0,22.0,0,0.7027,1928.6551,1935.4194,-9.6551,-16.4194,1,,0,,0
2017-01-27,1920.0,1966.0,1903.5,1955.0,SI1,62.5,35.0,1,0.176,1930.6679,1938.1102,24.3321,16.8898,1,,0,,0
2017-01-30,1957.0,1969.5,1948.0,1952.5,SI1,21.5,4.5,0,0.7907,1932.2761,1940.0634,20.2239,12.4366,2,,0,,0
2017-01-31,1953.0,2003.5,1950.5,1997.5,SI1,53.0,44.5,1,0.1132,1936.9205,1947.7769,60.5795,49.7231,3,,0,,1
2017-02-01,1997.0,2006.5,1976.0,1994.0,SI1,30.5,3.0,0,0.4098,1940.8591,1953.9272,53.1409,40.0728,4,,0,,1
2017-02-02,1996.5,2014.5,1981.5,1988.5,SI1,33.0,8.0,0,0.7879,1944.0512,1958.4906,44.4488,30.0094,5,,0,,1
2017-02-03,1988.5,1994.0,1966.0,1992.0,SI1,28.0,3.5,1,0.0714,1947.1772,1962.8829,44.8228,29.1171,6,,0,,1
2017-02-06,1992.0,2016.0,1986.0,2014.0,SI1,30.0,22.0,1,0.0667,1951.4233,1969.5427,62.5767,44.4573,7,,0,,1
2017-02-07,2014.0,2019.5,1996.0,2010.0,SI1,23.5,4.0,0,0.4043,1955.057,1974.786,54.943,35.214,8,,0,,1
2017-02-08,2010.0,2027.5,2002.0,2018.0,SI1,25.5,8.0,1,0.3725,1958.8744,1980.3609,59.1256,37.6391,9,,0,,1
2017-02-09,2018.0,2024.5,2001.5,2004.0,SI1,23.0,14.0,0,0.8913,1961.5539,1983.3984,42.4461,20.6016,10,,0,,1
2017-02-10,2004.0,2042.0,1994.5,2035.5,SI1,47.5,31.5,1,0.1368,1965.8578,1990.0697,69.6422,45.4303,11,,0,,1
2017-02-13,2034.0,2041.5,2015.5,2021.5,SI1,26.0,12.5,0,0.7692,1969.036,1994.082,52.464,27.418,12,,0,,1
2017-02-14,2021.0,2049.0,2013.0,2035.5,SI1,36.0,14.5,1,0.375,1972.7656,1999.3553,62.7344,36.1447,13,,0,,1
2017-02-15,2035.5,2039.0,2015.5,2038.0,SI1,23.5,2.5,1,0.0426,1976.3653,2004.2641,61.6347,33.7359,14,,0,,1
2017-02-16,2037.0,2054.0,2033.5,2049.0,SI1,20.5,12.0,1,0.2439,1980.3105,2009.9351,68.6895,39.0649,15,,0,,1
2017-02-17,2047.5,2049.5,2037.0,2037.5,SI1,12.5,10.0,0,0.96,1983.3705,2013.4233,54.1295,24.0767,16,,0,,1
