date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1883.8,1883.8,1883.8,1883.8,SI,0.0,0.0,null,,1883.8,1883.8,0.0,0.0,1,,0,,0
2017-01-04,1898.1,1898.1,1898.1,1898.1,SI,0.0,0.0,null,,1891.093,1891.4267,7.007,6.6733,1,,0,,0
2017-01-05,1906.6,1906.6,1906.6,1906.6,SI,0.0,0.0,null,,1896.4701,1897.1728,10.1299,9.4272,2,,0,,0
2017-01-06,1894.8,1894.8,1894.8,1894.8,SI,0.0,0.0,null,,1896.0272,1896.456,-1.2272,-1.656,1,,0,,0
2017-01-09,1911.2,1911.2,1911.2,1911.2,SI,0.0,0.0,null,,1899.3093,1900.2397,11.8907,10.9603,1,,0,,0
2017-01-10,1927.7,1927.7,1927.7,1927.7,SI,0.0,0.0,null,,1904.5266,1906.4671,23.1734,21.2329,2,,0,,1
2017-01-11,1925.7,1925.7,1925.7,1925.7,SI,0.0,0.0,null,,1907.9262,1910.4257,17.7738,15.2743,3,,0,,1
2017-01-12,1925.4,1925.4,1925.4,1925.4,SI,0.0,0.0,null,,1910.4282,1913.2774,14.9718,12.1226,4,,0,,1
2017-01-13,1919.4,1919.4,1919.4,1919.4,SI,0.0,0.0,null,,1911.5918,1914.3717,7.8082,5.0283,5,,0,,1
2017-01-17,1957.7,1957.7,1957.7,1957.7,SI,0.0,0.0,null,,1917.0758,1921.7212,40.6242,35.9788,6,,0,,1
2017-01-18,1970.3,1970.3,1970.3,1970.3,SI,0.0,0.0,null,,1922.9388,1929.6093,47.3612,40.6907,7,,0,,1
2017-01-19,1943.1,1943.1,1943.1,1943.1,SI,0.0,0.0,null,,1925.0125,1931.721,18.0875,11.379,8,,0,,1
2017-01-20,1946.1,1946.1,1946.1,1946.1,SI,0.0,0.0,null,,1927.0518,1933.9029,19.0482,12.1971,9,,0,,1
2017-01-23,1961.5,1961.5,1961.5,1961.5,SI,0.0,0.0,null,,1930.202,1937.9815,31.298,23.5185,10,,0,,1
2017-01-24,1961.4,1961.4,1961.4,1961.4,SI,0.0,0.0,null,,1932.9134,1941.3654,28.4866,20.0346,11,,0,,1
2017-01-25,1940.9,1940.9,1940.9,1940.9,SI,0.0,0.0,null,,1933.5759,1941.2995,7.3241,-0.3995,1,,0,,0
2017-01-26,1927.9,1927.9,1927.9,1927.9,SI,0.0,0.0,null,,1933.1248,1939.4316,-5.2248,-11.5316,2,,0,,0
2017-01-27,1956.5,1956.5,1956.5,1956.5,SI,0.0,0.0,null,,1934.9106,1941.7771,21.5894,14.7229,1,,0,,0
2017-01-30,1958.1,1958.1,1958.1,1958.1,SI,0.0,0.0,null,,1936.6188,1943.9927,21.4812,14.1073,2,,0,,0
2017-01-31,1997.2,1997.2,1997.2,1997.2,SI,0.0,0.0,null,,1940.9327,1951.1382,56.2673,46.0618,3,,0,,0
2017-02-01,1987.9,1987.9,1987.9,1987.9,SI,0.0,0.0,null,,1944.1734,1956.0296,43.7266,31.8704,4,,0,,1
2017-02-02,1985.8,1985.8,1985.8,1985.8,SI,0.0,0.0,null,,1946.9626,1959.9591,38.8374,25.8409,5,,0,,1
2017-02-03,1990.8,1990.8,1990.8,1990.8,SI,0.0,0.0,null,,1949.8205,1964.0017,40.9795,26.7983,6,,0,,1
2017-02-06,2012.2,2012.2,2012.2,2012.2,SI,0.0,0.0,null,,1953.7843,1970.2812,58.4157,41.9188,7,,0,,1
2017-02-07,2018.5,2018.5,2018.5,2018.5,SI,0.0,0.0,null,,1957.7988,1976.5304,60.7012,41.9696,8,,0,,1
2017-02-08,2013.4,2013.4,2013.4,2013.4,SI,0.0,0.0,null,,1961.171,1981.2868,52.229,32.1132,9,,0,,1
2017-02-09,2017.0,2017.0,2017.0,2017.0,SI,0.0,0.0,null,,1964.486,1985.8757,52.514,31.1243,10,,0,,1
2017-02-10,2036.2,2036.2,2036.2,2036.2,SI,0.0,0.0,null,,1968.66,1992.3195,67.54,43.8805,11,,0,,1
2017-02-13,2025.0,2025.0,2025.0,2025.0,SI,0.0,0.0,null,,1971.878,1996.4913,53.122,28.5087,12,,0,,1
2017-02-14,2031.8,2031.8,2031.8,2031.8,SI,0.0,0.0,null,,1975.2405,2000.9868,56.5595,30.8132,13,,0,,1
2017-02-15,2039.2,2039.2,2039.2,2039.2,SI,0.0,0.0,null,,1978.7699,2005.8408,60.4301,33.3592,14,,0,,1
2017-02-16,2050.3,2050.3,2050.3,2050.3,SI,0.0,0.0,null,,1982.655,2011.4767,67.645,38.8233,15,,0,,1
2017-02-17,2045.9,2045.9,2045.9,2045.9,SI,0.0,0.0,null,,1986.0391,2015.8328,59.8609,30.0672,16,,0,,1
2017-02-21,2043.0,2043.0,2043.0,2043.0,SI,0.0,0.0,null,,1989.0439,2019.2653,53.9561,23.7347,17,,0,,1
2017-02-22,2037.8,2037.8,2037.8,2037.8,SI,0.0,0.0,null,,1991.5816,2021.604,46.2184,16.196,18,,0,,1
2017-02-23,2054.1,2054.1,2054.1,2054.1,SI,0.0,0.0,null,,1994.7943,2025.6995,59.3057,28.4005,19,,0,,0
2017-02-24,2076.2,2076.2,2076.2,2076.2,SI,0.0,0.0,null,,1998.9274,2032.0575,77.2726,44.1425,20,,0,,1
2017-02-27,2077.3,2077.3,2077.3,2077.3,SI,0.0,0.0,null,,2002.8609,2037.7484,74.4391,39.5516,21,,0,,1
2017-02-28,2082.5,2082.5,2082.5,2082.5,SI,0.0,0.0,null,,2006.8147,2043.3731,75.6853,39.1269,22,,0,,1
2017-03-01,2084.5,2084.5,2084.5,2084.5,SI,0.0,0.0,null,,2010.6316,2048.5387,73.8684,35.9613,23,,0,,1
2017-03-02,2010.4,2010.4,2010.4,2010.4,SI,0.0,0.0,null,,2010.6204,2043.7513,-0.2204,-33.3513,1,,0,,1
2017-03-03,2009.6,2009.6,2009.6,2009.6,SI,0.0,0.0,null,,2010.5712,2039.4667,-0.9712,-29.8667,2,,0,,0
2017-03-06,2012.9,2012.9,2012.9,2012.9,SI,0.0,0.0,null,,2010.6824,2036.1352,2.2176,-23.2352,3,,0,,0
2017-03-07,1989.2,1989.2,1989.2,1989.2,SI,0.0,0.0,null,,2009.665,2030.2518,-20.465,-41.0518,4,,0,,0
2017-03-08,1965.4,1965.4,1965.4,1965.4,SI,0.0,0.0,null,,2007.5854,2022.1253,-42.1854,-56.7253,5,,0,,0
2017-03-09,1939.2,1939.2,1939.2,1939.2,SI,0.0,0.0,null,,2004.3975,2011.7373,-65.1975,-72.5373,6,,0,,0
2017-03-10,1927.9,1927.9,1927.9,1927.9,SI,0.0,0.0,null,,2000.8576,2001.2379,-72.9576,-73.3379,7,,0,,0
2017-03-13,1932.8,1932.8,1932.8,1932.8,SI,0.0,0.0,null,,1997.7303,1992.6691,-64.9303,-59.8691,8,,0,,0
2017-03-14,1927.9,1927.9,1927.9,1927.9,SI,0.0,0.0,null,,1994.543,1984.5613,-66.643,-56.6613,9,,0,,0
2017-03-15,1927.9,1927.9,1927.9,1927.9,SI,0.0,0.0,null,,1991.5206,1977.4697,-63.6206,-49.5697,10,,0,,0
2017-03-16,1968.6,1968.6,1968.6,1968.6,SI,0.0,0.0,null,,1990.4875,1976.3597,-21.8875,-7.7597,11,,0,,0
2017-03-17,1976.9,1976.9,1976.9,1976.9,SI,0.0,0.0,null,,1989.8786,1976.4273,-12.9786,0.4727,1,,0,,1
2017-03-20,1979.4,1979.4,1979.4,1979.4,SI,0.0,0.0,null,,1989.4116,1976.7992,-10.0116,2.6008,2,,0,,1
2017-03-21,1993.9,1993.9,1993.9,1993.9,SI,0.0,0.0,null,,1989.6106,1978.9384,4.2894,14.9616,3,,0,,1
2017-03-22,1993.4,1993.4,1993.4,1993.4,SI,0.0,0.0,null,,1989.7777,1980.7473,3.6223,12.6527,4,,0,,1
2017-03-23,1994.9,1994.9,1994.9,1994.9,SI,0.0,0.0,null,,1990.0025,1982.5174,4.8975,12.3826,5,,0,,1
2017-03-24,2010.4,2010.4,2010.4,2010.4,SI,0.0,0.0,null,,1990.8935,1986.0044,19.5065,24.3956,6,,0,,1
2017-03-27,2046.4,2046.4,2046.4,2046.4,SI,0.0,0.0,null,,1993.3074,1993.5571,53.0926,52.8429,7,,0,,1
2017-03-28,2060.8,2060.8,2060.8,2060.8,SI,0.0,0.0,null,,1996.23,2001.9657,64.57,58.8343,8,,0,,1
2017-03-29,2060.8,2060.8,2060.8,2060.8,SI,0.0,0.0,null,,1999.0147,2009.3224,61.7853,51.4776,9,,0,,1
2017-03-30,2056.2,2056.2,2056.2,2056.2,SI,0.0,0.0,null,,2001.4713,2015.1838,54.7287,41.0162,10,,0,,1
2017-03-31,2061.2,2061.2,2061.2,2061.2,SI,0.0,0.0,null,,2004.0276,2020.9373,57.1724,40.2627,11,,0,,1
2017-04-03,2056.8,2056.8,2056.8,2056.8,SI,0.0,0.0,null,,2006.2781,2025.4211,50.5219,31.3789,12,,0,,1
2017-04-04,2067.9,2067.9,2067.9,2067.9,SI,0.0,0.0,null,,2008.8971,2030.732,59.0029,37.168,13,,0,,0
2017-04-05,2054.3,2054.3,2054.3,2054.3,SI,0.0,0.0,null,,2010.8204,2033.6785,43.4796,20.6215,14,,0,,1
2017-04-06,2060.2,2060.2,2060.2,2060.2,SI,0.0,0.0,null,,2012.9056,2036.9942,47.2944,23.2058,15,,0,,0
2017-04-07,2050.7,2050.7,2050.7,2050.7,SI,0.0,0.0,null,,2014.4968,2038.7076,36.2032,11.9924,16,,0,,0
2017-04-10,2027.1,2027.1,2027.1,2027.1,SI,0.0,0.0,null,,2015.0259,2037.2565,12.0741,-10.1565,1,,0,,0
2017-04-11,2061.0,2061.0,2061.0,2061.0,SI,0.0,0.0,null,,2016.9505,2040.2248,44.0495,20.7752,1,,0,,0
2017-04-12,2065.6,2065.6,2065.6,2065.6,SI,0.0,0.0,null,,2018.9818,2043.3969,46.6182,22.2031,2,,0,,1
2017-04-13,2086.6,2086.6,2086.6,2086.6,SI,0.0,0.0,null,,2021.798,2048.7977,64.802,37.8023,3,,0,,1
2017-04-17,2087.0,2087.0,2087.0,2087.0,SI,0.0,0.0,null,,2024.507,2053.5733,62.493,33.4267,4,,0,,1
2017-04-18,2062.8,2062.8,2062.8,2062.8,SI,0.0,0.0,null,,2026.0942,2054.7267,36.7058,8.0733,5,,0,,1
2017-04-19,2051.8,2051.8,2051.8,2051.8,SI,0.0,0.0,null,,2027.1574,2054.3609,24.6426,-2.5609,1,,0,,1
2017-04-20,2037.4,2037.4,2037.4,2037.4,SI,0.0,0.0,null,,2027.5801,2052.2407,9.8199,-14.8407,2,,0,,0
2017-04-21,2021.2,2021.2,2021.2,2021.2,SI,0.0,0.0,null,,2027.3173,2048.3604,-6.1173,-27.1604,3,,0,,0
2017-04-24,2021.4,2021.4,2021.4,2021.4,SI,0.0,0.0,null,,2027.0741,2044.9903,-5.6741,-23.5903,4,,0,,0
2017-04-25,1994.1,1994.1,1994.1,1994.1,SI,0.0,0.0,null,,2025.7213,2038.6288,-31.6213,-44.5288,5,,0,,0
2017-04-26,1971.3,1971.3,1971.3,1971.3,SI,0.0,0.0,null,,2023.4926,2030.2125,-52.1926,-58.9125,6,,0,,0
2017-04-27,1961.6,1961.6,1961.6,1961.6,SI,0.0,0.0,null,,2020.9623,2021.6357,-59.3623,-60.0357,7,,0,,0
2017-04-28,1954.4,1954.4,1954.4,1954.4,SI,0.0,0.0,null,,2018.2457,2013.2311,-63.8457,-58.8311,8,,0,,0
2017-05-01,1912.4,1912.4,1912.4,1912.4,SI,0.0,0.0,null,,2013.9327,2000.627,-101.5327,-88.227,9,,0,,0
2017-05-02,1911.3,1911.3,1911.3,1911.3,SI,0.0,0.0,null,,2009.757,1989.4609,-98.457,-78.1609,10,,0,,0
2017-05-03,1882.8,1882.8,1882.8,1882.8,SI,0.0,0.0,null,,2004.5992,1976.1281,-121.7992,-93.3281,11,,0,,0
2017-05-04,1858.5,1858.5,1858.5,1858.5,SI,0.0,0.0,null,,1998.6721,1961.4244,-140.1721,-102.9244,12,,0,,0
2017-05-05,1855.6,1855.6,1855.6,1855.6,SI,0.0,0.0,null,,1992.8756,1948.1963,-137.2756,-92.5963,13,,0,,0
2017-05-08,1854.0,1854.0,1854.0,1854.0,SI,0.0,0.0,null,,1987.2565,1936.4216,-133.2565,-82.4216,14,,0,,0
2017-05-09,1834.9,1834.9,1834.9,1834.9,SI,0.0,0.0,null,,1981.0996,1923.7313,-146.1996,-88.8313,15,,0,,0
2017-05-10,1848.9,1848.9,1848.9,1848.9,SI,0.0,0.0,null,,1975.7636,1914.3773,-126.8636,-65.4773,16,,0,,0
2017-05-11,1854.7,1854.7,1854.7,1854.7,SI,0.0,0.0,null,,1970.8827,1906.9176,-116.1827,-52.2176,17,,0,,0
2017-05-12,1868.4,1868.4,1868.4,1868.4,SI,0.0,0.0,null,,1966.7555,1902.1029,-98.3555,-33.7029,18,,0,,0
2017-05-15,1888.5,1888.5,1888.5,1888.5,SI,0.0,0.0,null,,1963.6073,1900.4025,-75.1073,-11.9025,19,,0,,1
2017-05-16,1902.9,1902.9,1902.9,1902.9,SI,0.0,0.0,null,,1961.1675,1900.7147,-58.2675,2.1853,1,,0,,1
2017-05-17,1918.8,1918.8,1918.8,1918.8,SI,0.0,0.0,null,,1959.4664,1902.9754,-40.6664,15.8246,2,,0,,1
2017-05-18,1895.2,1895.2,1895.2,1895.2,SI,0.0,0.0,null,,1956.8885,1902.0035,-61.6885,-6.8035,1,,0,,1
2017-05-19,1907.8,1907.8,1907.8,1907.8,SI,0.0,0.0,null,,1954.9212,1902.728,-47.1212,5.072,1,,0,,1
2017-05-22,1947.3,1947.3,1947.3,1947.3,SI,0.0,0.0,null,,1954.6161,1908.2995,-7.3161,39.0005,2,,0,,1
