date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,405.9,408.0,401.3,401.4,SM2,6.7,4.5,0,0.9851,401.4,401.4,0.0,0.0,1,,0,,0
2017-01-04,401.5,408.6,401.1,408.4,SM2,7.5,6.9,1,0.0267,404.97,405.1333,3.43,3.2667,1,,0,,0
2017-01-05,408.0,408.0,405.2,407.5,SM2,2.8,0.5,0,0.1786,405.8473,406.0296,1.6527,1.4704,2,,0,,0
2017-01-06,407.3,408.2,400.0,400.6,SM2,8.2,6.7,0,0.9268,404.4557,404.3895,-3.8557,-3.7895,1,,0,,0
2017-01-09,400.5,403.9,400.1,403.2,SM2,3.8,2.7,1,0.1842,404.1841,404.0842,-0.9841,-0.8842,2,,0,,0
2017-01-10,403.2,407.3,400.8,406.8,SM2,6.5,3.6,1,0.0769,404.6648,404.7001,2.1352,2.0999,1,,0,,1
2017-01-11,406.5,407.5,401.5,404.2,SM2,6.0,2.3,0,0.55,404.5902,404.5972,-0.3902,-0.3972,1,,0,,0
2017-01-12,403.3,417.9,402.9,417.2,SM2,15.0,13.9,1,0.0467,406.3957,406.9972,10.8043,10.2028,1,1,1,Long,0
2017-01-13,416.0,426.1,414.3,423.2,SM2,11.8,7.2,1,0.2458,408.5752,409.8933,14.6248,13.3067,2,,0,Long,1
2017-01-17,427.6,441.7,424.7,438.1,SM2,17.0,10.5,1,0.2118,412.0868,414.6778,26.0132,23.4222,3,,0,Long,1
2017-01-18,438.2,443.0,433.6,440.4,SM2,9.4,2.2,1,0.2766,415.2057,418.8545,25.1943,21.5455,4,,0,Long,1
2017-01-19,439.6,440.5,434.5,437.5,SM2,6.0,2.1,0,0.5,417.4989,421.7731,20.0011,15.7269,5,,0,Long,1
2017-01-20,437.7,440.3,433.9,438.0,SM2,6.4,0.3,1,0.3594,419.4814,424.2354,18.5186,13.7646,6,,0,Long,1
2017-01-23,438.2,438.8,430.8,432.8,SM2,8.0,5.4,0,0.75,420.6994,425.5012,12.1006,7.2988,7,,0,Long,1
2017-01-24,433.3,435.3,428.5,432.3,SM2,6.8,1.0,0,0.4412,421.7076,426.4836,10.5924,5.8164,8,,0,Long,0
2017-01-25,431.7,433.7,429.4,432.6,SM2,4.3,0.9,1,0.2558,422.6111,427.3505,9.9889,5.2495,9,,0,Long,0
2017-01-26,432.6,433.6,429.9,431.7,SM2,3.7,0.9,0,0.5135,423.3335,427.9568,8.3665,3.7432,10,,0,Long,0
2017-01-27,430.9,433.1,429.5,432.3,SM2,3.6,1.4,1,0.2222,424.0185,428.5537,8.2815,3.7463,11,,0,Long,0
2017-01-30,430.5,430.6,421.8,423.7,SM2,8.8,6.8,0,0.7841,423.995,427.8948,-0.295,-4.1948,1,,0,Long,0
2017-01-31,424.0,425.0,421.9,423.9,SM2,3.1,0.1,0,0.3548,423.9883,427.3584,-0.0883,-3.4584,2,,0,Long,0
2017-02-01,423.6,425.5,420.3,425.3,SM2,5.2,1.7,1,0.0385,424.0788,427.0845,1.2212,-1.7845,3,1,,Long,0
2017-02-02,425.4,427.0,421.8,423.1,SM2,5.2,2.3,0,0.75,424.0132,426.5585,-0.9132,-3.4585,4,,0,Long,0
2017-02-03,423.2,425.3,420.5,420.9,SM2,4.8,2.3,0,0.9167,423.8102,425.8168,-2.9102,-4.9168,5,,0,Long,0
2017-02-06,420.5,426.1,420.3,422.1,SM2,5.8,1.6,1,0.6897,423.7016,425.3326,-1.6016,-3.2326,6,,0,Long,0
2017-02-07,422.6,425.7,419.8,425.2,SM2,5.9,2.6,1,0.0847,423.7945,425.3154,1.4055,-0.1154,7,1,,Long,0
2017-02-08,425.1,430.8,424.2,430.5,SM2,6.6,5.4,1,0.0455,424.2012,425.9843,6.2988,4.5157,1,1,,Long,0
2017-02-09,430.0,430.9,425.2,427.7,SM2,5.7,2.3,0,0.5614,424.409,426.2047,3.291,1.4953,2,,0,Long,1
2017-02-10,427.7,433.2,426.5,431.4,SM2,6.7,3.7,1,0.2687,424.8159,426.8699,6.5841,4.5301,3,,0,Long,1
2017-02-13,431.8,434.8,429.8,432.5,SM2,5.0,0.7,1,0.46,425.2548,427.5887,7.2452,4.9113,4,,0,Long,1
2017-02-14,432.9,433.1,427.9,428.6,SM2,5.2,4.3,0,0.8654,425.4425,427.7174,3.1575,0.8826,5,,0,Long,1
2017-02-15,428.7,436.0,425.8,435.8,SM2,10.2,7.1,1,0.0196,426.014,428.7441,9.786,7.0559,6,1,,Long,0
2017-02-16,435.1,439.2,430.1,430.9,SM2,9.1,4.2,0,0.9121,426.2794,429.0174,4.6206,1.8826,7,,0,Long,1
2017-02-17,430.1,431.5,427.3,428.6,SM2,4.2,1.5,0,0.6905,426.4036,428.9646,2.1964,-0.3646,1,,0,Long,0
2017-02-21,429.1,432.2,426.0,426.6,SM2,6.2,2.5,0,0.9032,426.4139,428.6658,0.1861,-2.0658,2,,0,Long,0
2017-02-22,426.9,427.1,423.7,424.2,SM2,3.4,2.7,0,0.8529,426.2987,428.1023,-2.0987,-3.9023,3,,0,Long,0
2017-02-23,424.0,426.0,419.3,419.9,SM2,6.7,4.1,0,0.9104,425.9699,427.0686,-6.0699,-7.1686,4,,0,Long,0
2017-02-24,420.3,421.3,417.5,420.4,SM2,3.8,0.1,1,0.2368,425.6871,426.229,-5.2871,-5.829,5,,0,Long,0
2017-02-27,421.0,423.1,419.1,420.3,SM2,4.0,0.7,0,0.7,425.4167,425.4832,-5.1167,-5.1832,6,,0,Long,0
2017-02-28,422.0,428.1,419.8,421.1,SM2,8.3,0.9,0,0.8434,425.2024,424.9323,-4.1024,-3.8323,7,,0,Long,0
2017-03-01,420.7,424.2,420.7,424.0,SM2,3.5,3.3,1,0.0571,425.1433,424.8152,-1.1433,-0.8152,8,,0,Long,0
2017-03-02,424.0,424.5,416.2,419.5,SM2,8.3,4.5,0,0.6024,424.8688,424.148,-5.3688,-4.648,9,,0,Long,1
2017-03-03,419.5,419.8,415.2,417.7,SM2,4.6,1.8,0,0.4565,424.5233,423.339,-6.8233,-5.639,10,,0,Long,0
2017-03-06,418.7,423.9,417.2,418.4,SM2,6.7,0.3,0,0.8209,424.2308,422.7197,-5.8308,-4.3197,11,,0,Long,0
2017-03-07,418.7,420.7,414.0,416.0,SM2,6.7,2.7,0,0.7015,423.8409,421.8773,-7.8409,-5.8773,12,,0,Long,0
2017-03-08,416.2,417.1,413.4,415.8,SM2,3.7,0.4,0,0.3514,423.4632,421.1158,-7.6632,-5.3158,13,,0,Long,0
2017-03-09,415.4,416.1,410.6,413.2,SM2,5.5,2.2,0,0.5273,422.9847,420.1242,-9.7847,-6.9242,14,,0,Long,0
2017-03-10,412.3,413.8,410.4,413.4,SM2,3.4,1.1,1,0.1176,422.5412,419.2821,-9.1412,-5.8821,15,,0,Long,0
2017-03-13,413.4,416.1,412.6,415.6,SM2,3.5,2.2,1,0.1429,422.2223,418.8211,-6.6223,-3.2211,16,,0,Long,0
2017-03-14,416.0,416.4,410.8,411.9,SM2,5.6,4.1,0,0.8036,421.7511,417.9547,-9.8511,-6.0547,17,,0,Long,0
2017-03-15,411.7,413.9,411.2,412.3,SM2,2.7,0.6,1,0.5926,421.3225,417.247,-9.0225,-4.947,18,,0,Long,0
2017-03-16,412.7,416.0,411.8,414.0,SM2,4.2,1.3,1,0.4762,420.9924,416.8406,-6.9924,-2.8406,19,,0,Long,0
2017-03-17,414.3,414.6,411.2,413.6,SM2,3.4,0.7,0,0.2941,420.6612,416.4352,-7.0612,-2.8352,20,,0,Long,1
2017-03-20,413.7,415.5,411.1,411.3,SM2,4.4,2.4,0,0.9545,420.244,415.7927,-8.944,-4.4927,21,,0,Long,0
2017-03-21,411.3,413.0,408.3,410.5,SM2,4.7,0.8,0,0.5319,419.8121,415.1307,-9.3121,-4.6307,22,,0,Long,0
2017-03-22,410.2,410.4,407.8,408.2,SM2,2.6,2.0,0,0.8462,419.3,414.2638,-11.1,-6.0638,23,,0,Long,0
