date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,401.4,401.4,401.4,401.4,SM,0.0,0.0,null,,401.4,401.4,0.0,0.0,1,,0,,0
2017-01-04,408.4,408.4,408.4,408.4,SM,0.0,0.0,null,,404.97,405.1333,3.43,3.2667,1,,0,,0
2017-01-05,407.5,407.5,407.5,407.5,SM,0.0,0.0,null,,405.8473,406.0296,1.6527,1.4704,2,,0,,0
2017-01-06,400.6,400.6,400.6,400.6,SM,0.0,0.0,null,,404.4557,404.3895,-3.8557,-3.7895,1,,0,,0
2017-01-09,403.2,403.2,403.2,403.2,SM,0.0,0.0,null,,404.1841,404.0842,-0.9841,-0.8842,2,,0,,0
2017-01-10,406.8,406.8,406.8,406.8,SM,0.0,0.0,null,,404.6648,404.7001,2.1352,2.0999,1,,0,,1
2017-01-11,404.2,404.2,404.2,404.2,SM,0.0,0.0,null,,404.5902,404.5972,-0.3902,-0.3972,1,,0,,0
2017-01-12,417.2,417.2,417.2,417.2,SM,0.0,0.0,null,,406.3957,406.9972,10.8043,10.2028,1,,0,,0
2017-01-13,423.2,423.2,423.2,423.2,SM,0.0,0.0,null,,408.5752,409.8933,14.6248,13.3067,2,,0,,1
2017-01-17,438.1,438.1,438.1,438.1,SM,0.0,0.0,null,,412.0868,414.6778,26.0132,23.4222,3,,0,,1
2017-01-18,440.4,440.4,440.4,440.4,SM,0.0,0.0,null,,415.2057,418.8545,25.1943,21.5455,4,,0,,1
2017-01-19,437.5,437.5,437.5,437.5,SM,0.0,0.0,null,,417.4989,421.7731,20.0011,15.7269,5,,0,,1
2017-01-20,438.0,438.0,438.0,438.0,SM,0.0,0.0,null,,419.4814,424.2354,18.5186,13.7646,6,,0,,1
2017-01-23,432.8,432.8,432.8,432.8,SM,0.0,0.0,null,,420.6994,425.5012,12.1006,7.2988,7,,0,,1
2017-01-24,432.3,432.3,432.3,432.3,SM,0.0,0.0,null,,421.7076,426.4836,10.5924,5.8164,8,,0,,0
2017-01-25,432.6,432.6,432.6,432.6,SM,0.0,0.0,null,,422.6111,427.3505,9.9889,5.2495,9,,0,,0
2017-01-26,431.7,431.7,431.7,431.7,SM,0.0,0.0,null,,423.3335,427.9568,8.3665,3.7432,10,,0,,0
2017-01-27,432.3,432.3,432.3,432.3,SM,0.0,0.0,null,,424.0185,428.5537,8.2815,3.7463,11,,0,,0
2017-01-30,423.7,423.7,423.7,423.7,SM,0.0,0.0,null,,423.995,427.8948,-0.295,-4.1948,1,,0,,0
2017-01-31,423.9,423.9,423.9,423.9,SM,0.0,0.0,null,,423.9883,427.3584,-0.0883,-3.4584,2,,0,,0
2017-02-01,425.3,425.3,425.3,425.3,SM,0.0,0.0,null,,424.0788,427.0845,1.2212,-1.7845,3,,0,,0
2017-02-02,423.1,423.1,423.1,423.1,SM,0.0,0.0,null,,424.0132,426.5585,-0.9132,-3.4585,4,,0,,0
2017-02-03,420.9,420.9,420.9,420.9,SM,0.0,0.0,null,,423.8102,425.8168,-2.9102,-4.9168,5,,0,,0
2017-02-06,422.1,422.1,422.1,422.1,SM,0.0,0.0,null,,423.7016,425.3326,-1.6016,-3.2326,6,,0,,0
2017-02-07,425.2,425.2,425.2,425.2,SM,0.0,0.0,null,,423.7945,425.3154,1.4055,-0.1154,7,,0,,0
2017-02-08,430.5,430.5,430.5,430.5,SM,0.0,0.0,null,,424.2012,425.9843,6.2988,4.5157,1,,0,,0
2017-02-09,427.7,427.7,427.7,427.7,SM,0.0,0.0,null,,424.409,426.2047,3.291,1.4953,2,,0,,1
2017-02-10,431.4,431.4,431.4,431.4,SM,0.0,0.0,null,,424.8159,426.8699,6.5841,4.5301,3,,0,,1
