date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1099.0,1099.0,1099.0,1099.0,S,0.0,0.0,null,,1099.0,1099.0,0.0,0.0,1,,0,,0
2017-01-04,1119.25,1119.25,1119.25,1119.25,S,0.0,0.0,null,,1109.3275,1109.8,9.9225,9.45,1,,0,,0
2017-01-05,1116.5,1116.5,1116.5,1116.5,S,0.0,0.0,null,,1111.8146,1112.3373,4.6854,4.1627,2,,0,,0
2017-01-06,1098.75,1098.75,1098.75,1098.75,S,0.0,0.0,null,,1108.3499,1108.233,-9.5999,-9.483,1,,0,,0
2017-01-09,1109.25,1109.25,1109.25,1109.25,S,0.0,0.0,null,,1108.5446,1108.494,0.7054,0.756,1,,0,,0
2017-01-10,1117.75,1117.75,1117.75,1117.75,S,0.0,0.0,null,,1110.2363,1110.5931,7.5137,7.1569,2,,0,,1
2017-01-11,1115.5,1115.5,1115.5,1115.5,S,0.0,0.0,null,,1111.0814,1111.603,4.4186,3.897,3,,0,,0
2017-01-12,1144.25,1144.25,1144.25,1144.25,S,0.0,0.0,null,,1115.8306,1117.8202,28.4194,26.4298,4,,0,,0
2017-01-13,1150.25,1150.25,1150.25,1150.25,S,0.0,0.0,null,,1120.2948,1123.6167,29.9552,26.6333,5,,0,,1
2017-01-17,1173.25,1173.25,1173.25,1173.25,S,0.0,0.0,null,,1126.5932,1132.0357,46.6568,41.2143,6,,0,,1
2017-01-18,1179.0,1179.0,1179.0,1179.0,S,0.0,0.0,null,,1132.3661,1139.6616,46.6339,39.3384,7,,0,,1
2017-01-19,1174.25,1174.25,1174.25,1174.25,S,0.0,0.0,null,,1136.6743,1145.0757,37.5757,29.1743,8,,0,,1
2017-01-20,1171.5,1171.5,1171.5,1171.5,S,0.0,0.0,null,,1140.0421,1149.0854,31.4579,22.4146,9,,0,,1
2017-01-23,1161.75,1161.75,1161.75,1161.75,S,0.0,0.0,null,,1142.0272,1150.9571,19.7228,10.7929,10,,0,,1
2017-01-24,1162.5,1162.5,1162.5,1162.5,S,0.0,0.0,null,,1143.8065,1152.625,18.6935,9.875,11,,0,,0
