date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,107.859,107.891,107.766,107.828,TU2,0.125,0.031,0,0.504,107.828,107.828,0.0,0.0,1,,0,,0
2017-01-04,107.828,107.844,107.781,107.813,TU2,0.063,0.015,0,0.4921,107.8204,107.82,-0.0074,-0.007,1,,0,,0
2017-01-05,107.828,107.953,107.813,107.922,TU2,0.14,0.094,1,0.2214,107.8556,107.8586,0.0664,0.0634,1,,0,,0
2017-01-06,107.953,108.0,107.828,107.844,TU2,0.172,0.109,0,0.907,107.8525,107.8542,-0.0085,-0.0102,1,,0,,0
2017-01-09,107.844,107.922,107.813,107.906,TU2,0.109,0.062,1,0.1468,107.8641,107.8675,0.0419,0.0385,1,,0,,0
2017-01-10,107.922,107.922,107.875,107.906,TU2,0.047,0.016,0,0.3404,107.8718,107.8762,0.0342,0.0298,2,,0,,1
2017-01-11,107.906,107.984,107.875,107.922,TU2,0.109,0.016,1,0.5688,107.8799,107.8857,0.0421,0.0363,3,,0,,1
2017-01-12,107.906,108.0,107.906,107.906,TU2,0.094,0.0,null,1.0,107.8836,107.8895,0.0224,0.0165,4,,0,,0
2017-01-13,107.938,108.0,107.828,107.906,TU2,0.172,0.032,0,0.5465,107.8865,107.8925,0.0195,0.0135,5,,0,,1
2017-01-17,107.891,108.031,107.891,107.984,TU2,0.14,0.093,1,0.3357,107.8981,107.908,0.0859,0.076,6,,0,,0
2017-01-18,108.0,108.0,107.844,107.922,TU2,0.156,0.078,0,0.5,107.9007,107.9103,0.0213,0.0117,7,,0,,1
2017-01-19,107.844,107.875,107.797,107.859,TU2,0.078,0.015,1,0.2051,107.8964,107.9022,-0.0374,-0.0432,1,,0,,0
2017-01-20,107.844,107.938,107.813,107.922,TU2,0.125,0.078,1,0.128,107.8989,107.9052,0.0231,0.0168,1,,0,,0
2017-01-23,107.906,108.047,107.906,108.016,TU2,0.141,0.11,1,0.2199,107.9096,107.9216,0.1064,0.0944,2,,0,,1
2017-01-24,108.031,108.031,107.906,107.922,TU2,0.125,0.109,0,0.872,107.9107,107.9217,0.0113,0.0003,3,,0,,1
2017-01-25,107.922,107.938,107.859,107.875,TU2,0.079,0.047,0,0.7975,107.9077,107.9151,-0.0327,-0.0401,1,,0,,0
2017-01-26,107.906,107.938,107.859,107.922,TU2,0.079,0.016,1,0.2025,107.9089,107.916,0.0131,0.006,1,,0,,1
2017-01-27,107.906,107.953,107.891,107.938,TU2,0.062,0.032,1,0.2419,107.9111,107.919,0.0269,0.019,2,,0,,0
2017-01-30,107.938,107.969,107.922,107.938,TU2,0.047,0.0,null,0.6596,107.9131,107.9216,0.0249,0.0164,3,,0,,0
2017-01-31,107.938,108.0,107.922,107.953,TU2,0.078,0.015,1,0.6026,107.9159,107.9258,0.0371,0.0272,4,,0,,1
2017-02-01,107.953,107.969,107.844,107.953,TU2,0.125,0.0,null,0.128,107.9185,107.9294,0.0345,0.0236,5,,0,,1
2017-02-02,107.938,107.984,107.922,107.969,TU2,0.062,0.031,1,0.2419,107.9219,107.9347,0.0471,0.0343,6,,0,,1
2017-02-03,107.953,108.031,107.875,107.953,TU2,0.156,0.0,null,0.5,107.9239,107.9371,0.0291,0.0159,7,,0,,1
2017-02-06,107.969,108.078,107.969,108.063,TU2,0.109,0.094,1,0.1376,107.9327,107.9535,0.1303,0.1095,8,,0,,1
2017-02-07,108.078,108.094,108.016,108.047,TU2,0.078,0.031,0,0.6026,107.9398,107.9656,0.1072,0.0814,9,,0,,1
2017-02-08,108.031,108.109,108.031,108.078,TU2,0.078,0.047,1,0.3974,107.9482,107.9801,0.1298,0.0979,10,,0,,1
2017-02-09,108.094,108.094,108.0,108.016,TU2,0.094,0.078,0,0.8298,107.9522,107.9847,0.0638,0.0313,11,,0,,1
2017-02-10,108.016,108.031,107.984,107.984,TU2,0.047,0.032,0,1.0,107.9541,107.9846,0.0299,-0.0006,1,,0,,1
2017-02-13,107.984,107.984,107.953,107.969,TU2,0.031,0.015,0,0.4839,107.9549,107.9826,0.0141,-0.0136,2,,0,,0
2017-02-14,107.969,107.984,107.875,107.906,TU2,0.109,0.063,0,0.7156,107.9522,107.9729,-0.0462,-0.0669,3,,0,,0
2017-02-15,107.891,107.922,107.844,107.859,TU2,0.078,0.032,0,0.8077,107.947,107.9584,-0.088,-0.0994,4,,0,,0
2017-02-16,107.859,107.953,107.844,107.938,TU2,0.109,0.079,1,0.1376,107.9465,107.9558,-0.0085,-0.0178,5,,0,,0
2017-02-17,107.938,108.016,107.922,108.0,TU2,0.094,0.062,1,0.1702,107.9494,107.9614,0.0506,0.0386,1,,0,,0
2017-02-21,108.016,108.016,107.953,108.0,TU2,0.063,0.016,0,0.254,107.9521,107.9663,0.0479,0.0337,2,,0,,1
2017-02-22,108.0,108.063,107.938,108.016,TU2,0.125,0.016,1,0.376,107.9554,107.9726,0.0606,0.0434,3,,0,,1
2017-02-23,108.031,108.109,108.016,108.078,TU2,0.093,0.047,1,0.3333,107.9617,107.9858,0.1163,0.0922,4,,0,,1
2017-02-24,108.094,108.188,108.094,108.188,TU2,0.094,0.094,1,0.0,107.9732,108.0113,0.2148,0.1767,5,,0,,1
2017-02-27,108.188,108.203,108.063,108.078,TU2,0.14,0.11,0,0.8929,107.9785,108.0197,0.0995,0.0583,6,,0,,1
2017-02-28,108.109,108.141,107.938,108.078,TU2,0.203,0.031,0,0.3103,107.9834,108.027,0.0946,0.051,7,,0,,1
2017-03-01,107.969,107.969,107.875,107.922,TU2,0.094,0.047,0,0.5,107.9804,108.0138,-0.0584,-0.0918,1,,0,,1
2017-03-02,107.922,107.938,107.813,107.844,TU2,0.125,0.078,0,0.752,107.9737,107.9925,-0.1297,-0.1485,2,,0,,0
2017-03-03,107.859,107.891,107.813,107.875,TU2,0.078,0.016,1,0.2051,107.969,107.9778,-0.094,-0.1028,3,,0,,0
2017-03-06,107.875,107.922,107.844,107.875,TU2,0.078,0.0,null,0.6026,107.9645,107.9649,-0.0895,-0.0899,4,,0,,0
2017-03-07,107.859,107.875,107.813,107.828,TU2,0.062,0.031,0,0.7581,107.958,107.9477,-0.13,-0.1197,5,,0,,0
2017-03-08,107.813,107.828,107.734,107.781,TU2,0.094,0.032,0,0.5,107.9497,107.9268,-0.1687,-0.1458,6,,0,,0
2017-03-09,107.766,107.781,107.734,107.75,TU2,0.047,0.016,0,0.6596,107.9404,107.9047,-0.1904,-0.1547,7,,0,,0
2017-03-10,107.734,107.828,107.719,107.781,TU2,0.109,0.047,1,0.4312,107.933,107.8892,-0.152,-0.1082,8,,0,,0
2017-03-13,107.781,107.813,107.734,107.75,TU2,0.079,0.031,0,0.7975,107.9246,107.8718,-0.1746,-0.1218,9,,0,,0
2017-03-14,107.75,107.766,107.719,107.75,TU2,0.047,0.0,null,0.3404,107.9166,107.8565,-0.1666,-0.1065,10,,0,,0
2017-03-15,107.75,107.922,107.703,107.891,TU2,0.219,0.141,1,0.1416,107.9155,107.8608,-0.0245,0.0302,1,,0,,0
2017-03-16,107.922,107.938,107.828,107.875,TU2,0.11,0.047,0,0.5727,107.9137,107.8626,-0.0387,0.0124,2,,0,,1
2017-03-17,107.828,107.922,107.828,107.891,TU2,0.094,0.063,1,0.3298,107.9126,107.8662,-0.0216,0.0248,3,,0,,1
2017-03-20,107.891,107.938,107.875,107.938,TU2,0.063,0.047,1,0.0,107.9138,107.8751,0.0242,0.0629,4,,0,,1
2017-03-21,107.938,108.016,107.891,107.984,TU2,0.125,0.046,1,0.256,107.9169,107.8888,0.0671,0.0952,5,,0,,1
2017-03-22,108.0,108.063,108.0,108.047,TU2,0.063,0.047,1,0.254,107.9226,107.9086,0.1244,0.1384,6,,0,,1
2017-03-23,108.031,108.078,108.0,108.047,TU2,0.078,0.016,1,0.3974,107.9281,107.9259,0.1189,0.1211,7,,0,,1
2017-03-24,108.016,108.078,108.0,108.078,TU2,0.078,0.062,1,0.0,107.9346,107.9449,0.1434,0.1331,8,,0,,1
2017-03-27,108.047,108.141,108.047,108.078,TU2,0.094,0.031,1,0.6702,107.9409,107.9615,0.1371,0.1165,9,,0,,1
2017-03-28,108.078,108.109,108.0,108.016,TU2,0.109,0.062,0,0.8532,107.9441,107.9684,0.0719,0.0476,10,,0,,1
2017-03-29,108.016,108.094,108.0,108.078,TU2,0.094,0.062,1,0.1702,107.9499,107.9821,0.1281,0.0959,11,,0,,0
2017-03-30,108.078,108.094,108.031,108.063,TU2,0.063,0.015,0,0.4921,107.9548,107.9922,0.1082,0.0708,12,,0,,1
2017-03-31,108.047,108.109,108.031,108.094,TU2,0.078,0.047,1,0.1923,107.9607,108.0049,0.1333,0.0891,13,,0,,0
2017-04-03,108.109,108.172,108.063,108.141,TU2,0.109,0.032,1,0.2844,107.9684,108.0219,0.1726,0.1191,14,,0,,1
2017-04-04,108.156,108.172,108.109,108.125,TU2,0.063,0.031,0,0.746,107.9751,108.0348,0.1499,0.0902,15,,0,,1
2017-04-05,108.109,108.172,108.078,108.125,TU2,0.094,0.016,1,0.5,107.9814,108.0461,0.1436,0.0789,16,,0,,1
2017-04-06,108.156,108.172,108.109,108.141,TU2,0.063,0.015,0,0.4921,107.9881,108.058,0.1529,0.083,17,,0,,1
2017-04-07,108.141,108.266,108.047,108.063,TU2,0.219,0.078,0,0.9269,107.9913,108.0586,0.0717,0.0044,18,,0,,1
2017-04-10,108.047,108.109,108.031,108.078,TU2,0.078,0.031,1,0.3974,107.9949,108.061,0.0831,0.017,19,,0,,0
2017-04-11,108.078,108.203,108.078,108.172,TU2,0.125,0.094,1,0.248,108.0024,108.0749,0.1696,0.0971,20,,0,,0
2017-04-12,108.172,108.25,108.141,108.172,TU2,0.109,0.0,null,0.7156,108.0094,108.087,0.1626,0.085,21,,0,,1
2017-04-13,108.25,108.266,108.188,108.234,TU2,0.078,0.016,0,0.4103,108.0188,108.1054,0.2152,0.1286,22,,0,,1
2017-04-17,108.266,108.313,108.234,108.25,TU2,0.079,0.016,0,0.7975,108.0284,108.1235,0.2216,0.1265,23,,0,,1
2017-04-18,108.25,108.344,108.234,108.328,TU2,0.11,0.078,1,0.1455,108.0408,108.149,0.2872,0.179,24,,0,,1
2017-04-19,108.344,108.344,108.281,108.328,TU2,0.063,0.016,0,0.254,108.0527,108.1714,0.2753,0.1566,25,,0,,1
2017-04-20,108.313,108.328,108.25,108.281,TU2,0.078,0.032,0,0.6026,108.0621,108.1851,0.2189,0.0959,26,,0,,1
2017-04-21,108.297,108.344,108.281,108.313,TU2,0.063,0.016,1,0.4921,108.0724,108.2011,0.2406,0.1119,27,,0,,1
2017-04-24,108.203,108.219,108.109,108.219,TU2,0.11,0.016,1,0.0,108.0785,108.2033,0.1405,0.0157,28,,0,,1
2017-04-25,108.203,108.219,108.125,108.141,TU2,0.094,0.062,0,0.8298,108.081,108.1955,0.06,-0.0545,1,,0,,0
2017-04-26,108.141,108.188,108.109,108.172,TU2,0.079,0.031,1,0.2025,108.0848,108.1926,0.0872,-0.0206,2,,0,,0
2017-04-27,108.172,108.203,108.156,108.203,TU2,0.047,0.031,1,0.0,108.0896,108.1939,0.1134,0.0091,1,1,1,Long,0
2017-04-28,108.188,108.219,108.125,108.172,TU2,0.094,0.016,0,0.5,108.093,108.1912,0.079,-0.0192,1,,0,Long,0
2017-05-01,108.172,108.188,108.141,108.141,TU2,0.047,0.031,0,1.0,108.0949,108.1849,0.0461,-0.0439,2,,0,Long,0
2017-05-02,108.156,108.203,108.125,108.188,TU2,0.078,0.032,1,0.1923,108.0987,108.1853,0.0893,0.0027,1,,0,Long,0
2017-05-03,108.188,108.188,108.109,108.125,TU2,0.079,0.063,0,0.7975,108.0998,108.1777,0.0252,-0.0527,1,,0,Long,1
2017-05-04,108.125,108.125,108.063,108.094,TU2,0.062,0.031,0,0.5,108.0995,108.1673,-0.0055,-0.0733,2,,0,Long,0
2017-05-05,108.078,108.125,108.031,108.078,TU2,0.094,0.0,null,0.5,108.0987,108.1561,-0.0207,-0.0781,3,,0,Long,0
2017-05-08,108.078,108.109,108.031,108.063,TU2,0.078,0.015,0,0.5897,108.0972,108.1445,-0.0342,-0.0815,4,,0,Long,0
2017-05-09,108.047,108.078,108.016,108.016,TU2,0.062,0.031,0,1.0,108.0939,108.1284,-0.0779,-0.1124,5,,0,Long,0
2017-05-10,108.047,108.094,108.016,108.016,TU2,0.078,0.031,0,1.0,108.0908,108.1144,-0.0748,-0.0984,6,,0,Long,0
2017-05-11,108.016,108.063,107.984,108.047,TU2,0.079,0.031,1,0.2025,108.089,108.1059,-0.042,-0.0589,7,,0,Long,0
2017-05-12,108.063,108.172,108.047,108.156,TU2,0.125,0.093,1,0.128,108.0917,108.1122,0.0643,0.0438,1,,0,Long,0
2017-05-15,108.156,108.172,108.125,108.141,TU2,0.047,0.015,0,0.6596,108.0937,108.1158,0.0473,0.0252,2,,0,Long,1
2017-05-16,108.141,108.172,108.109,108.141,TU2,0.063,0.0,null,0.4921,108.0956,108.119,0.0454,0.022,3,,0,Long,1
2017-05-17,108.141,108.281,108.141,108.266,TU2,0.14,0.125,1,0.1071,108.1024,108.1373,0.1636,0.1287,4,,0,Long,1
2017-05-18,108.266,108.313,108.188,108.219,TU2,0.125,0.047,0,0.752,108.1071,108.1475,0.1119,0.0715,5,,0,Long,1
2017-05-19,108.219,108.234,108.172,108.219,TU2,0.062,0.0,null,0.2419,108.1116,108.1565,0.1074,0.0625,6,,0,Long,1
2017-05-22,108.203,108.234,108.172,108.219,TU2,0.062,0.016,1,0.2419,108.1159,108.1643,0.1031,0.0547,7,,0,Long,1
2017-05-23,108.203,108.234,108.141,108.156,TU2,0.093,0.047,0,0.8387,108.1175,108.1633,0.0385,-0.0073,1,,0,Long,1
2017-05-24,108.156,108.234,108.141,108.203,TU2,0.093,0.047,1,0.3333,108.1209,108.1682,0.0821,0.0348,1,,0,Long,0
2017-05-25,108.219,108.234,108.188,108.203,TU2,0.046,0.016,0,0.6739,108.1242,108.1726,0.0788,0.0304,2,,0,Long,0
2017-05-26,108.188,108.219,108.172,108.188,TU2,0.047,0.0,null,0.6596,108.1268,108.1745,0.0612,0.0135,3,,0,Long,0
2017-05-30,108.188,108.219,108.172,108.219,TU2,0.047,0.031,1,0.0,108.1304,108.1801,0.0886,0.0389,4,1,,Long,0
