date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,118.797,118.906,118.25,118.781,TY,0.656,0.016,0,0.1905,118.781,118.781,0.0,0.0,1,,0,,0
2017-01-04,118.813,118.953,118.531,118.781,TY,0.422,0.032,0,0.4076,118.781,118.781,0.0,0.0,1,,0,,0
2017-01-05,118.875,119.703,118.781,119.5,TY,0.922,0.625,1,0.2202,119.0303,119.0533,0.4697,0.4467,1,,0,,0
2017-01-06,119.625,120.0,118.984,119.078,TY,1.016,0.547,0,0.9075,119.043,119.0607,0.035,0.0173,2,,0,,0
2017-01-09,119.063,119.531,118.906,119.453,TY,0.625,0.39,1,0.1248,119.1317,119.1614,0.3213,0.2916,3,,0,,0
2017-01-10,119.5,119.594,119.297,119.438,TY,0.297,0.062,0,0.5253,119.188,119.2241,0.25,0.2139,4,,0,,1
2017-01-11,119.453,119.875,119.25,119.484,TY,0.625,0.031,1,0.6256,119.2355,119.2776,0.2485,0.2064,5,,0,,1
2017-01-12,119.438,120.0,119.422,119.563,TY,0.578,0.125,1,0.7561,119.2824,119.332,0.2806,0.231,6,,0,,0
2017-01-13,119.547,119.984,119.016,119.453,TY,0.968,0.094,0,0.5486,119.3045,119.3536,0.1485,0.0994,7,,0,,1
2017-01-17,119.375,120.094,119.359,119.906,TY,0.735,0.531,1,0.2558,119.3761,119.4473,0.5299,0.4587,8,,0,,0
2017-01-18,119.906,119.953,118.984,119.391,TY,0.969,0.515,0,0.58,119.3777,119.4382,0.0133,-0.0472,1,,0,,1
2017-01-19,118.984,119.156,118.531,118.844,TY,0.625,0.14,0,0.4992,119.3228,119.3452,-0.4788,-0.5012,2,,0,,0
2017-01-20,118.734,118.969,118.453,118.891,TY,0.516,0.157,1,0.1512,119.281,119.2762,-0.39,-0.3852,3,,0,,0
2017-01-23,118.844,119.656,118.828,119.484,TY,0.828,0.64,1,0.2077,119.2996,119.3069,0.1844,0.1771,1,,0,,0
2017-01-24,119.531,119.609,118.875,118.891,TY,0.734,0.64,0,0.9782,119.2641,119.2468,-0.3731,-0.3558,1,,0,,0
2017-01-25,118.969,119.063,118.406,118.484,TY,0.657,0.485,0,0.8813,119.1994,119.1387,-0.7154,-0.6547,2,,0,,0
2017-01-26,118.594,118.688,118.234,118.641,TY,0.454,0.047,1,0.1035,119.155,119.0693,-0.514,-0.4283,3,,0,,0
2017-01-27,118.641,118.859,118.469,118.844,TY,0.39,0.203,1,0.0385,119.1312,119.0384,-0.2872,-0.1944,4,,0,,0
2017-01-30,118.875,119.031,118.734,118.891,TY,0.297,0.016,1,0.4714,119.1135,119.0184,-0.2225,-0.1274,5,,0,,0
2017-01-31,118.813,119.344,118.734,119.141,TY,0.61,0.328,1,0.3328,119.1155,119.0348,0.0255,0.1062,1,,0,,0
2017-02-01,119.125,119.141,118.578,119.0,TY,0.563,0.125,0,0.2504,119.1075,119.0302,-0.1075,-0.0302,1,,0,,1
2017-02-02,118.984,119.375,118.906,119.047,TY,0.469,0.063,1,0.6994,119.1035,119.0324,-0.0565,0.0146,1,,0,,1
2017-02-03,119.016,119.5,118.766,118.953,TY,0.734,0.063,0,0.7452,119.0937,119.022,-0.1407,-0.069,1,,0,,1
2017-02-06,119.094,119.688,119.078,119.609,TY,0.61,0.515,1,0.1295,119.1264,119.0985,0.4826,0.5105,1,,0,,1
2017-02-07,119.609,119.984,119.422,119.781,TY,0.562,0.172,1,0.3612,119.167,119.1869,0.614,0.5941,2,,0,,1
2017-02-08,119.719,120.234,119.656,120.031,TY,0.578,0.312,1,0.3512,119.2194,119.2958,0.8116,0.7352,3,,0,,1
2017-02-09,120.156,120.156,119.516,119.594,TY,0.64,0.562,0,0.8781,119.2417,119.3341,0.3523,0.2599,4,,0,,1
2017-02-10,119.594,119.594,119.297,119.453,TY,0.297,0.141,0,0.4747,119.254,119.3494,0.199,0.1036,5,,0,,1
2017-02-13,119.406,119.422,119.109,119.266,TY,0.313,0.14,0,0.4984,119.2546,119.3387,0.0114,-0.0727,1,,0,,0
2017-02-14,119.219,119.297,118.641,118.906,TY,0.656,0.313,0,0.596,119.2351,119.2836,-0.3291,-0.3776,2,,0,,0
