date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,664.0,669.25,661.0,661.75,W2,8.25,2.25,0,0.9091,661.75,661.75,0.0,0.0,1,,0,,0
2017-01-04,661.75,674.25,660.0,673.75,W2,14.25,12.0,1,0.0351,667.87,668.15,5.88,5.6,1,,0,,0
2017-01-05,674.0,682.25,671.5,681.5,W2,10.75,7.5,1,0.0698,672.5963,673.2056,8.9037,8.2944,2,,0,,0
2017-01-06,681.0,683.25,677.0,678.5,W2,6.25,2.5,0,0.76,674.1619,674.8049,4.3381,3.6951,3,,0,,0
2017-01-09,680.0,683.5,676.25,682.5,W2,7.25,2.5,1,0.1379,675.9655,676.7796,6.5345,5.7204,4,,0,,0
2017-01-10,682.0,682.5,678.75,682.0,W2,3.75,0.0,null,0.1333,677.0745,677.9635,4.9255,4.0365,5,,0,,1
2017-01-11,681.5,681.5,667.25,674.0,W2,14.25,7.5,0,0.5263,676.5809,677.1477,-2.5809,-3.1477,1,,0,,1
2017-01-12,674.25,685.25,669.75,681.5,W2,15.5,7.25,1,0.2419,677.2852,677.9765,4.2148,3.5235,1,,0,,0
2017-01-13,681.5,682.0,674.5,681.25,W2,7.5,0.25,0,0.1,677.7994,678.5616,3.4506,2.6884,2,,0,,1
2017-01-17,681.75,692.75,679.0,688.75,W2,13.75,7.0,1,0.2909,679.1019,680.2898,9.6481,8.4602,3,,0,,0
2017-01-18,688.5,689.75,683.5,686.25,W2,6.25,2.25,0,0.56,679.8893,681.2576,6.3607,4.9924,4,,0,,1
2017-01-19,685.75,686.0,678.0,678.75,W2,8.0,7.0,0,0.9062,679.7721,680.8651,-1.0221,-2.1151,1,0,1,Short,1
2017-01-20,678.75,684.0,676.75,683.5,W2,7.25,4.75,1,0.069,680.1326,681.2649,3.3674,2.2351,1,1,1,Long,0
2017-01-23,684.25,689.0,682.75,688.5,W2,6.25,4.25,1,0.08,680.8978,682.3342,7.6022,6.1658,2,,0,Long,1
2017-01-24,688.25,690.0,681.25,682.0,W2,8.75,6.25,0,0.9143,680.9936,682.2859,1.0064,-0.2859,1,,0,Long,0
2017-01-25,681.0,684.0,678.25,679.75,W2,5.75,1.25,0,0.7391,680.8904,681.9265,-1.1404,-2.1765,2,,0,Long,0
2017-01-26,680.5,685.75,677.0,682.25,W2,8.75,1.75,1,0.4,680.9985,681.9716,1.2515,0.2784,1,,0,Long,1
