date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,661.75,661.75,661.75,661.75,W,0.0,0.0,null,,661.75,661.75,0.0,0.0,1,,0,,0
2017-01-04,673.75,673.75,673.75,673.75,W,0.0,0.0,null,,667.87,668.15,5.88,5.6,1,,0,,0
2017-01-05,681.5,681.5,681.5,681.5,W,0.0,0.0,null,,672.5963,673.2056,8.9037,8.2944,2,,0,,0
2017-01-06,678.5,678.5,678.5,678.5,W,0.0,0.0,null,,674.1619,674.8049,4.3381,3.6951,3,,0,,0
2017-01-09,682.5,682.5,682.5,682.5,W,0.0,0.0,null,,675.9655,676.7796,6.5345,5.7204,4,,0,,0
2017-01-10,682.0,682.0,682.0,682.0,W,0.0,0.0,null,,677.0745,677.9635,4.9255,4.0365,5,,0,,1
2017-01-11,674.0,674.0,674.0,674.0,W,0.0,0.0,null,,676.5809,677.1477,-2.5809,-3.1477,1,,0,,1
2017-01-12,681.5,681.5,681.5,681.5,W,0.0,0.0,null,,677.2852,677.9765,4.2148,3.5235,1,,0,,0
2017-01-13,681.25,681.25,681.25,681.25,W,0.0,0.0,null,,677.7994,678.5616,3.4506,2.6884,2,,0,,1
2017-01-17,688.75,688.75,688.75,688.75,W,0.0,0.0,null,,679.1019,680.2898,9.6481,8.4602,3,,0,,0
2017-01-18,686.25,686.25,686.25,686.25,W,0.0,0.0,null,,679.8893,681.2576,6.3607,4.9924,4,,0,,1
2017-01-19,678.75,678.75,678.75,678.75,W,0.0,0.0,null,,679.7721,680.8651,-1.0221,-2.1151,1,,0,,1
2017-01-20,683.5,683.5,683.5,683.5,W,0.0,0.0,null,,680.1326,681.2649,3.3674,2.2351,1,,0,,0
2017-01-23,688.5,688.5,688.5,688.5,W,0.0,0.0,null,,680.8978,682.3342,7.6022,6.1658,2,,0,,1
2017-01-24,682.0,682.0,682.0,682.0,W,0.0,0.0,null,,680.9936,682.2859,1.0064,-0.2859,1,,0,,0
2017-01-25,679.75,679.75,679.75,679.75,W,0.0,0.0,null,,680.8904,681.9265,-1.1404,-2.1765,2,,0,,0
2017-01-26,682.25,682.25,682.25,682.25,W,0.0,0.0,null,,680.9985,681.9716,1.2515,0.2784,1,,0,,1
2017-01-27,675.75,675.75,675.75,675.75,W,0.0,0.0,null,,680.5975,681.1166,-4.8475,-5.3666,1,,0,,0
2017-01-30,669.25,669.25,669.25,669.25,W,0.0,0.0,null,,679.7616,679.5059,-10.5116,-10.2559,2,,0,,0
2017-01-31,676.0,676.0,676.0,676.0,W,0.0,0.0,null,,679.4938,679.0351,-3.4938,-3.0351,3,,0,,0
2017-02-01,689.0,689.0,689.0,689.0,W,0.0,0.0,null,,680.1497,680.361,8.8503,8.639,1,,0,,0
2017-02-02,689.75,689.75,689.75,689.75,W,0.0,0.0,null,,680.793,681.6003,8.957,8.1497,2,,0,,1
2017-02-03,685.5,685.5,685.5,685.5,W,0.0,0.0,null,,681.0998,682.1114,4.4002,3.3886,3,,0,,1
2017-02-06,677.75,677.75,677.75,677.75,W,0.0,0.0,null,,680.887,681.5432,-3.137,-3.7932,1,,0,,1
2017-02-07,686.0,686.0,686.0,686.0,W,0.0,0.0,null,,681.2042,682.1208,4.7958,3.8792,1,,0,,1
2017-02-08,687.75,687.75,687.75,687.75,W,0.0,0.0,null,,681.6012,682.847,6.1488,4.903,2,,0,,0
2017-02-09,698.75,698.75,698.75,698.75,W,0.0,0.0,null,,682.6194,684.8904,16.1306,13.8596,3,,0,,0
2017-02-10,704.25,704.25,704.25,704.25,W,0.0,0.0,null,,683.8784,687.3693,20.3716,16.8807,4,,0,,1
2017-02-13,707.5,707.5,707.5,707.5,W,0.0,0.0,null,,685.2276,689.9391,22.2724,17.5609,5,,0,,1
2017-02-14,704.75,704.75,704.75,704.75,W,0.0,0.0,null,,686.3231,691.8248,18.4269,12.9252,6,,0,,1
2017-02-15,709.5,709.5,709.5,709.5,W,0.0,0.0,null,,687.602,694.07,21.898,15.43,7,,0,,1
2017-02-16,702.5,702.5,702.5,702.5,W,0.0,0.0,null,,688.4112,695.1386,14.0888,7.3614,8,,0,,1
2017-02-17,696.75,696.75,696.75,696.75,W,0.0,0.0,null,,688.8574,695.3425,7.8926,1.4075,9,,0,,0
2017-02-21,691.0,691.0,691.0,691.0,W,0.0,0.0,null,,688.9704,694.7939,2.0296,-3.7939,1,,0,,0
2017-02-22,697.25,697.25,697.25,697.25,W,0.0,0.0,null,,689.4014,695.1038,7.8486,2.1462,1,,0,,0
2017-02-23,694.75,694.75,694.75,694.75,W,0.0,0.0,null,,689.6762,695.0592,5.0738,-0.3092,1,,0,,0
2017-02-24,689.25,689.25,689.25,689.25,W,0.0,0.0,null,,689.6546,694.3278,-0.4046,-5.0778,2,,0,,0
2017-02-27,680.0,680.0,680.0,680.0,W,0.0,0.0,null,,689.17,692.5256,-9.17,-12.5256,3,,0,,0
2017-02-28,685.0,685.0,685.0,685.0,W,0.0,0.0,null,,688.963,691.5797,-3.963,-6.5797,4,,0,,0
2017-03-01,698.25,698.25,698.25,698.25,W,0.0,0.0,null,,689.4193,692.4175,8.8307,5.8325,1,,0,,0
2017-03-02,694.0,694.0,694.0,694.0,W,0.0,0.0,null,,689.6421,692.6161,4.3579,1.3839,2,,0,,1
2017-03-03,694.75,694.75,694.75,694.75,W,0.0,0.0,null,,689.8883,692.8839,4.8617,1.8661,3,,0,,1
2017-03-06,699.75,699.75,699.75,699.75,W,0.0,0.0,null,,690.3594,693.7449,9.3906,6.0051,4,,0,,1
2017-03-07,697.75,697.75,697.75,697.75,W,0.0,0.0,null,,690.7094,694.2469,7.0406,3.5031,5,,0,,1
2017-03-08,688.25,688.25,688.25,688.25,W,0.0,0.0,null,,690.5939,693.4955,-2.3439,-5.2455,1,,0,,0
2017-03-09,685.25,685.25,685.25,685.25,W,0.0,0.0,null,,690.3448,692.4626,-5.0948,-7.2126,2,,0,,0
2017-03-10,681.75,681.75,681.75,681.75,W,0.0,0.0,null,,689.947,691.121,-8.197,-9.371,3,,0,,0
2017-03-13,671.75,671.75,671.75,671.75,W,0.0,0.0,null,,689.1109,688.6956,-17.3609,-16.9456,4,,0,,0
2017-03-14,671.75,671.75,671.75,671.75,W,0.0,0.0,null,,688.3185,686.5744,-16.5685,-14.8244,5,,0,,0
2017-03-15,677.25,677.25,677.25,677.25,W,0.0,0.0,null,,687.8165,685.4073,-10.5665,-8.1573,6,,0,,0
2017-03-16,677.25,677.25,677.25,677.25,W,0.0,0.0,null,,687.3402,684.3865,-10.0902,-7.1365,7,,0,,0
2017-03-17,677.5,677.5,677.5,677.5,W,0.0,0.0,null,,686.8992,683.5249,-9.3992,-6.0249,8,,0,,0
2017-03-20,671.5,671.5,671.5,671.5,W,0.0,0.0,null,,686.213,682.0205,-14.713,-10.5205,9,,0,,1
2017-03-21,667.75,667.75,667.75,667.75,W,0.0,0.0,null,,685.3946,680.2354,-17.6446,-12.4854,10,,0,,0
2017-03-22,663.5,663.5,663.5,663.5,W,0.0,0.0,null,,684.429,678.1421,-20.929,-14.6421,11,,0,,0
2017-03-23,662.25,662.25,662.25,662.25,W,0.0,0.0,null,,683.4557,676.1545,-21.2057,-13.9045,12,,0,,0
2017-03-24,666.0,666.0,666.0,666.0,W,0.0,0.0,null,,682.6932,674.8845,-16.6932,-8.8845,13,,0,,0
2017-03-27,662.0,662.0,662.0,662.0,W,0.0,0.0,null,,681.7933,673.2733,-19.7933,-11.2733,14,,0,,0
2017-03-28,665.75,665.75,665.75,665.75,W,0.0,0.0,null,,681.0986,672.3325,-15.3486,-6.5825,15,,0,,0
2017-03-29,666.75,666.75,666.75,666.75,W,0.0,0.0,null,,680.4797,671.6345,-13.7297,-4.8845,16,,0,,1
2017-03-30,662.25,662.25,662.25,662.25,W,0.0,0.0,null,,679.6966,670.4611,-17.4466,-8.2111,17,,0,,1
2017-03-31,667.75,667.75,667.75,667.75,W,0.0,0.0,null,,679.1853,670.1221,-11.4353,-2.3721,18,,0,,0
2017-04-03,669.0,669.0,669.0,669.0,W,0.0,0.0,null,,678.751,669.9818,-9.751,-0.9818,19,,0,,1
2017-04-04,668.25,668.25,668.25,668.25,W,0.0,0.0,null,,678.3047,669.7653,-10.0547,-1.5153,20,,0,,1
2017-04-05,671.0,671.0,671.0,671.0,W,0.0,0.0,null,,677.9952,669.9196,-6.9952,1.0804,1,,0,,1
2017-04-06,664.5,664.5,664.5,664.5,W,0.0,0.0,null,,677.4254,669.2421,-12.9254,-4.7421,1,,0,,1
2017-04-07,665.25,665.25,665.25,665.25,W,0.0,0.0,null,,676.9128,668.743,-11.6628,-3.493,2,,0,,0
2017-04-10,670.0,670.0,670.0,670.0,W,0.0,0.0,null,,676.6226,668.9002,-6.6226,1.0998,1,,0,,0
2017-04-11,674.5,674.5,674.5,674.5,W,0.0,0.0,null,,676.5337,669.6002,-2.0337,4.8998,2,,0,,1
2017-04-12,674.5,674.5,674.5,674.5,W,0.0,0.0,null,,676.4488,670.2127,-1.9488,4.2873,3,,0,,1
2017-04-13,671.0,671.0,671.0,671.0,W,0.0,0.0,null,,676.2219,670.3111,-5.2219,0.6889,4,,0,,1
2017-04-17,664.0,664.0,664.0,664.0,W,0.0,0.0,null,,675.7141,669.5222,-11.7141,-5.5222,1,,0,,1
2017-04-18,665.25,665.25,665.25,665.25,W,0.0,0.0,null,,675.2803,668.9881,-10.0303,-3.7381,2,,0,,0
2017-04-19,662.75,662.75,662.75,662.75,W,0.0,0.0,null,,674.7621,668.2083,-12.0121,-5.4583,3,,0,,0
2017-04-20,650.0,650.0,650.0,650.0,W,0.0,0.0,null,,673.7402,665.9322,-23.7402,-15.9322,4,,0,,0
2017-04-21,649.25,649.25,649.25,649.25,W,0.0,0.0,null,,672.7316,663.8468,-23.4816,-14.5968,5,,0,,0
2017-04-24,647.5,647.5,647.5,647.5,W,0.0,0.0,null,,671.6944,661.8034,-24.1944,-14.3034,6,,0,,0
2017-04-25,655.25,655.25,655.25,655.25,W,0.0,0.0,null,,671.0198,660.9842,-15.7698,-5.7342,7,,0,,0
2017-04-26,654.75,654.75,654.75,654.75,W,0.0,0.0,null,,670.3535,660.2049,-15.6035,-5.4549,8,,0,,0
2017-04-27,659.5,659.5,659.5,659.5,W,0.0,0.0,null,,669.9098,660.1168,-10.4098,-0.6168,9,,0,,1
2017-04-28,660.5,660.5,660.5,660.5,W,0.0,0.0,null,,669.5257,660.1647,-9.0257,0.3353,1,,0,,1
2017-05-01,684.25,684.25,684.25,684.25,W,0.0,0.0,null,,670.1257,663.1754,14.1243,21.0746,2,,0,,1
2017-05-02,682.25,682.25,682.25,682.25,W,0.0,0.0,null,,670.619,665.5598,11.631,16.6902,3,,0,,1
2017-05-03,682.25,682.25,682.25,682.25,W,0.0,0.0,null,,671.0915,667.6461,11.1585,14.6039,4,,0,,1
2017-05-04,666.0,666.0,666.0,666.0,W,0.0,0.0,null,,670.885,667.4403,-4.885,-1.4403,1,,0,,1
2017-05-05,670.5,670.5,670.5,670.5,W,0.0,0.0,null,,670.8694,667.8228,-0.3694,2.6772,1,,0,,1
2017-05-08,661.75,661.75,661.75,661.75,W,0.0,0.0,null,,670.5004,667.0637,-8.7504,-5.3137,1,,0,,0
2017-05-09,657.75,657.75,657.75,657.75,W,0.0,0.0,null,,669.9851,665.8995,-12.2351,-8.1495,2,,0,,0
2017-05-10,660.0,660.0,660.0,660.0,W,0.0,0.0,null,,669.5821,665.162,-9.5821,-5.162,3,,0,,0
2017-05-11,662.0,662.0,662.0,662.0,W,0.0,0.0,null,,669.2764,664.7668,-7.2764,-2.7668,4,,0,,0
2017-05-12,661.0,661.0,661.0,661.0,W,0.0,0.0,null,,668.9431,664.2959,-7.9431,-3.2959,5,,0,,0
2017-05-15,651.5,651.5,651.5,651.5,W,0.0,0.0,null,,668.2414,662.6964,-16.7414,-11.1964,6,,0,,0
2017-05-16,652.5,652.5,652.5,652.5,W,0.0,0.0,null,,667.6087,661.4219,-15.1087,-8.9219,7,,0,,0
2017-05-17,655.25,655.25,655.25,655.25,W,0.0,0.0,null,,667.1125,660.6504,-11.8625,-5.4004,8,,0,,0
