date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,129.6875,130.3438,128.5313,130.0938,ZB,1.8125,0.4063,1,0.1379,130.0938,130.0938,0.0,0.0,1,,0,,0
2017-01-04,130.0938,130.5313,129.5313,130.3438,ZB,1.0,0.25,1,0.1875,130.2213,130.2271,0.1225,0.1167,1,,0,,0
2017-01-05,130.375,132.4688,129.9063,132.3438,ZB,2.5625,1.9688,1,0.0488,130.9573,131.0287,1.3865,1.3151,2,,0,,0
2017-01-06,132.3438,132.75,131.0625,131.1875,ZB,1.6875,1.1563,0,0.9259,131.0183,131.0767,0.1692,0.1108,3,,0,,0
2017-01-09,131.1875,132.375,131.0,132.3125,ZB,1.375,1.125,1,0.0455,131.2983,131.3938,1.0142,0.9187,4,,0,,0
2017-01-10,132.2813,132.4375,131.6875,132.0938,ZB,0.75,0.1875,0,0.4583,131.4445,131.5526,0.6493,0.5412,5,,0,,1
2017-01-11,132.125,133.0,131.7813,132.25,ZB,1.2187,0.125,1,0.6154,131.5738,131.6961,0.6762,0.5539,6,,0,,1
2017-01-12,132.2813,133.4375,132.0313,132.0625,ZB,1.4062,0.2188,0,0.9778,131.6438,131.7659,0.4187,0.2966,7,,0,,0
2017-01-13,132.0625,133.0938,130.8125,131.4688,ZB,2.2813,0.5937,0,0.7123,131.6211,131.7128,-0.1523,-0.244,1,,0,,1
2017-01-17,131.5313,133.3438,131.4375,132.75,ZB,1.9063,1.2187,1,0.3115,131.7554,131.8887,0.9946,0.8613,1,,0,,0
2017-01-18,132.75,132.7813,130.875,130.9063,ZB,1.9063,1.8437,0,0.9836,131.6618,131.7292,-0.7555,-0.8229,1,0,1,Short,1
2017-01-19,130.8438,131.3125,129.75,130.2188,ZB,1.5625,0.625,0,0.7,131.5134,131.4928,-1.2946,-1.274,2,,0,Short,0
2017-01-20,130.25,130.625,129.4063,130.0938,ZB,1.2187,0.1562,0,0.4359,131.3761,131.2805,-1.2823,-1.1867,3,,0,Short,0
2017-01-23,130.25,131.9375,130.0313,131.5313,ZB,1.9062,1.2813,1,0.2131,131.3903,131.3176,0.141,0.2137,1,,0,Short,0
2017-01-24,131.5313,131.7188,129.9688,130.2188,ZB,1.75,1.3125,0,0.8571,131.2885,131.1588,-1.0697,-0.94,1,,0,Short,0
2017-01-25,130.3125,130.5313,128.7188,129.0938,ZB,1.8125,1.2187,0,0.7931,131.1064,130.8661,-2.0126,-1.7723,2,,0,Short,0
2017-01-26,129.1563,129.4063,128.4063,129.375,ZB,1.0,0.2187,1,0.0313,130.9688,130.6582,-1.5938,-1.2832,3,,0,Short,0
2017-01-27,129.375,129.9063,128.9688,129.9063,ZB,0.9375,0.5313,1,0.0,130.8877,130.5549,-0.9814,-0.6486,4,,0,Short,0
2017-01-30,129.9375,130.0938,129.3438,129.5938,ZB,0.75,0.3437,0,0.6667,130.7923,130.4245,-1.1985,-0.8307,5,,0,Short,0
2017-01-31,129.625,130.6563,129.2188,130.125,ZB,1.4375,0.5,1,0.3696,130.7448,130.3842,-0.6198,-0.2592,6,,0,Short,0
2017-02-01,130.1563,130.1875,129.1875,130.0313,ZB,1.0,0.125,0,0.1562,130.6956,130.3373,-0.6643,-0.306,7,,0,Short,1
2017-02-02,130.0,130.9375,129.8125,129.9375,ZB,1.125,0.0625,0,0.8889,130.6448,130.2845,-0.7073,-0.347,8,,0,Short,1
2017-02-03,129.9688,130.75,129.3125,129.9375,ZB,1.4375,0.0313,0,0.5652,130.5987,130.239,-0.6612,-0.3015,9,,0,Short,1
2017-02-06,129.875,131.1563,129.7813,131.0625,ZB,1.375,1.1875,1,0.0682,130.6282,130.3463,0.4343,0.7162,1,,0,Short,1
2017-02-07,131.0,132.0,130.2813,131.625,ZB,1.7187,0.625,1,0.2182,130.69,130.512,0.935,1.113,2,,0,Short,1
2017-02-08,131.625,133.125,131.5313,132.9375,ZB,1.5937,1.3125,1,0.1177,130.8263,130.8249,2.1112,2.1126,3,,0,Short,1
2017-02-09,132.9688,133.0,131.4375,131.6875,ZB,1.5625,1.2813,0,0.84,130.8774,130.9358,0.8101,0.7517,4,,0,Short,1
2017-02-10,131.75,131.8438,130.7188,131.4688,ZB,1.125,0.2812,0,0.3333,130.9119,131.004,0.5569,0.4648,5,,0,Short,1
2017-02-13,131.3125,131.3438,130.4688,130.7813,ZB,0.875,0.5312,0,0.6429,130.9044,130.9756,-0.1231,-0.1943,1,,0,Short,1
2017-02-14,130.7813,131.0,129.375,130.1875,ZB,1.625,0.5938,0,0.5,130.8642,130.8752,-0.6767,-0.6877,2,,0,Short,0
2017-02-15,130.2188,130.25,128.9688,129.625,ZB,1.2812,0.5938,0,0.4878,130.7958,130.7164,-1.1708,-1.0914,3,,0,Short,0
2017-02-16,129.5625,130.6563,129.4375,130.3125,ZB,1.2188,0.75,1,0.2821,130.7695,130.6652,-0.457,-0.3527,4,,0,Short,0
2017-02-17,130.25,131.4375,130.0313,131.0,ZB,1.4062,0.75,1,0.3111,130.7819,130.7076,0.2181,0.2924,1,,0,Short,0
2017-02-21,130.9063,131.1875,130.0625,130.6875,ZB,1.125,0.2188,0,0.4444,130.7769,130.7051,-0.0894,-0.0176,1,,0,Short,1
2017-02-22,130.6875,131.6563,130.2188,130.875,ZB,1.4375,0.1875,1,0.5435,130.782,130.7265,0.093,0.1485,1,,0,Short,1
2017-02-23,130.875,131.5313,130.7188,131.5,ZB,0.8125,0.625,1,0.0385,130.8189,130.824,0.6811,0.676,2,,0,Short,1
2017-02-24,131.5,132.8438,131.3438,132.75,ZB,1.5,1.25,1,0.0625,130.9169,131.0665,1.8331,1.6835,3,,0,Short,1
2017-02-27,132.75,132.75,132.0,132.1875,ZB,0.75,0.5625,0,0.75,130.9807,131.2075,1.2068,0.98,4,,0,Short,1
2017-02-28,132.1875,132.8438,131.8125,131.8438,ZB,1.0313,0.3437,0,0.9696,131.0236,131.2875,0.8202,0.5563,5,,0,Short,1
2017-03-01,131.9063,131.9375,129.9688,130.375,ZB,1.9687,1.5313,0,0.7937,130.9917,131.1729,-0.6167,-0.7979,1,,0,Short,1
2017-03-02,130.4688,130.5,129.4688,130.0,ZB,1.0312,0.4688,0,0.4849,130.9434,131.0256,-0.9434,-1.0256,2,,0,Short,0
2017-03-03,130.0313,130.25,129.4375,130.25,ZB,0.8125,0.2187,1,0.0,130.91,130.9283,-0.66,-0.6783,3,,0,Short,0
2017-03-06,130.0625,130.6875,129.5313,129.6875,ZB,1.1562,0.375,0,0.8649,130.8516,130.7727,-1.1641,-1.0852,4,,0,Short,0
2017-03-07,129.75,130.0,129.375,129.375,ZB,0.625,0.375,0,1.0,130.7817,130.5975,-1.4067,-1.2225,5,,0,Short,0
2017-03-08,129.4063,129.6563,128.0313,128.5938,ZB,1.625,0.8125,0,0.6538,130.6789,130.3464,-2.0851,-1.7526,6,,0,Short,0
2017-03-09,128.5625,128.6875,127.3438,127.4375,ZB,1.3437,1.125,0,0.9303,130.5278,129.982,-3.0903,-2.5445,7,,0,Short,0
2017-03-10,127.4375,127.8438,127.1563,127.6563,ZB,0.6875,0.2188,1,0.2727,130.3949,129.6908,-2.7386,-2.0345,8,,0,Short,0
2017-03-13,127.6875,128.0625,126.6875,126.7188,ZB,1.375,0.9687,0,0.9772,130.226,129.3187,-3.5072,-2.5999,9,,0,Short,0
2017-03-14,126.7188,127.7813,126.5625,127.4688,ZB,1.2188,0.75,1,0.2564,130.1002,129.0871,-2.6314,-1.6183,10,,0,Short,0
2017-03-15,127.5,129.2813,127.4688,129.1563,ZB,1.8125,1.6563,1,0.069,130.0573,129.0958,-0.901,0.0605,1,,0,Short,0
2017-03-16,129.2188,129.375,128.1875,128.25,ZB,1.1875,0.9688,0,0.9474,129.9759,128.9899,-1.7259,-0.7399,1,0,,Short,1
2017-03-17,128.2188,129.375,128.2188,129.25,ZB,1.1562,1.0312,1,0.1081,129.9434,129.0225,-0.6934,0.2275,1,,0,Short,1
2017-03-20,129.2188,130.0313,128.9375,130.0,ZB,1.0938,0.7812,1,0.0286,129.9459,129.1448,0.0541,0.8552,2,,0,Short,1
2017-03-21,129.9688,131.0313,129.25,130.9063,ZB,1.7813,0.9375,1,0.0702,129.9885,129.3651,0.9178,1.5412,3,,0,Short,1
2017-03-22,130.9063,131.9063,130.875,131.375,ZB,1.0313,0.4687,1,0.5152,130.0496,129.6165,1.3254,1.7585,4,,0,Short,1
2017-03-23,131.4063,131.8125,130.8438,131.2188,ZB,0.9687,0.1875,0,0.6129,130.1009,129.8169,1.1179,1.4019,5,,0,Short,1
2017-03-24,131.25,131.9375,130.9375,131.5625,ZB,1.0,0.3125,1,0.375,130.1648,130.0352,1.3977,1.5273,6,,0,Short,1
2017-03-27,131.6563,132.8438,131.5938,132.0938,ZB,1.25,0.4375,1,0.6,130.2486,130.2927,1.8452,1.8011,7,,0,Short,1
2017-03-28,132.0938,132.625,131.1875,131.25,ZB,1.4375,0.8438,0,0.9565,130.292,130.4124,0.958,0.8376,8,,0,Short,1
2017-03-29,131.2813,132.1563,131.125,132.0313,ZB,1.0313,0.75,1,0.1212,130.367,130.6148,1.6643,1.4165,9,,0,Short,0
2017-03-30,132.0313,132.25,131.0938,131.1563,ZB,1.1562,0.875,0,0.9459,130.4009,130.6825,0.7554,0.4738,10,,0,Short,1
2017-03-31,131.1875,131.75,130.9063,131.7188,ZB,0.8437,0.5313,1,0.037,130.4573,130.8121,1.2615,0.9067,11,1,1,Long,0
2017-04-03,131.7188,133.125,131.4063,133.0625,ZB,1.7187,1.3437,1,0.0364,130.5684,131.0934,2.4941,1.9691,12,1,,Long,0
2017-04-04,133.0625,133.1563,132.2188,132.25,ZB,0.9375,0.8125,0,0.9667,130.6399,131.238,1.6101,1.012,13,,0,Long,1
2017-04-05,132.3125,132.8438,131.5938,132.625,ZB,1.25,0.3125,1,0.175,130.724,131.4114,1.901,1.2136,14,,0,Long,1
2017-04-06,132.625,132.75,131.8438,132.5,ZB,0.9062,0.125,0,0.2759,130.799,131.5475,1.701,0.9525,15,,0,Long,1
2017-04-07,132.5,133.875,131.9688,132.0938,ZB,1.9062,0.4062,0,0.9344,130.8535,131.6158,1.2403,0.478,16,,0,Long,1
2017-04-10,132.125,132.8438,131.8438,132.4688,ZB,1.0,0.3438,1,0.375,130.9213,131.7225,1.5475,0.7463,17,,0,Long,0
2017-04-11,132.4375,133.875,132.4375,133.6875,ZB,1.4375,1.25,1,0.1304,131.0371,131.9681,2.6504,1.7194,18,,0,Long,1
2017-04-12,133.7188,134.6563,133.4375,134.625,ZB,1.2188,0.9062,1,0.0257,131.1869,132.3003,3.4381,2.3247,19,,0,Long,1
2017-04-13,134.6563,135.0625,134.0938,134.625,ZB,0.9687,0.0313,0,0.4516,131.3301,132.5909,3.2949,2.0341,20,,0,Long,1
2017-04-17,134.9375,135.2188,134.0625,134.2813,ZB,1.1563,0.6562,0,0.8108,131.4527,132.8022,2.8286,1.4791,21,,0,Long,1
2017-04-18,134.3125,136.25,134.2188,135.9688,ZB,2.0312,1.6563,1,0.1384,131.6399,133.198,4.3289,2.7708,22,,0,Long,1
2017-04-19,136.0313,136.0625,135.0625,135.25,ZB,1.0,0.7813,0,0.8125,131.7892,133.4545,3.4608,1.7955,23,,0,Long,1
2017-04-20,135.3125,135.7188,134.5313,135.0625,ZB,1.1875,0.25,0,0.5527,131.9243,133.6555,3.1382,1.407,24,,0,Long,1
2017-04-21,135.0313,135.5,134.6875,134.75,ZB,0.8125,0.2813,0,0.9231,132.0407,133.7924,2.7093,0.9576,25,,0,Long,1
2017-04-24,133.8125,134.4375,133.3125,134.0938,ZB,1.125,0.2813,1,0.3055,132.1251,133.83,1.9687,0.2638,26,,0,Long,1
2017-04-25,134.1563,134.2813,132.75,132.9375,ZB,1.5313,1.2188,0,0.8776,132.1584,133.7185,0.7791,-0.781,1,,0,Long,0
2017-04-26,132.9688,133.625,132.6875,133.5625,ZB,0.9375,0.5937,1,0.0667,132.2159,133.699,1.3466,-0.1365,2,1,,Long,0
2017-04-27,133.5625,133.7813,132.9688,133.5,ZB,0.8125,0.0625,0,0.3462,132.2684,133.6741,1.2316,-0.1741,3,,0,Long,0
2017-04-28,133.4688,133.8125,132.625,133.7813,ZB,1.1875,0.3125,1,0.0263,132.3301,133.6875,1.4512,0.0938,1,1,,Long,0
2017-05-01,133.7188,133.9375,132.4063,132.9063,ZB,1.5312,0.8125,0,0.6735,132.3536,133.5898,0.5527,-0.6835,1,,0,Long,0
2017-05-02,132.9688,133.8438,132.5625,133.7813,ZB,1.2813,0.8125,1,0.0488,132.4117,133.6138,1.3696,0.1675,1,1,,Long,0
2017-05-03,133.75,133.9688,133.0625,133.2813,ZB,0.9063,0.4687,0,0.7586,132.447,133.5722,0.8343,-0.2909,1,,0,Long,1
2017-05-04,133.3125,133.375,132.0938,132.5,ZB,1.2812,0.8125,0,0.683,132.4492,133.4382,0.0508,-0.9382,2,,0,Long,0
2017-05-05,132.4688,133.0,132.1875,132.625,ZB,0.8125,0.1562,1,0.4615,132.4563,133.3365,0.1687,-0.7115,3,,0,Long,0
2017-05-08,132.3125,133.1563,131.7813,131.875,ZB,1.375,0.4375,0,0.9319,132.4328,133.1538,-0.5578,-1.2788,4,,0,Long,0
2017-05-09,131.875,132.0313,131.3438,131.5938,ZB,0.6875,0.2812,0,0.6364,132.3989,132.9588,-0.8051,-1.365,5,,0,Long,0
