date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,115.2109,115.3047,114.9063,115.2266,ZF,0.3984,0.0157,1,0.196,115.2266,115.2266,0.0,0.0,1,,0,,0
2017-01-04,115.2266,115.2969,115.0547,115.2578,ZF,0.2422,0.0312,1,0.1614,115.2425,115.2432,0.0153,0.0146,1,,0,,0
2017-01-05,115.25,115.7578,115.2031,115.6953,ZF,0.5547,0.4453,1,0.1127,115.3995,115.4144,0.2958,0.2809,2,,0,,0
2017-01-06,115.6953,115.9063,115.2422,115.2813,ZF,0.6641,0.414,0,0.9411,115.3682,115.3742,-0.0869,-0.0929,1,,0,,0
2017-01-09,115.2891,115.5391,115.1953,115.5234,ZF,0.3438,0.2343,1,0.0457,115.4017,115.4125,0.1217,0.1109,1,,0,,0
2017-01-10,115.5234,115.5938,115.4219,115.5156,ZF,0.1719,0.0078,0,0.4549,115.4227,115.4359,0.0929,0.0797,2,,0,,1
2017-01-11,115.5313,115.7734,115.3828,115.4609,ZF,0.3906,0.0704,0,0.8001,115.4288,115.441,0.0321,0.0199,3,,0,,1
2017-01-12,115.4766,115.8359,115.4766,115.5703,ZF,0.3593,0.0937,1,0.7392,115.4491,115.4656,0.1212,0.1047,4,,0,,0
2017-01-13,115.5625,115.8438,115.2344,115.4297,ZF,0.6094,0.1328,0,0.6795,115.4466,115.4592,-0.0169,-0.0295,1,,0,,1
2017-01-17,115.4453,115.9063,115.4375,115.8281,ZF,0.4688,0.3828,1,0.1668,115.4919,115.5218,0.3362,0.3063,1,,0,,0
2017-01-18,115.8203,115.8359,115.2344,115.2422,ZF,0.6015,0.5781,0,0.987,115.4644,115.4764,-0.2222,-0.2342,1,0,1,Short,1
2017-01-19,115.2266,115.3281,115.0234,115.1563,ZF,0.3047,0.0703,0,0.5638,115.4327,115.4263,-0.2764,-0.27,2,,0,Short,0
2017-01-20,115.1641,115.3828,115.0,115.3281,ZF,0.3828,0.164,1,0.1429,115.4226,115.4114,-0.0945,-0.0833,3,,0,Short,0
2017-01-23,115.3203,115.7891,115.3125,115.7031,ZF,0.4766,0.3828,1,0.1804,115.4483,115.4545,0.2548,0.2486,1,,0,Short,0
2017-01-24,115.7031,115.7422,115.3281,115.3516,ZF,0.4141,0.3515,0,0.9433,115.4399,115.4396,-0.0883,-0.088,1,,0,Short,0
2017-01-25,115.375,115.4375,115.0859,115.1875,ZF,0.3516,0.1875,0,0.711,115.4189,115.4039,-0.2314,-0.2164,2,,0,Short,1
2017-01-26,115.2031,115.3047,115.0234,115.2578,ZF,0.2813,0.0547,1,0.1667,115.4061,115.3835,-0.1483,-0.1257,3,,0,Short,1
2017-01-27,115.2656,115.3906,115.1563,115.3594,ZF,0.2343,0.0938,1,0.1332,115.4026,115.3802,-0.0432,-0.0208,4,,0,Short,0
2017-01-30,115.3984,115.5,115.3125,115.3516,ZF,0.1875,0.0468,0,0.7915,115.3988,115.3763,-0.0472,-0.0247,5,,0,Short,0
2017-01-31,115.3516,115.6328,115.3359,115.5078,ZF,0.2969,0.1562,1,0.421,115.4066,115.394,0.1012,0.1138,1,,0,Short,0
2017-02-01,115.5078,115.5156,115.1328,115.4219,ZF,0.3828,0.0859,0,0.2448,115.4076,115.3977,0.0143,0.0242,2,,0,Short,1
2017-02-02,115.4219,115.6484,115.375,115.4531,ZF,0.2734,0.0312,1,0.7143,115.4107,115.405,0.0424,0.0481,3,,0,Short,1
2017-02-03,115.4531,115.7578,115.2422,115.5234,ZF,0.5156,0.0703,1,0.4546,115.418,115.4205,0.1054,0.1029,4,,0,Short,1
2017-02-06,115.5156,115.8672,115.4844,115.8438,ZF,0.3828,0.3282,1,0.0611,115.4451,115.4757,0.3987,0.3681,5,,0,Short,1
2017-02-07,115.8438,115.9922,115.6953,115.8281,ZF,0.2969,0.0157,0,0.5527,115.4688,115.5214,0.3593,0.3067,6,,0,Short,1
2017-02-08,115.8281,116.1016,115.7891,116.0625,ZF,0.3125,0.2344,1,0.1251,115.5048,115.5912,0.5577,0.4713,7,,0,Short,1
2017-02-09,116.0703,116.0703,115.6953,115.7422,ZF,0.375,0.3281,0,0.8749,115.5189,115.6106,0.2233,0.1316,8,,0,Short,1
2017-02-10,115.7422,115.75,115.5781,115.6406,ZF,0.1719,0.1016,0,0.6364,115.526,115.6144,0.1146,0.0262,9,,0,Short,1
2017-02-13,115.625,115.625,115.4531,115.5156,ZF,0.1719,0.1094,0,0.6364,115.5254,115.6018,-0.0098,-0.0862,1,,0,Short,0
2017-02-14,115.5078,115.5625,115.1406,115.2656,ZF,0.4219,0.2422,0,0.7037,115.5108,115.559,-0.2452,-0.2934,2,,0,Short,0
