date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,407.9,410.0,403.3,403.6,ZM,6.7,4.3,0,0.9552,403.6,403.6,0.0,0.0,1,,0,,0
2017-01-04,403.5,410.6,403.1,410.1,ZM,7.5,6.6,1,0.0667,406.915,407.0667,3.185,3.0333,1,,0,,0
2017-01-05,410.0,410.0,407.2,409.7,ZM,2.8,0.3,0,0.1071,407.8807,408.0639,1.8193,1.6361,2,,0,,0
2017-01-06,409.3,410.2,402.0,402.8,ZM,8.2,6.5,0,0.9024,406.5333,406.4739,-3.7333,-3.6739,1,,0,,0
2017-01-09,402.5,405.9,402.1,405.2,ZM,3.8,2.7,1,0.1842,406.2449,406.147,-1.0449,-0.947,2,,0,,0
2017-01-10,405.2,409.3,402.8,408.7,ZM,6.5,3.5,1,0.0923,406.6961,406.7259,2.0039,1.9741,1,,0,,1
2017-01-11,408.5,409.5,403.5,405.6,ZM,6.0,2.9,0,0.65,406.5201,406.4942,-0.9201,-0.8942,1,,0,,0
2017-01-12,405.3,419.9,404.9,419.0,ZM,15.0,13.7,1,0.06,408.307,408.8757,10.693,10.1243,1,1,1,Long,0
2017-01-13,418.0,428.1,416.3,424.7,ZM,11.8,6.7,1,0.2881,410.4332,411.7041,14.2668,12.9959,2,,0,Long,1
2017-01-17,429.6,443.7,426.7,440.2,ZM,17.0,10.6,1,0.2059,413.9736,416.5377,26.2264,23.6623,3,,0,Long,1
2017-01-18,440.2,445.0,435.6,441.8,ZM,9.4,1.6,1,0.3404,417.0388,420.6398,24.7612,21.1602,4,,0,Long,1
2017-01-19,441.6,442.5,436.5,439.3,ZM,6.0,2.3,0,0.5333,419.3286,423.5606,19.9714,15.7394,5,,0,Long,1
2017-01-20,439.7,442.3,435.9,440.3,ZM,6.4,0.6,1,0.3125,421.3566,426.1007,18.9434,14.1993,6,,0,Long,1
2017-01-23,440.2,440.8,432.8,435.4,ZM,8.0,4.8,0,0.675,422.6409,427.475,12.7591,7.925,7,,0,Long,1
2017-01-24,435.3,437.3,430.5,434.2,ZM,6.8,1.1,0,0.4559,423.6454,428.4468,10.5546,5.7532,8,,0,Long,0
2017-01-25,433.7,435.7,431.4,435.1,ZM,4.3,1.4,1,0.1395,424.5956,429.3898,10.5044,5.7102,9,,0,Long,0
2017-01-26,434.6,435.6,431.9,433.4,ZM,3.7,1.2,0,0.5946,425.2954,429.9488,8.1046,3.4512,10,,0,Long,0
2017-01-27,432.9,435.1,431.5,434.1,ZM,3.6,1.2,1,0.2778,425.968,430.5193,8.132,3.5807,11,,0,Long,0
2017-01-30,432.5,432.6,423.8,425.5,ZM,8.8,7.0,0,0.8068,425.9336,429.838,-0.4336,-4.338,1,,0,Long,0
2017-01-31,426.0,427.0,423.9,425.9,ZM,3.1,0.1,0,0.3548,425.9312,429.3091,-0.0312,-3.4091,2,,0,Long,0
2017-02-01,425.6,427.5,422.3,427.2,ZM,5.2,1.6,1,0.0577,426.0187,429.0285,1.1813,-1.8285,3,1,,Long,0
2017-02-02,427.4,429.0,423.8,424.8,ZM,5.2,2.6,0,0.8077,425.9371,428.4704,-1.1371,-3.6704,4,,0,Long,0
2017-02-03,425.2,427.3,422.5,422.8,ZM,4.8,2.4,0,0.9375,425.7325,427.7271,-2.9325,-4.9271,5,,0,Long,0
2017-02-06,422.5,428.1,422.3,424.8,ZM,5.8,2.3,1,0.569,425.6733,427.3457,-0.8733,-2.5457,6,,0,Long,0
2017-02-07,424.6,427.7,421.8,426.5,ZM,5.9,1.9,1,0.2034,425.7246,427.2361,0.7754,-0.7361,7,,0,Long,0
2017-02-08,427.1,432.8,426.2,432.6,ZM,6.6,5.5,1,0.0303,426.1416,427.9281,6.4584,4.6719,1,1,,Long,0
2017-02-09,432.0,432.9,427.2,429.7,ZM,5.7,2.3,0,0.5614,426.3528,428.1558,3.3472,1.5442,2,,0,Long,1
2017-02-10,429.7,435.2,428.5,433.3,ZM,6.7,3.6,1,0.2836,426.7572,428.8145,6.5428,4.4855,3,,0,Long,1
2017-02-13,433.8,436.8,431.8,434.8,ZM,5.0,1.0,1,0.4,427.2166,429.5786,7.5834,5.2214,4,,0,Long,1
2017-02-14,434.8,435.0,429.8,430.6,ZM,5.2,4.2,0,0.8462,427.4065,429.7086,3.1935,0.8914,5,,0,Long,1
2017-02-15,430.6,437.9,427.7,437.2,ZM,10.2,6.6,1,0.0686,427.9469,430.6602,9.2531,6.5398,6,1,,Long,0
2017-02-16,437.0,441.1,432.0,432.6,ZM,9.1,4.4,0,0.9341,428.1996,430.9061,4.4004,1.6939,7,,0,Long,1
2017-02-17,432.0,433.4,429.2,431.5,ZM,4.2,0.5,0,0.4524,428.3762,430.9813,3.1238,0.5187,8,,0,Long,0
2017-02-21,431.0,434.1,427.9,428.4,ZM,6.2,2.6,0,0.9194,428.3775,430.6551,0.0225,-2.2551,1,,0,Long,0
2017-02-22,428.8,429.0,425.6,425.6,ZM,3.4,3.2,0,1.0,428.2329,430.0173,-2.6329,-4.4173,2,,0,Long,0
2017-02-23,425.9,427.9,421.2,422.6,ZM,6.7,3.3,0,0.791,427.9434,429.0825,-5.3434,-6.4825,3,,0,Long,0
2017-02-24,422.2,423.2,419.4,422.6,ZM,3.8,0.4,1,0.1579,427.6721,428.2663,-5.0721,-5.6663,4,,0,Long,0
2017-02-27,422.9,425.0,421.0,423.2,ZM,4.0,0.3,1,0.45,427.4477,427.6291,-4.2477,-4.4291,5,,0,Long,0
2017-02-28,423.9,430.0,421.7,422.5,ZM,8.3,1.4,0,0.9036,427.202,426.9844,-4.702,-4.4844,6,,0,Long,0
2017-03-01,422.6,426.1,422.6,426.1,ZM,3.5,3.5,1,0.0,427.1479,426.8733,-1.0479,-0.7733,7,,0,Long,0
2017-03-02,425.9,426.4,418.1,421.1,ZM,8.3,4.8,0,0.6386,426.8537,426.1486,-5.7537,-5.0486,8,,0,Long,1
2017-03-03,421.4,421.7,417.1,419.2,ZM,4.6,2.2,0,0.5435,426.4848,425.2768,-7.2848,-6.0768,9,,0,Long,0
2017-03-06,420.6,425.8,419.1,420.7,ZM,6.7,0.1,1,0.7612,426.2085,424.7029,-5.5085,-4.0029,10,,0,Long,0
2017-03-07,420.6,422.6,415.9,418.4,ZM,6.7,2.2,0,0.6269,425.8386,423.9128,-7.4386,-5.5128,11,,0,Long,0
2017-03-08,418.1,419.0,415.3,417.7,ZM,3.7,0.4,0,0.3514,425.4563,423.1343,-7.7563,-5.4343,12,,0,Long,0
2017-03-09,417.3,418.0,412.5,414.8,ZM,5.5,2.5,0,0.5818,424.9595,422.0903,-10.1595,-7.2903,13,,0,Long,0
2017-03-10,414.2,415.7,412.3,415.7,ZM,3.4,1.5,1,0.0,424.531,421.29,-8.831,-5.59,14,,0,Long,0
2017-03-13,415.3,418.0,414.5,417.8,ZM,3.5,2.5,1,0.0571,424.2217,420.853,-6.4217,-3.053,15,,0,Long,0
