date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,118.859,118.969,118.313,118.844,ZN,0.656,0.015,0,0.1905,118.844,118.844,0.0,0.0,1,,0,,0
2017-01-04,118.875,119.016,118.594,118.938,ZN,0.422,0.063,1,0.1848,118.8919,118.8941,0.0461,0.0439,1,,0,,0
2017-01-05,118.938,119.766,118.844,119.703,ZN,0.922,0.765,1,0.0683,119.1732,119.2004,0.5298,0.5026,2,,0,,0
2017-01-06,119.688,120.063,119.047,119.109,ZN,1.016,0.579,0,0.939,119.1562,119.1728,-0.0472,-0.0638,1,,0,,0
2017-01-09,119.125,119.594,118.969,119.578,ZN,0.625,0.453,1,0.0256,119.2474,119.2768,0.3306,0.3012,1,,0,,0
2017-01-10,119.563,119.656,119.359,119.5,ZN,0.297,0.063,0,0.5253,119.2938,119.3274,0.2062,0.1726,2,,0,,1
2017-01-11,119.516,119.938,119.313,119.469,ZN,0.625,0.047,0,0.7504,119.322,119.3566,0.147,0.1124,3,,0,,1
2017-01-12,119.5,120.063,119.484,119.609,ZN,0.579,0.109,1,0.7841,119.3631,119.4046,0.2459,0.2044,4,,0,,0
2017-01-13,119.609,120.047,119.078,119.391,ZN,0.969,0.218,0,0.677,119.3667,119.4022,0.0243,-0.0112,1,,0,,1
2017-01-17,119.438,120.156,119.422,119.984,ZN,0.734,0.546,1,0.2343,119.4401,119.5009,0.5439,0.4831,1,,0,,0
2017-01-18,119.969,120.016,119.047,119.063,ZN,0.969,0.906,0,0.9835,119.3986,119.4298,-0.3356,-0.3668,1,0,1,Short,1
2017-01-19,119.047,119.219,118.594,118.781,ZN,0.625,0.266,0,0.7008,119.335,119.3282,-0.554,-0.5472,2,,0,Short,0
2017-01-20,118.797,119.031,118.516,118.938,ZN,0.515,0.141,1,0.1806,119.2966,119.269,-0.3586,-0.331,3,,0,Short,0
2017-01-23,118.906,119.719,118.891,119.578,ZN,0.828,0.672,1,0.1703,119.3224,119.3147,0.2556,0.2633,1,,0,Short,0
2017-01-24,119.594,119.672,118.938,118.984,ZN,0.734,0.61,0,0.9373,119.293,119.2669,-0.309,-0.2829,1,,0,Short,0
2017-01-25,119.031,119.125,118.469,118.625,ZN,0.656,0.406,0,0.7622,119.2376,119.1759,-0.6126,-0.5509,2,,0,Short,0
2017-01-26,118.656,118.75,118.297,118.703,ZN,0.453,0.047,1,0.1038,119.1951,119.11,-0.4921,-0.407,3,,0,Short,0
2017-01-27,118.703,118.922,118.531,118.875,ZN,0.391,0.172,1,0.1202,119.1706,119.0777,-0.2956,-0.2027,4,,0,Short,0
2017-01-30,118.938,119.094,118.797,118.844,ZN,0.297,0.094,0,0.8418,119.1466,119.046,-0.3026,-0.202,5,,0,Short,0
2017-01-31,118.875,119.406,118.797,119.172,ZN,0.609,0.297,1,0.3842,119.1484,119.0629,0.0236,0.1091,1,,0,Short,0
2017-02-01,119.188,119.203,118.641,119.063,ZN,0.562,0.125,0,0.2491,119.1425,119.0629,-0.0795,0.0001,2,,0,Short,1
