date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,1106.5,1114.25,1097.0,1098.75,ZS,17.25,7.75,0,0.8986,1098.75,1098.75,0.0,0.0,1,,0,,0
2017-01-04,1097.5,1118.25,1095.25,1116.75,ZS,23.0,19.25,1,0.0652,1107.93,1108.35,8.82,8.4,1,,0,,0
2017-01-05,1116.75,1118.5,1110.0,1114.75,ZS,8.5,2.0,0,0.4412,1110.2949,1110.7737,4.4551,3.9763,2,,0,,0
2017-01-06,1115.0,1117.25,1096.0,1097.75,ZS,21.25,17.25,0,0.9176,1106.968,1106.8397,-9.218,-9.0897,1,,0,,0
2017-01-09,1097.25,1108.5,1096.0,1107.25,ZS,12.5,10.0,1,0.1,1107.029,1106.945,0.221,0.305,1,,0,,0
2017-01-10,1106.75,1117.5,1099.75,1115.5,ZS,17.75,8.75,1,0.1127,1108.5857,1108.885,6.9143,6.615,2,,0,,1
2017-01-11,1115.0,1119.0,1103.5,1112.5,ZS,15.5,2.5,0,0.4194,1109.2142,1109.6291,3.2858,2.8709,3,,0,,0
2017-01-12,1112.25,1143.75,1108.5,1142.0,ZS,35.25,29.75,1,0.0496,1113.9086,1115.7937,28.0914,26.2063,4,1,1,Long,0
2017-01-13,1140.0,1155.25,1135.0,1146.75,ZS,20.25,6.75,1,0.4198,1118.1681,1121.3268,28.5819,25.4232,5,,0,Long,1
2017-01-17,1156.5,1178.0,1154.5,1170.0,ZS,23.5,13.5,1,0.3404,1124.3329,1129.5829,45.6671,40.4171,6,,0,Long,1
2017-01-18,1170.5,1182.5,1165.0,1176.75,ZS,17.5,6.25,1,0.3286,1130.107,1137.2418,46.643,39.5082,7,,0,Long,1
2017-01-19,1175.5,1179.75,1169.25,1172.5,ZS,10.5,3.0,0,0.6905,1134.4675,1142.7607,38.0325,29.7393,8,,0,Long,1
2017-01-20,1172.5,1173.75,1162.5,1170.25,ZS,11.25,2.25,0,0.3111,1137.9278,1146.932,32.3222,23.318,9,,0,Long,1
2017-01-23,1170.0,1172.25,1157.75,1162.5,ZS,14.5,7.5,0,0.6724,1140.1749,1149.2328,22.3251,13.2672,10,,0,Long,1
2017-01-24,1162.25,1170.5,1153.75,1161.25,ZS,16.75,1.0,0,0.5522,1142.0065,1150.9693,19.2435,10.2807,11,,0,Long,0
2017-01-25,1159.5,1162.5,1152.5,1158.75,ZS,10.0,0.75,0,0.375,1143.3954,1152.0721,15.3546,6.6779,12,,0,Long,0
2017-01-26,1158.0,1161.0,1148.0,1151.0,ZS,13.0,7.0,0,0.7692,1143.9998,1151.9226,7.0002,-0.9226,1,,0,Long,0
2017-01-27,1149.5,1154.5,1145.75,1151.75,ZS,8.75,2.25,1,0.3143,1144.5919,1151.8989,7.1581,-0.1489,2,,0,Long,0
2017-01-30,1146.5,1146.75,1121.75,1125.0,ZS,25.0,21.5,0,0.87,1143.1487,1148.2477,-18.1487,-23.2477,3,,0,Long,0
2017-01-31,1125.5,1129.0,1122.0,1126.75,ZS,7.0,1.25,1,0.3214,1141.981,1145.3607,-15.231,-18.6107,4,,0,Long,0
2017-02-01,1127.0,1140.0,1119.5,1139.75,ZS,20.5,12.75,1,0.0122,1141.8271,1144.6142,-2.0771,-4.8642,5,,0,Long,0
2017-02-02,1139.75,1144.25,1133.75,1138.0,ZS,10.5,1.75,0,0.5952,1141.5706,1143.7411,-3.5706,-5.7411,6,,0,Long,0
