date,o,h,l,c,symbol,tRange,bRange,direction,hammer,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,107.8672,107.8906,107.7656,107.8359,ZT,0.125,0.0313,0,0.4376,107.8359,107.8359,0.0,0.0,1,,0,,0
2017-01-04,107.8281,107.8438,107.7891,107.8359,ZT,0.0547,0.0078,1,0.1444,107.8359,107.8359,0.0,0.0,1,,0,,0
2017-01-05,107.8359,107.9609,107.8203,107.9531,ZT,0.1406,0.1172,1,0.0555,107.8765,107.8803,0.0766,0.0728,1,,0,,0
2017-01-06,107.9609,108.0078,107.8281,107.8516,ZT,0.1797,0.1093,0,0.8692,107.8699,107.8716,-0.0183,-0.02,1,,0,,0
2017-01-09,107.8516,107.9219,107.8203,107.9219,ZT,0.1016,0.0703,1,0.0,107.8812,107.8845,0.0407,0.0374,1,,0,,0
2017-01-10,107.9219,107.9297,107.875,107.9141,ZT,0.0547,0.0078,0,0.2852,107.8872,107.8912,0.0269,0.0229,2,,0,,1
2017-01-11,107.9141,107.9922,107.875,107.8984,ZT,0.1172,0.0157,0,0.8003,107.889,107.8927,0.0094,0.0057,3,,0,,1
2017-01-12,107.9063,108.0078,107.9063,107.9375,ZT,0.1015,0.0312,1,0.6926,107.896,107.9012,0.0415,0.0363,4,,0,,0
2017-01-13,107.9375,108.0,107.8281,107.8984,ZT,0.1719,0.0391,0,0.591,107.8963,107.9007,0.0021,-0.0023,1,,0,,1
2017-01-17,107.8906,108.0391,107.8906,108.0,ZT,0.1485,0.1094,1,0.2633,107.9086,107.9176,0.0914,0.0824,1,,0,,0
2017-01-18,108.0,108.0,107.8516,107.8516,ZT,0.1484,0.1484,0,1.0,107.9023,107.9069,-0.0507,-0.0553,1,0,1,Short,1
2017-01-19,107.8516,107.875,107.7969,107.8594,ZT,0.0781,0.0078,1,0.1997,107.8979,107.8994,-0.0385,-0.04,2,,0,Short,0
2017-01-20,107.8516,107.9453,107.8203,107.9141,ZT,0.125,0.0625,1,0.2496,107.8995,107.9017,0.0146,0.0124,1,,0,Short,0
2017-01-23,107.9141,108.0469,107.9063,108.0313,ZT,0.1406,0.1172,1,0.111,107.9115,107.9208,0.1198,0.1105,2,,0,Short,1
2017-01-24,108.0391,108.0391,107.9141,107.9219,ZT,0.125,0.1172,0,0.9376,107.9124,107.921,0.0095,0.0009,3,,0,Short,1
2017-01-25,107.9297,107.9453,107.8672,107.8984,ZT,0.0781,0.0313,0,0.6005,107.9113,107.9178,-0.0129,-0.0194,1,,0,Short,1
2017-01-26,107.9063,107.9375,107.8594,107.9219,ZT,0.0781,0.0156,1,0.1997,107.9121,107.9183,0.0098,0.0036,1,,0,Short,1
2017-01-27,107.9141,107.9531,107.8906,107.9297,ZT,0.0625,0.0156,1,0.3744,107.9135,107.9199,0.0162,0.0098,2,,0,Short,1
2017-01-30,107.9453,107.9688,107.9219,107.9375,ZT,0.0469,0.0078,0,0.6674,107.9152,107.9223,0.0223,0.0152,3,,0,Short,0
