date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,33.47,33.69,32.69,32.89,1688700.0,ACHC,1.0,0.58,0,0.8,,4.7855,32.89,32.89,0.0,0.0,1,,0,,0
2017-01-04,33.25,35.88,32.8,35.72,2352400.0,ACHC,3.08,2.47,1,0.0519,,6.6663,34.3333,34.3993,1.3867,1.3207,1,,0,,0
2017-01-05,35.9,35.93,34.56,35.16,1206800.0,ACHC,1.37,0.74,0,0.562,,3.4199,34.62,34.6874,0.54,0.4726,2,,0,,0
2017-01-06,35.24,36.24,34.89,36.0,1538800.0,ACHC,1.35,0.76,1,0.1778,,4.3607,34.9859,35.0839,1.0141,0.9161,3,,0,,0
2017-01-09,36.05,38.13,35.6,37.91,1893200.0,ACHC,2.53,1.86,1,0.087,,5.365,35.6185,35.8091,2.2915,2.1009,4,,0,,0
2017-01-10,38.06,38.9,37.16,37.5,1310700.0,ACHC,1.74,0.56,0,0.8046,,3.7143,35.9642,36.1926,1.5358,1.3074,5,,0,,1
2017-01-11,37.59,38.53,37.32,37.99,1003200.0,ACHC,1.21,0.4,1,0.4463,,2.8429,36.2895,36.5625,1.7005,1.4275,6,,0,,1
2017-01-12,37.88,38.37,37.38,38.0,858600.0,ACHC,0.99,0.12,1,0.3737,,2.4331,36.5344,36.8363,1.4656,1.1637,7,,0,,1
2017-01-13,37.93,38.38,37.73,37.95,715600.0,ACHC,0.65,0.02,1,0.6615,,2.0279,36.718,37.0354,1.232,0.9146,8,,0,,1
2017-01-17,37.57,38.67,37.42,38.03,924000.0,ACHC,1.25,0.46,1,0.512,1349200.0,2.6185,36.874,37.2041,1.156,0.8259,9,,0,,1
2017-01-18,38.2,39.02,37.71,39.0,1083700.0,ACHC,1.31,0.8,1,0.0153,1288700.0,3.071,37.1082,37.4957,1.8918,1.5043,10,,0,,1
2017-01-19,39.09,39.49,38.07,38.19,1072300.0,ACHC,1.42,0.9,0,0.9155,1160690.0,3.0387,37.2195,37.6044,0.9705,0.5856,11,,0,,1
2017-01-20,38.13,38.67,37.75,38.47,838100.0,ACHC,0.92,0.34,1,0.2174,1123820.0,2.375,37.3404,37.7357,1.1296,0.7343,12,,0,,1
2017-01-23,38.2,38.89,37.85,38.54,985800.0,ACHC,1.04,0.34,1,0.3365,1068520.0,2.7936,37.4501,37.8546,1.0899,0.6854,13,,0,,1
2017-01-24,38.69,39.56,38.23,39.4,1940000.0,ACHC,1.33,0.71,1,0.1203,1073200.0,5.4976,37.6196,38.0779,1.7804,1.3221,14,,0,,1
2017-01-25,39.47,40.4,39.18,39.93,1857600.0,ACHC,1.22,0.46,1,0.3852,1127890.0,5.2641,37.8112,38.3404,2.1188,1.5896,15,,0,,1
2017-01-26,39.81,40.11,38.69,39.02,739200.0,ACHC,1.42,0.79,0,0.7676,1101490.0,2.0948,37.9073,38.4351,1.1127,0.5849,16,,0,,1
2017-01-27,38.3,38.65,37.78,38.39,649600.0,ACHC,0.87,0.09,1,0.2989,1080590.0,1.8409,37.9442,38.4289,0.4458,-0.0389,1,,0,,1
2017-01-30,38.38,38.38,37.24,38.0,666800.0,ACHC,1.14,0.38,0,0.3333,1075710.0,1.8896,37.9483,38.3707,0.0517,-0.3707,2,,0,,0
2017-01-31,38.12,38.71,37.57,38.37,550200.0,ACHC,1.14,0.25,1,0.2982,1038330.0,1.5592,37.9783,38.3706,0.3917,-0.0006,3,,0,,0
2017-02-01,38.71,39.18,38.19,38.49,962800.0,ACHC,0.99,0.22,0,0.697,1026240.0,2.7284,38.0136,38.3865,0.4764,0.1035,1,,0,,0
2017-02-02,38.54,38.77,38.02,38.3,844600.0,ACHC,0.75,0.24,0,0.6267,1003470.0,2.3934,38.0328,38.3751,0.2672,-0.0751,1,,0,,0
2017-02-03,38.6,39.25,38.29,38.8,709700.0,ACHC,0.96,0.2,1,0.4688,990630.0,2.0112,38.0828,38.4308,0.7172,0.3692,1,,0,,0
2017-02-06,38.9,38.95,38.12,38.18,464600.0,ACHC,0.83,0.72,0,0.9277,938510.0,1.3166,38.089,38.3981,0.091,-0.2181,1,,0,,1
2017-02-07,38.34,38.66,38.02,38.28,653300.0,ACHC,0.64,0.06,0,0.5937,809840.0,1.8513,38.1009,38.3828,0.1791,-0.1028,2,,0,,0
2017-02-08,38.21,38.63,37.44,38.47,598000.0,ACHC,1.19,0.26,1,0.1345,683880.0,1.6946,38.1232,38.3941,0.3468,0.0759,1,,0,,0
2017-02-09,38.38,38.95,38.3,38.92,627000.0,ACHC,0.65,0.54,1,0.0462,672660.0,1.7768,38.1706,38.4616,0.7494,0.4584,2,,0,,1
2017-02-10,38.95,39.19,38.54,38.88,614600.0,ACHC,0.65,0.07,0,0.4769,669160.0,1.7417,38.2118,38.5152,0.6682,0.3648,3,,0,,1
2017-02-13,39.32,39.43,38.31,39.35,926400.0,ACHC,1.12,0.03,1,0.0714,695120.0,2.6253,38.2769,38.6218,1.0731,0.7282,4,,0,,1
2017-02-14,39.31,40.29,38.91,40.24,968000.0,ACHC,1.38,0.93,1,0.0362,736900.0,2.7431,38.387,38.8278,1.853,1.4122,5,,0,,1
2017-02-15,40.19,42.13,40.09,41.76,1391100.0,ACHC,2.04,1.57,1,0.1814,779730.0,3.9421,38.5731,39.2003,3.1869,2.5597,6,,0,,1
2017-02-16,41.6,42.27,41.53,41.92,1295600.0,ACHC,0.74,0.32,1,0.473,824830.0,3.6715,38.7549,39.545,3.1651,2.375,7,,0,,1
2017-02-17,41.74,42.64,41.3,42.59,1147400.0,ACHC,1.34,0.85,1,0.0373,868600.0,3.2515,38.9601,39.9304,3.6299,2.6596,8,,0,,1
2017-02-21,42.92,43.7,42.68,43.07,1019500.0,ACHC,1.02,0.15,1,0.6176,924090.0,2.8891,39.1769,40.327,3.8931,2.743,9,,0,,1
2017-02-22,43.0,43.19,42.24,42.64,972200.0,ACHC,0.95,0.36,0,0.5789,955980.0,2.755,39.3572,40.6189,3.2828,2.0211,10,,0,,1
2017-02-23,42.48,43.43,42.43,43.24,1248400.0,ACHC,1.0,0.76,1,0.19,1021020.0,3.5377,39.5567,40.9492,3.6833,2.2908,11,,0,,1
2017-02-24,44.99,47.39,44.29,44.94,3100600.0,ACHC,3.1,0.05,0,0.7903,1268380.0,8.7866,39.83,41.4517,5.11,3.4883,12,,0,,1
2017-02-27,45.04,45.07,44.03,44.79,1689400.0,ACHC,1.04,0.25,0,0.2692,1375860.0,4.7875,40.079,41.8716,4.711,2.9184,13,,0,,1
2017-02-28,44.86,44.93,43.77,44.72,1518900.0,ACHC,1.16,0.14,0,0.181,1435110.0,4.3043,40.3094,42.2296,4.4106,2.4904,14,,0,,1
2017-03-01,45.04,45.43,44.29,44.9,1361600.0,ACHC,1.14,0.14,0,0.4649,1474470.0,3.8585,40.5349,42.565,4.3651,2.335,15,,0,,1
2017-03-02,44.68,45.01,44.2,44.53,1011200.0,ACHC,0.81,0.15,0,0.5926,1436480.0,2.8656,40.7293,42.8117,3.8007,1.7183,16,,0,,1
2017-03-03,44.58,45.61,44.06,45.53,1321700.0,ACHC,1.55,0.95,1,0.0516,1439090.0,3.7455,40.9607,43.1527,4.5693,2.3773,17,1,1,Long,0
2017-03-06,44.92,45.51,43.89,44.35,1267500.0,ACHC,1.62,0.57,0,0.716,1451100.0,3.5919,41.1226,43.3028,3.2274,1.0472,18,,0,Long,1
2017-03-07,43.97,44.09,43.3,43.49,1039600.0,ACHC,0.79,0.48,0,0.7595,1453110.0,2.946,41.2347,43.3263,2.2553,0.1637,19,,0,Long,0
2017-03-08,43.57,44.2,42.84,43.6,785300.0,ACHC,1.36,0.03,1,0.4412,1434420.0,2.2254,41.3458,43.3606,2.2542,0.2394,20,,0,Long,0
2017-03-09,43.4,43.88,42.88,43.09,1283300.0,ACHC,1.0,0.31,0,0.79,1437910.0,3.6366,41.4271,43.3267,1.6629,-0.2367,1,,0,Long,0
2017-03-10,43.17,43.34,42.46,42.69,1183700.0,ACHC,0.88,0.48,0,0.7386,1246220.0,3.3544,41.4856,43.247,1.2044,-0.557,2,,0,Long,0
2017-03-13,42.75,42.97,42.01,42.81,1130900.0,ACHC,0.96,0.06,1,0.1667,1190370.0,3.2048,41.5464,43.1923,1.2636,-0.3823,3,,0,Long,0
2017-03-14,42.55,42.86,42.0,42.77,1500900.0,ACHC,0.86,0.22,1,0.1047,1188570.0,4.2533,41.6023,43.1394,1.1677,-0.3694,4,,0,Long,0
2017-03-15,42.91,43.08,41.82,42.11,1037800.0,ACHC,1.26,0.8,0,0.7698,1156190.0,2.9409,41.6253,43.0106,0.4847,-0.9006,5,,0,Long,0
2017-03-16,42.19,42.5,41.76,42.0,1736100.0,ACHC,0.74,0.19,0,0.6757,1228680.0,4.9198,41.6422,42.8841,0.3578,-0.8841,6,,0,Long,0
2017-03-17,42.14,42.2,41.56,41.63,1379500.0,ACHC,0.64,0.51,0,0.8906,1234460.0,3.9093,41.6416,42.7272,-0.0116,-1.0972,7,,0,Long,0
2017-03-20,41.5,41.62,40.46,40.78,1334400.0,ACHC,1.16,0.72,0,0.7241,1241150.0,3.7815,41.6032,42.4836,-0.8232,-1.7036,8,,0,Long,0
2017-03-21,40.72,41.31,39.63,39.74,1272900.0,ACHC,1.68,0.98,0,0.9345,1264480.0,3.6072,41.5207,42.1404,-1.7807,-2.4004,9,,0,Long,0
2017-03-22,39.59,39.59,38.69,39.47,1679600.0,ACHC,0.9,0.12,0,0.1333,1353910.0,4.7597,41.4302,41.8064,-1.9602,-2.3364,10,,0,Long,0
2017-03-23,39.58,40.06,39.25,39.57,975300.0,ACHC,0.81,0.01,0,0.6049,1323110.0,2.7638,41.3486,41.5267,-1.7786,-1.9567,11,,0,Long,0
2017-03-24,39.53,42.01,39.53,41.93,1770300.0,ACHC,2.48,2.4,1,0.0323,1381770.0,5.0167,41.374,41.5771,0.556,0.3529,1,1,,Long,0
2017-03-27,41.76,44.9,41.56,44.04,2677100.0,ACHC,3.34,2.28,1,0.2575,1536390.0,7.5864,41.4899,41.8851,2.5501,2.1549,2,,0,Long,1
2017-03-28,43.83,44.49,42.59,43.59,1573700.0,ACHC,1.9,0.24,0,0.4737,1543670.0,4.4596,41.5809,42.0983,2.0091,1.4917,3,,0,Long,1
2017-03-29,43.54,44.19,43.08,43.65,1392000.0,ACHC,1.11,0.11,1,0.4865,1579090.0,3.9447,41.6701,42.2923,1.9799,1.3577,4,,0,Long,1
2017-03-30,43.69,44.05,43.4,43.78,585300.0,ACHC,0.65,0.09,1,0.4154,1464010.0,1.6586,41.7607,42.4783,2.0193,1.3017,5,,0,Long,1
2017-03-31,43.64,44.06,42.21,43.6,802900.0,ACHC,1.85,0.04,0,0.2486,1406350.0,2.2753,41.8395,42.6186,1.7605,0.9814,6,,0,Long,1
2017-04-03,43.41,43.98,42.61,42.86,1565400.0,ACHC,1.37,0.55,0,0.8175,1429450.0,4.4361,41.883,42.6488,0.977,0.2112,7,,0,Long,0
2017-04-04,44.79,45.0,43.12,43.87,4990200.0,ACHC,1.88,0.92,0,0.6011,1801180.0,14.1414,41.9674,42.8014,1.9026,1.0686,8,,0,Long,0
2017-04-05,44.28,44.7,43.66,44.12,15600500.0,ACHC,1.04,0.16,0,0.5577,3193270.0,44.2091,42.0586,42.9663,2.0614,1.1537,9,,0,Long,1
2017-04-06,44.06,44.34,43.57,43.97,1929100.0,ACHC,0.77,0.09,0,0.4805,3288650.0,5.4667,42.1393,43.0918,1.8307,0.8782,10,,0,Long,1
2017-04-07,43.71,43.94,42.95,43.46,1355000.0,ACHC,0.99,0.25,0,0.4848,3247120.0,3.8398,42.1949,43.1378,1.2651,0.3222,11,,0,Long,1
2017-04-10,43.34,44.23,43.33,44.13,1197000.0,ACHC,0.9,0.79,1,0.1111,3099110.0,3.3921,42.2762,43.2618,1.8538,0.8682,12,,0,Long,1
2017-04-11,43.98,44.42,42.89,43.31,1299800.0,ACHC,1.53,0.67,0,0.7255,3071720.0,3.6834,42.3194,43.2679,0.9906,0.0421,13,,0,Long,1
2017-04-12,43.18,43.36,42.65,43.0,1099500.0,ACHC,0.71,0.18,0,0.507,3042470.0,3.1158,42.3479,43.2344,0.6521,-0.2344,1,,0,Long,0
