date,o,h,l,c,v,symbol,tRange,ema50,ema25,ema9,ema4,vol5ave,min6,max20,min20,e50streak_under,e50streak_over,decision_number,type2
2013-09-03,6.14,6.26,6.12,6.17,1269.0,AGRO,0.14,6.17,6.17,6.17,6.17,1269.0,6.17,6.17,6.17,0,0,12.01,
2013-09-04,6.21,6.28,6.12,6.21,2205.0,AGRO,0.16,6.1904,6.1908,6.1922,6.195,1737.0,6.17,6.21,6.17,0,0,12.01,
2013-09-05,6.24,6.25,6.15,6.23,3261.0,AGRO,0.1,6.2041,6.2049,6.2077,6.2129,2245.0,6.17,6.23,6.17,0,0,12.01,
2013-09-06,6.25,6.4,6.25,6.36,1138.0,AGRO,0.15,6.2455,6.2485,6.2593,6.2805,1968.25,6.17,6.36,6.17,0,1,12.01,
2013-09-09,6.42,6.61,6.38,6.6,1761.0,AGRO,0.23,6.3222,6.3305,6.3606,6.4191,1926.8,6.17,6.6,6.17,0,2,12.01,
2013-09-10,6.66,6.76,6.63,6.7,1660.0,AGRO,0.13,6.3916,6.405,6.4526,6.5369,2005.0,6.17,6.7,6.17,0,3,12.01,
2013-09-11,6.75,6.97,6.73,6.88,3125.0,AGRO,0.24,6.47,6.4902,6.5608,6.6781,2189.0,6.21,6.88,6.17,0,4,12.01,
2013-09-12,6.9,6.93,6.8,6.85,1798.0,AGRO,0.13,6.5244,6.5487,6.6303,6.748,1896.4,6.23,6.88,6.17,0,5,12.01,
2013-09-13,6.84,6.9,6.78,6.79,1126.0,AGRO,0.12,6.5589,6.5849,6.6672,6.765,1894.0,6.36,6.88,6.17,0,6,12.01,
2013-09-16,6.87,7.01,6.77,6.99,3875.0,AGRO,0.24,6.6101,6.6414,6.7395,6.8555,2316.8,6.6,6.99,6.17,0,7,12.01,
2013-09-17,7.03,7.12,7.02,7.11,2800.0,AGRO,0.1,6.6652,6.703,6.8206,6.9577,2544.8,6.7,7.11,6.17,0,8,12.01,
2013-09-18,7.11,7.26,7.04,7.2,3058.0,AGRO,0.22,6.7202,6.7649,6.9021,7.0548,2531.4,6.79,7.2,6.17,0,9,12.01,
2013-09-19,7.25,7.25,7.07,7.1,1785.0,AGRO,0.18,6.7569,6.8048,6.9439,7.0729,2528.8,6.79,7.2,6.17,0,10,12.01,
2013-09-20,7.14,7.14,7.05,7.06,1647.0,AGRO,0.09,6.7847,6.8339,6.9682,7.0677,2633.0,6.79,7.2,6.17,0,11,12.01,
2013-09-23,7.04,7.11,7.03,7.08,1399.0,AGRO,0.08,6.8103,6.861,6.9914,7.0727,2137.8,6.99,7.2,6.17,0,12,12.01,
2013-09-24,6.9,7.12,6.84,7.09,5566.0,AGRO,0.28,6.8335,6.8854,7.0117,7.0796,2691.0,7.06,7.2,6.17,0,13,12.01,
2013-09-25,7.06,7.27,7.05,7.22,2516.0,AGRO,0.22,6.8642,6.92,7.0543,7.1358,2582.6,7.06,7.22,6.17,0,14,12.01,
2013-09-26,7.25,7.31,7.2,7.26,2288.0,AGRO,0.11,6.8945,6.9543,7.0962,7.1855,2683.2,7.06,7.26,6.17,0,15,12.01,
2013-09-27,7.19,7.26,7.1,7.11,3737.0,AGRO,0.16,6.9104,6.9696,7.099,7.1553,3101.2,7.06,7.26,6.17,0,16,12.01,
2013-09-30,7.04,7.14,7.01,7.04,1115.0,AGRO,0.13,6.9196,6.9764,7.0871,7.1092,3044.4,7.04,7.26,6.17,0,17,12.01,
2013-10-01,6.99,7.1,6.92,7.08,2159.0,AGRO,0.18,6.9307,6.9862,7.0856,7.0975,2363.0,7.04,7.26,6.21,0,18,12.01,
2013-10-02,7.03,7.25,7.03,7.19,1661.0,AGRO,0.22,6.948,7.0051,7.1067,7.1345,2192.0,7.04,7.26,6.23,0,19,12.01,
2013-10-03,7.16,7.2,7.12,7.16,1378.0,AGRO,0.08,6.9618,7.0193,7.1174,7.1447,2010.0,7.04,7.26,6.36,0,20,12.01,
2013-10-04,7.12,7.24,7.12,7.21,1256.0,AGRO,0.12,6.9776,7.0365,7.136,7.1708,1513.8,7.04,7.26,6.6,0,21,12.01,
2013-10-07,7.18,7.25,7.15,7.2,865.0,AGRO,0.1,6.9914,7.051,7.1489,7.1825,1463.8,7.04,7.26,6.7,0,22,12.01,
2013-10-08,7.16,7.26,7.13,7.22,3705.0,AGRO,0.13,7.0053,7.0659,7.1631,7.1975,1773.0,7.08,7.26,6.79,0,23,12.01,
2013-10-09,7.17,7.32,7.16,7.29,3957.0,AGRO,0.16,7.0222,7.0853,7.1886,7.2345,2232.2,7.16,7.29,6.79,0,24,12.01,
2013-10-10,7.31,7.42,7.25,7.4,5244.0,AGRO,0.17,7.0442,7.1124,7.2309,7.3007,3005.4,7.16,7.4,6.79,0,25,12.01,
2013-10-11,7.36,7.65,7.36,7.58,4127.0,AGRO,0.29,7.0748,7.1523,7.3009,7.4124,3579.6,7.2,7.58,6.99,0,26,12.01,
2013-10-14,7.5,7.67,7.5,7.64,2905.0,AGRO,0.17,7.1065,7.1936,7.3688,7.5035,3987.6,7.2,7.64,7.04,0,27,12.01,
2013-10-15,7.61,7.75,7.61,7.69,3061.0,AGRO,0.14,7.1387,7.2352,7.4331,7.5781,3858.8,7.22,7.69,7.04,0,28,12.01,
2013-10-16,7.72,7.75,7.5,7.7,1721.0,AGRO,0.25,7.1692,7.274,7.4865,7.6268,3411.6,7.29,7.7,7.04,0,29,12.01,
2013-10-17,7.71,7.86,7.62,7.84,4138.0,AGRO,0.24,7.2051,7.3209,7.5572,7.7121,3190.4,7.4,7.84,7.04,0,30,12.01,
