date,o,h,l,c,v,symbol,tRange,bRange,direction,hammer,vol_ave_10,rVol,ema50,ema15,ch50,ch15,s15,pf,eo,endposition,c1_5
2017-01-03,27.51,27.68,27.31,27.48,636400.0,AKR,0.37,0.03,0,0.5405,,0.8625,27.48,27.48,0.0,0.0,1,,0,,0
2017-01-04,27.57,28.12,27.57,28.1,554400.0,AKR,0.55,0.53,1,0.0364,,0.7514,27.7962,27.8107,0.3038,0.2893,1,,0,,0
2017-01-05,27.89,28.11,27.71,28.08,278900.0,AKR,0.4,0.19,1,0.075,,0.378,27.8946,27.9127,0.1854,0.1673,2,,0,,0
2017-01-06,28.04,28.18,27.84,27.86,311000.0,AKR,0.34,0.18,0,0.9412,,0.4215,27.8854,27.8968,-0.0254,-0.0368,1,,0,,0
2017-01-09,27.9,27.9,27.18,27.26,448600.0,AKR,0.72,0.64,0,0.8889,,0.608,27.7501,27.7333,-0.4901,-0.4733,2,,0,,0
2017-01-10,27.26,27.32,27.09,27.2,389100.0,AKR,0.23,0.06,0,0.5217,,0.5274,27.649,27.6124,-0.449,-0.4124,3,,0,,0
2017-01-11,27.28,27.46,26.93,26.98,297500.0,AKR,0.53,0.3,0,0.9057,,0.4032,27.5416,27.4822,-0.5616,-0.5022,4,,0,,0
2017-01-12,26.94,27.19,26.77,27.13,604000.0,AKR,0.42,0.19,1,0.1429,,0.8186,27.4827,27.4152,-0.3527,-0.2852,5,,0,,0
2017-01-13,27.13,27.26,26.92,26.99,243600.0,AKR,0.34,0.14,0,0.7941,,0.3302,27.4188,27.3392,-0.4288,-0.3492,6,,0,,0
2017-01-17,27.13,27.31,27.04,27.27,231900.0,AKR,0.27,0.14,1,0.1481,399540.0,0.3143,27.4011,27.3274,-0.1311,-0.0574,7,,0,,0
2017-01-18,27.29,27.36,27.06,27.12,383700.0,AKR,0.3,0.17,0,0.8,374270.0,0.52,27.3701,27.2937,-0.2501,-0.1737,8,,0,,1
2017-01-19,26.99,27.04,26.61,26.72,386800.0,AKR,0.43,0.27,0,0.7442,357510.0,0.5242,27.3033,27.2039,-0.5833,-0.4839,9,,0,,1
2017-01-20,26.66,26.91,26.66,26.88,237900.0,AKR,0.25,0.22,1,0.12,353410.0,0.3224,27.2623,27.1548,-0.3823,-0.2748,10,,0,,0
2017-01-23,26.85,27.06,26.85,26.99,391800.0,AKR,0.21,0.14,1,0.3333,361490.0,0.531,27.2374,27.1304,-0.2474,-0.1404,11,,0,,0
2017-01-24,26.97,27.12,26.81,27.02,613500.0,AKR,0.31,0.05,1,0.3226,377980.0,0.8315,27.2185,27.1145,-0.1985,-0.0945,12,,0,,0
2017-01-25,27.05,27.11,26.57,26.72,484200.0,AKR,0.54,0.33,0,0.7222,387490.0,0.6562,27.1772,27.0586,-0.4572,-0.3386,13,,0,,0
2017-01-26,26.73,26.93,26.66,26.76,390900.0,AKR,0.27,0.03,1,0.6296,396830.0,0.5298,27.144,27.0169,-0.384,-0.2569,14,,0,,0
2017-01-27,26.79,26.79,26.21,26.42,579700.0,AKR,0.58,0.37,0,0.6379,394400.0,0.7857,27.0887,26.9349,-0.6687,-0.5149,15,,0,,0
2017-01-30,26.36,26.55,26.15,26.54,500900.0,AKR,0.4,0.18,1,0.025,420130.0,0.6789,27.0483,26.8813,-0.5083,-0.3413,16,,0,,0
2017-01-31,26.62,27.09,26.62,26.83,475400.0,AKR,0.47,0.21,1,0.5532,444480.0,0.6443,27.0327,26.8744,-0.2027,-0.0444,17,,0,,0
2017-02-01,26.74,27.04,26.39,26.47,280200.0,AKR,0.65,0.27,0,0.8769,434130.0,0.3798,26.9939,26.8206,-0.5239,-0.3506,18,,0,,1
2017-02-02,26.47,26.83,26.42,26.81,284900.0,AKR,0.41,0.34,1,0.0488,423940.0,0.3861,26.9816,26.8192,-0.1716,-0.0092,19,,0,,0
2017-02-03,27.19,27.23,26.81,27.09,445500.0,AKR,0.42,0.1,0,0.3333,444700.0,0.6038,26.9887,26.8547,0.1013,0.2353,1,,0,,1
2017-02-06,27.17,27.26,26.88,26.99,272300.0,AKR,0.38,0.18,0,0.7105,432750.0,0.3691,26.9887,26.8723,0.0013,0.1177,2,,0,,1
2017-02-07,27.01,27.11,26.71,26.77,366000.0,AKR,0.4,0.24,0,0.85,408000.0,0.496,26.9752,26.8591,-0.2052,-0.0891,1,,0,,1
2017-02-08,26.77,27.04,26.7,26.95,164500.0,AKR,0.34,0.18,1,0.2647,376030.0,0.2229,26.9736,26.8708,-0.0236,0.0792,1,,0,,1
2017-02-09,26.99,27.2,26.97,27.15,194600.0,AKR,0.23,0.16,1,0.2174,356400.0,0.2637,26.9841,26.9067,0.1659,0.2433,2,,0,,1
2017-02-10,27.07,27.52,27.07,27.48,244200.0,AKR,0.45,0.41,1,0.0889,322850.0,0.331,27.013,26.9801,0.467,0.4999,3,,0,,1
2017-02-13,27.52,27.58,27.22,27.4,354200.0,AKR,0.36,0.12,0,0.5,308180.0,0.48,27.0351,27.0337,0.3649,0.3663,4,,0,,1
2017-02-14,27.31,27.34,26.82,26.88,332000.0,AKR,0.52,0.43,0,0.8846,293840.0,0.45,27.0264,27.0141,-0.1464,-0.1341,1,,0,,1
2017-02-15,26.58,26.75,26.03,26.45,989800.0,AKR,0.72,0.13,0,0.4167,364800.0,1.3415,26.9946,26.9425,-0.5446,-0.4925,2,,0,,0
2017-02-16,26.45,26.88,26.45,26.67,581200.0,AKR,0.43,0.22,1,0.4884,394430.0,0.7877,26.9769,26.9079,-0.3069,-0.2379,3,,0,,0
2017-02-17,26.77,26.83,26.42,26.76,675100.0,AKR,0.41,0.01,0,0.1707,417390.0,0.915,26.9653,26.8892,-0.2053,-0.1292,4,,0,,0
2017-02-21,26.72,27.37,26.61,27.36,568700.0,AKR,0.76,0.64,1,0.0132,447030.0,0.7708,26.9862,26.9487,0.3738,0.4113,1,,0,,0
2017-02-22,27.32,27.45,26.95,27.18,289900.0,AKR,0.5,0.14,0,0.54,439420.0,0.3929,26.9962,26.9779,0.1838,0.2021,2,,0,,1
2017-02-23,27.35,27.58,27.11,27.58,703100.0,AKR,0.47,0.23,1,0.0,493280.0,0.9529,27.0262,27.0538,0.5538,0.5262,3,,0,,1
2017-02-24,27.56,27.64,27.34,27.48,604700.0,AKR,0.3,0.08,0,0.5333,534290.0,0.8196,27.0493,27.1074,0.4307,0.3726,4,,0,,1
2017-02-27,27.55,27.71,27.33,27.47,511500.0,AKR,0.38,0.08,0,0.6316,561020.0,0.6932,27.0704,27.153,0.3996,0.317,5,,0,,1
2017-02-28,27.36,27.4,26.83,26.99,532400.0,AKR,0.57,0.37,0,0.7193,578840.0,0.7216,27.0664,27.1325,-0.0764,-0.1425,1,,0,,1
2017-03-01,26.88,27.01,26.72,26.76,630800.0,AKR,0.29,0.12,0,0.8621,608720.0,0.8549,27.0514,27.0857,-0.2914,-0.3257,2,,0,,0
2017-03-02,26.77,27.12,26.6,26.93,925600.0,AKR,0.52,0.16,1,0.3654,602300.0,1.2545,27.0454,27.0662,-0.1154,-0.1362,3,,0,,0
2017-03-03,26.96,26.99,26.2,26.88,737900.0,AKR,0.79,0.08,0,0.1392,617970.0,1.0001,27.0375,27.0428,-0.1575,-0.1628,4,,0,,0
2017-03-06,26.73,26.83,26.5,26.7,410600.0,AKR,0.33,0.03,0,0.3939,591520.0,0.5565,27.0214,26.9998,-0.3214,-0.2998,5,,0,,0
2017-03-07,26.59,26.65,26.13,26.16,449600.0,AKR,0.52,0.43,0,0.9423,579610.0,0.6093,26.9806,26.8946,-0.8206,-0.7346,6,,0,,0
2017-03-08,25.79,25.97,25.38,25.49,587000.0,AKR,0.59,0.3,0,0.8136,609320.0,0.7956,26.9105,26.7186,-1.4205,-1.2286,7,,0,,0
2017-03-09,25.49,25.63,24.84,24.98,874800.0,AKR,0.79,0.51,0,0.8228,626490.0,1.1856,26.8205,26.5008,-1.8405,-1.5208,8,,0,,0
2017-03-10,24.97,25.15,24.63,24.84,774400.0,AKR,0.52,0.13,0,0.5962,643460.0,1.0496,26.7289,26.2928,-1.8889,-1.4528,9,,0,,0
2017-03-13,24.84,25.34,24.84,25.21,626100.0,AKR,0.5,0.37,1,0.26,654920.0,0.8486,26.6591,26.1572,-1.4491,-0.9472,10,,0,,0
2017-03-14,25.12,25.65,25.11,25.53,412900.0,AKR,0.54,0.41,1,0.2222,642970.0,0.5596,26.6076,26.0787,-1.0776,-0.5487,11,,0,,0
2017-03-15,25.7,26.38,25.67,26.24,542800.0,AKR,0.71,0.54,1,0.1972,634170.0,0.7357,26.5909,26.0989,-0.3509,0.1411,1,,0,,1
2017-03-16,26.29,26.38,26.06,26.07,455000.0,AKR,0.32,0.22,0,0.9687,587110.0,0.6167,26.5674,26.0953,-0.4974,-0.0253,1,,0,,1
2017-03-17,25.98,26.09,25.76,26.0,1957700.0,AKR,0.33,0.02,1,0.2727,709090.0,2.6533,26.542,26.0834,-0.542,-0.0834,2,,0,,1
2017-03-20,26.06,26.11,25.79,25.82,430000.0,AKR,0.32,0.24,0,0.9062,711030.0,0.5828,26.5098,26.0504,-0.6898,-0.2304,3,,0,,1
2017-03-21,25.84,25.92,25.58,25.72,550900.0,AKR,0.34,0.12,0,0.5882,721160.0,0.7466,26.4748,26.0091,-0.7548,-0.2891,4,,0,,1
2017-03-22,25.72,25.72,24.71,25.07,876500.0,AKR,1.01,0.65,0,0.6436,750110.0,1.1879,26.4128,25.8916,-1.3428,-0.8216,5,,0,,0
2017-03-23,25.07,25.55,24.97,25.29,719900.0,AKR,0.58,0.22,1,0.4483,734620.0,0.9757,26.3636,25.8164,-1.0736,-0.5264,6,,0,,0
2017-03-24,25.3,25.68,25.3,25.55,426400.0,AKR,0.38,0.25,1,0.3421,699820.0,0.5779,26.328,25.7831,-0.778,-0.2331,7,,0,,0
2017-03-27,25.52,25.6,24.95,25.05,463000.0,AKR,0.65,0.47,0,0.8462,683510.0,0.6275,26.2725,25.6914,-1.2225,-0.6414,8,,0,,0
2017-03-28,25.02,25.22,24.88,25.19,524000.0,AKR,0.34,0.17,1,0.0882,694620.0,0.7102,26.2256,25.6287,-1.0356,-0.4387,9,,0,,0
2017-03-29,25.23,25.34,25.01,25.27,404300.0,AKR,0.33,0.04,1,0.2121,680770.0,0.548,26.1844,25.5838,-0.9144,-0.3138,10,,0,,1
2017-03-30,25.28,25.47,25.01,25.41,355100.0,AKR,0.46,0.13,1,0.1304,670780.0,0.4813,26.1511,25.5621,-0.7411,-0.1521,11,,0,,0
2017-03-31,25.37,25.63,25.37,25.55,710400.0,AKR,0.26,0.18,1,0.3077,546050.0,0.9628,26.1254,25.5606,-0.5754,-0.0106,12,,0,,0
2017-04-03,25.48,25.83,25.45,25.65,432500.0,AKR,0.38,0.17,1,0.4737,546300.0,0.5862,26.1051,25.5718,-0.4551,0.0782,1,,0,,1
2017-04-04,25.61,25.76,25.36,25.49,880500.0,AKR,0.4,0.12,0,0.675,579260.0,1.1933,26.079,25.5615,-0.589,-0.0715,1,,0,,1
2017-04-05,25.56,25.6,25.17,25.2,487500.0,AKR,0.43,0.36,0,0.9302,540360.0,0.6607,26.0417,25.5163,-0.8417,-0.3163,2,,0,,1
2017-04-06,25.22,25.46,25.08,25.43,476900.0,AKR,0.38,0.21,1,0.0789,516060.0,0.6463,26.0159,25.5055,-0.5859,-0.0755,3,,0,,0
2017-04-07,25.39,25.63,25.31,25.45,789400.0,AKR,0.32,0.06,1,0.5625,552360.0,1.0699,25.9921,25.4986,-0.5421,-0.0486,4,,0,,0
2017-04-10,25.42,25.78,25.3,25.69,434400.0,AKR,0.48,0.27,1,0.1875,549500.0,0.5887,25.9794,25.5225,-0.2894,0.1675,1,,0,,0
2017-04-11,25.73,26.14,25.64,25.98,710400.0,AKR,0.5,0.25,1,0.32,568140.0,0.9628,25.9794,25.5797,0.0006,0.4003,2,,0,,1
2017-04-12,25.96,26.39,25.84,26.36,833400.0,AKR,0.55,0.4,1,0.0545,611050.0,1.1295,25.9953,25.6773,0.3647,0.6827,3,,0,,1
2017-04-13,26.44,26.69,26.26,26.53,1055300.0,AKR,0.43,0.09,1,0.3721,681070.0,1.4303,26.0176,25.7839,0.5124,0.7461,4,,0,,1
2017-04-17,26.6,26.81,26.56,26.74,584800.0,AKR,0.25,0.14,1,0.28,668510.0,0.7926,26.0476,25.9034,0.6924,0.8366,5,,0,,1
2017-04-18,26.69,26.99,26.68,26.96,525700.0,AKR,0.31,0.27,1,0.0968,677830.0,0.7125,26.0854,26.0355,0.8746,0.9245,6,,0,,1
2017-04-19,26.96,27.21,26.88,26.95,663300.0,AKR,0.33,0.01,0,0.7879,656110.0,0.899,26.1212,26.1498,0.8288,0.8002,7,,0,,1
2017-04-20,26.98,27.01,26.76,26.97,491700.0,AKR,0.25,0.01,0,0.16,656530.0,0.6664,26.1562,26.2523,0.8138,0.7177,8,,0,,1
2017-04-21,26.92,26.93,26.62,26.7,706100.0,AKR,0.31,0.22,0,0.7419,679450.0,0.957,26.1786,26.3083,0.5214,0.3917,9,,0,,1
2017-04-24,26.87,26.94,25.97,26.14,699300.0,AKR,0.97,0.73,0,0.8247,670440.0,0.9478,26.177,26.2873,-0.037,-0.1473,1,,0,,0
2017-04-25,26.63,26.81,25.88,26.13,707700.0,AKR,0.93,0.5,0,0.7312,697770.0,0.9592,26.1751,26.2676,-0.0451,-0.1376,2,,0,,0
2017-04-26,25.99,26.01,25.37,25.45,672800.0,AKR,0.64,0.54,0,0.875,694010.0,0.9119,26.1454,26.1654,-0.6954,-0.7154,3,,0,,0
2017-04-27,25.51,25.59,25.23,25.32,645800.0,AKR,0.36,0.19,0,0.75,675250.0,0.8753,26.1116,26.0597,-0.7916,-0.7397,4,,0,,0
2017-04-28,25.28,25.33,24.56,24.71,778800.0,AKR,0.77,0.57,0,0.8052,647600.0,1.0555,26.0544,25.891,-1.3444,-1.181,5,,0,,0
2017-05-01,24.77,25.05,24.62,25.0,616200.0,AKR,0.43,0.23,1,0.1163,650740.0,0.8351,26.0115,25.7796,-1.0115,-0.7796,6,,0,,0
2017-05-02,25.0,25.21,24.91,25.05,447600.0,AKR,0.3,0.05,1,0.5333,642930.0,0.6066,25.9724,25.6884,-0.9224,-0.6384,7,,0,,0
2017-05-03,25.1,25.12,24.65,24.8,562700.0,AKR,0.47,0.3,0,0.6809,632870.0,0.7626,25.9247,25.5774,-1.1247,-0.7774,8,,0,,0
